id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
547,0.26911512,-0.16257839,-89.84389,1003.90784,113.281425,4.0,1.0,1.0,4.0,0.17949693,0.120768994,0.11839834,NaN,0.12227648,0.10011518,0.21456888,NaN,0.19706498,0.062419873,0.19250686,NaN,0.25360298,0.56496984,0.37061194,NaN,0.24755864,0.1517261,0.103913985,NaN,-0.10294968,-0.3065927,-0.6718665,0.0,-0.26966378,-0.3880482,-0.41364533,0.0,-0.062397238,-0.5932253,-0.46076584,0.0,0.04714766,0.3634771,-0.17629267,0.0,0.036671396,-0.20748788,-0.7285381,0.0
548,0.26911512,-0.16257839,-89.84389,1003.90784,113.281425,4.0,1.0,1.0,4.0,0.17949693,0.120768994,0.11839834,NaN,0.12227648,0.10011518,0.21456888,NaN,0.19706498,0.062419873,0.19250686,NaN,0.25360298,0.56496984,0.37061194,NaN,0.24755864,0.1517261,0.103913985,NaN,-0.10294968,-0.3065927,-0.6718665,0.0,-0.26966378,-0.3880482,-0.41364533,0.0,-0.062397238,-0.5932253,-0.46076584,0.0,0.04714766,0.3634771,-0.17629267,0.0,0.036671396,-0.20748788,-0.7285381,0.0
549,0.26911512,-0.16257839,-89.84389,1007.8141,113.281425,4.0,1.0,1.0,4.0,0.17949693,0.120768994,0.11839834,NaN,0.12227648,0.10011518,0.21456888,NaN,0.19706498,0.062419873,0.19250686,NaN,0.25360298,0.56496984,0.37061194,NaN,0.24755864,0.1517261,0.103913985,NaN,-0.10294968,-0.3065927,-0.6718665,0.0,-0.26966378,-0.3880482,-0.41364533,0.0,-0.062397238,-0.5932253,-0.46076584,0.0,0.04714766,0.3634771,-0.17629267,0.0,0.036671396,-0.20748788,-0.7285381,0.0
550,0.26911512,-0.16223647,-85.93764,1000.0016,113.281425,4.0,1.0,1.0,4.0,0.17949693,0.12247052,0.1255405,NaN,0.12227648,0.09928702,0.21739404,NaN,0.19706498,0.061699867,0.19183314,NaN,0.25360298,0.5584735,0.35859036,NaN,0.24755864,0.15806906,0.10664196,NaN,-0.10294968,-0.29661044,-0.64120865,0.0,-0.26966378,-0.38774955,-0.4027449,0.0,-0.062397238,-0.5943578,-0.45706886,0.0,0.04714766,0.36236057,-0.18539387,0.0,0.036671396,-0.18579517,-0.7120644,0.0
551,0.26911512,-0.16250186,-85.93764,1007.8141,109.37517,4.0,1.0,1.0,4.0,0.17949693,0.12366221,0.1375385,NaN,0.12227648,0.09810346,0.22027087,NaN,0.19706498,0.060274966,0.18882875,NaN,0.25360298,0.5530038,0.34424645,NaN,0.24755864,0.16495559,0.10911544,NaN,-0.10294968,-0.28355187,-0.5954089,0.0,-0.26966378,-0.38410455,-0.3908761,0.0,-0.062397238,-0.5956519,-0.45776504,0.0,0.04714766,0.3669392,-0.19696371,0.0,0.036671396,-0.15842189,-0.695947,0.0
552,0.26911512,-0.16250186,-89.84389,1003.90784,105.46892,4.0,1.0,1.0,4.0,0.17949693,0.12366221,0.1375385,NaN,0.12227648,0.09810346,0.22027087,NaN,0.19706498,0.060274966,0.18882875,NaN,0.25360298,0.5530038,0.34424645,NaN,0.24755864,0.16495559,0.10911544,NaN,-0.10294968,-0.28355187,-0.5954089,0.0,-0.26966378,-0.38410455,-0.3908761,0.0,-0.062397238,-0.5956519,-0.45776504,0.0,0.04714766,0.3669392,-0.19696371,0.0,0.036671396,-0.15842189,-0.695947,0.0
553,0.26911512,-0.1631677,-89.84389,1011.72034,105.46892,4.0,1.0,1.0,4.0,0.17949693,0.12254678,0.1525627,NaN,0.12227648,0.09741178,0.2233556,NaN,0.19706498,0.059409786,0.18388258,NaN,0.25360298,0.54983085,0.32845777,NaN,0.24755864,0.17080079,0.11174135,NaN,-0.10294968,-0.27868736,-0.5463718,0.0,-0.26966378,-0.37837774,-0.3808233,0.0,-0.062397238,-0.59313124,-0.46527958,0.0,0.04714766,0.37323987,-0.21334063,0.0,0.036671396,-0.13449934,-0.68160623,0.0
554,0.26911512,-0.1631677,-82.03138,1003.90784,109.37517,4.0,1.0,1.0,4.0,0.17949693,0.12254678,0.1525627,NaN,0.12227648,0.09741178,0.2233556,NaN,0.19706498,0.059409786,0.18388258,NaN,0.25360298,0.54983085,0.32845777,NaN,0.24755864,0.17080079,0.11174135,NaN,-0.10294968,-0.27868736,-0.5463718,0.0,-0.26966378,-0.37837774,-0.3808233,0.0,-0.062397238,-0.59313124,-0.46527958,0.0,0.04714766,0.37323987,-0.21334063,0.0,0.036671396,-0.13449934,-0.68160623,0.0
555,0.26911512,-0.1631677,-82.03138,1007.8141,113.281425,4.0,1.0,1.0,4.0,0.17949693,0.12254678,0.1525627,NaN,0.12227648,0.09741178,0.2233556,NaN,0.19706498,0.059409786,0.18388258,NaN,0.25360298,0.54983085,0.32845777,NaN,0.24755864,0.17080079,0.11174135,NaN,-0.10294968,-0.27868736,-0.5463718,0.0,-0.26966378,-0.37837774,-0.3808233,0.0,-0.062397238,-0.59313124,-0.46527958,0.0,0.04714766,0.37323987,-0.21334063,0.0,0.036671396,-0.13449934,-0.68160623,0.0
556,0.26911512,-0.1631677,-82.03138,1007.8141,113.281425,4.0,1.0,1.0,4.0,0.17949693,0.12254678,0.1525627,NaN,0.12227648,0.09741178,0.2233556,NaN,0.19706498,0.059409786,0.18388258,NaN,0.25360298,0.54983085,0.32845777,NaN,0.24755864,0.17080079,0.11174135,NaN,-0.10294968,-0.27868736,-0.5463718,0.0,-0.26966378,-0.37837774,-0.3808233,0.0,-0.062397238,-0.59313124,-0.46527958,0.0,0.04714766,0.37323987,-0.21334063,0.0,0.036671396,-0.13449934,-0.68160623,0.0
