id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
1133,0.4695009,0.39316508,-85.93764,1000.0016,164.06276,1.0,1.0,1.0,1.0,0.20133615,0.24320565,0.34148532,0.07716494,0.021027436,0.12476315,0.14063829,0.04808236,0.00801514,0.21548918,0.21319324,0.032493744,0.4008708,0.31579247,0.22481586,0.07716494,0.36875048,0.100749545,0.07986729,0.070637845,1.370268,0.14208399,0.4883656,0.805265,0.3891326,-0.14780334,0.103097156,0.59983075,-0.029742613,0.0895358,0.28376696,0.42964476,1.6693506,0.2555121,0.3068205,0.805265,1.6330788,-0.24064659,-0.1426375,0.7668824
1134,0.4695009,0.39316508,-85.93764,1000.0016,164.06276,1.0,1.0,1.0,1.0,0.20133615,0.24320565,0.34148532,0.07716494,0.021027436,0.12476315,0.14063829,0.04808236,0.00801514,0.21548918,0.21319324,0.032493744,0.4008708,0.31579247,0.22481586,0.07716494,0.36875048,0.100749545,0.07986729,0.070637845,1.370268,0.14208399,0.4883656,0.805265,0.3891326,-0.14780334,0.103097156,0.59983075,-0.029742613,0.0895358,0.28376696,0.42964476,1.6693506,0.2555121,0.3068205,0.805265,1.6330788,-0.24064659,-0.1426375,0.7668824
1135,0.47167927,0.39252117,-89.84389,1000.0016,164.06276,1.0,1.0,1.0,1.0,0.20756401,0.25684386,0.3474401,0.07716494,0.021419892,0.13541889,0.14103949,0.04808236,0.008277536,0.2318998,0.21498802,0.032493744,0.41490147,0.26795745,0.21806715,0.07716494,0.3478371,0.10788002,0.078465246,0.070637845,1.3775293,0.12359299,0.48243287,0.805265,0.3911945,-0.15439698,0.09089369,0.59983075,-0.021721698,0.07922415,0.2739672,0.42964476,1.6783222,0.1419896,0.28014323,0.805265,1.6017531,-0.2531352,-0.16376968,0.7668824
1136,0.47167927,0.39252117,-89.84389,1000.0016,164.06276,1.0,1.0,1.0,1.0,0.20756401,0.25684386,0.3474401,0.07716494,0.021419892,0.13541889,0.14103949,0.04808236,0.008277536,0.2318998,0.21498802,0.032493744,0.41490147,0.26795745,0.21806715,0.07716494,0.3478371,0.10788002,0.078465246,0.070637845,1.3775293,0.12359299,0.48243287,0.805265,0.3911945,-0.15439698,0.09089369,0.59983075,-0.021721698,0.07922415,0.2739672,0.42964476,1.6783222,0.1419896,0.28014323,0.805265,1.6017531,-0.2531352,-0.16376968,0.7668824
1137,0.47300807,0.3883879,-85.93764,1000.0016,164.06276,1.0,1.0,1.0,1.0,0.21417043,0.24536669,0.35108677,0.07716494,0.021559156,0.14295636,0.13752314,0.04808236,0.008428144,0.23939987,0.21339765,0.032493744,0.42381114,0.2598025,0.21984418,0.07716494,0.33203113,0.11247459,0.078148246,0.070637845,1.3819585,0.06843185,0.47759458,0.805265,0.38483077,-0.16618027,0.070555925,0.59983075,-0.023069076,0.057740144,0.26136976,0.42964476,1.6783713,0.093259566,0.2742951,0.805265,1.5723778,-0.27032933,-0.17490064,0.7668824
1138,0.47300807,0.3883879,-85.93764,1003.90784,164.06276,1.0,1.0,1.0,1.0,0.21417043,0.24536669,0.35108677,0.07716494,0.021559156,0.14295636,0.13752314,0.04808236,0.008428144,0.23939987,0.21339765,0.032493744,0.42381114,0.2598025,0.21984418,0.07716494,0.33203113,0.11247459,0.078148246,0.070637845,1.3819585,0.06843185,0.47759458,0.805265,0.38483077,-0.16618027,0.070555925,0.59983075,-0.023069076,0.057740144,0.26136976,0.42964476,1.6783713,0.093259566,0.2742951,0.805265,1.5723778,-0.27032933,-0.17490064,0.7668824
1139,0.47327873,0.38127404,-85.93764,996.09534,164.06276,1.0,1.0,1.0,1.0,0.22007032,0.21852209,0.35269684,0.07716494,0.021368112,0.14797954,0.13096632,0.04808236,0.008536364,0.23869097,0.2090949,0.032493744,0.43103853,0.27898836,0.22731768,0.07716494,0.31898665,0.11581904,0.079924256,0.070637845,1.3828608,-0.015241541,0.47417158,0.805265,0.37006545,-0.1845352,0.04392966,0.59983075,-0.028427793,0.023099117,0.24711345,0.42964476,1.6748154,0.09084919,0.28340322,0.805265,1.5440718,-0.2909569,-0.17055137,0.7668824
1140,0.47327873,0.38127404,-85.93764,1000.0016,164.06276,1.0,1.0,1.0,1.0,0.22007032,0.21852209,0.35269684,0.07716494,0.021368112,0.14797954,0.13096632,0.04808236,0.008536364,0.23869097,0.2090949,0.032493744,0.43103853,0.27898836,0.22731768,0.07716494,0.31898665,0.11581904,0.079924256,0.070637845,1.3828608,-0.015241541,0.47417158,0.805265,0.37006545,-0.1845352,0.04392966,0.59983075,-0.028427793,0.023099117,0.24711345,0.42964476,1.6748154,0.09084919,0.28340322,0.805265,1.5440718,-0.2909569,-0.17055137,0.7668824
1141,0.47327873,0.38127404,-82.03138,1000.0016,164.06276,1.0,1.0,1.0,1.0,0.22007032,0.21852209,0.35269684,0.07716494,0.021368112,0.14797954,0.13096632,0.04808236,0.008536364,0.23869097,0.2090949,0.032493744,0.43103853,0.27898836,0.22731768,0.07716494,0.31898665,0.11581904,0.079924256,0.070637845,1.3828608,-0.015241541,0.47417158,0.805265,0.37006545,-0.1845352,0.04392966,0.59983075,-0.028427793,0.023099117,0.24711345,0.42964476,1.6748154,0.09084919,0.28340322,0.805265,1.5440718,-0.2909569,-0.17055137,0.7668824
1142,0.4775782,0.3747567,-85.93764,1000.0016,160.1565,1.0,1.0,1.0,1.0,0.23246881,0.17100261,0.3527094,0.07716494,0.020884283,0.15301608,0.122692704,0.04808236,0.008709861,0.23226109,0.20236534,0.032493744,0.43298766,0.32192445,0.23956403,0.07716494,0.30494937,0.12179579,0.08266853,0.070637845,1.3971924,-0.1581303,0.47417158,0.805265,0.35064724,-0.20639597,0.0155732995,0.59983075,-0.029161096,-0.025156584,0.23289067,0.42964476,1.6673032,0.11662091,0.30617616,0.805265,1.5150554,-0.30550078,-0.15590522,0.7668824
1143,0.4775782,0.3747567,-85.93764,1000.0016,164.06276,1.0,1.0,1.0,1.0,0.23246881,0.17100261,0.3527094,0.07716494,0.020884283,0.15301608,0.122692704,0.04808236,0.008709861,0.23226109,0.20236534,0.032493744,0.43298766,0.32192445,0.23956403,0.07716494,0.30494937,0.12179579,0.08266853,0.070637845,1.3971924,-0.1581303,0.47417158,0.805265,0.35064724,-0.20639597,0.0155732995,0.59983075,-0.029161096,-0.025156584,0.23289067,0.42964476,1.6673032,0.11662091,0.30617616,0.805265,1.5150554,-0.30550078,-0.15590522,0.7668824
1144,0.48366073,0.3687142,-85.93764,1000.0016,164.06276,1.0,1.0,1.0,1.0,0.24902274,0.12727475,0.34833023,0.07716494,0.020438839,0.15602826,0.1157842,0.04808236,0.009071967,0.21629977,0.1958486,0.032493744,0.43028092,0.3701994,0.25435373,0.07716494,0.29118553,0.1301978,0.085683234,0.070637845,1.4174675,-0.31598443,0.46979067,0.805265,0.33168468,-0.22752345,-0.008551207,0.59983075,-0.021070084,-0.085670635,0.21971995,0.42964476,1.6549805,0.14770904,0.3332376,0.805265,1.4853983,-0.30612305,-0.13930467,0.7668824
1145,0.48366073,0.3687142,-85.93764,1000.0016,164.06276,1.0,1.0,1.0,1.0,0.24902274,0.12727475,0.34833023,0.07716494,0.020438839,0.15602826,0.1157842,0.04808236,0.009071967,0.21629977,0.1958486,0.032493744,0.43028092,0.3701994,0.25435373,0.07716494,0.29118553,0.1301978,0.085683234,0.070637845,1.4174675,-0.31598443,0.46979067,0.805265,0.33168468,-0.22752345,-0.008551207,0.59983075,-0.021070084,-0.085670635,0.21971995,0.42964476,1.6549805,0.14770904,0.3332376,0.805265,1.4853983,-0.30612305,-0.13930467,0.7668824
1146,0.48366073,0.3687142,-89.84389,996.09534,160.1565,1.0,1.0,1.0,1.0,0.24902274,0.12727475,0.34833023,0.07716494,0.020438839,0.15602826,0.1157842,0.04808236,0.009071967,0.21629977,0.1958486,0.032493744,0.43028092,0.3701994,0.25435373,0.07716494,0.29118553,0.1301978,0.085683234,0.070637845,1.4174675,-0.31598443,0.46979067,0.805265,0.33168468,-0.22752345,-0.008551207,0.59983075,-0.021070084,-0.085670635,0.21971995,0.42964476,1.6549805,0.14770904,0.3332376,0.805265,1.4853983,-0.30612305,-0.13930467,0.7668824
1147,0.2665044,0.45098945,-85.93764,1000.0016,160.1565,1.0,1.0,1.0,1.0,0.25800487,0.1052183,0.33654463,0.39786655,0.02049006,0.15618323,0.11297626,0.05312468,0.009687601,0.19253594,0.1934292,0.028836088,0.42857164,0.4064035,0.26766002,0.39786655,0.28324583,0.13965902,0.0893899,0.18049464,1.4174675,-0.4163779,0.4489375,1.5291195,0.31738278,-0.2448348,-0.025117954,0.6546784,-0.007944205,-0.15395737,0.20841688,0.3893184,1.637863,0.17048827,0.34947836,1.5291195,1.4580032,-0.2934002,-0.1268167,1.1858463
1148,0.2665044,0.45098945,-85.93764,996.09534,160.1565,1.0,1.0,1.0,1.0,0.25800487,0.1052183,0.33654463,0.39786655,0.02049006,0.15618323,0.11297626,0.05312468,0.009687601,0.19253594,0.1934292,0.028836088,0.42857164,0.4064035,0.26766002,0.39786655,0.28324583,0.13965902,0.0893899,0.18049464,1.4174675,-0.4163779,0.4489375,1.5291195,0.31738278,-0.2448348,-0.025117954,0.6546784,-0.007944205,-0.15395737,0.20841688,0.3893184,1.637863,0.17048827,0.34947836,1.5291195,1.4580032,-0.2934002,-0.1268167,1.1858463
1149,0.2665044,0.45098945,-85.93764,1000.0016,160.1565,1.0,1.0,1.0,1.0,0.25800487,0.1052183,0.33654463,0.39786655,0.02049006,0.15618323,0.11297626,0.05312468,0.009687601,0.19253594,0.1934292,0.028836088,0.42857164,0.4064035,0.26766002,0.39786655,0.28324583,0.13965902,0.0893899,0.18049464,1.4174675,-0.4163779,0.4489375,1.5291195,0.31738278,-0.2448348,-0.025117954,0.6546784,-0.007944205,-0.15395737,0.20841688,0.3893184,1.637863,0.17048827,0.34947836,1.5291195,1.4580032,-0.2934002,-0.1268167,1.1858463
1150,0.27029127,0.42852625,-85.93764,1003.90784,160.1565,1.0,1.0,1.0,1.0,0.26718846,0.105121635,0.3173154,0.37793398,0.020741738,0.15455279,0.115036674,0.0573516,0.010294085,0.16750762,0.19708991,0.022947267,0.42358124,0.42503485,0.27744097,0.37793398,0.2781945,0.14778309,0.09311706,0.16892543,1.4174675,-0.4240478,0.40546533,1.5164967,0.30749494,-0.25666305,-0.03518948,0.6976263,0.0032375236,-0.22170535,0.19863859,0.29981172,1.6175865,0.18268465,0.3471448,1.5164967,1.4349983,-0.27611518,-0.12699655,1.1667758
1151,0.28665763,0.40566087,-85.93764,992.189,164.06276,1.0,1.0,1.0,1.0,0.2761706,0.10390184,0.2827399,0.33666268,0.021104733,0.15480979,0.12214951,0.066146754,0.010748522,0.14942037,0.20986857,0.020259732,0.4165695,0.43763003,0.28716868,0.33666268,0.27540663,0.15423797,0.09807334,0.15087223,1.4174675,-0.43545383,0.32113463,1.4619421,0.30066985,-0.26227865,-0.04336072,0.75525564,0.007638779,-0.27766728,0.19169493,0.24138074,1.5959774,0.18903004,0.3278846,1.4619421,1.4162644,-0.26388577,-0.13870151,1.1133564
1152,0.28665763,0.40566087,-85.93764,1003.90784,160.1565,1.0,1.0,1.0,1.0,0.2761706,0.10390184,0.2827399,0.33666268,0.021104733,0.15480979,0.12214951,0.066146754,0.010748522,0.14942037,0.20986857,0.020259732,0.4165695,0.43763003,0.28716868,0.33666268,0.27540663,0.15423797,0.09807334,0.15087223,1.4174675,-0.43545383,0.32113463,1.4619421,0.30066985,-0.26227865,-0.04336072,0.75525564,0.007638779,-0.27766728,0.19169493,0.24138074,1.5959774,0.18903004,0.3278846,1.4619421,1.4162644,-0.26388577,-0.13870151,1.1133564
1153,0.28665763,0.40566087,-85.93764,992.189,164.06276,1.0,1.0,1.0,1.0,0.2761706,0.10390184,0.2827399,0.33666268,0.021104733,0.15480979,0.12214951,0.066146754,0.010748522,0.14942037,0.20986857,0.020259732,0.4165695,0.43763003,0.28716868,0.33666268,0.27540663,0.15423797,0.09807334,0.15087223,1.4174675,-0.43545383,0.32113463,1.4619421,0.30066985,-0.26227865,-0.04336072,0.75525564,0.007638779,-0.27766728,0.19169493,0.24138074,1.5959774,0.18903004,0.3278846,1.4619421,1.4162644,-0.26388577,-0.13870151,1.1133564
1154,0.28665763,0.40566087,-85.93764,1000.0016,164.06276,1.0,1.0,1.0,1.0,0.2761706,0.10390184,0.2827399,0.33666268,0.021104733,0.15480979,0.12214951,0.066146754,0.010748522,0.14942037,0.20986857,0.020259732,0.4165695,0.43763003,0.28716868,0.33666268,0.27540663,0.15423797,0.09807334,0.15087223,1.4174675,-0.43545383,0.32113463,1.4619421,0.30066985,-0.26227865,-0.04336072,0.75525564,0.007638779,-0.27766728,0.19169493,0.24138074,1.5959774,0.18903004,0.3278846,1.4619421,1.4162644,-0.26388577,-0.13870151,1.1133564
1155,0.26215997,0.3960596,-89.84389,1000.0016,160.1565,1.0,1.0,1.0,1.0,0.25186583,0.10151079,0.23417614,0.33273986,0.022321695,0.15559149,0.13207135,0.06710166,0.011476123,0.13825138,0.22986664,0.020160057,0.43707195,0.44819465,0.2994212,0.33273986,0.2772644,0.15645169,0.10446469,0.15862499,1.3501987,-0.44663844,0.19692028,1.4763322,0.2977567,-0.26116484,-0.051813785,0.7809606,0.008824697,-0.3124812,0.18885358,0.25871915,1.5895824,0.19831601,0.30366015,1.4763322,1.3919237,-0.2587704,-0.15365288,1.154599
1156,0.26215997,0.3960596,-89.84389,1000.0016,160.1565,1.0,1.0,1.0,1.0,0.25186583,0.10151079,0.23417614,0.33273986,0.022321695,0.15559149,0.13207135,0.06710166,0.011476123,0.13825138,0.22986664,0.020160057,0.43707195,0.44819465,0.2994212,0.33273986,0.2772644,0.15645169,0.10446469,0.15862499,1.3501987,-0.44663844,0.19692028,1.4763322,0.2977567,-0.26116484,-0.051813785,0.7809606,0.008824697,-0.3124812,0.18885358,0.25871915,1.5895824,0.19831601,0.30366015,1.4763322,1.3919237,-0.2587704,-0.15365288,1.154599
1157,0.24909368,0.3917838,-89.84389,1000.0016,160.1565,1.0,1.0,1.0,1.0,0.24301323,0.098811276,0.17556365,0.32625344,0.023926932,0.15446566,0.14183985,0.0699796,0.012309262,0.13120809,0.2518655,0.020236647,0.45111656,0.460678,0.31808612,0.32625344,0.269634,0.15483697,0.11264486,0.16874357,1.309458,-0.4495367,0.033633664,1.4791458,0.30271518,-0.25551125,-0.05900267,0.81056213,0.014060139,-0.32638258,0.19036776,0.2717292,1.5781169,0.21905428,0.2917438,1.4791458,1.3546028,-0.25446853,-0.15908957,1.1928179
1158,0.24909368,0.3917838,-89.84389,992.189,164.06276,1.0,1.0,1.0,1.0,0.24301323,0.098811276,0.17556365,0.32625344,0.023926932,0.15446566,0.14183985,0.0699796,0.012309262,0.13120809,0.2518655,0.020236647,0.45111656,0.460678,0.31808612,0.32625344,0.269634,0.15483697,0.11264486,0.16874357,1.309458,-0.4495367,0.033633664,1.4791458,0.30271518,-0.25551125,-0.05900267,0.81056213,0.014060139,-0.32638258,0.19036776,0.2717292,1.5781169,0.21905428,0.2917438,1.4791458,1.3546028,-0.25446853,-0.15908957,1.1928179
1159,0.25387067,0.39580724,-89.84389,1003.90784,160.1565,1.0,1.0,1.0,1.0,0.2618397,0.09467906,0.13555221,0.32625344,0.025891302,0.15039751,0.14562234,0.0699796,0.0131169455,0.12588225,0.26207107,0.020236647,0.44990662,0.4778424,0.33771774,0.32625344,0.24924545,0.1511988,0.11903663,0.16874357,1.3253813,-0.4502648,-0.092638865,1.4791458,0.32049975,-0.2492781,-0.061517462,0.81056213,0.02517856,-0.3265542,0.19367363,0.2717292,1.5604682,0.25276595,0.3038084,1.4791458,1.3039731,-0.24697037,-0.14906485,1.1928179
1160,0.25387067,0.39580724,-89.84389,996.09534,160.1565,1.0,1.0,1.0,1.0,0.2618397,0.09467906,0.13555221,0.32625344,0.025891302,0.15039751,0.14562234,0.0699796,0.0131169455,0.12588225,0.26207107,0.020236647,0.44990662,0.4778424,0.33771774,0.32625344,0.24924545,0.1511988,0.11903663,0.16874357,1.3253813,-0.4502648,-0.092638865,1.4791458,0.32049975,-0.2492781,-0.061517462,0.81056213,0.02517856,-0.3265542,0.19367363,0.2717292,1.5604682,0.25276595,0.3038084,1.4791458,1.3039731,-0.24697037,-0.14906485,1.1928179
1161,0.25387067,0.39580724,-89.84389,996.09534,160.1565,1.0,1.0,1.0,1.0,0.2618397,0.09467906,0.13555221,0.32625344,0.025891302,0.15039751,0.14562234,0.0699796,0.0131169455,0.12588225,0.26207107,0.020236647,0.44990662,0.4778424,0.33771774,0.32625344,0.24924545,0.1511988,0.11903663,0.16874357,1.3253813,-0.4502648,-0.092638865,1.4791458,0.32049975,-0.2492781,-0.061517462,0.81056213,0.02517856,-0.3265542,0.19367363,0.2717292,1.5604682,0.25276595,0.3038084,1.4791458,1.3039731,-0.24697037,-0.14906485,1.1928179
1162,0.259805,0.4015642,-89.84389,1000.0016,164.06276,1.0,1.0,1.0,1.0,0.28501102,0.097358786,0.123295166,0.32625344,0.028970446,0.14297634,0.14317426,0.0699796,0.014183906,0.12004924,0.25686523,0.020236647,0.44362628,0.49218085,0.35479194,0.32625344,0.22820833,0.14743477,0.121873386,0.16874357,1.3451624,-0.41246775,-0.123678215,1.4791458,0.35225588,-0.24557866,-0.058759294,0.81056213,0.042096555,-0.32148346,0.1950811,0.2717292,1.537318,0.29128185,0.3353495,1.4791458,1.2486322,-0.23224296,-0.12871538,1.1928179
1163,0.259805,0.4015642,-89.84389,1000.0016,164.06276,1.0,1.0,1.0,1.0,0.28501102,0.097358786,0.123295166,0.32625344,0.028970446,0.14297634,0.14317426,0.0699796,0.014183906,0.12004924,0.25686523,0.020236647,0.44362628,0.49218085,0.35479194,0.32625344,0.22820833,0.14743477,0.121873386,0.16874357,1.3451624,-0.41246775,-0.123678215,1.4791458,0.35225588,-0.24557866,-0.058759294,0.81056213,0.042096555,-0.32148346,0.1950811,0.2717292,1.537318,0.29128185,0.3353495,1.4791458,1.2486322,-0.23224296,-0.12871538,1.1928179
1164,0.259805,0.4015642,-89.84389,996.09534,160.1565,1.0,1.0,1.0,1.0,0.28501102,0.097358786,0.123295166,0.32625344,0.028970446,0.14297634,0.14317426,0.0699796,0.014183906,0.12004924,0.25686523,0.020236647,0.44362628,0.49218085,0.35479194,0.32625344,0.22820833,0.14743477,0.121873386,0.16874357,1.3451624,-0.41246775,-0.123678215,1.4791458,0.35225588,-0.24557866,-0.058759294,0.81056213,0.042096555,-0.32148346,0.1950811,0.2717292,1.537318,0.29128185,0.3353495,1.4791458,1.2486322,-0.23224296,-0.12871538,1.1928179
1165,0.26687792,0.40738654,-89.84389,1000.0016,160.1565,1.0,1.0,1.0,1.0,0.30898026,0.11359905,0.13799396,0.32625344,0.032404646,0.13337466,0.136863,0.0699796,0.015181923,0.11320924,0.24119976,0.020236647,0.43003303,0.49706075,0.3633089,0.32625344,0.21340014,0.14275633,0.12063437,0.16874357,1.3687388,-0.3156175,-0.049756266,1.4791458,0.3894153,-0.24591887,-0.05333032,0.81056213,0.060134806,-0.3171103,0.1927605,0.2717292,1.5123098,0.32541728,0.37065968,1.4791458,1.2080027,-0.21639684,-0.10814533,1.1928179
1166,0.2694352,0.4101343,-89.84389,992.189,160.1565,1.0,1.0,1.0,1.0,0.3196324,0.121893555,0.14739451,0.32625344,0.035250943,0.12624757,0.13300851,0.0699796,0.015946284,0.108476385,0.23018415,0.020236647,0.41326606,0.5021368,0.37005308,0.32625344,0.21590431,0.14124566,0.119359754,0.16874357,1.3772631,-0.26657325,-0.0037782239,1.4791458,0.419783,-0.25133097,-0.048380066,0.81056213,0.07527177,-0.31721878,0.18981592,0.2717292,1.488842,0.3482681,0.39600453,1.4791458,1.2068735,-0.20257886,-0.0954016,1.1928179
1167,0.2694352,0.4101343,-85.93764,1003.90784,160.1565,1.0,1.0,1.0,1.0,0.3196324,0.121893555,0.14739451,0.32625344,0.035250943,0.12624757,0.13300851,0.0699796,0.015946284,0.108476385,0.23018415,0.020236647,0.41326606,0.5021368,0.37005308,0.32625344,0.21590431,0.14124566,0.119359754,0.16874357,1.3772631,-0.26657325,-0.0037782239,1.4791458,0.419783,-0.25133097,-0.048380066,0.81056213,0.07527177,-0.31721878,0.18981592,0.2717292,1.488842,0.3482681,0.39600453,1.4791458,1.2068735,-0.20257886,-0.0954016,1.1928179
1168,0.2694352,0.4101343,-89.84389,996.09534,160.1565,1.0,1.0,1.0,1.0,0.3196324,0.121893555,0.14739451,0.32625344,0.035250943,0.12624757,0.13300851,0.0699796,0.015946284,0.108476385,0.23018415,0.020236647,0.41326606,0.5021368,0.37005308,0.32625344,0.21590431,0.14124566,0.119359754,0.16874357,1.3772631,-0.26657325,-0.0037782239,1.4791458,0.419783,-0.25133097,-0.048380066,0.81056213,0.07527177,-0.31721878,0.18981592,0.2717292,1.488842,0.3482681,0.39600453,1.4791458,1.2068735,-0.20257886,-0.0954016,1.1928179
1169,0.2694352,0.4101343,-89.84389,996.09534,160.1565,1.0,1.0,1.0,1.0,0.3196324,0.121893555,0.14739451,0.32625344,0.035250943,0.12624757,0.13300851,0.0699796,0.015946284,0.108476385,0.23018415,0.020236647,0.41326606,0.5021368,0.37005308,0.32625344,0.21590431,0.14124566,0.119359754,0.16874357,1.3772631,-0.26657325,-0.0037782239,1.4791458,0.419783,-0.25133097,-0.048380066,0.81056213,0.07527177,-0.31721878,0.18981592,0.2717292,1.488842,0.3482681,0.39600453,1.4791458,1.2068735,-0.20257886,-0.0954016,1.1928179
1170,0.2694352,0.40970922,-89.84389,1003.90784,160.1565,1.0,1.0,1.0,1.0,0.33329368,0.12084288,0.1517501,0.32625344,0.03669906,0.1223461,0.13221005,0.0699796,0.016670125,0.10577712,0.22746193,0.020236647,0.39801288,0.50694877,0.3702926,0.32625344,0.21532427,0.14408512,0.1182853,0.16874357,1.3772631,-0.26657325,0.016928896,1.4791458,0.41909096,-0.26120415,-0.042935647,0.81056213,0.07637489,-0.32440257,0.19270863,0.2717292,1.4543332,0.35616976,0.40434492,1.4791458,1.187529,-0.19017516,-0.09126934,1.1928179
1171,0.2694352,0.40970922,-89.84389,1003.90784,160.1565,1.0,1.0,1.0,1.0,0.33329368,0.12084288,0.1517501,0.32625344,0.03669906,0.1223461,0.13221005,0.0699796,0.016670125,0.10577712,0.22746193,0.020236647,0.39801288,0.50694877,0.3702926,0.32625344,0.21532427,0.14408512,0.1182853,0.16874357,1.3772631,-0.26657325,0.016928896,1.4791458,0.41909096,-0.26120415,-0.042935647,0.81056213,0.07637489,-0.32440257,0.19270863,0.2717292,1.4543332,0.35616976,0.40434492,1.4791458,1.187529,-0.19017516,-0.09126934,1.1928179
