id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
8035,0.3,0.048974,85.93764,1003.90784,85.93764,1.0,1.0,1.0,1.0,NaN,0.07163773,0.11860834,NaN,NaN,0.12460008,0.34643087,NaN,NaN,0.15499857,0.3238349,NaN,NaN,0.5986083,0.1457095,NaN,NaN,0.050155304,0.06541641,NaN,0.0,-0.2664997,-0.13758963,0.0,0.0,-0.026123166,0.3279117,0.0,0.0,0.068686195,0.2986188,0.0,0.0,0.65550125,-0.04821699,0.0,0.0,-0.42132464,-0.39601815,0.0
8036,0.3,0.04213355,89.84389,1003.90784,85.93764,1.0,1.0,1.0,1.0,NaN,0.046501856,0.12191283,NaN,NaN,0.08823363,0.3245192,NaN,NaN,0.11351126,0.29256725,NaN,NaN,0.7093702,0.19151956,NaN,NaN,0.042383064,0.069481164,NaN,0.0,-0.32642284,-0.1253205,0.0,0.0,-0.048259,0.2998705,0.0,0.0,0.0611458,0.2548558,0.0,0.0,0.8569798,0.070843235,0.0,0.0,-0.36670077,-0.3695028,0.0
8037,0.3,0.04213355,93.750145,1003.90784,85.93764,1.0,1.0,1.0,1.0,NaN,0.046501856,0.12191283,NaN,NaN,0.08823363,0.3245192,NaN,NaN,0.11351126,0.29256725,NaN,NaN,0.7093702,0.19151956,NaN,NaN,0.042383064,0.069481164,NaN,0.0,-0.32642284,-0.1253205,0.0,0.0,-0.048259,0.2998705,0.0,0.0,0.0611458,0.2548558,0.0,0.0,0.8569798,0.070843235,0.0,0.0,-0.36670077,-0.3695028,0.0
8038,0.3,0.04213355,93.750145,1007.8141,89.84389,1.0,1.0,1.0,1.0,NaN,0.046501856,0.12191283,NaN,NaN,0.08823363,0.3245192,NaN,NaN,0.11351126,0.29256725,NaN,NaN,0.7093702,0.19151956,NaN,NaN,0.042383064,0.069481164,NaN,0.0,-0.32642284,-0.1253205,0.0,0.0,-0.048259,0.2998705,0.0,0.0,0.0611458,0.2548558,0.0,0.0,0.8569798,0.070843235,0.0,0.0,-0.36670077,-0.3695028,0.0
8039,0.3,0.04213355,93.750145,1003.90784,89.84389,1.0,1.0,1.0,1.0,NaN,0.03563682,0.12606376,NaN,NaN,0.062357996,0.293488,NaN,NaN,0.08337044,0.25330883,NaN,NaN,0.7803182,0.25123718,NaN,NaN,0.038316518,0.07590222,NaN,0.0,-0.32642284,-0.1253205,0.0,0.0,-0.048259,0.2998705,0.0,0.0,0.0611458,0.2548558,0.0,0.0,0.8569798,0.070843235,0.0,0.0,-0.36670077,-0.3695028,0.0
8040,0.3,0.033501223,82.03138,1007.8141,93.750145,1.0,1.0,1.0,1.0,NaN,0.03563682,0.12606376,NaN,NaN,0.062357996,0.293488,NaN,NaN,0.08337044,0.25330883,NaN,NaN,0.7803182,0.25123718,NaN,NaN,0.038316518,0.07590222,NaN,0.0,-0.31567407,-0.10523997,0.0,0.0,-0.072680846,0.26176012,0.0,0.0,0.053439096,0.19782008,0.0,0.0,1.0246987,0.1942537,0.0,0.0,-0.28418696,-0.32557574,0.0
8041,0.3,0.025015837,78.12512,1011.72034,89.84389,1.0,1.0,1.0,1.0,NaN,0.032656886,0.12959203,NaN,NaN,0.04741639,0.26073924,NaN,NaN,0.0657706,0.2196089,NaN,NaN,0.8185576,0.30824232,NaN,NaN,0.03559848,0.08181752,NaN,0.0,-0.25564778,-0.0898622,0.0,0.0,-0.09369407,0.21376587,0.0,0.0,0.048409313,0.13920946,0.0,0.0,1.1434268,0.28645176,0.0,0.0,-0.2181911,-0.28959414,0.0
8042,0.3,0.025015837,78.12512,1000.0016,85.93764,1.0,1.0,1.0,1.0,NaN,0.032656886,0.12959203,NaN,NaN,0.04741639,0.26073924,NaN,NaN,0.0657706,0.2196089,NaN,NaN,0.8185576,0.30824232,NaN,NaN,0.03559848,0.08181752,NaN,0.0,-0.25564778,-0.0898622,0.0,0.0,-0.09369407,0.21376587,0.0,0.0,0.048409313,0.13920946,0.0,0.0,1.1434268,0.28645176,0.0,0.0,-0.2181911,-0.28959414,0.0
8043,0.3,0.018886222,74.218864,1007.8141,85.93764,1.0,1.0,1.0,1.0,NaN,0.032610845,0.1310628,NaN,NaN,0.03969099,0.23192717,NaN,NaN,0.05680898,0.19937168,NaN,NaN,0.836088,0.34987617,NaN,NaN,0.034801167,0.08776217,NaN,0.0,-0.19293666,-0.08865559,0.0,0.0,-0.10760679,0.15921658,0.0,0.0,0.04811825,0.09352841,0.0,0.0,1.2159532,0.33777928,0.0,0.0,-0.16470492,-0.26282772,0.0
8044,0.3,0.018886222,85.93764,1003.90784,85.93764,1.0,1.0,1.0,1.0,NaN,0.032610845,0.1310628,NaN,NaN,0.03969099,0.23192717,NaN,NaN,0.05680898,0.19937168,NaN,NaN,0.836088,0.34987617,NaN,NaN,0.034801167,0.08776217,NaN,0.0,-0.19293666,-0.08865559,0.0,0.0,-0.10760679,0.15921658,0.0,0.0,0.04811825,0.09352841,0.0,0.0,1.2159532,0.33777928,0.0,0.0,-0.16470492,-0.26282772,0.0
