id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
6455,0.23931475,0.09177079,97.6564,992.189,175.78152,1.0,1.0,1.0,1.0,0.190259,0.02138254,0.01973738,0.21568798,0.10056961,0.0053921575,0.031798407,0.13060738,0.074770235,0.0028643128,0.01872423,0.03396064,0.4969704,0.8577749,0.84156084,0.21568798,0.13743077,0.112586066,0.088179134,0.15007928,0.745642,0.10501477,-0.69947934,0.9479262,0.4687636,-0.49328196,-0.49236345,0.73006797,0.34002554,-0.7680241,-0.7223649,0.14507614,1.1626273,1.7083288,0.9303167,0.9479262,0.6043808,0.8264401,-0.049402986,0.790421
6456,0.23931475,0.09177079,101.56266,992.189,171.87527,1.0,1.0,1.0,1.0,0.190259,0.02138254,0.01973738,0.21568798,0.10056961,0.0053921575,0.031798407,0.13060738,0.074770235,0.0028643128,0.01872423,0.03396064,0.4969704,0.8577749,0.84156084,0.21568798,0.13743077,0.112586066,0.088179134,0.15007928,0.745642,0.10501477,-0.69947934,0.9479262,0.4687636,-0.49328196,-0.49236345,0.73006797,0.34002554,-0.7680241,-0.7223649,0.14507614,1.1626273,1.7083288,0.9303167,0.9479262,0.6043808,0.8264401,-0.049402986,0.790421
6457,0.23931475,0.09177079,105.46892,992.189,171.87527,1.0,1.0,1.0,1.0,0.190259,0.02138254,0.01973738,0.21568798,0.10056961,0.0053921575,0.031798407,0.13060738,0.074770235,0.0028643128,0.01872423,0.03396064,0.4969704,0.8577749,0.84156084,0.21568798,0.13743077,0.112586066,0.088179134,0.15007928,0.745642,0.10501477,-0.69947934,0.9479262,0.4687636,-0.49328196,-0.49236345,0.73006797,0.34002554,-0.7680241,-0.7223649,0.14507614,1.1626273,1.7083288,0.9303167,0.9479262,0.6043808,0.8264401,-0.049402986,0.790421
6458,0.23931475,0.08973008,101.56266,988.2828,171.87527,1.0,1.0,1.0,1.0,0.1888031,0.027128402,0.030269023,0.22135563,0.09543903,0.0061774696,0.045390338,0.13327709,0.07012129,0.0036044612,0.028337555,0.03685263,0.5126967,0.8402117,0.79803735,0.22135563,0.13293989,0.122878,0.09796573,0.14661686,0.745642,0.093753606,-0.6939133,0.9479262,0.44935888,-0.54886,-0.5179482,0.72759116,0.31548277,-0.7828303,-0.72254926,0.16930412,1.1794933,1.5847181,0.7271116,0.9479262,0.5932882,0.74980354,-0.18383747,0.76901954
6459,0.23931475,0.08973008,101.56266,988.2828,171.87527,1.0,1.0,1.0,1.0,0.1888031,0.027128402,0.030269023,0.22135563,0.09543903,0.0061774696,0.045390338,0.13327709,0.07012129,0.0036044612,0.028337555,0.03685263,0.5126967,0.8402117,0.79803735,0.22135563,0.13293989,0.122878,0.09796573,0.14661686,0.745642,0.093753606,-0.6939133,0.9479262,0.44935888,-0.54886,-0.5179482,0.72759116,0.31548277,-0.7828303,-0.72254926,0.16930412,1.1794933,1.5847181,0.7271116,0.9479262,0.5932882,0.74980354,-0.18383747,0.76901954
6460,0.23931475,0.08990245,97.6564,996.09534,171.87527,1.0,1.0,1.0,1.0,0.18064043,0.033960197,0.04456321,0.2191974,0.088138856,0.00727075,0.06421814,0.13241267,0.0637081,0.0044700154,0.043134797,0.03815922,0.53761625,0.81580865,0.7292631,0.2191974,0.12989637,0.13849038,0.118820705,0.14366648,0.745642,0.095218636,-0.70142066,0.9479262,0.43399447,-0.5741724,-0.54273945,0.72902036,0.29302168,-0.78544253,-0.7155694,0.18869032,1.2192994,1.4758368,0.5124871,0.9479262,0.6024241,0.70566803,-0.27550504,0.7644462
6461,0.23931475,0.08990245,93.750145,988.2828,171.87527,1.0,1.0,1.0,1.0,0.18064043,0.033960197,0.04456321,0.2191974,0.088138856,0.00727075,0.06421814,0.13241267,0.0637081,0.0044700154,0.043134797,0.03815922,0.53761625,0.81580865,0.7292631,0.2191974,0.12989637,0.13849038,0.118820705,0.14366648,0.745642,0.095218636,-0.70142066,0.9479262,0.43399447,-0.5741724,-0.54273945,0.72902036,0.29302168,-0.78544253,-0.7155694,0.18869032,1.2192994,1.4758368,0.5124871,0.9479262,0.6024241,0.70566803,-0.27550504,0.7644462
6462,0.23931475,0.08990245,97.6564,996.09534,175.78152,1.0,1.0,1.0,1.0,0.18064043,0.033960197,0.04456321,0.2191974,0.088138856,0.00727075,0.06421814,0.13241267,0.0637081,0.0044700154,0.043134797,0.03815922,0.53761625,0.81580865,0.7292631,0.2191974,0.12989637,0.13849038,0.118820705,0.14366648,0.745642,0.095218636,-0.70142066,0.9479262,0.43399447,-0.5741724,-0.54273945,0.72902036,0.29302168,-0.78544253,-0.7155694,0.18869032,1.2192994,1.4758368,0.5124871,0.9479262,0.6024241,0.70566803,-0.27550504,0.7644462
6463,0.23931475,0.08990245,101.56266,992.189,179.68777,1.0,1.0,1.0,1.0,0.18064043,0.033960197,0.04456321,0.2191974,0.088138856,0.00727075,0.06421814,0.13241267,0.0637081,0.0044700154,0.043134797,0.03815922,0.53761625,0.81580865,0.7292631,0.2191974,0.12989637,0.13849038,0.118820705,0.14366648,0.745642,0.095218636,-0.70142066,0.9479262,0.43399447,-0.5741724,-0.54273945,0.72902036,0.29302168,-0.78544253,-0.7155694,0.18869032,1.2192994,1.4758368,0.5124871,0.9479262,0.6024241,0.70566803,-0.27550504,0.7644462
6464,0.24693938,0.094673954,101.56266,992.189,175.78152,1.0,1.0,1.0,1.0,0.17495817,0.037692294,0.0524996,0.20756073,0.07832238,0.007989201,0.07831136,0.12673748,0.05552662,0.005012762,0.05680588,0.037156094,0.5633576,0.80124235,0.6702392,0.20756073,0.12783521,0.14806336,0.14214393,0.1397061,0.77261066,0.09347887,-0.74011797,0.94947946,0.4235623,-0.5802704,-0.5664492,0.7352393,0.27417764,-0.78269666,-0.7058807,0.2023643,1.2804606,1.4209902,0.3659559,0.94947946,0.6363269,0.6876739,-0.3075456,0.7775497
6465,0.24693938,0.094673954,101.56266,988.2828,175.78152,1.0,1.0,1.0,1.0,0.17495817,0.037692294,0.0524996,0.20756073,0.07832238,0.007989201,0.07831136,0.12673748,0.05552662,0.005012762,0.05680588,0.037156094,0.5633576,0.80124235,0.6702392,0.20756073,0.12783521,0.14806336,0.14214393,0.1397061,0.77261066,0.09347887,-0.74011797,0.94947946,0.4235623,-0.5802704,-0.5664492,0.7352393,0.27417764,-0.78269666,-0.7058807,0.2023643,1.2804606,1.4209902,0.3659559,0.94947946,0.6363269,0.6876739,-0.3075456,0.7775497
6466,0.24886672,0.103269234,105.46892,996.09534,179.68777,1.0,1.0,1.0,1.0,0.16807486,0.035878573,0.05159583,0.20288184,0.06088376,0.007930469,0.07676888,0.11536588,0.04364892,0.004963737,0.059671625,0.03380272,0.59868675,0.81018037,0.6623371,0.20288184,0.12870571,0.14104682,0.14962657,0.1311335,0.81870943,0.080985576,-0.76249886,0.98915374,0.37770814,-0.57455075,-0.5899282,0.7439879,0.23318017,-0.7780408,-0.6993455,0.2108622,1.3704063,1.4347321,0.34596565,0.98915374,0.70280445,0.67551374,-0.3001047,0.7996242
6467,0.24886672,0.103269234,105.46892,996.09534,175.78152,1.0,1.0,1.0,1.0,0.16807486,0.035878573,0.05159583,0.20288184,0.06088376,0.007930469,0.07676888,0.11536588,0.04364892,0.004963737,0.059671625,0.03380272,0.59868675,0.81018037,0.6623371,0.20288184,0.12870571,0.14104682,0.14962657,0.1311335,0.81870943,0.080985576,-0.76249886,0.98915374,0.37770814,-0.57455075,-0.5899282,0.7439879,0.23318017,-0.7780408,-0.6993455,0.2108622,1.3704063,1.4347321,0.34596565,0.98915374,0.70280445,0.67551374,-0.3001047,0.7996242
6468,0.24480528,0.11103245,101.56266,988.2828,175.78152,1.0,1.0,1.0,1.0,0.15922303,0.031473584,0.044956252,0.19625084,0.047639024,0.007347601,0.065918066,0.09447742,0.034605518,0.004529067,0.05395142,0.029385436,0.6300175,0.8331515,0.69027793,0.19625084,0.12851487,0.12349825,0.14489633,0.12016477,0.8569891,0.06603721,-0.7789505,1.0409715,0.33294603,-0.5657634,-0.6127361,0.72348803,0.19412853,-0.77590024,-0.6997377,0.2162921,1.4543358,1.488815,0.4072834,1.0409715,0.7639366,0.65975183,-0.2706832,0.82793707
6469,0.24480528,0.11103245,101.56266,992.189,175.78152,1.0,1.0,1.0,1.0,0.15922303,0.031473584,0.044956252,0.19625084,0.047639024,0.007347601,0.065918066,0.09447742,0.034605518,0.004529067,0.05395142,0.029385436,0.6300175,0.8331515,0.69027793,0.19625084,0.12851487,0.12349825,0.14489633,0.12016477,0.8569891,0.06603721,-0.7789505,1.0409715,0.33294603,-0.5657634,-0.6127361,0.72348803,0.19412853,-0.77590024,-0.6997377,0.2162921,1.4543358,1.488815,0.4072834,1.0409715,0.7639366,0.65975183,-0.2706832,0.82793707
6470,0.24480528,0.11103245,101.56266,992.189,175.78152,1.0,1.0,1.0,1.0,0.15922303,0.031473584,0.044956252,0.19625084,0.047639024,0.007347601,0.065918066,0.09447742,0.034605518,0.004529067,0.05395142,0.029385436,0.6300175,0.8331515,0.69027793,0.19625084,0.12851487,0.12349825,0.14489633,0.12016477,0.8569891,0.06603721,-0.7789505,1.0409715,0.33294603,-0.5657634,-0.6127361,0.72348803,0.19412853,-0.77590024,-0.6997377,0.2162921,1.4543358,1.488815,0.4072834,1.0409715,0.7639366,0.65975183,-0.2706832,0.82793707
6471,0.25247863,0.10927262,105.46892,992.189,175.78152,1.0,1.0,1.0,1.0,0.15183538,0.026362387,0.039090887,0.17524247,0.03885128,0.006703078,0.054704286,0.082057804,0.028341955,0.0040857494,0.045946654,0.02650447,0.65432036,0.8573436,0.7245896,0.17524247,0.12665106,0.105505146,0.13566859,0.11004864,0.88408846,0.033900224,-0.7787207,1.0424931,0.2921208,-0.56081027,-0.6327749,0.7129736,0.15514529,-0.7758128,-0.70854235,0.22217281,1.5185059,1.5460705,0.48929584,1.0424931,0.8053243,0.6361891,-0.23831691,0.84043837
6472,0.25247863,0.10927262,101.56266,992.189,171.87527,1.0,1.0,1.0,1.0,0.15183538,0.026362387,0.039090887,0.17524247,0.03885128,0.006703078,0.054704286,0.082057804,0.028341955,0.0040857494,0.045946654,0.02650447,0.65432036,0.8573436,0.7245896,0.17524247,0.12665106,0.105505146,0.13566859,0.11004864,0.88408846,0.033900224,-0.7787207,1.0424931,0.2921208,-0.56081027,-0.6327749,0.7129736,0.15514529,-0.7758128,-0.70854235,0.22217281,1.5185059,1.5460705,0.48929584,1.0424931,0.8053243,0.6361891,-0.23831691,0.84043837
