id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
1142,0.5024815,-0.42715716,-343.75055,941.4077,171.87527,4.0,1.0,1.0,4.0,NaN,0.065054454,0.021891305,0.5257422,NaN,0.12213001,0.012670193,0.23464864,NaN,0.15679066,0.0062534376,0.03797842,NaN,0.62302226,0.89116794,0.5257422,NaN,0.033002615,0.068017155,0.12409723,0.0,-0.3773743,-0.17308216,-0.6749383,0.0,-0.10382896,-0.41057062,-1.0252931,0.0,0.004668831,-0.717235,-1.8161743,0.0,0.6038522,1.4366057,-0.6749383,0.0,-0.672103,0.31926462,-1.3019491
1143,0.5024815,-0.42910486,-347.6568,933.5952,171.87527,4.0,1.0,1.0,4.0,NaN,0.063696794,0.022276804,0.5257422,NaN,0.1251734,0.012708277,0.23464864,NaN,0.15881217,0.0062673413,0.03797842,NaN,0.6194466,0.88993484,0.5257422,NaN,0.032871056,0.06881272,0.12409723,0.0,-0.4000885,-0.17308216,-0.6749383,0.0,-0.106694,-0.41684836,-1.0252931,0.0,-0.0033222854,-0.7238517,-1.8161743,0.0,0.5877978,1.4284232,-0.6749383,0.0,-0.68739235,0.31673366,-1.3019491
1144,0.5024815,-0.42910486,-351.56305,941.4077,175.78152,4.0,1.0,1.0,4.0,NaN,0.063696794,0.022276804,0.5257422,NaN,0.1251734,0.012708277,0.23464864,NaN,0.15881217,0.0062673413,0.03797842,NaN,0.6194466,0.88993484,0.5257422,NaN,0.032871056,0.06881272,0.12409723,0.0,-0.4000885,-0.17308216,-0.6749383,0.0,-0.106694,-0.41684836,-1.0252931,0.0,-0.0033222854,-0.7238517,-1.8161743,0.0,0.5877978,1.4284232,-0.6749383,0.0,-0.68739235,0.31673366,-1.3019491
1145,0.5024815,-0.43256384,-359.37555,941.4077,175.78152,4.0,1.0,1.0,4.0,NaN,0.06645019,0.02291872,0.5257422,NaN,0.13027161,0.012602616,0.23464864,NaN,0.161947,0.006346803,0.03797842,NaN,0.6090105,0.88771784,0.5257422,NaN,0.03232067,0.07041399,0.12409723,0.0,-0.40927538,-0.17308216,-0.6749383,0.0,-0.11692187,-0.43281183,-1.0252931,0.0,-0.022398774,-0.7307175,-1.8161743,0.0,0.55285317,1.4150025,-0.6749383,0.0,-0.7222913,0.31438646,-1.3019491
1146,0.5024815,-0.43256384,-363.28183,933.5952,175.78152,4.0,1.0,1.0,4.0,NaN,0.06645019,0.02291872,0.5257422,NaN,0.13027161,0.012602616,0.23464864,NaN,0.161947,0.006346803,0.03797842,NaN,0.6090105,0.88771784,0.5257422,NaN,0.03232067,0.07041399,0.12409723,0.0,-0.40927538,-0.17308216,-0.6749383,0.0,-0.11692187,-0.43281183,-1.0252931,0.0,-0.022398774,-0.7307175,-1.8161743,0.0,0.55285317,1.4150025,-0.6749383,0.0,-0.7222913,0.31438646,-1.3019491
1147,0.5024815,-0.43687007,-371.09433,929.68896,171.87527,4.0,1.0,1.0,4.0,NaN,0.0734412,0.023650702,0.5257422,NaN,0.13939078,0.012218253,0.23464864,NaN,0.16883512,0.0064456332,0.03797842,NaN,0.58640003,0.8851906,0.5257422,NaN,0.031932853,0.07249483,0.12409723,0.0,-0.40927538,-0.17308216,-0.6749383,0.0,-0.13098107,-0.45991707,-1.0252931,0.0,-0.04775233,-0.7376606,-1.8161743,0.0,0.49297887,1.4001106,-0.6749383,0.0,-0.7709774,0.3133808,-1.3019491
1148,0.5024815,-0.43687007,-371.09433,933.5952,171.87527,4.0,1.0,1.0,4.0,NaN,0.0734412,0.023650702,0.5257422,NaN,0.13939078,0.012218253,0.23464864,NaN,0.16883512,0.0064456332,0.03797842,NaN,0.58640003,0.8851906,0.5257422,NaN,0.031932853,0.07249483,0.12409723,0.0,-0.40927538,-0.17308216,-0.6749383,0.0,-0.13098107,-0.45991707,-1.0252931,0.0,-0.04775233,-0.7376606,-1.8161743,0.0,0.49297887,1.4001106,-0.6749383,0.0,-0.7709774,0.3133808,-1.3019491
1149,0.5024815,-0.43687007,-371.09433,933.5952,171.87527,4.0,1.0,1.0,4.0,NaN,0.0734412,0.023650702,0.5257422,NaN,0.13939078,0.012218253,0.23464864,NaN,0.16883512,0.0064456332,0.03797842,NaN,0.58640003,0.8851906,0.5257422,NaN,0.031932853,0.07249483,0.12409723,0.0,-0.40927538,-0.17308216,-0.6749383,0.0,-0.13098107,-0.45991707,-1.0252931,0.0,-0.04775233,-0.7376606,-1.8161743,0.0,0.49297887,1.4001106,-0.6749383,0.0,-0.7709774,0.3133808,-1.3019491
1150,0.5024815,-0.43687007,-378.90683,933.5952,175.78152,4.0,1.0,1.0,4.0,NaN,0.0734412,0.023650702,0.5257422,NaN,0.13939078,0.012218253,0.23464864,NaN,0.16883512,0.0064456332,0.03797842,NaN,0.58640003,0.8851906,0.5257422,NaN,0.031932853,0.07249483,0.12409723,0.0,-0.40927538,-0.17308216,-0.6749383,0.0,-0.13098107,-0.45991707,-1.0252931,0.0,-0.04775233,-0.7376606,-1.8161743,0.0,0.49297887,1.4001106,-0.6749383,0.0,-0.7709774,0.3133808,-1.3019491
1151,0.5024815,-0.44106403,-371.09433,933.5952,179.68777,4.0,1.0,1.0,4.0,NaN,0.08305288,0.024276156,0.5257422,NaN,0.15442602,0.011498798,0.23464864,NaN,0.1816322,0.0065365927,0.03797842,NaN,0.5482706,0.88394123,0.5257422,NaN,0.032618307,0.07374721,0.12409723,0.0,-0.41379476,-0.17308216,-0.6749383,0.0,-0.14442895,-0.49760967,-1.0252931,0.0,-0.07395659,-0.7429107,-1.8161743,0.0,0.4058455,1.3881613,-0.6749383,0.0,-0.819688,0.30948353,-1.3019491
