id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
1694,0.5024815,-0.51194805,-234.37537,976.564,183.59404,4.0,1.0,1.0,1.0,NaN,0.16182984,0.06276978,0.5257422,NaN,0.07647063,0.02477737,0.23464864,NaN,0.12281245,0.013278413,0.03797842,NaN,0.5414245,0.84974015,0.5257422,NaN,0.09746255,0.049434315,0.12409723,0.0,-0.5001579,-0.05391907,-0.6749383,0.0,-0.82572186,-0.45761445,-1.0252931,0.0,-0.61997414,-0.7285235,-1.8161743,0.0,0.024321396,1.0776165,-0.6749383,0.0,-0.72037876,-0.15764114,-1.3019491
1695,0.5024815,-0.51194805,-226.56285,980.4703,183.59404,4.0,1.0,1.0,1.0,NaN,0.16182984,0.06276978,0.5257422,NaN,0.07647063,0.02477737,0.23464864,NaN,0.12281245,0.013278413,0.03797842,NaN,0.5414245,0.84974015,0.5257422,NaN,0.09746255,0.049434315,0.12409723,0.0,-0.5001579,-0.05391907,-0.6749383,0.0,-0.82572186,-0.45761445,-1.0252931,0.0,-0.61997414,-0.7285235,-1.8161743,0.0,0.024321396,1.0776165,-0.6749383,0.0,-0.72037876,-0.15764114,-1.3019491
1696,0.5024815,-0.50353783,-230.46912,972.6578,179.68777,4.0,1.0,1.0,1.0,NaN,0.15898544,0.060498655,0.5257422,NaN,0.07836416,0.025423193,0.23464864,NaN,0.13146143,0.013581899,0.03797842,NaN,0.5181389,0.8501425,0.5257422,NaN,0.1130501,0.050353758,0.12409723,0.0,-0.5001579,-0.05391907,-0.6749383,0.0,-0.8073977,-0.43043467,-1.0252931,0.0,-0.5827169,-0.70270425,-1.8161743,0.0,0.0129309315,1.093827,-0.6749383,0.0,-0.64824426,-0.1336329,-1.3019491
1697,0.5024815,-0.50353783,-230.46912,972.6578,179.68777,4.0,1.0,1.0,1.0,NaN,0.15898544,0.060498655,0.5257422,NaN,0.07836416,0.025423193,0.23464864,NaN,0.13146143,0.013581899,0.03797842,NaN,0.5181389,0.8501425,0.5257422,NaN,0.1130501,0.050353758,0.12409723,0.0,-0.5001579,-0.05391907,-0.6749383,0.0,-0.8073977,-0.43043467,-1.0252931,0.0,-0.5827169,-0.70270425,-1.8161743,0.0,0.0129309315,1.093827,-0.6749383,0.0,-0.64824426,-0.1336329,-1.3019491
1698,0.5024815,-0.49521905,-230.46912,972.6578,183.59404,4.0,1.0,1.0,1.0,NaN,0.15291303,0.062116977,0.5257422,NaN,0.08225454,0.026234781,0.23464864,NaN,0.14088811,0.014084796,0.03797842,NaN,0.49071363,0.8444308,0.5257422,NaN,0.1332307,0.05313263,0.12409723,0.0,-0.50935954,-0.0336409,-0.6749383,0.0,-0.77864426,-0.40797377,-1.0252931,0.0,-0.54492974,-0.67810065,-1.8161743,0.0,-0.00297598,1.0997128,-0.6749383,0.0,-0.56919974,-0.10148991,-1.3019491
1699,0.5024815,-0.49521905,-226.56285,972.6578,183.59404,4.0,1.0,1.0,1.0,NaN,0.15291303,0.062116977,0.5257422,NaN,0.08225454,0.026234781,0.23464864,NaN,0.14088811,0.014084796,0.03797842,NaN,0.49071363,0.8444308,0.5257422,NaN,0.1332307,0.05313263,0.12409723,0.0,-0.50935954,-0.0336409,-0.6749383,0.0,-0.77864426,-0.40797377,-1.0252931,0.0,-0.54492974,-0.67810065,-1.8161743,0.0,-0.00297598,1.0997128,-0.6749383,0.0,-0.56919974,-0.10148991,-1.3019491
1700,0.5024815,-0.49521905,-230.46912,972.6578,179.68777,4.0,1.0,1.0,1.0,NaN,0.15291303,0.062116977,0.5257422,NaN,0.08225454,0.026234781,0.23464864,NaN,0.14088811,0.014084796,0.03797842,NaN,0.49071363,0.8444308,0.5257422,NaN,0.1332307,0.05313263,0.12409723,0.0,-0.50935954,-0.0336409,-0.6749383,0.0,-0.77864426,-0.40797377,-1.0252931,0.0,-0.54492974,-0.67810065,-1.8161743,0.0,-0.00297598,1.0997128,-0.6749383,0.0,-0.56919974,-0.10148991,-1.3019491
1701,0.5024815,-0.48678166,-226.56285,976.564,183.59404,4.0,1.0,1.0,1.0,NaN,0.14817443,0.065005966,0.5257422,NaN,0.08680607,0.027596818,0.23464864,NaN,0.14805198,0.014868359,0.03797842,NaN,0.4638725,0.8350979,0.5257422,NaN,0.15309504,0.057430923,0.12409723,0.0,-0.5088698,-0.009830371,-0.6749383,0.0,-0.74109304,-0.3819246,-1.0252931,0.0,-0.5092289,-0.65052056,-1.8161743,0.0,-0.013244503,1.0989538,-0.6749383,0.0,-0.494682,-0.0636378,-1.3019491
1702,0.5024815,-0.48678166,-226.56285,976.564,183.59404,4.0,1.0,1.0,1.0,NaN,0.14817443,0.065005966,0.5257422,NaN,0.08680607,0.027596818,0.23464864,NaN,0.14805198,0.014868359,0.03797842,NaN,0.4638725,0.8350979,0.5257422,NaN,0.15309504,0.057430923,0.12409723,0.0,-0.5088698,-0.009830371,-0.6749383,0.0,-0.74109304,-0.3819246,-1.0252931,0.0,-0.5092289,-0.65052056,-1.8161743,0.0,-0.013244503,1.0989538,-0.6749383,0.0,-0.494682,-0.0636378,-1.3019491
1703,0.5024815,-0.47776315,-230.46912,972.6578,183.59404,4.0,1.0,1.0,1.0,NaN,0.13824995,0.06701171,0.5257422,NaN,0.0919625,0.029773448,0.23464864,NaN,0.1542618,0.016037764,0.03797842,NaN,0.44640675,0.8246015,0.5257422,NaN,0.169119,0.062575586,0.12409723,0.0,-0.52177036,0.003073178,-0.6749383,0.0,-0.6988245,-0.34924835,-1.0252931,0.0,-0.47417694,-0.6179337,-1.8161743,0.0,-0.012704571,1.0931666,-0.6749383,0.0,-0.4342429,-0.026672576,-1.3019491
1704,0.5024815,-0.47776315,-226.56285,972.6578,183.59404,4.0,1.0,1.0,1.0,NaN,0.13824995,0.06701171,0.5257422,NaN,0.0919625,0.029773448,0.23464864,NaN,0.1542618,0.016037764,0.03797842,NaN,0.44640675,0.8246015,0.5257422,NaN,0.169119,0.062575586,0.12409723,0.0,-0.52177036,0.003073178,-0.6749383,0.0,-0.6988245,-0.34924835,-1.0252931,0.0,-0.47417694,-0.6179337,-1.8161743,0.0,-0.012704571,1.0931666,-0.6749383,0.0,-0.4342429,-0.026672576,-1.3019491
1705,0.5024815,-0.46860424,-230.46912,968.7515,183.59404,4.0,1.0,1.0,1.0,NaN,0.13284701,0.06912372,0.5257422,NaN,0.096286185,0.032561213,0.23464864,NaN,0.15825254,0.01751403,0.03797842,NaN,0.4349302,0.81362545,0.5257422,NaN,0.17768404,0.06717556,0.12409723,0.0,-0.51784873,0.01467204,-0.6749383,0.0,-0.6576366,-0.3122545,-1.0252931,0.0,-0.44184983,-0.581569,-1.8161743,0.0,-0.0027809497,1.0854695,-0.6749383,0.0,-0.3915521,0.0022562193,-1.3019491
1706,0.5024815,-0.46860424,-230.46912,972.6578,183.59404,4.0,1.0,1.0,1.0,NaN,0.13284701,0.06912372,0.5257422,NaN,0.096286185,0.032561213,0.23464864,NaN,0.15825254,0.01751403,0.03797842,NaN,0.4349302,0.81362545,0.5257422,NaN,0.17768404,0.06717556,0.12409723,0.0,-0.51784873,0.01467204,-0.6749383,0.0,-0.6576366,-0.3122545,-1.0252931,0.0,-0.44184983,-0.581569,-1.8161743,0.0,-0.0027809497,1.0854695,-0.6749383,0.0,-0.3915521,0.0022562193,-1.3019491
1707,0.5024815,-0.46860424,-234.37537,972.6578,183.59404,4.0,1.0,1.0,1.0,NaN,0.13284701,0.06912372,0.5257422,NaN,0.096286185,0.032561213,0.23464864,NaN,0.15825254,0.01751403,0.03797842,NaN,0.4349302,0.81362545,0.5257422,NaN,0.17768404,0.06717556,0.12409723,0.0,-0.51784873,0.01467204,-0.6749383,0.0,-0.6576366,-0.3122545,-1.0252931,0.0,-0.44184983,-0.581569,-1.8161743,0.0,-0.0027809497,1.0854695,-0.6749383,0.0,-0.3915521,0.0022562193,-1.3019491
1708,0.5024815,-0.46860424,-234.37537,972.6578,187.50029,4.0,1.0,1.0,1.0,NaN,0.13284701,0.06912372,0.5257422,NaN,0.096286185,0.032561213,0.23464864,NaN,0.15825254,0.01751403,0.03797842,NaN,0.4349302,0.81362545,0.5257422,NaN,0.17768404,0.06717556,0.12409723,0.0,-0.51784873,0.01467204,-0.6749383,0.0,-0.6576366,-0.3122545,-1.0252931,0.0,-0.44184983,-0.581569,-1.8161743,0.0,-0.0027809497,1.0854695,-0.6749383,0.0,-0.3915521,0.0022562193,-1.3019491
1709,0.5024815,-0.46076426,-234.37537,972.6578,187.50029,4.0,1.0,1.0,1.0,NaN,0.12674612,0.06942673,0.5257422,NaN,0.0997112,0.035349287,0.23464864,NaN,0.16031492,0.019002821,0.03797842,NaN,0.4318558,0.8044265,0.5257422,NaN,0.18137197,0.07179466,0.12409723,0.0,-0.518622,0.01467204,-0.6749383,0.0,-0.62281275,-0.27847403,-1.0252931,0.0,-0.41658276,-0.5480366,-1.8161743,0.0,0.013782072,1.0786318,-0.6749383,0.0,-0.36298653,0.029237488,-1.3019491
1710,0.5024815,-0.46076426,-234.37537,972.6578,187.50029,4.0,1.0,1.0,1.0,NaN,0.12674612,0.06942673,0.5257422,NaN,0.0997112,0.035349287,0.23464864,NaN,0.16031492,0.019002821,0.03797842,NaN,0.4318558,0.8044265,0.5257422,NaN,0.18137197,0.07179466,0.12409723,0.0,-0.518622,0.01467204,-0.6749383,0.0,-0.62281275,-0.27847403,-1.0252931,0.0,-0.41658276,-0.5480366,-1.8161743,0.0,0.013782072,1.0786318,-0.6749383,0.0,-0.36298653,0.029237488,-1.3019491
1711,0.5024815,-0.45551547,-230.46912,972.6578,187.50029,4.0,1.0,1.0,1.0,NaN,0.11712129,0.06971229,0.5257422,NaN,0.10182408,0.037519258,0.23464864,NaN,0.15971236,0.020197477,0.03797842,NaN,0.44036165,0.7980354,0.5257422,NaN,0.18098062,0.07453562,0.12409723,0.0,-0.53661597,0.01467204,-0.6749383,0.0,-0.5974013,-0.25438303,-1.0252931,0.0,-0.4019133,-0.52334017,-1.8161743,0.0,0.03855768,1.0733849,-0.6749383,0.0,-0.34761974,0.04372658,-1.3019491
1712,0.5024815,-0.45311293,-230.46912,972.6578,183.59404,4.0,1.0,1.0,1.0,NaN,0.10534517,0.070758656,0.5257422,NaN,0.10291094,0.039499983,0.23464864,NaN,0.15680625,0.021176659,0.03797842,NaN,0.45710582,0.7899854,0.5257422,NaN,0.17783183,0.07857926,0.12409723,0.0,-0.57073295,0.01467204,-0.6749383,0.0,-0.580886,-0.23851062,-1.0252931,0.0,-0.39798424,-0.5092501,-1.8161743,0.0,0.06666915,1.0625116,-0.6749383,0.0,-0.34333807,0.0602004,-1.3019491
1713,0.5024815,-0.45311293,-230.46912,968.7515,183.59404,4.0,1.0,1.0,1.0,NaN,0.10534517,0.070758656,0.5257422,NaN,0.10291094,0.039499983,0.23464864,NaN,0.15680625,0.021176659,0.03797842,NaN,0.45710582,0.7899854,0.5257422,NaN,0.17783183,0.07857926,0.12409723,0.0,-0.57073295,0.01467204,-0.6749383,0.0,-0.580886,-0.23851062,-1.0252931,0.0,-0.39798424,-0.5092501,-1.8161743,0.0,0.06666915,1.0625116,-0.6749383,0.0,-0.34333807,0.0602004,-1.3019491
1714,0.5024815,-0.45311293,-230.46912,976.564,183.59404,4.0,1.0,1.0,1.0,NaN,0.10534517,0.070758656,0.5257422,NaN,0.10291094,0.039499983,0.23464864,NaN,0.15680625,0.021176659,0.03797842,NaN,0.45710582,0.7899854,0.5257422,NaN,0.17783183,0.07857926,0.12409723,0.0,-0.57073295,0.01467204,-0.6749383,0.0,-0.580886,-0.23851062,-1.0252931,0.0,-0.39798424,-0.5092501,-1.8161743,0.0,0.06666915,1.0625116,-0.6749383,0.0,-0.34333807,0.0602004,-1.3019491
1715,0.5024815,-0.45311293,-226.56285,972.6578,187.50029,4.0,1.0,1.0,1.0,NaN,0.10534517,0.070758656,0.5257422,NaN,0.10291094,0.039499983,0.23464864,NaN,0.15680625,0.021176659,0.03797842,NaN,0.45710582,0.7899854,0.5257422,NaN,0.17783183,0.07857926,0.12409723,0.0,-0.57073295,0.01467204,-0.6749383,0.0,-0.580886,-0.23851062,-1.0252931,0.0,-0.39798424,-0.5092501,-1.8161743,0.0,0.06666915,1.0625116,-0.6749383,0.0,-0.34333807,0.0602004,-1.3019491
1716,0.5024815,-0.4525643,-226.56285,972.6578,187.50029,4.0,1.0,1.0,1.0,NaN,0.09457146,0.07293764,0.5257422,NaN,0.10421375,0.041893255,0.23464864,NaN,0.15398082,0.022479901,0.03797842,NaN,0.473293,0.7781692,0.5257422,NaN,0.17394097,0.084519975,0.12409723,0.0,-0.6125666,0.008897492,-0.6749383,0.0,-0.5704016,-0.2319101,-1.0252931,0.0,-0.40086,-0.5022598,-1.8161743,0.0,0.08680342,1.0370198,-0.6749383,0.0,-0.34792477,0.07290518,-1.3019491
1717,0.5024815,-0.4525643,-218.75034,976.564,187.50029,4.0,1.0,1.0,1.0,NaN,0.09457146,0.07293764,0.5257422,NaN,0.10421375,0.041893255,0.23464864,NaN,0.15398082,0.022479901,0.03797842,NaN,0.473293,0.7781692,0.5257422,NaN,0.17394097,0.084519975,0.12409723,0.0,-0.6125666,0.008897492,-0.6749383,0.0,-0.5704016,-0.2319101,-1.0252931,0.0,-0.40086,-0.5022598,-1.8161743,0.0,0.08680342,1.0370198,-0.6749383,0.0,-0.34792477,0.07290518,-1.3019491
1718,0.5024815,-0.45314255,-218.75034,976.564,187.50029,4.0,1.0,1.0,1.0,NaN,0.094293654,0.07853608,0.5257422,NaN,0.10667553,0.04505572,0.23464864,NaN,0.15314129,0.024322184,0.03797842,NaN,0.47498256,0.7601926,0.5257422,NaN,0.17090698,0.09189342,0.12409723,0.0,-0.6151461,0.0061465083,-0.6749383,0.0,-0.5615638,-0.23517275,-1.0252931,0.0,-0.40453628,-0.5029201,-1.8161743,0.0,0.08704909,0.99200094,-0.6749383,0.0,-0.3568688,0.07436174,-1.3019491
1719,0.5024815,-0.45314255,-226.56285,972.6578,183.59404,4.0,1.0,1.0,1.0,NaN,0.094293654,0.07853608,0.5257422,NaN,0.10667553,0.04505572,0.23464864,NaN,0.15314129,0.024322184,0.03797842,NaN,0.47498256,0.7601926,0.5257422,NaN,0.17090698,0.09189342,0.12409723,0.0,-0.6151461,0.0061465083,-0.6749383,0.0,-0.5615638,-0.23517275,-1.0252931,0.0,-0.40453628,-0.5029201,-1.8161743,0.0,0.08704909,0.99200094,-0.6749383,0.0,-0.3568688,0.07436174,-1.3019491
1720,0.5024815,-0.45314255,-234.37537,968.7515,175.78152,4.0,1.0,1.0,1.0,NaN,0.094293654,0.07853608,0.5257422,NaN,0.10667553,0.04505572,0.23464864,NaN,0.15314129,0.024322184,0.03797842,NaN,0.47498256,0.7601926,0.5257422,NaN,0.17090698,0.09189342,0.12409723,0.0,-0.6151461,0.0061465083,-0.6749383,0.0,-0.5615638,-0.23517275,-1.0252931,0.0,-0.40453628,-0.5029201,-1.8161743,0.0,0.08704909,0.99200094,-0.6749383,0.0,-0.3568688,0.07436174,-1.3019491
1721,0.5024815,-0.45420527,-230.46912,972.6578,179.68777,4.0,1.0,1.0,1.0,NaN,0.097306095,0.07583066,0.5257422,NaN,0.11237219,0.050505716,0.23464864,NaN,0.15743345,0.027250921,0.03797842,NaN,0.46017182,0.74133754,0.5257422,NaN,0.17271644,0.10507516,0.12409723,0.0,-0.6151461,-0.06477409,-0.6749383,0.0,-0.5526273,-0.24127841,-1.0252931,0.0,-0.40618914,-0.5092377,-1.8161743,0.0,0.059633862,0.92539704,-0.6749383,0.0,-0.36595246,0.07688112,-1.3019491
1722,0.5024815,-0.45420527,-222.6566,976.564,187.50029,4.0,1.0,1.0,1.0,NaN,0.097306095,0.07583066,0.5257422,NaN,0.11237219,0.050505716,0.23464864,NaN,0.15743345,0.027250921,0.03797842,NaN,0.46017182,0.74133754,0.5257422,NaN,0.17271644,0.10507516,0.12409723,0.0,-0.6151461,-0.06477409,-0.6749383,0.0,-0.5526273,-0.24127841,-1.0252931,0.0,-0.40618914,-0.5092377,-1.8161743,0.0,0.059633862,0.92539704,-0.6749383,0.0,-0.36595246,0.07688112,-1.3019491
1723,0.5024815,-0.45621744,-218.75034,972.6578,183.59404,4.0,1.0,1.0,1.0,NaN,0.10336203,0.08638365,0.5257422,NaN,0.12175916,0.056833744,0.23464864,NaN,0.16633552,0.030394968,0.03797842,NaN,0.42874545,0.70984805,0.5257422,NaN,0.17979784,0.1165396,0.12409723,0.0,-0.6151461,-0.06836622,-0.6749383,0.0,-0.5440055,-0.2501915,-1.0252931,0.0,-0.40852216,-0.5219961,-1.8161743,0.0,0.002692348,0.8463676,-0.6749383,0.0,-0.3747227,0.061675727,-1.3019491
1724,0.5024815,-0.45621744,-222.6566,968.7515,179.68777,4.0,1.0,1.0,1.0,NaN,0.10336203,0.08638365,0.5257422,NaN,0.12175916,0.056833744,0.23464864,NaN,0.16633552,0.030394968,0.03797842,NaN,0.42874545,0.70984805,0.5257422,NaN,0.17979784,0.1165396,0.12409723,0.0,-0.6151461,-0.06836622,-0.6749383,0.0,-0.5440055,-0.2501915,-1.0252931,0.0,-0.40852216,-0.5219961,-1.8161743,0.0,0.002692348,0.8463676,-0.6749383,0.0,-0.3747227,0.061675727,-1.3019491
