id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
1418,-0.029362394,0.17422892,-97.6564,1000.0016,152.344,1.0,1.0,1.0,1.0,0.15432365,0.2252559,0.21290627,0.3612043,0.1148932,0.20988406,0.14092934,0.2985279,0.12146034,0.17815378,0.105132625,0.15096979,0.51358604,0.28539565,0.4623643,0.3612043,0.09573676,0.10131061,0.07866748,0.10339269,0.38815108,-0.8537634,-0.69668025,1.4860257,0.26001292,-0.8844601,-0.8758673,1.4032577,0.2841531,-0.9556445,-1.0031313,1.1071628,0.91033185,-0.7509922,-0.35988447,1.4860257,0.18079731,-1.2007847,-1.1290735,0.9427627
1419,-0.029362394,0.17422892,-101.56266,1003.90784,152.344,1.0,1.0,1.0,1.0,0.15432365,0.2252559,0.21290627,0.3612043,0.1148932,0.20988406,0.14092934,0.2985279,0.12146034,0.17815378,0.105132625,0.15096979,0.51358604,0.28539565,0.4623643,0.3612043,0.09573676,0.10131061,0.07866748,0.10339269,0.38815108,-0.8537634,-0.69668025,1.4860257,0.26001292,-0.8844601,-0.8758673,1.4032577,0.2841531,-0.9556445,-1.0031313,1.1071628,0.91033185,-0.7509922,-0.35988447,1.4860257,0.18079731,-1.2007847,-1.1290735,0.9427627
1420,-0.029362394,0.17422892,-101.56266,1003.90784,152.344,1.0,1.0,1.0,1.0,0.15432365,0.2252559,0.21290627,0.3612043,0.1148932,0.20988406,0.14092934,0.2985279,0.12146034,0.17815378,0.105132625,0.15096979,0.51358604,0.28539565,0.4623643,0.3612043,0.09573676,0.10131061,0.07866748,0.10339269,0.38815108,-0.8537634,-0.69668025,1.4860257,0.26001292,-0.8844601,-0.8758673,1.4032577,0.2841531,-0.9556445,-1.0031313,1.1071628,0.91033185,-0.7509922,-0.35988447,1.4860257,0.18079731,-1.2007847,-1.1290735,0.9427627
1421,-0.015456283,0.16638461,-101.56266,996.09534,152.344,1.0,1.0,1.0,1.0,0.16043271,0.23695025,0.23036508,0.3613731,0.11665869,0.20919769,0.15774825,0.30525362,0.11625371,0.17817213,0.09762649,0.13626401,0.50515604,0.27545452,0.4410577,0.3613731,0.10149886,0.100225404,0.07320249,0.10249996,0.41648164,-0.8244011,-0.6365556,1.4680026,0.2781058,-0.8785014,-0.8010077,1.3947076,0.27659553,-0.9482185,-1.0094045,1.0444279,0.91461426,-0.75900835,-0.3544768,1.4680026,0.21764985,-1.1980804,-1.1344464,0.92077047
1422,-0.0063339476,0.17078428,-93.750145,1000.0016,156.25024,1.0,1.0,1.0,1.0,0.16487977,0.24593388,0.23835245,0.3613731,0.11704864,0.20502156,0.17855588,0.30525362,0.109583765,0.17783074,0.09292918,0.13626401,0.5027579,0.26602182,0.42035577,0.3613731,0.10572992,0.10519201,0.06980673,0.10249996,0.44688937,-0.7972922,-0.60073483,1.4680026,0.2980884,-0.87631094,-0.72618026,1.3947076,0.26946822,-0.9381037,-1.0098023,1.0444279,0.9310809,-0.76319325,-0.35433742,1.4680026,0.2539199,-1.1661277,-1.1340572,0.92077047
1423,-0.0063339476,0.17078428,-97.6564,1000.0016,160.1565,1.0,1.0,1.0,1.0,0.16487977,0.24593388,0.23835245,0.3613731,0.11704864,0.20502156,0.17855588,0.30525362,0.109583765,0.17783074,0.09292918,0.13626401,0.5027579,0.26602182,0.42035577,0.3613731,0.10572992,0.10519201,0.06980673,0.10249996,0.44688937,-0.7972922,-0.60073483,1.4680026,0.2980884,-0.87631094,-0.72618026,1.3947076,0.26946822,-0.9381037,-1.0098023,1.0444279,0.9310809,-0.76319325,-0.35433742,1.4680026,0.2539199,-1.1661277,-1.1340572,0.92077047
1424,-0.0063339476,0.17078428,-97.6564,1000.0016,160.1565,1.0,1.0,1.0,1.0,0.16487977,0.24593388,0.23835245,0.3613731,0.11704864,0.20502156,0.17855588,0.30525362,0.109583765,0.17783074,0.09292918,0.13626401,0.5027579,0.26602182,0.42035577,0.3613731,0.10572992,0.10519201,0.06980673,0.10249996,0.44688937,-0.7972922,-0.60073483,1.4680026,0.2980884,-0.87631094,-0.72618026,1.3947076,0.26946822,-0.9381037,-1.0098023,1.0444279,0.9310809,-0.76319325,-0.35433742,1.4680026,0.2539199,-1.1661277,-1.1340572,0.92077047
1425,-0.0063339476,0.17078428,-101.56266,996.09534,152.344,1.0,1.0,1.0,1.0,0.16487977,0.24593388,0.23835245,0.3613731,0.11704864,0.20502156,0.17855588,0.30525362,0.109583765,0.17783074,0.09292918,0.13626401,0.5027579,0.26602182,0.42035577,0.3613731,0.10572992,0.10519201,0.06980673,0.10249996,0.44688937,-0.7972922,-0.60073483,1.4680026,0.2980884,-0.87631094,-0.72618026,1.3947076,0.26946822,-0.9381037,-1.0098023,1.0444279,0.9310809,-0.76319325,-0.35433742,1.4680026,0.2539199,-1.1661277,-1.1340572,0.92077047
1426,-5.9323316E-4,0.17402701,-93.750145,1000.0016,152.344,1.0,1.0,1.0,1.0,0.1643806,0.25136048,0.24024424,0.3613731,0.11625229,0.19945888,0.20120336,0.30525362,0.10318058,0.17651865,0.09119397,0.13626401,0.5079462,0.2564655,0.3981238,0.3613731,0.10824035,0.11619649,0.06923462,0.10249996,0.46602514,-0.77654743,-0.5862848,1.4680026,0.3155761,-0.87699103,-0.66330254,1.3947076,0.26377255,-0.93005383,-1.0069717,1.0444279,0.9559923,-0.76781553,-0.36691964,1.4680026,0.28456378,-1.1116514,-1.1266145,0.92077047
1427,-5.9323316E-4,0.17402701,-97.6564,1000.0016,152.344,1.0,1.0,1.0,1.0,0.1643806,0.25136048,0.24024424,0.3613731,0.11625229,0.19945888,0.20120336,0.30525362,0.10318058,0.17651865,0.09119397,0.13626401,0.5079462,0.2564655,0.3981238,0.3613731,0.10824035,0.11619649,0.06923462,0.10249996,0.46602514,-0.77654743,-0.5862848,1.4680026,0.3155761,-0.87699103,-0.66330254,1.3947076,0.26377255,-0.93005383,-1.0069717,1.0444279,0.9559923,-0.76781553,-0.36691964,1.4680026,0.28456378,-1.1116514,-1.1266145,0.92077047
1428,0.002033937,0.17544477,-101.56266,996.09534,152.344,1.0,1.0,1.0,1.0,0.16091095,0.26048288,0.24052884,0.3613731,0.11457686,0.19312684,0.2232554,0.30525362,0.0975885,0.17248622,0.09233663,0.13626401,0.5179077,0.24606882,0.37216353,0.3613731,0.109016016,0.12783524,0.0717156,0.10249996,0.47478235,-0.74786973,-0.5862848,1.4680026,0.32729363,-0.8778063,-0.61864996,1.3947076,0.25759536,-0.9268945,-1.0020779,1.0444279,0.98244905,-0.7725923,-0.3967181,1.4680026,0.305687,-1.0569983,-1.1118383,0.92077047
1429,0.002033937,0.17544477,-97.6564,996.09534,152.344,1.0,1.0,1.0,1.0,0.16091095,0.26048288,0.24052884,0.3613731,0.11457686,0.19312684,0.2232554,0.30525362,0.0975885,0.17248622,0.09233663,0.13626401,0.5179077,0.24606882,0.37216353,0.3613731,0.109016016,0.12783524,0.0717156,0.10249996,0.47478235,-0.74786973,-0.5862848,1.4680026,0.32729363,-0.8778063,-0.61864996,1.3947076,0.25759536,-0.9268945,-1.0020779,1.0444279,0.98244905,-0.7725923,-0.3967181,1.4680026,0.305687,-1.0569983,-1.1118383,0.92077047
