id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
7083,0.78279996,0.34545708,54.687584,996.09534,156.25024,1.0,1.0,1.0,1.0,0.26565555,0.05443753,0.15039705,NaN,0.08159949,0.026042601,0.032406528,NaN,0.030703137,0.023410369,0.04612842,NaN,0.5572876,0.716407,0.70404285,NaN,0.06475428,0.17970252,0.06702515,NaN,1.6093329,0.54829043,0.6408687,0.0,1.0967015,0.2280764,-0.025738075,0.0,0.6721968,0.18180028,0.12759799,0.0,1.9310935,1.6675519,1.3112285,0.0,0.9962825,1.0669461,0.28986722,0.0
7084,0.78279996,0.34545708,54.687584,1000.0016,156.25024,1.0,1.0,1.0,1.0,0.26565555,0.05443753,0.15039705,NaN,0.08159949,0.026042601,0.032406528,NaN,0.030703137,0.023410369,0.04612842,NaN,0.5572876,0.716407,0.70404285,NaN,0.06475428,0.17970252,0.06702515,NaN,1.6093329,0.54829043,0.6408687,0.0,1.0967015,0.2280764,-0.025738075,0.0,0.6721968,0.18180028,0.12759799,0.0,1.9310935,1.6675519,1.3112285,0.0,0.9962825,1.0669461,0.28986722,0.0
7085,0.78279996,0.34545708,58.59384,996.09534,156.25024,1.0,1.0,1.0,1.0,0.26565555,0.05443753,0.15039705,NaN,0.08159949,0.026042601,0.032406528,NaN,0.030703137,0.023410369,0.04612842,NaN,0.5572876,0.716407,0.70404285,NaN,0.06475428,0.17970252,0.06702515,NaN,1.6093329,0.54829043,0.6408687,0.0,1.0967015,0.2280764,-0.025738075,0.0,0.6721968,0.18180028,0.12759799,0.0,1.9310935,1.6675519,1.3112285,0.0,0.9962825,1.0669461,0.28986722,0.0
7086,0.7786346,0.3350112,50.78133,996.09534,160.1565,1.0,1.0,1.0,1.0,0.29304123,0.04453169,0.07199114,NaN,0.08426984,0.027432432,0.032672875,NaN,0.032555778,0.024777055,0.051371403,NaN,0.51806813,0.7567915,0.7755842,NaN,0.07206499,0.14646737,0.06838038,NaN,1.5954486,0.42197067,0.25519407,0.0,1.0541921,0.21156576,-0.08789766,0.0,0.6411479,0.16735114,0.10863644,0.0,1.8429067,1.6522777,1.287544,0.0,0.98624414,0.9390423,0.23284654,0.0
7087,0.7786346,0.3350112,50.78133,996.09534,160.1565,1.0,1.0,1.0,1.0,0.29304123,0.04453169,0.07199114,NaN,0.08426984,0.027432432,0.032672875,NaN,0.032555778,0.024777055,0.051371403,NaN,0.51806813,0.7567915,0.7755842,NaN,0.07206499,0.14646737,0.06838038,NaN,1.5954486,0.42197067,0.25519407,0.0,1.0541921,0.21156576,-0.08789766,0.0,0.6411479,0.16735114,0.10863644,0.0,1.8429067,1.6522777,1.287544,0.0,0.98624414,0.9390423,0.23284654,0.0
7088,0.77623564,0.32284763,70.31261,1015.6266,160.1565,1.0,1.0,1.0,1.0,0.34131718,0.048353087,0.04348763,NaN,0.090840206,0.028609162,0.03313418,NaN,0.035056718,0.02591097,0.05356382,NaN,0.4466225,0.7700649,0.7983641,NaN,0.086163424,0.12706189,0.071450286,NaN,1.5874518,0.41784358,-0.0025682533,0.0,1.0125718,0.1899245,-0.12065774,0.0,0.5990649,0.14690302,0.08793753,0.0,1.7042342,1.6199467,1.261267,0.0,0.98961663,0.83743465,0.21306999,0.0
7089,0.77623564,0.32284763,66.40636,1019.53284,164.06276,1.0,1.0,1.0,1.0,0.34131718,0.048353087,0.04348763,NaN,0.090840206,0.028609162,0.03313418,NaN,0.035056718,0.02591097,0.05356382,NaN,0.4466225,0.7700649,0.7983641,NaN,0.086163424,0.12706189,0.071450286,NaN,1.5874518,0.41784358,-0.0025682533,0.0,1.0125718,0.1899245,-0.12065774,0.0,0.5990649,0.14690302,0.08793753,0.0,1.7042342,1.6199467,1.261267,0.0,0.98961663,0.83743465,0.21306999,0.0
7090,0.77623564,0.31604987,54.687584,1000.0016,160.1565,1.0,1.0,1.0,1.0,0.34131718,0.048790712,0.039340317,NaN,0.090840206,0.029611219,0.03370551,NaN,0.035056718,0.026692787,0.054032788,NaN,0.4466225,0.7697618,0.7954253,NaN,0.086163424,0.12514347,0.0774961,NaN,1.5874518,0.3855012,-0.077520326,0.0,1.0125718,0.16862032,-0.1446573,0.0,0.5990649,0.12355799,0.06029919,0.0,1.7042342,1.5835204,1.2282412,0.0,0.98961663,0.7945723,0.21692163,0.0
7091,0.77623564,0.31604987,42.96882,992.189,152.344,1.0,1.0,1.0,1.0,0.34131718,0.048790712,0.039340317,NaN,0.090840206,0.029611219,0.03370551,NaN,0.035056718,0.026692787,0.054032788,NaN,0.4466225,0.7697618,0.7954253,NaN,0.086163424,0.12514347,0.0774961,NaN,1.5874518,0.3855012,-0.077520326,0.0,1.0125718,0.16862032,-0.1446573,0.0,0.5990649,0.12355799,0.06029919,0.0,1.7042342,1.5835204,1.2282412,0.0,0.98961663,0.7945723,0.21692163,0.0
7092,0.77623564,0.31604987,39.06256,1003.90784,152.344,1.0,1.0,1.0,1.0,0.34131718,0.048790712,0.039340317,NaN,0.090840206,0.029611219,0.03370551,NaN,0.035056718,0.026692787,0.054032788,NaN,0.4466225,0.7697618,0.7954253,NaN,0.086163424,0.12514347,0.0774961,NaN,1.5874518,0.3855012,-0.077520326,0.0,1.0125718,0.16862032,-0.1446573,0.0,0.5990649,0.12355799,0.06029919,0.0,1.7042342,1.5835204,1.2282412,0.0,0.98961663,0.7945723,0.21692163,0.0
