id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
11677,-0.17771348,0.29103553,-117.18768,988.2828,199.21906,1.0,1.0,1.0,1.0,NaN,0.2162962,0.2910812,0.60144037,NaN,0.19134913,0.073695004,0.06198809,NaN,0.30464655,0.10105324,0.06524358,NaN,0.17373939,0.47820327,0.60144037,NaN,0.11396874,0.0559673,0.1498057,0.0,0.031217087,0.24216415,1.5923783,0.0,-0.022005284,-0.35441196,0.60549384,0.0,0.1799645,-0.21729977,0.6277234,0.0,-0.0639335,0.4577625,1.5923783,0.0,-0.24704604,-0.47391564,0.9887139
11678,-0.17771348,0.2892537,-121.09394,988.2828,195.3128,1.0,1.0,1.0,1.0,NaN,0.2183021,0.30951202,0.6122017,NaN,0.18823028,0.07201149,0.06632662,NaN,0.29842913,0.0968883,0.06963305,NaN,0.1757469,0.46757954,0.6122017,NaN,0.1192916,0.054008655,0.1382188,0.0,0.031217087,0.2661313,1.5923783,0.0,-0.033151362,-0.36714438,0.6271715,0.0,0.16700038,-0.23827487,0.6482991,0.0,-0.06295317,0.4453093,1.5923783,0.0,-0.23123096,-0.49208283,0.9460508
11679,-0.17771348,0.2892537,-117.18768,984.3765,195.3128,1.0,1.0,1.0,1.0,NaN,0.2183021,0.30951202,0.6122017,NaN,0.18823028,0.07201149,0.06632662,NaN,0.29842913,0.0968883,0.06963305,NaN,0.1757469,0.46757954,0.6122017,NaN,0.1192916,0.054008655,0.1382188,0.0,0.031217087,0.2661313,1.5923783,0.0,-0.033151362,-0.36714438,0.6271715,0.0,0.16700038,-0.23827487,0.6482991,0.0,-0.06295317,0.4453093,1.5923783,0.0,-0.23123096,-0.49208283,0.9460508
11680,-0.17771348,0.28647014,-117.18768,988.2828,199.21906,1.0,1.0,1.0,1.0,NaN,0.22124508,0.31363237,0.62385184,NaN,0.18397608,0.071974784,0.07086008,NaN,0.29099882,0.09236173,0.07433017,NaN,0.17812046,0.46974996,0.62385184,NaN,0.12565957,0.05228114,0.12416077,0.0,0.031217087,0.26837993,1.5923783,0.0,-0.04889515,-0.3708606,0.6476984,0.0,0.15023468,-0.2625489,0.6684619,0.0,-0.0629427,0.44382578,1.5923783,0.0,-0.21446094,-0.5096959,0.8912811
11681,-0.17771348,0.28647014,-113.281425,988.2828,199.21906,1.0,1.0,1.0,1.0,NaN,0.22124508,0.31363237,0.62385184,NaN,0.18397608,0.071974784,0.07086008,NaN,0.29099882,0.09236173,0.07433017,NaN,0.17812046,0.46974996,0.62385184,NaN,0.12565957,0.05228114,0.12416077,0.0,0.031217087,0.26837993,1.5923783,0.0,-0.04889515,-0.3708606,0.6476984,0.0,0.15023468,-0.2625489,0.6684619,0.0,-0.0629427,0.44382578,1.5923783,0.0,-0.21446094,-0.5096959,0.8912811
11682,-0.17771348,0.2830067,-117.18768,988.2828,195.3128,1.0,1.0,1.0,1.0,NaN,0.21881159,0.313901,0.6344593,NaN,0.1791354,0.0732918,0.07495014,NaN,0.28622118,0.08677928,0.07862687,NaN,0.18294272,0.47551388,0.6344593,NaN,0.13288912,0.050514013,0.109810315,0.0,0.017991928,0.26837993,1.5923783,0.0,-0.06889697,-0.3633574,0.66474694,0.0,0.13462336,-0.28999674,0.6855454,0.0,-0.059763238,0.4487504,1.5923783,0.0,-0.19858894,-0.52500093,0.83061755
11683,-0.17771348,0.2830067,-117.18768,992.189,195.3128,1.0,1.0,1.0,1.0,NaN,0.21881159,0.313901,0.6344593,NaN,0.1791354,0.0732918,0.07495014,NaN,0.28622118,0.08677928,0.07862687,NaN,0.18294272,0.47551388,0.6344593,NaN,0.13288912,0.050514013,0.109810315,0.0,0.017991928,0.26837993,1.5923783,0.0,-0.06889697,-0.3633574,0.66474694,0.0,0.13462336,-0.28999674,0.6855454,0.0,-0.059763238,0.4487504,1.5923783,0.0,-0.19858894,-0.52500093,0.83061755
11684,-0.17771348,0.2830067,-117.18768,988.2828,199.21906,1.0,1.0,1.0,1.0,NaN,0.21881159,0.313901,0.6344593,NaN,0.1791354,0.0732918,0.07495014,NaN,0.28622118,0.08677928,0.07862687,NaN,0.18294272,0.47551388,0.6344593,NaN,0.13288912,0.050514013,0.109810315,0.0,0.017991928,0.26837993,1.5923783,0.0,-0.06889697,-0.3633574,0.66474694,0.0,0.13462336,-0.28999674,0.6855454,0.0,-0.059763238,0.4487504,1.5923783,0.0,-0.19858894,-0.52500093,0.83061755
11685,-0.17771348,0.27980602,-117.18768,984.3765,191.40656,1.0,1.0,1.0,1.0,NaN,0.19111744,0.3146757,0.64409405,NaN,0.17801294,0.07666099,0.078541845,NaN,0.29216632,0.08143708,0.08266437,NaN,0.19532388,0.47845,0.64409405,NaN,0.1433794,0.04877624,0.09707237,0.0,-0.060249176,0.26837993,1.5923783,0.0,-0.0910979,-0.3449088,0.67853,0.0,0.1240807,-0.31866106,0.70074725,0.0,-0.050794106,0.45035332,1.5923783,0.0,-0.18506268,-0.54127496,0.77052456
11686,-0.17771348,0.27980602,-117.18768,996.09534,195.3128,1.0,1.0,1.0,1.0,NaN,0.19111744,0.3146757,0.64409405,NaN,0.17801294,0.07666099,0.078541845,NaN,0.29216632,0.08143708,0.08266437,NaN,0.19532388,0.47845,0.64409405,NaN,0.1433794,0.04877624,0.09707237,0.0,-0.060249176,0.26837993,1.5923783,0.0,-0.0910979,-0.3449088,0.67853,0.0,0.1240807,-0.31866106,0.70074725,0.0,-0.050794106,0.45035332,1.5923783,0.0,-0.18506268,-0.54127496,0.77052456
