id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
1907,0.68995345,0.2844307,-164.06276,992.189,152.344,1.0,1.0,1.0,1.0,0.24649265,0.19197084,0.17411467,NaN,0.17820926,0.18212312,0.18107621,NaN,0.086643055,0.3093755,0.27035025,NaN,0.18193816,0.24927455,0.2456645,NaN,0.30671686,0.06725599,0.12879434,NaN,1.2998446,-0.3210206,-0.08971001,0.0,1.158971,-0.3438908,-0.07268396,0.0,0.8457744,-0.113769956,0.1013814,0.0,1.1679645,-0.20757793,0.05979705,0.0,1.3947784,-0.7765249,-0.22064859,0.0
1908,0.68995345,0.2844307,-171.87527,992.189,148.43773,1.0,1.0,1.0,1.0,0.24649265,0.19197084,0.17411467,NaN,0.17820926,0.18212312,0.18107621,NaN,0.086643055,0.3093755,0.27035025,NaN,0.18193816,0.24927455,0.2456645,NaN,0.30671686,0.06725599,0.12879434,NaN,1.2998446,-0.3210206,-0.08971001,0.0,1.158971,-0.3438908,-0.07268396,0.0,0.8457744,-0.113769956,0.1013814,0.0,1.1679645,-0.20757793,0.05979705,0.0,1.3947784,-0.7765249,-0.22064859,0.0
1909,0.68995345,0.2844307,-171.87527,988.2828,148.43773,1.0,1.0,1.0,1.0,0.24649265,0.19197084,0.17411467,NaN,0.17820926,0.18212312,0.18107621,NaN,0.086643055,0.3093755,0.27035025,NaN,0.18193816,0.24927455,0.2456645,NaN,0.30671686,0.06725599,0.12879434,NaN,1.2998446,-0.3210206,-0.08971001,0.0,1.158971,-0.3438908,-0.07268396,0.0,0.8457744,-0.113769956,0.1013814,0.0,1.1679645,-0.20757793,0.05979705,0.0,1.3947784,-0.7765249,-0.22064859,0.0
1910,0.68995345,0.2844307,-175.78152,988.2828,144.53148,1.0,1.0,1.0,1.0,0.24649265,0.19197084,0.17411467,NaN,0.17820926,0.18212312,0.18107621,NaN,0.086643055,0.3093755,0.27035025,NaN,0.18193816,0.24927455,0.2456645,NaN,0.30671686,0.06725599,0.12879434,NaN,1.2998446,-0.3210206,-0.08971001,0.0,1.158971,-0.3438908,-0.07268396,0.0,0.8457744,-0.113769956,0.1013814,0.0,1.1679645,-0.20757793,0.05979705,0.0,1.3947784,-0.7765249,-0.22064859,0.0
1911,0.68995345,0.2850584,-171.87527,984.3765,148.43773,1.0,1.0,1.0,1.0,0.24649265,0.19355682,0.17871143,NaN,0.17820926,0.17298658,0.18157378,NaN,0.086643055,0.31670582,0.27628317,NaN,0.18193816,0.25139782,0.2385601,NaN,0.30671686,0.065352954,0.12487154,NaN,1.2998446,-0.3210206,-0.08971001,0.0,1.158971,-0.36981666,-0.082809225,0.0,0.8457744,-0.10717305,0.09949207,0.0,1.1679645,-0.20746759,0.035735458,0.0,1.3947784,-0.79256386,-0.2453989,0.0
1912,0.68995345,0.2850584,-167.96901,992.189,148.43773,1.0,1.0,1.0,1.0,0.24649265,0.19348706,0.18176073,NaN,0.17820926,0.16557467,0.18181783,NaN,0.086643055,0.3247236,0.28185642,NaN,0.18193816,0.2519896,0.23368017,NaN,0.30671686,0.064225055,0.12088483,NaN,1.2998446,-0.3210206,-0.08971001,0.0,1.158971,-0.36981666,-0.082809225,0.0,0.8457744,-0.10717305,0.09949207,0.0,1.1679645,-0.20746759,0.035735458,0.0,1.3947784,-0.79256386,-0.2453989,0.0
1913,0.68995345,0.28670377,-171.87527,992.189,148.43773,1.0,1.0,1.0,1.0,0.24649265,0.19348706,0.18176073,NaN,0.17820926,0.16557467,0.18181783,NaN,0.086643055,0.3247236,0.28185642,NaN,0.18193816,0.2519896,0.23368017,NaN,0.30671686,0.064225055,0.12088483,NaN,1.2998446,-0.3210206,-0.08971001,0.0,1.158971,-0.38867864,-0.08957359,0.0,0.8457744,-0.09615867,0.10081787,0.0,1.1679645,-0.20628987,0.019411799,0.0,1.3947784,-0.799968,-0.26683828,0.0
1914,0.68995345,0.28670377,-171.87527,992.189,148.43773,1.0,1.0,1.0,1.0,0.24649265,0.19348706,0.18176073,NaN,0.17820926,0.16557467,0.18181783,NaN,0.086643055,0.3247236,0.28185642,NaN,0.18193816,0.2519896,0.23368017,NaN,0.30671686,0.064225055,0.12088483,NaN,1.2998446,-0.3210206,-0.08971001,0.0,1.158971,-0.38867864,-0.08957359,0.0,0.8457744,-0.09615867,0.10081787,0.0,1.1679645,-0.20628987,0.019411799,0.0,1.3947784,-0.799968,-0.26683828,0.0
1915,0.68995345,0.29139242,-175.78152,988.2828,144.53148,1.0,1.0,1.0,1.0,0.24649265,0.20424515,0.18232435,NaN,0.17820926,0.16224886,0.1845815,NaN,0.086643055,0.3302973,0.28684905,NaN,0.18193816,0.23996781,0.23233649,NaN,0.30671686,0.06324089,0.1139086,NaN,1.2998446,-0.28044924,-0.085288614,0.0,1.158971,-0.38041934,-0.07994512,0.0,0.8457744,-0.07169602,0.11152011,0.0,1.1679645,-0.21044804,0.019984137,0.0,1.3947784,-0.78960305,-0.2895768,0.0
1916,0.68995345,0.29139242,-175.78152,988.2828,144.53148,1.0,1.0,1.0,1.0,0.24649265,0.20424515,0.18232435,NaN,0.17820926,0.16224886,0.1845815,NaN,0.086643055,0.3302973,0.28684905,NaN,0.18193816,0.23996781,0.23233649,NaN,0.30671686,0.06324089,0.1139086,NaN,1.2998446,-0.28044924,-0.085288614,0.0,1.158971,-0.38041934,-0.07994512,0.0,0.8457744,-0.07169602,0.11152011,0.0,1.1679645,-0.21044804,0.019984137,0.0,1.3947784,-0.78960305,-0.2895768,0.0
