id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
3882,Infinity,-Infinity,-265.62543,972.6578,136.71896,4.0,1.0,1.0,4.0,0.18698487,0.17816773,0.23362885,NaN,0.32216352,0.15649283,0.1718253,NaN,0.36696902,0.16645136,0.10242038,NaN,0.051581822,0.2515904,0.29394624,NaN,0.07230075,0.24729767,0.19817923,NaN,-2.2940614,-0.14855964,-0.16205822,-Infinity,-2.0577915,-0.20489423,-0.2954976,-Infinity,-2.0012383,-0.17810132,-0.5201983,-Infinity,-2.8533711,0.0013053721,-0.06231682,-Infinity,-2.7067251,-0.00616866,-0.23352657,-Infinity
3883,Infinity,-Infinity,-261.71915,968.7515,136.71896,4.0,1.0,1.0,4.0,0.18698487,0.17958665,0.22307219,NaN,0.32216352,0.15527575,0.18793009,NaN,0.36696902,0.16901052,0.106428325,NaN,0.051581822,0.25416026,0.2761256,NaN,0.07230075,0.24196683,0.20644379,NaN,-2.2940614,-0.18179828,-0.2371895,-Infinity,-2.0577915,-0.24496868,-0.3116386,-Infinity,-2.0012383,-0.20815858,-0.5585777,-Infinity,-2.8533711,-0.030964712,-0.14452823,-Infinity,-2.7067251,-0.052316494,-0.2708331,-Infinity
3884,Infinity,-Infinity,-257.8129,968.7515,136.71896,4.0,1.0,1.0,4.0,0.18698487,0.17958665,0.22307219,NaN,0.32216352,0.15527575,0.18793009,NaN,0.36696902,0.16901052,0.106428325,NaN,0.051581822,0.25416026,0.2761256,NaN,0.07230075,0.24196683,0.20644379,NaN,-2.2940614,-0.18179828,-0.2371895,-Infinity,-2.0577915,-0.24496868,-0.3116386,-Infinity,-2.0012383,-0.20815858,-0.5585777,-Infinity,-2.8533711,-0.030964712,-0.14452823,-Infinity,-2.7067251,-0.052316494,-0.2708331,-Infinity
3885,Infinity,-Infinity,-261.71915,972.6578,136.71896,4.0,1.0,1.0,4.0,0.18698487,0.17958665,0.22307219,NaN,0.32216352,0.15527575,0.18793009,NaN,0.36696902,0.16901052,0.106428325,NaN,0.051581822,0.25416026,0.2761256,NaN,0.07230075,0.24196683,0.20644379,NaN,-2.2940614,-0.18179828,-0.2371895,-Infinity,-2.0577915,-0.24496868,-0.3116386,-Infinity,-2.0012383,-0.20815858,-0.5585777,-Infinity,-2.8533711,-0.030964712,-0.14452823,-Infinity,-2.7067251,-0.052316494,-0.2708331,-Infinity
3886,Infinity,-Infinity,-261.71915,972.6578,136.71896,4.0,1.0,1.0,4.0,0.18698487,0.199158,0.20260811,NaN,0.32216352,0.15440801,0.20666471,NaN,0.36696902,0.16542304,0.10929357,NaN,0.051581822,0.25355837,0.26750913,NaN,0.07230075,0.2274526,0.21392448,NaN,-2.2940614,-0.16720833,-0.3328017,-Infinity,-2.0577915,-0.27773628,-0.3241922,-Infinity,-2.0012383,-0.2478101,-0.6008639,-Infinity,-2.8533711,-0.06232815,-0.2121199,-Infinity,-2.7067251,-0.10951518,-0.30919802,-Infinity
3887,Infinity,-Infinity,-265.62543,972.6578,136.71896,4.0,1.0,1.0,4.0,0.18698487,0.199158,0.20260811,NaN,0.32216352,0.15440801,0.20666471,NaN,0.36696902,0.16542304,0.10929357,NaN,0.051581822,0.25355837,0.26750913,NaN,0.07230075,0.2274526,0.21392448,NaN,-2.2940614,-0.16720833,-0.3328017,-Infinity,-2.0577915,-0.27773628,-0.3241922,-Infinity,-2.0012383,-0.2478101,-0.6008639,-Infinity,-2.8533711,-0.06232815,-0.2121199,-Infinity,-2.7067251,-0.10951518,-0.30919802,-Infinity
3888,Infinity,-Infinity,-265.62543,972.6578,136.71896,4.0,1.0,1.0,4.0,0.18698487,0.199158,0.20260811,NaN,0.32216352,0.15440801,0.20666471,NaN,0.36696902,0.16542304,0.10929357,NaN,0.051581822,0.25355837,0.26750913,NaN,0.07230075,0.2274526,0.21392448,NaN,-2.2940614,-0.16720833,-0.3328017,-Infinity,-2.0577915,-0.27773628,-0.3241922,-Infinity,-2.0012383,-0.2478101,-0.6008639,-Infinity,-2.8533711,-0.06232815,-0.2121199,-Infinity,-2.7067251,-0.10951518,-0.30919802,-Infinity
3889,Infinity,-Infinity,-261.71915,968.7515,136.71896,4.0,1.0,1.0,4.0,0.18698487,0.22641157,0.18496166,NaN,0.32216352,0.1557241,0.22490612,NaN,0.36696902,0.15776429,0.10964295,NaN,0.051581822,0.25307193,0.26126486,NaN,0.07230075,0.20702812,0.21922441,NaN,-2.2940614,-0.13190934,-0.41456714,-Infinity,-2.0577915,-0.29445213,-0.3296476,-Infinity,-2.0012383,-0.28879923,-0.64166814,-Infinity,-2.8533711,-0.08356395,-0.2645679,-Infinity,-2.7067251,-0.1707786,-0.34075996,-Infinity
3890,Infinity,-Infinity,-261.71915,972.6578,136.71896,4.0,1.0,1.0,4.0,0.18698487,0.22641157,0.18496166,NaN,0.32216352,0.1557241,0.22490612,NaN,0.36696902,0.15776429,0.10964295,NaN,0.051581822,0.25307193,0.26126486,NaN,0.07230075,0.20702812,0.21922441,NaN,-2.2940614,-0.13190934,-0.41456714,-Infinity,-2.0577915,-0.29445213,-0.3296476,-Infinity,-2.0012383,-0.28879923,-0.64166814,-Infinity,-2.8533711,-0.08356395,-0.2645679,-Infinity,-2.7067251,-0.1707786,-0.34075996,-Infinity
3891,Infinity,-Infinity,-261.71915,972.6578,136.71896,4.0,1.0,1.0,4.0,0.18698487,0.22641157,0.18496166,NaN,0.32216352,0.1557241,0.22490612,NaN,0.36696902,0.15776429,0.10964295,NaN,0.051581822,0.25307193,0.26126486,NaN,0.07230075,0.20702812,0.21922441,NaN,-2.2940614,-0.13190934,-0.41456714,-Infinity,-2.0577915,-0.29445213,-0.3296476,-Infinity,-2.0012383,-0.28879923,-0.64166814,-Infinity,-2.8533711,-0.08356395,-0.2645679,-Infinity,-2.7067251,-0.1707786,-0.34075996,-Infinity
