id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
578,Infinity,-Infinity,50.78133,1003.90784,128.90645,1.0,1.0,1.0,4.0,0.18698487,0.23374452,0.16482122,NaN,0.32216352,0.21221223,0.24209899,NaN,0.36696902,0.12368288,0.21637902,NaN,0.051581822,0.34197527,0.2620475,NaN,0.07230075,0.08838508,0.11465329,NaN,-2.2940614,-0.13905479,-0.7265546,-Infinity,-2.0577915,-0.1810258,-0.5595747,-Infinity,-2.0012383,-0.41548663,-0.60835254,-Infinity,-2.8533711,0.026198499,-0.52518773,-Infinity,-2.7067251,-0.5614172,-0.8841812,-Infinity
579,Infinity,-Infinity,50.78133,1003.90784,128.90645,1.0,1.0,1.0,4.0,0.18698487,0.23374452,0.16482122,NaN,0.32216352,0.21221223,0.24209899,NaN,0.36696902,0.12368288,0.21637902,NaN,0.051581822,0.34197527,0.2620475,NaN,0.07230075,0.08838508,0.11465329,NaN,-2.2940614,-0.13905479,-0.7265546,-Infinity,-2.0577915,-0.1810258,-0.5595747,-Infinity,-2.0012383,-0.41548663,-0.60835254,-Infinity,-2.8533711,0.026198499,-0.52518773,-Infinity,-2.7067251,-0.5614172,-0.8841812,-Infinity
580,Infinity,-Infinity,54.687584,1003.90784,132.81271,1.0,1.0,1.0,4.0,0.18698487,0.23191407,0.17198797,NaN,0.32216352,0.2139265,0.2354091,NaN,0.36696902,0.1280874,0.22224799,NaN,0.051581822,0.3348448,0.25144637,NaN,0.07230075,0.091227226,0.11890858,NaN,-2.2940614,-0.13905479,-0.6908133,-Infinity,-2.0577915,-0.17411733,-0.5544882,-Infinity,-2.0012383,-0.39687547,-0.57947356,-Infinity,-2.8533711,0.020461675,-0.52586603,-Infinity,-2.7067251,-0.5442574,-0.85109824,-Infinity
581,Infinity,-Infinity,54.687584,1007.8141,128.90645,1.0,1.0,1.0,4.0,0.18698487,0.23191407,0.17198797,NaN,0.32216352,0.2139265,0.2354091,NaN,0.36696902,0.1280874,0.22224799,NaN,0.051581822,0.3348448,0.25144637,NaN,0.07230075,0.091227226,0.11890858,NaN,-2.2940614,-0.13905479,-0.6908133,-Infinity,-2.0577915,-0.17411733,-0.5544882,-Infinity,-2.0012383,-0.39687547,-0.57947356,-Infinity,-2.8533711,0.020461675,-0.52586603,-Infinity,-2.7067251,-0.5442574,-0.85109824,-Infinity
582,Infinity,-Infinity,58.59384,1003.90784,128.90645,1.0,1.0,1.0,4.0,0.18698487,0.22611724,0.16477223,NaN,0.32216352,0.21242346,0.22782834,NaN,0.36696902,0.13153395,0.2270287,NaN,0.051581822,0.33182147,0.25322437,NaN,0.07230075,0.09810387,0.12714635,NaN,-2.2940614,-0.14151704,-0.6908133,-Infinity,-2.0577915,-0.16864823,-0.5500896,-Infinity,-2.0012383,-0.37681282,-0.5516166,-Infinity,-2.8533711,0.025053777,-0.5041918,-Infinity,-2.7067251,-0.5041646,-0.8033934,-Infinity
583,Infinity,-Infinity,54.687584,1003.90784,125.0002,1.0,1.0,1.0,4.0,0.18698487,0.21634953,0.15557244,NaN,0.32216352,0.20842333,0.21575429,NaN,0.36696902,0.13113923,0.22626217,NaN,0.051581822,0.336203,0.26530212,NaN,0.07230075,0.1078849,0.13710897,NaN,-2.2940614,-0.14360596,-0.6908133,-Infinity,-2.0577915,-0.15981556,-0.5487866,-Infinity,-2.0012383,-0.36102927,-0.52813405,-Infinity,-2.8533711,0.047839656,-0.4590053,-Infinity,-2.7067251,-0.44580126,-0.74568015,-Infinity
584,Infinity,-Infinity,54.687584,1003.90784,125.0002,1.0,1.0,1.0,4.0,0.18698487,0.21634953,0.15557244,NaN,0.32216352,0.20842333,0.21575429,NaN,0.36696902,0.13113923,0.22626217,NaN,0.051581822,0.336203,0.26530212,NaN,0.07230075,0.1078849,0.13710897,NaN,-2.2940614,-0.14360596,-0.6908133,-Infinity,-2.0577915,-0.15981556,-0.5487866,-Infinity,-2.0012383,-0.36102927,-0.52813405,-Infinity,-2.8533711,0.047839656,-0.4590053,-Infinity,-2.7067251,-0.44580126,-0.74568015,-Infinity
585,Infinity,-Infinity,58.59384,1003.90784,128.90645,1.0,1.0,1.0,4.0,0.18698487,0.21634953,0.15557244,NaN,0.32216352,0.20842333,0.21575429,NaN,0.36696902,0.13113923,0.22626217,NaN,0.051581822,0.336203,0.26530212,NaN,0.07230075,0.1078849,0.13710897,NaN,-2.2940614,-0.14360596,-0.6908133,-Infinity,-2.0577915,-0.15981556,-0.5487866,-Infinity,-2.0012383,-0.36102927,-0.52813405,-Infinity,-2.8533711,0.047839656,-0.4590053,-Infinity,-2.7067251,-0.44580126,-0.74568015,-Infinity
586,Infinity,-Infinity,58.59384,1007.8141,125.0002,1.0,1.0,1.0,4.0,0.18698487,0.21634953,0.15557244,NaN,0.32216352,0.20842333,0.21575429,NaN,0.36696902,0.13113923,0.22626217,NaN,0.051581822,0.336203,0.26530212,NaN,0.07230075,0.1078849,0.13710897,NaN,-2.2940614,-0.14360596,-0.6908133,-Infinity,-2.0577915,-0.15981556,-0.5487866,-Infinity,-2.0012383,-0.36102927,-0.52813405,-Infinity,-2.8533711,0.047839656,-0.4590053,-Infinity,-2.7067251,-0.44580126,-0.74568015,-Infinity
587,Infinity,-Infinity,58.59384,1003.90784,125.0002,1.0,1.0,1.0,4.0,0.18698487,0.20289244,0.14633042,NaN,0.32216352,0.20453686,0.20059392,NaN,0.36696902,0.12790681,0.2196328,NaN,0.051581822,0.34595054,0.2860499,NaN,0.07230075,0.11871337,0.14739297,NaN,-2.2940614,-0.14933005,-0.6889889,-Infinity,-2.0577915,-0.14582433,-0.55200577,-Infinity,-2.0012383,-0.34970224,-0.5126263,-Infinity,-2.8533711,0.08241811,-0.3978817,-Infinity,-2.7067251,-0.38209626,-0.68584675,-Infinity
588,Infinity,-Infinity,58.59384,1003.90784,125.0002,1.0,1.0,1.0,4.0,0.18698487,0.20289244,0.14633042,NaN,0.32216352,0.20453686,0.20059392,NaN,0.36696902,0.12790681,0.2196328,NaN,0.051581822,0.34595054,0.2860499,NaN,0.07230075,0.11871337,0.14739297,NaN,-2.2940614,-0.14933005,-0.6889889,-Infinity,-2.0577915,-0.14582433,-0.55200577,-Infinity,-2.0012383,-0.34970224,-0.5126263,-Infinity,-2.8533711,0.08241811,-0.3978817,-Infinity,-2.7067251,-0.38209626,-0.68584675,-Infinity
589,Infinity,-Infinity,58.59384,1003.90784,125.0002,1.0,1.0,1.0,4.0,0.18698487,0.18815197,0.13819416,NaN,0.32216352,0.2027921,0.18508436,NaN,0.36696902,0.124414496,0.20878215,NaN,0.051581822,0.35383952,0.31071195,NaN,0.07230075,0.13080192,0.1572274,NaN,-2.2940614,-0.15959573,-0.6864805,-Infinity,-2.0577915,-0.12705348,-0.5596005,-Infinity,-2.0012383,-0.33923352,-0.5072769,-Infinity,-2.8533711,0.114701845,-0.33461228,-Infinity,-2.7067251,-0.31749037,-0.630442,-Infinity
590,Infinity,-Infinity,54.687584,1003.90784,125.0002,1.0,1.0,1.0,4.0,0.18698487,0.18815197,0.13819416,NaN,0.32216352,0.2027921,0.18508436,NaN,0.36696902,0.124414496,0.20878215,NaN,0.051581822,0.35383952,0.31071195,NaN,0.07230075,0.13080192,0.1572274,NaN,-2.2940614,-0.15959573,-0.6864805,-Infinity,-2.0577915,-0.12705348,-0.5596005,-Infinity,-2.0012383,-0.33923352,-0.5072769,-Infinity,-2.8533711,0.114701845,-0.33461228,-Infinity,-2.7067251,-0.31749037,-0.630442,-Infinity
591,Infinity,-Infinity,54.687584,1007.8141,121.09394,1.0,1.0,1.0,4.0,0.18698487,0.18815197,0.13819416,NaN,0.32216352,0.2027921,0.18508436,NaN,0.36696902,0.124414496,0.20878215,NaN,0.051581822,0.35383952,0.31071195,NaN,0.07230075,0.13080192,0.1572274,NaN,-2.2940614,-0.15959573,-0.6864805,-Infinity,-2.0577915,-0.12705348,-0.5596005,-Infinity,-2.0012383,-0.33923352,-0.5072769,-Infinity,-2.8533711,0.114701845,-0.33461228,-Infinity,-2.7067251,-0.31749037,-0.630442,-Infinity
592,Infinity,-Infinity,54.687584,1003.90784,121.09394,1.0,1.0,1.0,4.0,0.18698487,0.18815197,0.13819416,NaN,0.32216352,0.2027921,0.18508436,NaN,0.36696902,0.124414496,0.20878215,NaN,0.051581822,0.35383952,0.31071195,NaN,0.07230075,0.13080192,0.1572274,NaN,-2.2940614,-0.15959573,-0.6864805,-Infinity,-2.0577915,-0.12705348,-0.5596005,-Infinity,-2.0012383,-0.33923352,-0.5072769,-Infinity,-2.8533711,0.114701845,-0.33461228,-Infinity,-2.7067251,-0.31749037,-0.630442,-Infinity
593,Infinity,-Infinity,66.40636,1003.90784,121.09394,1.0,1.0,1.0,4.0,0.18698487,0.17785111,0.13141625,NaN,0.32216352,0.20241638,0.17133552,NaN,0.36696902,0.12216733,0.1965966,NaN,0.051581822,0.35220176,0.33325744,NaN,0.07230075,0.14536344,0.16739422,NaN,-2.2940614,-0.16184634,-0.68669176,-Infinity,-2.0577915,-0.105657265,-0.57149345,-Infinity,-2.0012383,-0.32494783,-0.5117648,-Infinity,-2.8533711,0.1348886,-0.28256097,-Infinity,-2.7067251,-0.24944775,-0.58160037,-Infinity
594,Infinity,-Infinity,66.40636,1003.90784,121.09394,1.0,1.0,1.0,4.0,0.18698487,0.17785111,0.13141625,NaN,0.32216352,0.20241638,0.17133552,NaN,0.36696902,0.12216733,0.1965966,NaN,0.051581822,0.35220176,0.33325744,NaN,0.07230075,0.14536344,0.16739422,NaN,-2.2940614,-0.16184634,-0.68669176,-Infinity,-2.0577915,-0.105657265,-0.57149345,-Infinity,-2.0012383,-0.32494783,-0.5117648,-Infinity,-2.8533711,0.1348886,-0.28256097,-Infinity,-2.7067251,-0.24944775,-0.58160037,-Infinity
595,Infinity,-Infinity,62.5001,1003.90784,125.0002,1.0,1.0,1.0,4.0,0.18698487,0.18515469,0.127226,NaN,0.32216352,0.19815211,0.1597314,NaN,0.36696902,0.12009812,0.18555091,NaN,0.051581822,0.33641806,0.34882942,NaN,0.07230075,0.160177,0.17866229,NaN,-2.2940614,-0.11508648,-0.68669176,-Infinity,-2.0577915,-0.08562248,-0.5878773,-Infinity,-2.0012383,-0.30308497,-0.5228045,-Infinity,-2.8533711,0.14425814,-0.24865453,-Infinity,-2.7067251,-0.17802098,-0.53923476,-Infinity
596,Infinity,-Infinity,58.59384,1003.90784,121.09394,4.0,1.0,1.0,4.0,0.18698487,0.18919921,0.12514131,NaN,0.32216352,0.19178183,0.14997068,NaN,0.36696902,0.12000795,0.1773166,NaN,0.051581822,0.320741,0.35637543,NaN,0.07230075,0.17826998,0.191196,NaN,-2.2940614,-0.07745832,-0.68669176,-Infinity,-2.0577915,-0.07157018,-0.60808605,-Infinity,-2.0012383,-0.27516764,-0.535343,-Infinity,-2.8533711,0.15177684,-0.23218466,-Infinity,-2.7067251,-0.103299424,-0.5026136,-Infinity
