id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
3514,0.6887913,0.30827045,-109.37517,988.2828,171.87527,4.0,1.0,1.0,4.0,0.26199934,0.103015006,0.26561183,NaN,0.34444398,0.13881002,0.21722473,NaN,0.18668403,0.29939604,0.2734549,NaN,0.11430012,0.38140273,0.18105903,NaN,0.09257253,0.077376194,0.06264949,NaN,1.2959708,-0.6340801,0.025376195,0.0,1.4147892,-0.5045598,-0.06196195,0.0,1.1487777,-0.17073458,0.038014494,0.0,0.9357173,-0.065596834,-0.14105104,0.0,0.8441527,-0.75837326,-0.60195374,0.0
3515,0.6887913,0.3080241,-105.46892,996.09534,171.87527,4.0,1.0,1.0,4.0,0.26199934,0.11284214,0.3152244,NaN,0.34444398,0.12738863,0.20021296,NaN,0.18668403,0.2902496,0.24123262,NaN,0.11430012,0.39390603,0.1818139,NaN,0.09257253,0.0756136,0.061516117,NaN,1.2959708,-0.5775892,0.1489047,0.0,1.4147892,-0.5249299,-0.048222974,0.0,1.1487777,-0.16728893,0.032720897,0.0,0.9357173,-0.034667913,-0.090088084,0.0,0.8441527,-0.7514606,-0.5607262,0.0
3516,0.6887913,0.3080241,-105.46892,1000.0016,175.78152,4.0,1.0,1.0,4.0,0.26199934,0.11284214,0.3152244,NaN,0.34444398,0.12738863,0.20021296,NaN,0.18668403,0.2902496,0.24123262,NaN,0.11430012,0.39390603,0.1818139,NaN,0.09257253,0.0756136,0.061516117,NaN,1.2959708,-0.5775892,0.1489047,0.0,1.4147892,-0.5249299,-0.048222974,0.0,1.1487777,-0.16728893,0.032720897,0.0,0.9357173,-0.034667913,-0.090088084,0.0,0.8441527,-0.7514606,-0.5607262,0.0
3517,0.6887913,0.30736575,-105.46892,988.2828,171.87527,4.0,1.0,1.0,4.0,0.26199934,0.13302535,0.33909532,NaN,0.34444398,0.11325129,0.1959527,NaN,0.18668403,0.26842293,0.21824387,NaN,0.11430012,0.41283694,0.18274978,NaN,0.09257253,0.072463505,0.063958324,NaN,1.2959708,-0.46775073,0.21473984,0.0,1.4147892,-0.537642,-0.023430694,0.0,1.1487777,-0.16286556,0.023360096,0.0,0.9357173,0.024093375,-0.05372511,0.0,0.8441527,-0.73156583,-0.50968486,0.0
3518,0.6887913,0.30657253,-105.46892,996.09534,171.87527,4.0,1.0,1.0,4.0,0.26199934,0.14180095,0.3435656,NaN,0.34444398,0.10255928,0.20102283,NaN,0.18668403,0.24605615,0.20140532,NaN,0.11430012,0.43786755,0.18592255,NaN,0.09257253,0.07171604,0.06808369,NaN,1.2959708,-0.3959963,0.24312545,0.0,1.4147892,-0.5367005,0.010361169,0.0,1.1487777,-0.15664126,0.011186698,0.0,0.9357173,0.09366729,-0.023552157,0.0,0.8441527,-0.69205916,-0.45984113,0.0
3519,0.6887913,0.30657253,-109.37517,992.189,171.87527,4.0,1.0,1.0,4.0,0.26199934,0.14180095,0.3435656,NaN,0.34444398,0.10255928,0.20102283,NaN,0.18668403,0.24605615,0.20140532,NaN,0.11430012,0.43786755,0.18592255,NaN,0.09257253,0.07171604,0.06808369,NaN,1.2959708,-0.3959963,0.24312545,0.0,1.4147892,-0.5367005,0.010361169,0.0,1.1487777,-0.15664126,0.011186698,0.0,0.9357173,0.09366729,-0.023552157,0.0,0.8441527,-0.69205916,-0.45984113,0.0
3520,0.6887913,0.30657253,-105.46892,996.09534,175.78152,4.0,1.0,1.0,4.0,0.26199934,0.14180095,0.3435656,NaN,0.34444398,0.10255928,0.20102283,NaN,0.18668403,0.24605615,0.20140532,NaN,0.11430012,0.43786755,0.18592255,NaN,0.09257253,0.07171604,0.06808369,NaN,1.2959708,-0.3959963,0.24312545,0.0,1.4147892,-0.5367005,0.010361169,0.0,1.1487777,-0.15664126,0.011186698,0.0,0.9357173,0.09366729,-0.023552157,0.0,0.8441527,-0.69205916,-0.45984113,0.0
3521,0.6887913,0.30657253,-105.46892,1000.0016,175.78152,4.0,1.0,1.0,4.0,0.26199934,0.14180095,0.3435656,NaN,0.34444398,0.10255928,0.20102283,NaN,0.18668403,0.24605615,0.20140532,NaN,0.11430012,0.43786755,0.18592255,NaN,0.09257253,0.07171604,0.06808369,NaN,1.2959708,-0.3959963,0.24312545,0.0,1.4147892,-0.5367005,0.010361169,0.0,1.1487777,-0.15664126,0.011186698,0.0,0.9357173,0.09366729,-0.023552157,0.0,0.8441527,-0.69205916,-0.45984113,0.0
3522,0.6887913,0.30627048,-105.46892,992.189,175.78152,4.0,1.0,1.0,4.0,0.26199934,0.14159656,0.34454188,NaN,0.34444398,0.09624972,0.20633075,NaN,0.18668403,0.22848934,0.1857929,NaN,0.11430012,0.4606912,0.19318499,NaN,0.09257253,0.07297318,0.07014949,NaN,1.2959708,-0.3558766,0.26855633,0.0,1.4147892,-0.5235298,0.04587824,0.0,1.1487777,-0.14806338,3.4339214E-4,0.0,0.9357173,0.15648061,0.017287647,0.0,0.8441527,-0.64376605,-0.42266122,0.0
3523,0.6887913,0.30627048,-113.281425,996.09534,171.87527,4.0,1.0,1.0,4.0,0.26199934,0.14159656,0.34454188,NaN,0.34444398,0.09624972,0.20633075,NaN,0.18668403,0.22848934,0.1857929,NaN,0.11430012,0.4606912,0.19318499,NaN,0.09257253,0.07297318,0.07014949,NaN,1.2959708,-0.3558766,0.26855633,0.0,1.4147892,-0.5235298,0.04587824,0.0,1.1487777,-0.14806338,3.4339214E-4,0.0,0.9357173,0.15648061,0.017287647,0.0,0.8441527,-0.64376605,-0.42266122,0.0
3524,0.6887913,0.3068975,-109.37517,980.4703,171.87527,4.0,1.0,1.0,4.0,0.26199934,0.13393106,0.33870873,NaN,0.34444398,0.0945058,0.20965539,NaN,0.18668403,0.21783604,0.17387788,NaN,0.11430012,0.47827306,0.20778407,NaN,0.09257253,0.07545405,0.06997391,NaN,1.2959708,-0.34933612,0.28465247,0.0,1.4147892,-0.50075895,0.07633212,0.0,1.1487777,-0.13808773,-0.004929571,0.0,0.9357173,0.20345847,0.07243834,0.0,0.8441527,-0.5985349,-0.4002378,0.0
3525,0.6887913,0.3068975,-101.56266,996.09534,171.87527,4.0,1.0,1.0,4.0,0.26199934,0.13393106,0.33870873,NaN,0.34444398,0.0945058,0.20965539,NaN,0.18668403,0.21783604,0.17387788,NaN,0.11430012,0.47827306,0.20778407,NaN,0.09257253,0.07545405,0.06997391,NaN,1.2959708,-0.34933612,0.28465247,0.0,1.4147892,-0.50075895,0.07633212,0.0,1.1487777,-0.13808773,-0.004929571,0.0,0.9357173,0.20345847,0.07243834,0.0,0.8441527,-0.5985349,-0.4002378,0.0
3526,0.6887913,0.30814537,-101.56266,992.189,171.87527,4.0,1.0,1.0,4.0,0.26199934,0.12726517,0.32732153,NaN,0.34444398,0.09639061,0.21010843,NaN,0.18668403,0.21092254,0.16631381,NaN,0.11430012,0.4894993,0.22868659,NaN,0.09257253,0.07592236,0.067569666,NaN,1.2959708,-0.34933612,0.29031068,0.0,1.4147892,-0.47001094,0.097779594,0.0,1.1487777,-0.1299227,-0.0037355395,0.0,0.9357173,0.23570639,0.13457681,0.0,0.8441527,-0.573676,-0.3949121,0.0
3527,0.6887913,0.30814537,-97.6564,996.09534,167.96901,4.0,1.0,1.0,4.0,0.26199934,0.12726517,0.32732153,NaN,0.34444398,0.09639061,0.21010843,NaN,0.18668403,0.21092254,0.16631381,NaN,0.11430012,0.4894993,0.22868659,NaN,0.09257253,0.07592236,0.067569666,NaN,1.2959708,-0.34933612,0.29031068,0.0,1.4147892,-0.47001094,0.097779594,0.0,1.1487777,-0.1299227,-0.0037355395,0.0,0.9357173,0.23570639,0.13457681,0.0,0.8441527,-0.573676,-0.3949121,0.0
3528,0.6887913,0.30814537,-101.56266,992.189,167.96901,4.0,1.0,1.0,4.0,0.26199934,0.12726517,0.32732153,NaN,0.34444398,0.09639061,0.21010843,NaN,0.18668403,0.21092254,0.16631381,NaN,0.11430012,0.4894993,0.22868659,NaN,0.09257253,0.07592236,0.067569666,NaN,1.2959708,-0.34933612,0.29031068,0.0,1.4147892,-0.47001094,0.097779594,0.0,1.1487777,-0.1299227,-0.0037355395,0.0,0.9357173,0.23570639,0.13457681,0.0,0.8441527,-0.573676,-0.3949121,0.0
3529,0.6887913,0.30814537,-101.56266,1003.90784,167.96901,4.0,1.0,1.0,4.0,0.26199934,0.12726517,0.32732153,NaN,0.34444398,0.09639061,0.21010843,NaN,0.18668403,0.21092254,0.16631381,NaN,0.11430012,0.4894993,0.22868659,NaN,0.09257253,0.07592236,0.067569666,NaN,1.2959708,-0.34933612,0.29031068,0.0,1.4147892,-0.47001094,0.097779594,0.0,1.1487777,-0.1299227,-0.0037355395,0.0,0.9357173,0.23570639,0.13457681,0.0,0.8441527,-0.573676,-0.3949121,0.0
3530,0.6887913,0.3086395,-105.46892,992.189,167.96901,4.0,1.0,1.0,4.0,0.26199934,0.12609813,0.3167325,NaN,0.34444398,0.10059869,0.20775259,NaN,0.18668403,0.20427428,0.16121392,NaN,0.11430012,0.4953066,0.24977176,NaN,0.09257253,0.07372229,0.06452925,NaN,1.2959708,-0.3377934,0.29162616,0.0,1.4147892,-0.43590972,0.10847996,0.0,1.1487777,-0.12828836,-0.0016639241,0.0,0.9357173,0.25637206,0.18847688,0.0,0.8441527,-0.57090324,-0.39930987,0.0
3531,0.6887913,0.30685434,-101.56266,996.09534,167.96901,4.0,1.0,1.0,4.0,0.26199934,0.13001893,0.31005153,NaN,0.34444398,0.10675891,0.20409904,NaN,0.18668403,0.1955313,0.15621458,NaN,0.11430012,0.49797693,0.26714462,NaN,0.09257253,0.069713935,0.062490236,NaN,1.2959708,-0.3144645,0.29162616,0.0,1.4147892,-0.400067,0.110033266,0.0,1.1487777,-0.13725485,-0.0060861683,0.0,0.9357173,0.2687381,0.22693871,0.0,0.8441527,-0.5851515,-0.40399554,0.0
3532,0.6887913,0.30685434,-101.56266,996.09534,171.87527,4.0,1.0,1.0,4.0,0.26199934,0.13001893,0.31005153,NaN,0.34444398,0.10675891,0.20409904,NaN,0.18668403,0.1955313,0.15621458,NaN,0.11430012,0.49797693,0.26714462,NaN,0.09257253,0.069713935,0.062490236,NaN,1.2959708,-0.3144645,0.29162616,0.0,1.4147892,-0.400067,0.110033266,0.0,1.1487777,-0.13725485,-0.0060861683,0.0,0.9357173,0.2687381,0.22693871,0.0,0.8441527,-0.5851515,-0.40399554,0.0
3533,0.6887913,0.30685434,-97.6564,988.2828,175.78152,4.0,1.0,1.0,4.0,0.26199934,0.13001893,0.31005153,NaN,0.34444398,0.10675891,0.20409904,NaN,0.18668403,0.1955313,0.15621458,NaN,0.11430012,0.49797693,0.26714462,NaN,0.09257253,0.069713935,0.062490236,NaN,1.2959708,-0.3144645,0.29162616,0.0,1.4147892,-0.400067,0.110033266,0.0,1.1487777,-0.13725485,-0.0060861683,0.0,0.9357173,0.2687381,0.22693871,0.0,0.8441527,-0.5851515,-0.40399554,0.0
3534,0.6887913,0.30685434,-97.6564,1000.0016,171.87527,4.0,1.0,1.0,4.0,0.26199934,0.13001893,0.31005153,NaN,0.34444398,0.10675891,0.20409904,NaN,0.18668403,0.1955313,0.15621458,NaN,0.11430012,0.49797693,0.26714462,NaN,0.09257253,0.069713935,0.062490236,NaN,1.2959708,-0.3144645,0.29162616,0.0,1.4147892,-0.400067,0.110033266,0.0,1.1487777,-0.13725485,-0.0060861683,0.0,0.9357173,0.2687381,0.22693871,0.0,0.8441527,-0.5851515,-0.40399554,0.0
3535,0.6887913,0.30235955,-101.56266,996.09534,175.78152,4.0,1.0,1.0,4.0,0.26199934,0.13579994,0.30705696,NaN,0.34444398,0.114251144,0.19984086,NaN,0.18668403,0.1846115,0.1499635,NaN,0.11430012,0.4998567,0.2815092,NaN,0.09257253,0.06548069,0.061629493,NaN,1.2959708,-0.2908039,0.29162616,0.0,1.4147892,-0.3658429,0.10509147,0.0,1.1487777,-0.15744473,-0.019607263,0.0,0.9357173,0.27514204,0.25389972,0.0,0.8441527,-0.60759026,-0.40580425,0.0
3536,0.6887913,0.30235955,-97.6564,992.189,175.78152,4.0,1.0,1.0,4.0,0.26199934,0.13579994,0.30705696,NaN,0.34444398,0.114251144,0.19984086,NaN,0.18668403,0.1846115,0.1499635,NaN,0.11430012,0.4998567,0.2815092,NaN,0.09257253,0.06548069,0.061629493,NaN,1.2959708,-0.2908039,0.29162616,0.0,1.4147892,-0.3658429,0.10509147,0.0,1.1487777,-0.15744473,-0.019607263,0.0,0.9357173,0.27514204,0.25389972,0.0,0.8441527,-0.60759026,-0.40580425,0.0
