id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
2479,0.15988898,0.22668044,31.25005,996.09534,171.87527,1.0,1.0,1.0,1.0,0.13340859,0.08181613,0.12469721,0.3049864,0.07147533,0.034935594,0.030120466,0.12688363,0.09721241,0.020933954,0.031271216,0.056085497,0.52528137,0.7259744,0.6856778,0.3049864,0.1726223,0.13633995,0.12823327,0.15303421,0.77138233,-0.22476582,-0.029142153,1.238419,0.50035465,-0.5943366,-0.6461372,0.85754424,0.63392025,-0.81675345,-0.6298541,0.50298923,1.3665905,0.72331655,0.71112126,1.238419,0.8832954,-0.0029816183,-0.016998185,0.9389272
2480,0.17374238,0.19940421,23.437536,1000.0016,171.87527,1.0,1.0,1.0,1.0,0.11846763,0.08160202,0.115292706,0.2543799,0.07322921,0.03727953,0.031907637,0.12955417,0.098672844,0.020603491,0.03255923,0.05764103,0.53077275,0.7183694,0.6731708,0.2543799,0.17885758,0.14214551,0.14706962,0.1682393,0.70867324,-0.22549392,-0.08434409,1.129532,0.4997579,-0.56572443,-0.6422513,0.8365006,0.6292712,-0.82325405,-0.6334718,0.48478094,1.3599821,0.719153,0.68197936,1.129532,0.8875809,0.015538282,0.021377018,0.9499766
2481,0.17374238,0.19940421,23.437536,996.09534,171.87527,1.0,1.0,1.0,1.0,0.11846763,0.08160202,0.115292706,0.2543799,0.07322921,0.03727953,0.031907637,0.12955417,0.098672844,0.020603491,0.03255923,0.05764103,0.53077275,0.7183694,0.6731708,0.2543799,0.17885758,0.14214551,0.14706962,0.1682393,0.70867324,-0.22549392,-0.08434409,1.129532,0.4997579,-0.56572443,-0.6422513,0.8365006,0.6292712,-0.82325405,-0.6334718,0.48478094,1.3599821,0.719153,0.68197936,1.129532,0.8875809,0.015538282,0.021377018,0.9499766
2482,0.19738087,0.1734466,27.343792,996.09534,175.78152,1.0,1.0,1.0,1.0,0.110104516,0.08290278,0.11306105,0.20583,0.07756683,0.040384118,0.032528725,0.13295506,0.09922511,0.02042165,0.031989742,0.060005147,0.5303826,0.70698977,0.66318685,0.20583,0.18272097,0.14930168,0.15923361,0.18301958,0.6665522,-0.21794346,-0.09425925,1.008616,0.5144231,-0.5303019,-0.6353052,0.8188122,0.62136865,-0.82642174,-0.6425615,0.47329587,1.3493363,0.7129006,0.6740637,1.008616,0.88653547,0.03755214,0.054462492,0.9576049
2483,0.19738087,0.1734466,31.25005,996.09534,175.78152,1.0,1.0,1.0,1.0,0.110104516,0.08290278,0.11306105,0.20583,0.07756683,0.040384118,0.032528725,0.13295506,0.09922511,0.02042165,0.031989742,0.060005147,0.5303826,0.70698977,0.66318685,0.20583,0.18272097,0.14930168,0.15923361,0.18301958,0.6665522,-0.21794346,-0.09425925,1.008616,0.5144231,-0.5303019,-0.6353052,0.8188122,0.62136865,-0.82642174,-0.6425615,0.47329587,1.3493363,0.7129006,0.6740637,1.008616,0.88653547,0.03755214,0.054462492,0.9576049
2484,0.22171402,0.16104025,31.25005,1000.0016,175.78152,1.0,1.0,1.0,1.0,0.11339773,0.083249144,0.11155685,0.17989299,0.08197607,0.043751772,0.03287415,0.13330932,0.0979657,0.020493507,0.030675238,0.06142933,0.524378,0.6960462,0.66051215,0.17989299,0.18228252,0.15645938,0.16438161,0.19217631,0.6744346,-0.21794346,-0.09425925,0.9353879,0.5335173,-0.49732757,-0.624901,0.80523425,0.6109043,-0.82670695,-0.65496755,0.4687495,1.3394747,0.7043148,0.6781253,0.9353879,0.88057524,0.056078374,0.07409774,0.96407354
2485,0.22171402,0.16104025,27.343792,1000.0016,175.78152,1.0,1.0,1.0,1.0,0.11339773,0.083249144,0.11155685,0.17989299,0.08197607,0.043751772,0.03287415,0.13330932,0.0979657,0.020493507,0.030675238,0.06142933,0.524378,0.6960462,0.66051215,0.17989299,0.18228252,0.15645938,0.16438161,0.19217631,0.6744346,-0.21794346,-0.09425925,0.9353879,0.5335173,-0.49732757,-0.624901,0.80523425,0.6109043,-0.82670695,-0.65496755,0.4687495,1.3394747,0.7043148,0.6781253,0.9353879,0.88057524,0.056078374,0.07409774,0.96407354
2486,0.22171402,0.16104025,23.437536,1000.0016,175.78152,1.0,1.0,1.0,1.0,0.11339773,0.083249144,0.11155685,0.17989299,0.08197607,0.043751772,0.03287415,0.13330932,0.0979657,0.020493507,0.030675238,0.06142933,0.524378,0.6960462,0.66051215,0.17989299,0.18228252,0.15645938,0.16438161,0.19217631,0.6744346,-0.21794346,-0.09425925,0.9353879,0.5335173,-0.49732757,-0.624901,0.80523425,0.6109043,-0.82670695,-0.65496755,0.4687495,1.3394747,0.7043148,0.6781253,0.9353879,0.88057524,0.056078374,0.07409774,0.96407354
2487,0.22171402,0.16104025,27.343792,1000.0016,175.78152,1.0,1.0,1.0,1.0,0.11339773,0.083249144,0.11155685,0.17989299,0.08197607,0.043751772,0.03287415,0.13330932,0.0979657,0.020493507,0.030675238,0.06142933,0.524378,0.6960462,0.66051215,0.17989299,0.18228252,0.15645938,0.16438161,0.19217631,0.6744346,-0.21794346,-0.09425925,0.9353879,0.5335173,-0.49732757,-0.624901,0.80523425,0.6109043,-0.82670695,-0.65496755,0.4687495,1.3394747,0.7043148,0.6781253,0.9353879,0.88057524,0.056078374,0.07409774,0.96407354
2488,0.23741879,0.15844226,27.343792,996.09534,175.78152,1.0,1.0,1.0,1.0,0.12109824,0.08424763,0.10838489,0.17111328,0.085103,0.046294164,0.033408612,0.13098103,0.09537828,0.020800786,0.029408174,0.061600037,0.5193322,0.6873643,0.6640855,0.17111328,0.17908828,0.16129316,0.1647128,0.19558616,0.7026945,-0.2157712,-0.10252826,0.9112986,0.5495015,-0.47580263,-0.6136386,0.7952233,0.5990061,-0.8232491,-0.66902894,0.46759585,1.3350018,0.69585806,0.684727,0.9112986,0.8726238,0.06628711,0.07923033,0.96935296
2489,0.23903188,0.15932165,31.25005,996.09534,175.78152,1.0,1.0,1.0,1.0,0.12415021,0.08307729,0.105483115,0.17101866,0.086799815,0.04696093,0.034090497,0.12641224,0.09314699,0.021274384,0.02824931,0.06040445,0.5214153,0.6855022,0.67033505,0.17101866,0.17448772,0.16318525,0.16184202,0.19409302,0.71585894,-0.22267503,-0.11174891,0.91908604,0.5604303,-0.47042063,-0.6022985,0.78783166,0.5910803,-0.81430036,-0.683924,0.4671115,1.3390952,0.6938515,0.69136006,0.91908604,0.86367637,0.070523575,0.07415946,0.9740524
2490,0.23903188,0.15932165,31.25005,1000.0016,171.87527,1.0,1.0,1.0,1.0,0.12415021,0.08307729,0.105483115,0.17101866,0.086799815,0.04696093,0.034090497,0.12641224,0.09314699,0.021274384,0.02824931,0.06040445,0.5214153,0.6855022,0.67033505,0.17101866,0.17448772,0.16318525,0.16184202,0.19409302,0.71585894,-0.22267503,-0.11174891,0.91908604,0.5604303,-0.47042063,-0.6022985,0.78783166,0.5910803,-0.81430036,-0.683924,0.4671115,1.3390952,0.6938515,0.69136006,0.91908604,0.86367637,0.070523575,0.07415946,0.9740524
