id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
1401,0.21076176,0.2783022,-179.68777,968.7515,218.75034,1.0,1.0,1.0,1.0,0.357768,0.13948636,0.17146711,0.39645585,0.26582977,0.14313772,0.14575385,0.30339217,0.13514316,0.14818387,0.21702974,0.08709788,0.1090328,0.20546752,0.31268314,0.39645585,0.13222624,0.36372453,0.15306617,0.11020296,0.7720311,-0.19380322,-0.44958946,1.069492,0.6430332,-0.18258084,-0.5201503,0.9533015,0.34922367,-0.167534,-0.34725103,0.41130468,0.25598678,-0.025591753,-0.18866582,1.069492,0.33974725,0.22243765,-0.49889103,0.5134904
1402,0.21076176,0.2783022,-171.87527,980.4703,218.75034,1.0,1.0,1.0,1.0,0.357768,0.13948636,0.17146711,0.39645585,0.26582977,0.14313772,0.14575385,0.30339217,0.13514316,0.14818387,0.21702974,0.08709788,0.1090328,0.20546752,0.31268314,0.39645585,0.13222624,0.36372453,0.15306617,0.11020296,0.7720311,-0.19380322,-0.44958946,1.069492,0.6430332,-0.18258084,-0.5201503,0.9533015,0.34922367,-0.167534,-0.34725103,0.41130468,0.25598678,-0.025591753,-0.18866582,1.069492,0.33974725,0.22243765,-0.49889103,0.5134904
1403,0.21352251,0.28144103,-171.87527,976.564,226.56285,1.0,1.0,1.0,1.0,0.3545675,0.13031755,0.1679452,0.39531758,0.25664747,0.12447512,0.14627913,0.2966013,0.13484395,0.12621361,0.21011616,0.08806384,0.11459095,0.24658112,0.3264059,0.39531758,0.13935015,0.3724126,0.14925358,0.108471304,0.7822305,-0.15780923,-0.44820085,1.0704888,0.6418686,-0.17772958,-0.5081861,0.94571567,0.36236307,-0.17170598,-0.350909,0.41834027,0.29168192,0.11914767,-0.15961045,1.0704888,0.37663907,0.29821223,-0.49944374,0.5088575
1404,0.21352251,0.28144103,-167.96901,972.6578,226.56285,1.0,1.0,1.0,1.0,0.3545675,0.13031755,0.1679452,0.39531758,0.25664747,0.12447512,0.14627913,0.2966013,0.13484395,0.12621361,0.21011616,0.08806384,0.11459095,0.24658112,0.3264059,0.39531758,0.13935015,0.3724126,0.14925358,0.108471304,0.7822305,-0.15780923,-0.44820085,1.0704888,0.6418686,-0.17772958,-0.5081861,0.94571567,0.36236307,-0.17170598,-0.350909,0.41834027,0.29168192,0.11914767,-0.15961045,1.0704888,0.37663907,0.29821223,-0.49944374,0.5088575
1405,0.21770088,0.28878155,-171.87527,972.6578,226.56285,1.0,1.0,1.0,1.0,0.35273495,0.11765986,0.16234963,0.39379117,0.24715613,0.10612824,0.14759667,0.28858784,0.13772325,0.10637784,0.20637469,0.09152292,0.11997901,0.31180036,0.34070945,0.39379117,0.14240664,0.35803372,0.14296956,0.10554852,0.7961584,-0.12589613,-0.45978716,1.0704888,0.64168125,-0.17069349,-0.5011619,0.9355008,0.3877172,-0.1696733,-0.35558203,0.43675262,0.32781518,0.29735214,-0.13785431,1.0704888,0.40224016,0.35739946,-0.51499486,0.49867496
1406,0.21770088,0.28878155,-179.68777,976.564,222.6566,1.0,1.0,1.0,1.0,0.35273495,0.11765986,0.16234963,0.39379117,0.24715613,0.10612824,0.14759667,0.28858784,0.13772325,0.10637784,0.20637469,0.09152292,0.11997901,0.31180036,0.34070945,0.39379117,0.14240664,0.35803372,0.14296956,0.10554852,0.7961584,-0.12589613,-0.45978716,1.0704888,0.64168125,-0.17069349,-0.5011619,0.9355008,0.3877172,-0.1696733,-0.35558203,0.43675262,0.32781518,0.29735214,-0.13785431,1.0704888,0.40224016,0.35739946,-0.51499486,0.49867496
1407,0.21770088,0.28878155,-179.68777,976.564,222.6566,1.0,1.0,1.0,1.0,0.35273495,0.11765986,0.16234963,0.39379117,0.24715613,0.10612824,0.14759667,0.28858784,0.13772325,0.10637784,0.20637469,0.09152292,0.11997901,0.31180036,0.34070945,0.39379117,0.14240664,0.35803372,0.14296956,0.10554852,0.7961584,-0.12589613,-0.45978716,1.0704888,0.64168125,-0.17069349,-0.5011619,0.9355008,0.3877172,-0.1696733,-0.35558203,0.43675262,0.32781518,0.29735214,-0.13785431,1.0704888,0.40224016,0.35739946,-0.51499486,0.49867496
1408,0.21770088,0.28878155,-175.78152,972.6578,222.6566,1.0,1.0,1.0,1.0,0.35273495,0.11765986,0.16234963,0.39379117,0.24715613,0.10612824,0.14759667,0.28858784,0.13772325,0.10637784,0.20637469,0.09152292,0.11997901,0.31180036,0.34070945,0.39379117,0.14240664,0.35803372,0.14296956,0.10554852,0.7961584,-0.12589613,-0.45978716,1.0704888,0.64168125,-0.17069349,-0.5011619,0.9355008,0.3877172,-0.1696733,-0.35558203,0.43675262,0.32781518,0.29735214,-0.13785431,1.0704888,0.40224016,0.35739946,-0.51499486,0.49867496
1409,0.22288121,0.29725125,-175.78152,968.7515,226.56285,1.0,1.0,1.0,1.0,0.35244572,0.11288943,0.15506855,0.39141363,0.23937221,0.09104715,0.1483573,0.28206998,0.14073655,0.088939,0.20460235,0.095619984,0.12561038,0.37523142,0.3563826,0.39141363,0.14183512,0.331893,0.1355892,0.10191776,0.81342614,-0.0616543,-0.48284444,1.0704888,0.6454076,-0.1550412,-0.5020592,0.9282097,0.41474077,-0.16521533,-0.36245754,0.45840147,0.36535943,0.4599916,-0.121451646,1.0704888,0.4181177,0.40669054,-0.54114306,0.48610267
1410,0.22288121,0.29725125,-175.78152,972.6578,226.56285,1.0,1.0,1.0,1.0,0.35244572,0.11288943,0.15506855,0.39141363,0.23937221,0.09104715,0.1483573,0.28206998,0.14073655,0.088939,0.20460235,0.095619984,0.12561038,0.37523142,0.3563826,0.39141363,0.14183512,0.331893,0.1355892,0.10191776,0.81342614,-0.0616543,-0.48284444,1.0704888,0.6454076,-0.1550412,-0.5020592,0.9282097,0.41474077,-0.16521533,-0.36245754,0.45840147,0.36535943,0.4599916,-0.121451646,1.0704888,0.4181177,0.40669054,-0.54114306,0.48610267
