id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
3087,0.18335953,-0.12019368,-128.90645,996.09534,132.81271,1.0,1.0,1.0,1.0,0.27243376,0.25661626,0.21123016,0.43769032,0.23952976,0.17355077,0.12864998,0.1614089,0.090703204,0.13704854,0.10536877,0.08174262,0.08486507,0.2725649,0.46396178,0.43769032,0.31246823,0.16021955,0.09078929,0.17507237,0.30539554,-0.6001975,-0.5196301,0.6941971,0.2494941,-0.7700551,-0.7349763,0.26095766,-0.17224275,-0.87260723,-0.8216741,-0.03452125,-0.2011364,-0.57401174,-0.17790382,0.6941971,0.3649405,-0.8047661,-0.8863514,0.29624778
3088,0.18335953,-0.12019368,-128.90645,996.09534,132.81271,1.0,1.0,1.0,1.0,0.27243376,0.25661626,0.21123016,0.43769032,0.23952976,0.17355077,0.12864998,0.1614089,0.090703204,0.13704854,0.10536877,0.08174262,0.08486507,0.2725649,0.46396178,0.43769032,0.31246823,0.16021955,0.09078929,0.17507237,0.30539554,-0.6001975,-0.5196301,0.6941971,0.2494941,-0.7700551,-0.7349763,0.26095766,-0.17224275,-0.87260723,-0.8216741,-0.03452125,-0.2011364,-0.57401174,-0.17790382,0.6941971,0.3649405,-0.8047661,-0.8863514,0.29624778
3089,0.18335953,-0.12019368,-125.0002,996.09534,136.71896,1.0,1.0,1.0,1.0,0.27243376,0.25661626,0.21123016,0.43769032,0.23952976,0.17355077,0.12864998,0.1614089,0.090703204,0.13704854,0.10536877,0.08174262,0.08486507,0.2725649,0.46396178,0.43769032,0.31246823,0.16021955,0.09078929,0.17507237,0.30539554,-0.6001975,-0.5196301,0.6941971,0.2494941,-0.7700551,-0.7349763,0.26095766,-0.17224275,-0.87260723,-0.8216741,-0.03452125,-0.2011364,-0.57401174,-0.17790382,0.6941971,0.3649405,-0.8047661,-0.8863514,0.29624778
3090,0.18335953,-0.12019368,-125.0002,996.09534,136.71896,1.0,1.0,1.0,1.0,0.27243376,0.25661626,0.21123016,0.43769032,0.23952976,0.17355077,0.12864998,0.1614089,0.090703204,0.13704854,0.10536877,0.08174262,0.08486507,0.2725649,0.46396178,0.43769032,0.31246823,0.16021955,0.09078929,0.17507237,0.30539554,-0.6001975,-0.5196301,0.6941971,0.2494941,-0.7700551,-0.7349763,0.26095766,-0.17224275,-0.87260723,-0.8216741,-0.03452125,-0.2011364,-0.57401174,-0.17790382,0.6941971,0.3649405,-0.8047661,-0.8863514,0.29624778
3091,0.18199301,-0.10920526,-132.81271,1000.0016,136.71896,1.0,1.0,1.0,1.0,0.275754,0.25189194,0.21995853,0.44373745,0.23492955,0.17416768,0.126988,0.15693532,0.09022545,0.14249544,0.10920369,0.08648572,0.088274166,0.26821235,0.45422986,0.44373745,0.31081682,0.1632326,0.08961993,0.16802502,0.31710008,-0.6076318,-0.5196301,0.7104567,0.24751589,-0.7678785,-0.7582082,0.25905138,-0.1680927,-0.8550451,-0.8237336,2.750979E-4,-0.17758814,-0.58036727,-0.20469525,0.7104567,0.36908278,-0.79603916,-0.90956634,0.28870463
3092,0.18199301,-0.10920526,-132.81271,1000.0016,136.71896,1.0,1.0,1.0,1.0,0.275754,0.25189194,0.21995853,0.44373745,0.23492955,0.17416768,0.126988,0.15693532,0.09022545,0.14249544,0.10920369,0.08648572,0.088274166,0.26821235,0.45422986,0.44373745,0.31081682,0.1632326,0.08961993,0.16802502,0.31710008,-0.6076318,-0.5196301,0.7104567,0.24751589,-0.7678785,-0.7582082,0.25905138,-0.1680927,-0.8550451,-0.8237336,2.750979E-4,-0.17758814,-0.58036727,-0.20469525,0.7104567,0.36908278,-0.79603916,-0.90956634,0.28870463
3093,0.17220649,-0.09953378,-136.71896,1000.0016,136.71896,1.0,1.0,1.0,1.0,0.2785349,0.23200883,0.2306539,0.46284607,0.23336966,0.17915992,0.12548429,0.14951997,0.09114365,0.14959416,0.1115981,0.08749838,0.091153525,0.27268872,0.44027984,0.46284607,0.30579826,0.16654837,0.09198388,0.15831727,0.32124883,-0.65179837,-0.51717335,0.7472272,0.24441364,-0.764062,-0.7815448,0.2564898,-0.16390431,-0.8423882,-0.83247733,0.023790652,-0.1638573,-0.5816357,-0.23640534,0.7472272,0.36180428,-0.7957625,-0.9164224,0.28131893
3094,0.17278966,-0.09515759,-132.81271,992.189,136.71896,1.0,1.0,1.0,1.0,0.29087782,0.2103049,0.23987302,0.4710971,0.23348625,0.18523644,0.12352186,0.14685424,0.091553934,0.15647177,0.11150189,0.0879371,0.09315551,0.28223726,0.42647508,0.4710971,0.2909265,0.16574961,0.098628156,0.15366973,0.33857566,-0.7067958,-0.51717335,0.76261014,0.24312636,-0.7619188,-0.8054109,0.25638622,-0.16345792,-0.8352092,-0.8498725,0.033671875,-0.1559264,-0.5790308,-0.2672611,0.76261014,0.33864832,-0.81019264,-0.90315384,0.27608806
3095,0.17278966,-0.09515759,-132.81271,992.189,136.71896,1.0,1.0,1.0,1.0,0.29087782,0.2103049,0.23987302,0.4710971,0.23348625,0.18523644,0.12352186,0.14685424,0.091553934,0.15647177,0.11150189,0.0879371,0.09315551,0.28223726,0.42647508,0.4710971,0.2909265,0.16574961,0.098628156,0.15366973,0.33857566,-0.7067958,-0.51717335,0.76261014,0.24312636,-0.7619188,-0.8054109,0.25638622,-0.16345792,-0.8352092,-0.8498725,0.033671875,-0.1559264,-0.5790308,-0.2672611,0.76261014,0.33864832,-0.81019264,-0.90315384,0.27608806
3096,0.17278966,-0.09515759,-128.90645,1000.0016,140.62521,1.0,1.0,1.0,1.0,0.29087782,0.2103049,0.23987302,0.4710971,0.23348625,0.18523644,0.12352186,0.14685424,0.091553934,0.15647177,0.11150189,0.0879371,0.09315551,0.28223726,0.42647508,0.4710971,0.2909265,0.16574961,0.098628156,0.15366973,0.33857566,-0.7067958,-0.51717335,0.76261014,0.24312636,-0.7619188,-0.8054109,0.25638622,-0.16345792,-0.8352092,-0.8498725,0.033671875,-0.1559264,-0.5790308,-0.2672611,0.76261014,0.33864832,-0.81019264,-0.90315384,0.27608806
