id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
7141,0.73207486,0.28968057,-19.53128,1003.90784,136.71896,1.0,1.0,1.0,1.0,0.51045454,0.21393652,0.17417379,NaN,0.17407055,0.30194145,0.2704301,NaN,0.24569863,0.22489311,0.21814254,NaN,0.035059646,0.1766959,0.25131637,NaN,0.034716617,0.082533024,0.0859372,NaN,1.4402496,-0.21331868,-0.29647076,0.0,0.9730178,-0.06368085,-0.105398506,0.0,1.1226952,-0.19162746,-0.19871317,0.0,0.2771,-0.29637715,-0.13723277,0.0,0.2728299,-0.62697583,-0.6032723,0.0
7142,0.73207486,0.28968057,-15.625025,1003.90784,136.71896,1.0,1.0,1.0,1.0,0.51045454,0.21393652,0.17417379,NaN,0.17407055,0.30194145,0.2704301,NaN,0.24569863,0.22489311,0.21814254,NaN,0.035059646,0.1766959,0.25131637,NaN,0.034716617,0.082533024,0.0859372,NaN,1.4402496,-0.21331868,-0.29647076,0.0,0.9730178,-0.06368085,-0.105398506,0.0,1.1226952,-0.19162746,-0.19871317,0.0,0.2771,-0.29637715,-0.13723277,0.0,0.2728299,-0.62697583,-0.6032723,0.0
7143,0.72550213,0.27920112,-11.718768,1007.8141,136.71896,1.0,1.0,1.0,1.0,0.51399386,0.22223982,0.17291363,NaN,0.16706063,0.2963927,0.27264518,NaN,0.24886265,0.23035766,0.21431886,NaN,0.036662605,0.1687929,0.25644532,NaN,0.03342023,0.082216896,0.08367704,NaN,1.4183404,-0.21904504,-0.31744128,0.0,0.9302566,-0.093999416,-0.11967269,0.0,1.1033422,-0.20346425,-0.2242101,0.0,0.27160582,-0.33851275,-0.14627571,0.0,0.23139192,-0.65090585,-0.6326642,0.0
7144,0.72550213,0.27920112,-7.8125124,1000.0016,140.62521,1.0,1.0,1.0,1.0,0.51399386,0.22223982,0.17291363,NaN,0.16706063,0.2963927,0.27264518,NaN,0.24886265,0.23035766,0.21431886,NaN,0.036662605,0.1687929,0.25644532,NaN,0.03342023,0.082216896,0.08367704,NaN,1.4183404,-0.21904504,-0.31744128,0.0,0.9302566,-0.093999416,-0.11967269,0.0,1.1033422,-0.20346425,-0.2242101,0.0,0.27160582,-0.33851275,-0.14627571,0.0,0.23139192,-0.65090585,-0.6326642,0.0
7145,0.72021365,0.26908246,-7.8125124,1003.90784,144.53148,1.0,1.0,1.0,1.0,0.5202389,0.22730424,0.1623187,NaN,0.15774767,0.29642478,0.27695507,NaN,0.25231388,0.23531179,0.21013811,NaN,0.03733381,0.15846327,0.26987574,NaN,0.032365754,0.082495905,0.08071237,NaN,1.400712,-0.23593639,-0.3602801,0.0,0.88247216,-0.1206294,-0.12823933,0.0,1.0864503,-0.22090024,-0.24814385,0.0,0.25661153,-0.3926153,-0.13948484,0.0,0.19459493,-0.6761115,-0.66370857,0.0
7146,0.72021365,0.26908246,-11.718768,1003.90784,144.53148,1.0,1.0,1.0,1.0,0.5202389,0.22730424,0.1623187,NaN,0.15774767,0.29642478,0.27695507,NaN,0.25231388,0.23531179,0.21013811,NaN,0.03733381,0.15846327,0.26987574,NaN,0.032365754,0.082495905,0.08071237,NaN,1.400712,-0.23593639,-0.3602801,0.0,0.88247216,-0.1206294,-0.12823933,0.0,1.0864503,-0.22090024,-0.24814385,0.0,0.25661153,-0.3926153,-0.13948484,0.0,0.19459493,-0.6761115,-0.66370857,0.0
7147,0.72021365,0.26908246,-15.625025,1003.90784,144.53148,1.0,1.0,1.0,1.0,0.5202389,0.22730424,0.1623187,NaN,0.15774767,0.29642478,0.27695507,NaN,0.25231388,0.23531179,0.21013811,NaN,0.03733381,0.15846327,0.26987574,NaN,0.032365754,0.082495905,0.08071237,NaN,1.400712,-0.23593639,-0.3602801,0.0,0.88247216,-0.1206294,-0.12823933,0.0,1.0864503,-0.22090024,-0.24814385,0.0,0.25661153,-0.3926153,-0.13948484,0.0,0.19459493,-0.6761115,-0.66370857,0.0
7148,0.72021365,0.26908246,-19.53128,1007.8141,144.53148,1.0,1.0,1.0,1.0,0.5202389,0.22730424,0.1623187,NaN,0.15774767,0.29642478,0.27695507,NaN,0.25231388,0.23531179,0.21013811,NaN,0.03733381,0.15846327,0.26987574,NaN,0.032365754,0.082495905,0.08071237,NaN,1.400712,-0.23593639,-0.3602801,0.0,0.88247216,-0.1206294,-0.12823933,0.0,1.0864503,-0.22090024,-0.24814385,0.0,0.25661153,-0.3926153,-0.13948484,0.0,0.19459493,-0.6761115,-0.66370857,0.0
7149,0.7203321,0.2625814,-19.53128,1007.8141,144.53148,1.0,1.0,1.0,1.0,0.53473043,0.2342438,0.15369172,NaN,0.14527324,0.30012405,0.27824354,NaN,0.25152108,0.23855942,0.20651315,NaN,0.036462367,0.14382146,0.2858285,NaN,0.032012876,0.083251275,0.075723074,NaN,1.401107,-0.25029814,-0.39122048,0.0,0.83515763,-0.14266545,-0.1334459,0.0,1.0735464,-0.24236967,-0.26292327,0.0,0.2348169,-0.46214256,-0.121765435,0.0,0.1782967,-0.69957536,-0.69864273,0.0
7150,0.71638817,0.25588673,-31.25005,1003.90784,140.62521,1.0,1.0,1.0,1.0,0.5373642,0.22899432,0.14390996,NaN,0.1380127,0.30871654,0.27578416,NaN,0.2546338,0.24481714,0.20742656,NaN,0.0361254,0.13074589,0.3031505,NaN,0.033863913,0.08672612,0.0697288,NaN,1.3879606,-0.2955506,-0.42465824,0.0,0.7976109,-0.16581544,-0.14217974,0.0,1.0636079,-0.2665335,-0.2658847,0.0,0.21550447,-0.5389473,-0.101090774,0.0,0.18742897,-0.7172254,-0.7393369,0.0
