id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
1356,0.3,-0.19805223,-191.40656,968.7515,246.09413,1.0,1.0,1.0,4.0,NaN,0.25919682,0.22613607,NaN,NaN,0.15902716,0.18345039,NaN,NaN,0.097967714,0.21817231,NaN,NaN,0.3407463,0.22321619,NaN,NaN,0.14306198,0.14902504,NaN,0.0,-0.4333702,-0.6139046,0.0,0.0,-0.64552855,-0.70475584,0.0,0.0,-0.8559169,-0.6294748,0.0,0.0,-0.3145687,-0.6195488,0.0,0.0,-0.69147563,-0.7950152,0.0
1357,0.3,-0.19570145,-191.40656,968.7515,246.09413,1.0,1.0,1.0,4.0,NaN,0.27928996,0.21470205,NaN,NaN,0.15814772,0.18016535,NaN,NaN,0.108876504,0.2076278,NaN,NaN,0.31042886,0.25014415,NaN,NaN,0.14325693,0.14736064,NaN,0.0,-0.40944815,-0.6346407,0.0,0.0,-0.65644056,-0.7108056,0.0,0.0,-0.81856936,-0.6491914,0.0,0.0,-0.36354142,-0.56828654,0.0,0.0,-0.69938785,-0.7980954,0.0
1358,0.3,-0.19570145,-191.40656,968.7515,246.09413,1.0,1.0,1.0,4.0,NaN,0.27928996,0.21470205,NaN,NaN,0.15814772,0.18016535,NaN,NaN,0.108876504,0.2076278,NaN,NaN,0.31042886,0.25014415,NaN,NaN,0.14325693,0.14736064,NaN,0.0,-0.40944815,-0.6346407,0.0,0.0,-0.65644056,-0.7108056,0.0,0.0,-0.81856936,-0.6491914,0.0,0.0,-0.36354142,-0.56828654,0.0,0.0,-0.69938785,-0.7980954,0.0
1359,0.3,-0.19355826,-191.40656,968.7515,246.09413,1.0,1.0,1.0,4.0,NaN,0.29362875,0.2016562,NaN,NaN,0.15807563,0.17202172,NaN,NaN,0.1209697,0.18618226,NaN,NaN,0.28467205,0.2918487,NaN,NaN,0.14265387,0.14829111,NaN,0.0,-0.39283788,-0.6390539,0.0,0.0,-0.66177154,-0.7080822,0.0,0.0,-0.7779598,-0.67372715,0.0,0.0,-0.4062916,-0.4785077,0.0,0.0,-0.7063529,-0.77255034,0.0
1360,0.3,-0.19355826,-191.40656,964.8453,246.09413,1.0,1.0,1.0,4.0,NaN,0.29362875,0.2016562,NaN,NaN,0.15807563,0.17202172,NaN,NaN,0.1209697,0.18618226,NaN,NaN,0.28467205,0.2918487,NaN,NaN,0.14265387,0.14829111,NaN,0.0,-0.39283788,-0.6390539,0.0,0.0,-0.66177154,-0.7080822,0.0,0.0,-0.7779598,-0.67372715,0.0,0.0,-0.4062916,-0.4785077,0.0,0.0,-0.7063529,-0.77255034,0.0
1361,0.3,-0.19355826,-191.40656,968.7515,246.09413,1.0,1.0,1.0,4.0,NaN,0.29362875,0.2016562,NaN,NaN,0.15807563,0.17202172,NaN,NaN,0.1209697,0.18618226,NaN,NaN,0.28467205,0.2918487,NaN,NaN,0.14265387,0.14829111,NaN,0.0,-0.39283788,-0.6390539,0.0,0.0,-0.66177154,-0.7080822,0.0,0.0,-0.7779598,-0.67372715,0.0,0.0,-0.4062916,-0.4785077,0.0,0.0,-0.7063529,-0.77255034,0.0
1362,0.3,-0.19355826,-191.40656,968.7515,246.09413,1.0,1.0,1.0,4.0,NaN,0.29362875,0.2016562,NaN,NaN,0.15807563,0.17202172,NaN,NaN,0.1209697,0.18618226,NaN,NaN,0.28467205,0.2918487,NaN,NaN,0.14265387,0.14829111,NaN,0.0,-0.39283788,-0.6390539,0.0,0.0,-0.66177154,-0.7080822,0.0,0.0,-0.7779598,-0.67372715,0.0,0.0,-0.4062916,-0.4785077,0.0,0.0,-0.7063529,-0.77255034,0.0
1363,0.3,-0.19217545,-191.40656,968.7515,246.09413,1.0,1.0,1.0,4.0,NaN,0.28619045,0.19163747,NaN,NaN,0.15829007,0.15817355,NaN,NaN,0.13020363,0.15676142,NaN,NaN,0.28358188,0.3433804,NaN,NaN,0.14173396,0.1500472,NaN,0.0,-0.39923203,-0.6128106,0.0,0.0,-0.65643346,-0.6961572,0.0,0.0,-0.74126405,-0.70005184,0.0,0.0,-0.40320867,-0.35951558,0.0,0.0,-0.7044132,-0.71906316,0.0
1364,0.3,-0.19138236,-183.59404,972.6578,246.09413,1.0,1.0,1.0,4.0,NaN,0.2627486,0.16248494,NaN,NaN,0.15484518,0.14459413,NaN,NaN,0.13175109,0.12986055,NaN,NaN,0.31018206,0.40457365,NaN,NaN,0.14047305,0.15848674,NaN,0.0,-0.4117543,-0.6264913,0.0,0.0,-0.64139706,-0.6771537,0.0,0.0,-0.7115405,-0.7238272,0.0,0.0,-0.33967805,-0.23030682,0.0,0.0,-0.6837017,-0.63731146,0.0
1365,0.3,-0.19138236,-187.50029,964.8453,246.09413,1.0,1.0,1.0,4.0,NaN,0.2627486,0.16248494,NaN,NaN,0.15484518,0.14459413,NaN,NaN,0.13175109,0.12986055,NaN,NaN,0.31018206,0.40457365,NaN,NaN,0.14047305,0.15848674,NaN,0.0,-0.4117543,-0.6264913,0.0,0.0,-0.64139706,-0.6771537,0.0,0.0,-0.7115405,-0.7238272,0.0,0.0,-0.33967805,-0.23030682,0.0,0.0,-0.6837017,-0.63731146,0.0
