id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
1753,0.3,-0.20962766,-453.1257,906.2514,89.84389,1.0,1.0,1.0,4.0,NaN,0.2891762,0.29150707,NaN,NaN,0.15532286,0.24870676,NaN,NaN,0.15745132,0.21009438,NaN,NaN,0.31620613,0.14371315,NaN,NaN,0.08184349,0.10597864,NaN,0.0,-0.51005465,-0.6559018,0.0,0.0,-0.7799818,-0.72486335,0.0,0.0,-0.7740709,-0.7981365,0.0,0.0,-0.47124693,-0.9630544,0.0,0.0,-1.0582331,-1.0953326,0.0
1754,0.3,-0.20962766,-449.21945,906.2514,93.750145,1.0,1.0,1.0,4.0,NaN,0.2891762,0.29150707,NaN,NaN,0.15532286,0.24870676,NaN,NaN,0.15745132,0.21009438,NaN,NaN,0.31620613,0.14371315,NaN,NaN,0.08184349,0.10597864,NaN,0.0,-0.51005465,-0.6559018,0.0,0.0,-0.7799818,-0.72486335,0.0,0.0,-0.7740709,-0.7981365,0.0,0.0,-0.47124693,-0.9630544,0.0,0.0,-1.0582331,-1.0953326,0.0
1755,0.3,-0.21204102,-449.21945,906.2514,93.750145,1.0,1.0,1.0,4.0,NaN,0.27020857,0.29612318,NaN,NaN,0.15699637,0.23614562,NaN,NaN,0.1490942,0.21181895,NaN,NaN,0.34766212,0.14413796,NaN,NaN,0.07603874,0.11177428,NaN,0.0,-0.5355582,-0.6510035,0.0,0.0,-0.7713677,-0.749296,0.0,0.0,-0.7937966,-0.79651105,0.0,0.0,-0.4261,-0.9636975,0.0,0.0,-1.0862225,-1.074134,0.0
1756,0.3,-0.21204102,-449.21945,906.2514,93.750145,1.0,1.0,1.0,4.0,NaN,0.27020857,0.29612318,NaN,NaN,0.15699637,0.23614562,NaN,NaN,0.1490942,0.21181895,NaN,NaN,0.34766212,0.14413796,NaN,NaN,0.07603874,0.11177428,NaN,0.0,-0.5355582,-0.6510035,0.0,0.0,-0.7713677,-0.749296,0.0,0.0,-0.7937966,-0.79651105,0.0,0.0,-0.4261,-0.9636975,0.0,0.0,-1.0862225,-1.074134,0.0
1757,0.3,-0.21446133,-453.1257,906.2514,89.84389,1.0,1.0,1.0,4.0,NaN,0.25900903,0.30340695,NaN,NaN,0.15929995,0.2227711,NaN,NaN,0.14253734,0.21425907,NaN,NaN,0.3671253,0.14345342,NaN,NaN,0.072028354,0.11610946,NaN,0.0,-0.55223465,-0.6457528,0.0,0.0,-0.76333386,-0.77991945,0.0,0.0,-0.8116209,-0.7968391,0.0,0.0,-0.4007352,-0.9710674,0.0,0.0,-1.108046,-1.0629107,0.0
1758,0.3,-0.21446133,-453.1257,906.2514,93.750145,1.0,1.0,1.0,4.0,NaN,0.25900903,0.30340695,NaN,NaN,0.15929995,0.2227711,NaN,NaN,0.14253734,0.21425907,NaN,NaN,0.3671253,0.14345342,NaN,NaN,0.072028354,0.11610946,NaN,0.0,-0.55223465,-0.6457528,0.0,0.0,-0.76333386,-0.77991945,0.0,0.0,-0.8116209,-0.7968391,0.0,0.0,-0.4007352,-0.9710674,0.0,0.0,-1.108046,-1.0629107,0.0
1759,0.3,-0.21446133,-453.1257,906.2514,93.750145,1.0,1.0,1.0,4.0,NaN,0.25900903,0.30340695,NaN,NaN,0.15929995,0.2227711,NaN,NaN,0.14253734,0.21425907,NaN,NaN,0.3671253,0.14345342,NaN,NaN,0.072028354,0.11610946,NaN,0.0,-0.55223465,-0.6457528,0.0,0.0,-0.76333386,-0.77991945,0.0,0.0,-0.8116209,-0.7968391,0.0,0.0,-0.4007352,-0.9710674,0.0,0.0,-1.108046,-1.0629107,0.0
1760,0.3,-0.21733749,-453.1257,906.2514,93.750145,1.0,1.0,1.0,4.0,NaN,0.25852817,0.3108202,NaN,NaN,0.15998971,0.21252495,NaN,NaN,0.13703291,0.21574108,NaN,NaN,0.37634373,0.14101075,NaN,NaN,0.06810548,0.119903035,NaN,0.0,-0.55223465,-0.6435373,0.0,0.0,-0.76065046,-0.80863655,0.0,0.0,-0.8279176,-0.80211365,0.0,0.0,-0.3891578,-0.98679423,0.0,0.0,-1.1315604,-1.0572163,0.0
1761,0.3,-0.21733749,-453.1257,902.34515,97.6564,1.0,1.0,1.0,4.0,NaN,0.25852817,0.3108202,NaN,NaN,0.15998971,0.21252495,NaN,NaN,0.13703291,0.21574108,NaN,NaN,0.37634373,0.14101075,NaN,NaN,0.06810548,0.119903035,NaN,0.0,-0.55223465,-0.6435373,0.0,0.0,-0.76065046,-0.80863655,0.0,0.0,-0.8279176,-0.80211365,0.0,0.0,-0.3891578,-0.98679423,0.0,0.0,-1.1315604,-1.0572163,0.0
1762,0.3,-0.2214411,-453.1257,906.2514,97.6564,1.0,1.0,1.0,4.0,NaN,0.25881577,0.31825262,NaN,NaN,0.1594327,0.20649815,NaN,NaN,0.13240299,0.21354075,NaN,NaN,0.38367254,0.13785204,NaN,NaN,0.065676026,0.12385645,NaN,0.0,-0.55427814,-0.64214593,0.0,0.0,-0.7646915,-0.8300018,0.0,0.0,-0.84537107,-0.8154372,0.0,0.0,-0.38330817,-1.0055047,0.0,0.0,-1.149862,-1.0519993,0.0
1763,0.3,-0.2214411,-453.1257,910.15765,97.6564,1.0,1.0,1.0,4.0,NaN,0.25881577,0.31825262,NaN,NaN,0.1594327,0.20649815,NaN,NaN,0.13240299,0.21354075,NaN,NaN,0.38367254,0.13785204,NaN,NaN,0.065676026,0.12385645,NaN,0.0,-0.55427814,-0.64214593,0.0,0.0,-0.7646915,-0.8300018,0.0,0.0,-0.84537107,-0.8154372,0.0,0.0,-0.38330817,-1.0055047,0.0,0.0,-1.149862,-1.0519993,0.0
1764,0.3,-0.22696002,-453.1257,906.2514,93.750145,1.0,1.0,1.0,4.0,NaN,0.25956538,0.3354079,NaN,NaN,0.15791285,0.20116398,NaN,NaN,0.12760998,0.2044651,NaN,NaN,0.3901361,0.13361083,NaN,NaN,0.06477568,0.12535217,NaN,0.0,-0.55709827,-0.6217856,0.0,0.0,-0.7729276,-0.8438087,0.0,0.0,-0.86546046,-0.8367397,0.0,0.0,-0.38012898,-1.0215173,0.0,0.0,-1.1599331,-1.049227,0.0
