id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
2237,0.24102059,0.5007385,-113.281425,1003.90784,93.750145,1.0,1.0,1.0,1.0,0.15975142,0.20033488,0.120360196,0.1736631,0.22249044,0.17851709,0.0976701,0.24393196,0.40612453,0.36425123,0.15572736,0.22474961,0.11456458,0.20415834,0.59213716,0.1736631,0.097069025,0.05273848,0.03410521,0.25169435,0.8455057,-0.27037534,-0.6380375,1.0421038,0.9893723,-0.32045215,-0.7287587,1.189665,1.2507201,-0.010730918,-0.5261555,1.1540952,0.7011113,-0.26216483,0.05390194,1.0421038,0.6291416,-0.8500043,-1.1856996,1.2032697
2238,0.24102059,0.5007385,-113.281425,1003.90784,101.56266,1.0,1.0,1.0,1.0,0.15975142,0.20033488,0.120360196,0.1736631,0.22249044,0.17851709,0.0976701,0.24393196,0.40612453,0.36425123,0.15572736,0.22474961,0.11456458,0.20415834,0.59213716,0.1736631,0.097069025,0.05273848,0.03410521,0.25169435,0.8455057,-0.27037534,-0.6380375,1.0421038,0.9893723,-0.32045215,-0.7287587,1.189665,1.2507201,-0.010730918,-0.5261555,1.1540952,0.7011113,-0.26216483,0.05390194,1.0421038,0.6291416,-0.8500043,-1.1856996,1.2032697
2239,0.24102059,0.5007385,-117.18768,1000.0016,105.46892,1.0,1.0,1.0,1.0,0.15975142,0.20033488,0.120360196,0.1736631,0.22249044,0.17851709,0.0976701,0.24393196,0.40612453,0.36425123,0.15572736,0.22474961,0.11456458,0.20415834,0.59213716,0.1736631,0.097069025,0.05273848,0.03410521,0.25169435,0.8455057,-0.27037534,-0.6380375,1.0421038,0.9893723,-0.32045215,-0.7287587,1.189665,1.2507201,-0.010730918,-0.5261555,1.1540952,0.7011113,-0.26216483,0.05390194,1.0421038,0.6291416,-0.8500043,-1.1856996,1.2032697
2240,0.26608133,0.5112516,-132.81271,1003.90784,97.6564,1.0,1.0,1.0,1.0,0.17861603,0.2180641,0.12609476,0.1736631,0.19218315,0.17760248,0.09585489,0.24393196,0.4121419,0.35701716,0.15141572,0.22474961,0.12516402,0.19042663,0.58959943,0.1736631,0.091894895,0.05688962,0.037035197,0.25169435,0.9290415,-0.25346342,-0.62313706,1.0421038,0.9608364,-0.34259856,-0.7422198,1.189665,1.2921679,-0.039358504,-0.54366314,1.1540952,0.77460057,-0.3123199,0.046722982,1.0421038,0.64041245,-0.83701456,-1.1552194,1.2032697
2241,0.26608133,0.5112516,-132.81271,1000.0016,97.6564,1.0,1.0,1.0,1.0,0.17861603,0.2180641,0.12609476,0.1736631,0.19218315,0.17760248,0.09585489,0.24393196,0.4121419,0.35701716,0.15141572,0.22474961,0.12516402,0.19042663,0.58959943,0.1736631,0.091894895,0.05688962,0.037035197,0.25169435,0.9290415,-0.25346342,-0.62313706,1.0421038,0.9608364,-0.34259856,-0.7422198,1.189665,1.2921679,-0.039358504,-0.54366314,1.1540952,0.77460057,-0.3123199,0.046722982,1.0421038,0.64041245,-0.83701456,-1.1552194,1.2032697
2242,0.28421944,0.521644,-128.90645,1011.72034,93.750145,1.0,1.0,1.0,1.0,0.18535198,0.22895725,0.13442591,0.1736631,0.17272009,0.17981681,0.095624246,0.24393196,0.42408586,0.34783483,0.14739554,0.22474961,0.13234223,0.18257393,0.5822684,0.1736631,0.085499845,0.060817175,0.040285885,0.25169435,0.98950183,-0.24489674,-0.59905297,1.0421038,0.9588474,-0.34982085,-0.7469679,1.189665,1.3489584,-0.063278094,-0.55905163,1.1540952,0.84320307,-0.3432124,0.03758729,1.0421038,0.6534699,-0.82062495,-1.122383,1.2032697
2243,0.28421944,0.521644,-128.90645,1007.8141,93.750145,1.0,1.0,1.0,1.0,0.18535198,0.22895725,0.13442591,0.1736631,0.17272009,0.17981681,0.095624246,0.24393196,0.42408586,0.34783483,0.14739554,0.22474961,0.13234223,0.18257393,0.5822684,0.1736631,0.085499845,0.060817175,0.040285885,0.25169435,0.98950183,-0.24489674,-0.59905297,1.0421038,0.9588474,-0.34982085,-0.7469679,1.189665,1.3489584,-0.063278094,-0.55905163,1.1540952,0.84320307,-0.3432124,0.03758729,1.0421038,0.6534699,-0.82062495,-1.122383,1.2032697
2244,0.28421944,0.521644,-117.18768,1000.0016,93.750145,1.0,1.0,1.0,1.0,0.18535198,0.22895725,0.13442591,0.1736631,0.17272009,0.17981681,0.095624246,0.24393196,0.42408586,0.34783483,0.14739554,0.22474961,0.13234223,0.18257393,0.5822684,0.1736631,0.085499845,0.060817175,0.040285885,0.25169435,0.98950183,-0.24489674,-0.59905297,1.0421038,0.9588474,-0.34982085,-0.7469679,1.189665,1.3489584,-0.063278094,-0.55905163,1.1540952,0.84320307,-0.3432124,0.03758729,1.0421038,0.6534699,-0.82062495,-1.122383,1.2032697
2245,0.28421944,0.521644,-121.09394,1000.0016,85.93764,1.0,1.0,1.0,1.0,0.18535198,0.22895725,0.13442591,0.1736631,0.17272009,0.17981681,0.095624246,0.24393196,0.42408586,0.34783483,0.14739554,0.22474961,0.13234223,0.18257393,0.5822684,0.1736631,0.085499845,0.060817175,0.040285885,0.25169435,0.98950183,-0.24489674,-0.59905297,1.0421038,0.9588474,-0.34982085,-0.7469679,1.189665,1.3489584,-0.063278094,-0.55905163,1.1540952,0.84320307,-0.3432124,0.03758729,1.0421038,0.6534699,-0.82062495,-1.122383,1.2032697
2246,0.29355302,0.52895725,-125.0002,1007.8141,93.750145,1.0,1.0,1.0,1.0,0.18168582,0.24593042,0.14009929,0.1736631,0.1639449,0.18003872,0.09752576,0.24393196,0.4376735,0.33324906,0.14390077,0.22474961,0.13723727,0.17900762,0.575298,0.1736631,0.07945852,0.061774183,0.043176167,0.25169435,1.0206138,-0.20887184,-0.5867886,1.0421038,0.9759907,-0.34431818,-0.74410516,1.189665,1.402443,-0.07691515,-0.5751614,1.1540952,0.89876485,-0.34681255,0.02666834,1.0421038,0.6614333,-0.80887705,-1.0979805,1.2032697
