id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
7948,0.3,0.15179962,-11.718768,1019.53284,89.84389,4.0,1.0,1.0,4.0,NaN,0.11921135,0.2719767,NaN,NaN,0.05837911,0.12944359,NaN,NaN,0.08784536,0.1285816,NaN,NaN,0.6016473,0.34136918,NaN,NaN,0.13291687,0.12862895,NaN,0.0,0.7061374,0.8903115,0.0,0.0,0.39607725,0.5678603,0.0,0.0,0.5735386,0.5649586,0.0,0.0,1.4091618,0.9890041,0.0,0.0,0.7533999,0.5651185,0.0
7949,0.3,0.15179962,-3.9062562,1023.4391,89.84389,4.0,1.0,1.0,4.0,NaN,0.11921135,0.2719767,NaN,NaN,0.05837911,0.12944359,NaN,NaN,0.08784536,0.1285816,NaN,NaN,0.6016473,0.34136918,NaN,NaN,0.13291687,0.12862895,NaN,0.0,0.7061374,0.8903115,0.0,0.0,0.39607725,0.5678603,0.0,0.0,0.5735386,0.5649586,0.0,0.0,1.4091618,0.9890041,0.0,0.0,0.7533999,0.5651185,0.0
7950,0.3,0.15124267,-19.53128,988.2828,78.12512,4.0,1.0,1.0,4.0,NaN,0.12414076,0.27660012,NaN,NaN,0.060794387,0.13149677,NaN,NaN,0.09162911,0.12930179,NaN,NaN,0.5928713,0.33996868,NaN,NaN,0.1305644,0.12263264,NaN,0.0,0.7061374,0.8903115,0.0,0.0,0.39608645,0.5673742,0.0,0.0,0.5742564,0.5600636,0.0,0.0,1.3851835,0.979898,0.0,0.0,0.7280478,0.53706515,0.0
7951,0.3,0.15124267,-3.9062562,1007.8141,82.03138,4.0,1.0,1.0,4.0,NaN,0.12414076,0.27660012,NaN,NaN,0.060794387,0.13149677,NaN,NaN,0.09162911,0.12930179,NaN,NaN,0.5928713,0.33996868,NaN,NaN,0.1305644,0.12263264,NaN,0.0,0.7061374,0.8903115,0.0,0.0,0.39608645,0.5673742,0.0,0.0,0.5742564,0.5600636,0.0,0.0,1.3851835,0.979898,0.0,0.0,0.7280478,0.53706515,0.0
7952,0.3,0.15124267,3.9062562,1003.90784,82.03138,4.0,1.0,1.0,4.0,NaN,0.12414076,0.27660012,NaN,NaN,0.060794387,0.13149677,NaN,NaN,0.09162911,0.12930179,NaN,NaN,0.5928713,0.33996868,NaN,NaN,0.1305644,0.12263264,NaN,0.0,0.7061374,0.8903115,0.0,0.0,0.39608645,0.5673742,0.0,0.0,0.5742564,0.5600636,0.0,0.0,1.3851835,0.979898,0.0,0.0,0.7280478,0.53706515,0.0
7953,0.3,0.15124267,15.625025,1007.8141,82.03138,4.0,1.0,1.0,4.0,NaN,0.12414076,0.27660012,NaN,NaN,0.060794387,0.13149677,NaN,NaN,0.09162911,0.12930179,NaN,NaN,0.5928713,0.33996868,NaN,NaN,0.1305644,0.12263264,NaN,0.0,0.7061374,0.8903115,0.0,0.0,0.39608645,0.5673742,0.0,0.0,0.5742564,0.5600636,0.0,0.0,1.3851835,0.979898,0.0,0.0,0.7280478,0.53706515,0.0
7954,0.3,0.14997102,15.625025,1011.72034,82.03138,4.0,1.0,1.0,4.0,NaN,0.12845016,0.28152034,NaN,NaN,0.0626156,0.13265873,NaN,NaN,0.09446282,0.12921631,NaN,NaN,0.59004307,0.34219778,NaN,NaN,0.12442838,0.11440685,NaN,0.0,0.7061374,0.8903115,0.0,0.0,0.39408535,0.56353754,0.0,0.0,0.57266366,0.552119,0.0,0.0,1.3682865,0.9750789,0.0,0.0,0.6923222,0.4992537,0.0
7955,0.3,0.14997102,15.625025,1011.72034,78.12512,4.0,1.0,1.0,4.0,NaN,0.12845016,0.28152034,NaN,NaN,0.0626156,0.13265873,NaN,NaN,0.09446282,0.12921631,NaN,NaN,0.59004307,0.34219778,NaN,NaN,0.12442838,0.11440685,NaN,0.0,0.7061374,0.8903115,0.0,0.0,0.39408535,0.56353754,0.0,0.0,0.57266366,0.552119,0.0,0.0,1.3682865,0.9750789,0.0,0.0,0.6923222,0.4992537,0.0
7956,0.3,0.14829837,31.25005,1011.72034,78.12512,4.0,1.0,1.0,4.0,NaN,0.13267094,0.28579935,NaN,NaN,0.06377653,0.13289236,NaN,NaN,0.096191734,0.12926716,NaN,NaN,0.5924774,0.34788367,NaN,NaN,0.1148834,0.10415745,NaN,0.0,0.7061374,0.8903115,0.0,0.0,0.38802242,0.5577502,0.0,0.0,0.56649935,0.5457384,0.0,0.0,1.3560333,0.9756843,0.0,0.0,0.6436189,0.45194054,0.0
7957,0.3,0.14829837,31.25005,1011.72034,78.12512,4.0,1.0,1.0,4.0,NaN,0.13267094,0.28579935,NaN,NaN,0.06377653,0.13289236,NaN,NaN,0.096191734,0.12926716,NaN,NaN,0.5924774,0.34788367,NaN,NaN,0.1148834,0.10415745,NaN,0.0,0.7061374,0.8903115,0.0,0.0,0.38802242,0.5577502,0.0,0.0,0.56649935,0.5457384,0.0,0.0,1.3560333,0.9756843,0.0,0.0,0.6436189,0.45194054,0.0
7958,0.3,0.14563431,27.343792,1011.72034,78.12512,4.0,1.0,1.0,4.0,NaN,0.13924439,0.29053727,NaN,NaN,0.06465732,0.13232882,NaN,NaN,0.096349016,0.13041727,NaN,NaN,0.5967156,0.3535405,NaN,NaN,0.103033654,0.09317613,NaN,0.0,0.70974296,0.8903115,0.0,0.0,0.37658298,0.54876405,0.0,0.0,0.54981256,0.54244477,0.0,0.0,1.3417326,0.9755488,0.0,0.0,0.5789444,0.39641425,0.0
7959,0.3,0.14563431,19.53128,1003.90784,82.03138,4.0,1.0,1.0,4.0,NaN,0.13924439,0.29053727,NaN,NaN,0.06465732,0.13232882,NaN,NaN,0.096349016,0.13041727,NaN,NaN,0.5967156,0.3535405,NaN,NaN,0.103033654,0.09317613,NaN,0.0,0.70974296,0.8903115,0.0,0.0,0.37658298,0.54876405,0.0,0.0,0.54981256,0.54244477,0.0,0.0,1.3417326,0.9755488,0.0,0.0,0.5789444,0.39641425,0.0
7960,0.3,0.14563431,15.625025,1011.72034,78.12512,4.0,1.0,1.0,4.0,NaN,0.13924439,0.29053727,NaN,NaN,0.06465732,0.13232882,NaN,NaN,0.096349016,0.13041727,NaN,NaN,0.5967156,0.3535405,NaN,NaN,0.103033654,0.09317613,NaN,0.0,0.70974296,0.8903115,0.0,0.0,0.37658298,0.54876405,0.0,0.0,0.54981256,0.54244477,0.0,0.0,1.3417326,0.9755488,0.0,0.0,0.5789444,0.39641425,0.0
7961,0.3,0.14076452,15.625025,1015.6266,78.12512,4.0,1.0,1.0,4.0,NaN,0.14149912,0.2988628,NaN,NaN,0.066215,0.13227682,NaN,NaN,0.09563506,0.13337931,NaN,NaN,0.6046642,0.35354307,NaN,NaN,0.09198664,0.08193801,NaN,0.0,0.6859425,0.8903115,0.0,0.0,0.3561451,0.53632337,0.0,0.0,0.51580584,0.5399281,0.0,0.0,1.316703,0.9632819,0.0,0.0,0.4989135,0.32832503,0.0
7962,0.3,0.14076452,11.718768,1007.8141,74.218864,4.0,1.0,1.0,4.0,NaN,0.14149912,0.2988628,NaN,NaN,0.066215,0.13227682,NaN,NaN,0.09563506,0.13337931,NaN,NaN,0.6046642,0.35354307,NaN,NaN,0.09198664,0.08193801,NaN,0.0,0.6859425,0.8903115,0.0,0.0,0.3561451,0.53632337,0.0,0.0,0.51580584,0.5399281,0.0,0.0,1.316703,0.9632819,0.0,0.0,0.4989135,0.32832503,0.0
7963,0.3,0.13274273,15.625025,1007.8141,74.218864,4.0,1.0,1.0,4.0,NaN,0.13523385,0.30539286,NaN,NaN,0.069277115,0.13620974,NaN,NaN,0.094569206,0.14030796,NaN,NaN,0.61651856,0.34568098,NaN,NaN,0.084401265,0.072408445,NaN,0.0,0.6158933,0.87278926,0.0,0.0,0.3253977,0.52213854,0.0,0.0,0.46055767,0.5350127,0.0,0.0,1.274754,0.9266059,0.0,0.0,0.41115686,0.2477196,0.0
7964,0.3,0.13274273,19.53128,1007.8141,78.12512,4.0,1.0,1.0,4.0,NaN,0.13523385,0.30539286,NaN,NaN,0.069277115,0.13620974,NaN,NaN,0.094569206,0.14030796,NaN,NaN,0.61651856,0.34568098,NaN,NaN,0.084401265,0.072408445,NaN,0.0,0.6158933,0.87278926,0.0,0.0,0.3253977,0.52213854,0.0,0.0,0.46055767,0.5350127,0.0,0.0,1.274754,0.9266059,0.0,0.0,0.41115686,0.2477196,0.0
7965,0.3,0.12231783,15.625025,1011.72034,78.12512,4.0,1.0,1.0,4.0,NaN,0.13678922,0.3039852,NaN,NaN,0.07310775,0.14727287,NaN,NaN,0.092267856,0.1534424,NaN,NaN,0.6171904,0.32966793,NaN,NaN,0.08064476,0.065631606,NaN,0.0,0.5610727,0.82421947,0.0,0.0,0.28898427,0.5094898,0.0,0.0,0.39007127,0.5273124,0.0,0.0,1.21544,0.8594437,0.0,0.0,0.331597,0.15848003,0.0
7966,0.3,0.12231783,15.625025,1011.72034,78.12512,4.0,1.0,1.0,4.0,NaN,0.13678922,0.3039852,NaN,NaN,0.07310775,0.14727287,NaN,NaN,0.092267856,0.1534424,NaN,NaN,0.6171904,0.32966793,NaN,NaN,0.08064476,0.065631606,NaN,0.0,0.5610727,0.82421947,0.0,0.0,0.28898427,0.5094898,0.0,0.0,0.39007127,0.5273124,0.0,0.0,1.21544,0.8594437,0.0,0.0,0.331597,0.15848003,0.0
7967,0.3,0.12231783,7.8125124,1007.8141,78.12512,4.0,1.0,1.0,4.0,NaN,0.13678922,0.3039852,NaN,NaN,0.07310775,0.14727287,NaN,NaN,0.092267856,0.1534424,NaN,NaN,0.6171904,0.32966793,NaN,NaN,0.08064476,0.065631606,NaN,0.0,0.5610727,0.82421947,0.0,0.0,0.28898427,0.5094898,0.0,0.0,0.39007127,0.5273124,0.0,0.0,1.21544,0.8594437,0.0,0.0,0.331597,0.15848003,0.0
7968,0.3,0.111838736,7.8125124,1015.6266,78.12512,4.0,1.0,1.0,4.0,NaN,0.13950992,0.30295646,NaN,NaN,0.07816536,0.16324988,NaN,NaN,0.09037498,0.17125334,NaN,NaN,0.6113068,0.30284494,NaN,NaN,0.08064297,0.05969537,NaN,0.0,0.5064882,0.76860046,0.0,0.0,0.25489745,0.5000731,0.0,0.0,0.31793132,0.52085924,0.0,0.0,1.1481423,0.76844054,0.0,0.0,0.2684496,0.06316086,0.0
7969,0.3,0.111838736,11.718768,1011.72034,78.12512,4.0,1.0,1.0,4.0,NaN,0.13950992,0.30295646,NaN,NaN,0.07816536,0.16324988,NaN,NaN,0.09037498,0.17125334,NaN,NaN,0.6113068,0.30284494,NaN,NaN,0.08064297,0.05969537,NaN,0.0,0.5064882,0.76860046,0.0,0.0,0.25489745,0.5000731,0.0,0.0,0.31793132,0.52085924,0.0,0.0,1.1481423,0.76844054,0.0,0.0,0.2684496,0.06316086,0.0
7970,0.3,0.10475021,11.718768,1007.8141,78.12512,4.0,1.0,1.0,4.0,NaN,0.13661835,0.31894833,NaN,NaN,0.08403467,0.17488857,NaN,NaN,0.09106017,0.18656753,NaN,NaN,0.60555816,0.2674432,NaN,NaN,0.08272867,0.052152365,NaN,0.0,0.44197923,0.7527122,0.0,0.0,0.23092867,0.4917533,0.0,0.0,0.26579866,0.5198279,0.0,0.0,1.088626,0.67622346,0.0,0.0,0.22412622,-0.033734135,0.0
7971,0.3,0.10475021,11.718768,1007.8141,82.03138,4.0,1.0,1.0,4.0,NaN,0.13661835,0.31894833,NaN,NaN,0.08403467,0.17488857,NaN,NaN,0.09106017,0.18656753,NaN,NaN,0.60555816,0.2674432,NaN,NaN,0.08272867,0.052152365,NaN,0.0,0.44197923,0.7527122,0.0,0.0,0.23092867,0.4917533,0.0,0.0,0.26579866,0.5198279,0.0,0.0,1.088626,0.67622346,0.0,0.0,0.22412622,-0.033734135,0.0
7972,0.3,0.10475021,11.718768,1007.8141,82.03138,4.0,1.0,1.0,4.0,NaN,0.13661835,0.31894833,NaN,NaN,0.08403467,0.17488857,NaN,NaN,0.09106017,0.18656753,NaN,NaN,0.60555816,0.2674432,NaN,NaN,0.08272867,0.052152365,NaN,0.0,0.44197923,0.7527122,0.0,0.0,0.23092867,0.4917533,0.0,0.0,0.26579866,0.5198279,0.0,0.0,1.088626,0.67622346,0.0,0.0,0.22412622,-0.033734135,0.0
7973,0.3,0.10237562,3.9062562,1011.72034,82.03138,4.0,1.0,1.0,4.0,NaN,0.13389209,0.32890874,NaN,NaN,0.08853964,0.18006188,NaN,NaN,0.093169264,0.20086169,NaN,NaN,0.60076576,0.2463075,NaN,NaN,0.08363322,0.043860205,NaN,0.0,0.39834693,0.7411307,0.0,0.0,0.21872972,0.47947708,0.0,0.0,0.24086468,0.52695245,0.0,0.0,1.0502971,0.61553293,0.0,0.0,0.19397083,-0.13387404,0.0
7974,0.3,0.10237562,0.0,1007.8141,78.12512,4.0,1.0,1.0,4.0,NaN,0.13389209,0.32890874,NaN,NaN,0.08853964,0.18006188,NaN,NaN,0.093169264,0.20086169,NaN,NaN,0.60076576,0.2463075,NaN,NaN,0.08363322,0.043860205,NaN,0.0,0.39834693,0.7411307,0.0,0.0,0.21872972,0.47947708,0.0,0.0,0.24086468,0.52695245,0.0,0.0,1.0502971,0.61553293,0.0,0.0,0.19397083,-0.13387404,0.0
7975,0.3,0.10237562,3.9062562,1011.72034,82.03138,4.0,1.0,1.0,4.0,NaN,0.13389209,0.32890874,NaN,NaN,0.08853964,0.18006188,NaN,NaN,0.093169264,0.20086169,NaN,NaN,0.60076576,0.2463075,NaN,NaN,0.08363322,0.043860205,NaN,0.0,0.39834693,0.7411307,0.0,0.0,0.21872972,0.47947708,0.0,0.0,0.24086468,0.52695245,0.0,0.0,1.0502971,0.61553293,0.0,0.0,0.19397083,-0.13387404,0.0
7976,0.3,0.10295389,7.8125124,1015.6266,85.93764,4.0,1.0,1.0,4.0,NaN,0.1373166,0.3261595,NaN,NaN,0.08995831,0.17823017,NaN,NaN,0.094058216,0.2131212,NaN,NaN,0.59673035,0.24651688,NaN,NaN,0.08193651,0.03597224,NaN,0.0,0.39834693,0.7229369,0.0,0.0,0.21466517,0.4604881,0.0,0.0,0.2340206,0.53813356,0.0,0.0,1.036402,0.6013536,0.0,0.0,0.17410134,-0.23452559,0.0
7977,0.3,0.10295389,7.8125124,1011.72034,85.93764,4.0,1.0,1.0,4.0,NaN,0.1373166,0.3261595,NaN,NaN,0.08995831,0.17823017,NaN,NaN,0.094058216,0.2131212,NaN,NaN,0.59673035,0.24651688,NaN,NaN,0.08193651,0.03597224,NaN,0.0,0.39834693,0.7229369,0.0,0.0,0.21466517,0.4604881,0.0,0.0,0.2340206,0.53813356,0.0,0.0,1.036402,0.6013536,0.0,0.0,0.17410134,-0.23452559,0.0
7978,0.3,0.103776924,3.9062562,1011.72034,82.03138,4.0,1.0,1.0,4.0,NaN,0.13719463,0.30803484,NaN,NaN,0.08954713,0.17386739,NaN,NaN,0.09308431,0.22484858,NaN,NaN,0.6003192,0.26342943,NaN,NaN,0.079854704,0.029819787,NaN,0.0,0.39834693,0.68515027,0.0,0.0,0.21306147,0.43676856,0.0,0.0,0.22988631,0.5484406,0.0,0.0,1.0393921,0.61721474,0.0,0.0,0.16331029,-0.32894504,0.0
7979,0.3,0.103776924,3.9062562,1007.8141,82.03138,4.0,1.0,1.0,4.0,NaN,0.13719463,0.30803484,NaN,NaN,0.08954713,0.17386739,NaN,NaN,0.09308431,0.22484858,NaN,NaN,0.6003192,0.26342943,NaN,NaN,0.079854704,0.029819787,NaN,0.0,0.39834693,0.68515027,0.0,0.0,0.21306147,0.43676856,0.0,0.0,0.22988631,0.5484406,0.0,0.0,1.0393921,0.61721474,0.0,0.0,0.16331029,-0.32894504,0.0
7980,0.3,0.103776924,7.8125124,1011.72034,85.93764,4.0,1.0,1.0,4.0,NaN,0.13719463,0.30803484,NaN,NaN,0.08954713,0.17386739,NaN,NaN,0.09308431,0.22484858,NaN,NaN,0.6003192,0.26342943,NaN,NaN,0.079854704,0.029819787,NaN,0.0,0.39834693,0.68515027,0.0,0.0,0.21306147,0.43676856,0.0,0.0,0.22988631,0.5484406,0.0,0.0,1.0393921,0.61721474,0.0,0.0,0.16331029,-0.32894504,0.0
7981,0.3,0.1027899,7.8125124,1011.72034,85.93764,4.0,1.0,1.0,4.0,NaN,0.1358041,0.2720871,NaN,NaN,0.087775685,0.17326383,NaN,NaN,0.08941394,0.23895355,NaN,NaN,0.60880107,0.28922033,NaN,NaN,0.078205235,0.026475208,NaN,0.0,0.39834693,0.6104795,0.0,0.0,0.20880824,0.41447943,0.0,0.0,0.21683925,0.554085,0.0,0.0,1.0499095,0.6370003,0.0,0.0,0.15866984,-0.4013891,0.0
7982,0.3,0.1027899,7.8125124,1011.72034,85.93764,4.0,1.0,1.0,4.0,NaN,0.1358041,0.2720871,NaN,NaN,0.087775685,0.17326383,NaN,NaN,0.08941394,0.23895355,NaN,NaN,0.60880107,0.28922033,NaN,NaN,0.078205235,0.026475208,NaN,0.0,0.39834693,0.6104795,0.0,0.0,0.20880824,0.41447943,0.0,0.0,0.21683925,0.554085,0.0,0.0,1.0499095,0.6370003,0.0,0.0,0.15866984,-0.4013891,0.0
7983,0.3,0.09995638,3.9062562,1011.72034,85.93764,4.0,1.0,1.0,4.0,NaN,0.13397567,0.23225792,NaN,NaN,0.08503495,0.17649691,NaN,NaN,0.084326275,0.2519685,NaN,NaN,0.62043566,0.31412843,NaN,NaN,0.07622745,0.025148261,NaN,0.0,0.39627382,0.5190863,0.0,0.0,0.19884533,0.3998529,0.0,0.0,0.1952108,0.554462,0.0,0.0,1.0619446,0.650223,0.0,0.0,0.15135926,-0.44637626,0.0
7984,0.3,0.09995638,3.9062562,1007.8141,85.93764,4.0,1.0,1.0,4.0,NaN,0.13397567,0.23225792,NaN,NaN,0.08503495,0.17649691,NaN,NaN,0.084326275,0.2519685,NaN,NaN,0.62043566,0.31412843,NaN,NaN,0.07622745,0.025148261,NaN,0.0,0.39627382,0.5190863,0.0,0.0,0.19884533,0.3998529,0.0,0.0,0.1952108,0.554462,0.0,0.0,1.0619446,0.650223,0.0,0.0,0.15135926,-0.44637626,0.0
7985,0.3,0.09588403,3.9062562,1007.8141,89.84389,4.0,1.0,1.0,4.0,NaN,0.13049631,0.19887966,NaN,NaN,0.08193991,0.18284151,NaN,NaN,0.07913871,0.26202354,NaN,NaN,0.6344931,0.33128458,NaN,NaN,0.07393193,0.024970725,NaN,0.0,0.3843895,0.4322,0.0,0.0,0.1822868,0.39568445,0.0,0.0,0.16718026,0.55195,0.0,0.0,1.0712183,0.6538109,0.0,0.0,0.13762337,-0.46895918,0.0
7986,0.3,0.09588403,3.9062562,1011.72034,85.93764,4.0,1.0,1.0,4.0,NaN,0.13049631,0.19887966,NaN,NaN,0.08193991,0.18284151,NaN,NaN,0.07913871,0.26202354,NaN,NaN,0.6344931,0.33128458,NaN,NaN,0.07393193,0.024970725,NaN,0.0,0.3843895,0.4322,0.0,0.0,0.1822868,0.39568445,0.0,0.0,0.16718026,0.55195,0.0,0.0,1.0712183,0.6538109,0.0,0.0,0.13762337,-0.46895918,0.0
7987,0.3,0.09588403,3.9062562,1011.72034,85.93764,4.0,1.0,1.0,4.0,NaN,0.13049631,0.19887966,NaN,NaN,0.08193991,0.18284151,NaN,NaN,0.07913871,0.26202354,NaN,NaN,0.6344931,0.33128458,NaN,NaN,0.07393193,0.024970725,NaN,0.0,0.3843895,0.4322,0.0,0.0,0.1822868,0.39568445,0.0,0.0,0.16718026,0.55195,0.0,0.0,1.0712183,0.6538109,0.0,0.0,0.13762337,-0.46895918,0.0
7988,0.3,0.09588403,3.9062562,1011.72034,85.93764,4.0,1.0,1.0,4.0,NaN,0.13049631,0.19887966,NaN,NaN,0.08193991,0.18284151,NaN,NaN,0.07913871,0.26202354,NaN,NaN,0.6344931,0.33128458,NaN,NaN,0.07393193,0.024970725,NaN,0.0,0.3843895,0.4322,0.0,0.0,0.1822868,0.39568445,0.0,0.0,0.16718026,0.55195,0.0,0.0,1.0712183,0.6538109,0.0,0.0,0.13762337,-0.46895918,0.0
