id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
9573,1.5737734,-0.77407175,-265.62543,960.939,171.87527,4.0,1.0,1.0,4.0,0.1415965,0.21705453,0.16473879,0.20898193,0.16481037,0.16128565,0.20926957,0.5527043,0.24536212,0.21260361,0.35318518,0.17811167,0.1958733,0.2516787,0.16551194,0.20898193,0.25235772,0.15737753,0.10729453,0.048045486,0.7255611,-0.49040413,-0.21710347,-3.52035,0.7914931,-0.61937726,-0.11319328,-3.097966,0.96431607,-0.49940234,0.11410312,-3.5897663,0.8664838,-0.4261265,-0.21507002,-3.52035,0.9765251,-0.6300303,-0.40332177,-4.1588063
9574,1.5737734,-0.76665765,-261.71915,960.939,171.87527,4.0,1.0,1.0,4.0,0.1415965,0.20029949,0.16492727,0.20898193,0.16481037,0.16835864,0.20410104,0.5527043,0.24536212,0.22844404,0.37912348,0.17811167,0.1958733,0.2592188,0.15320602,0.20898193,0.25235772,0.143679,0.09864217,0.048045486,0.7255611,-0.53117824,-0.21710347,-3.52035,0.7914931,-0.6066227,-0.12455072,-3.097966,0.96431607,-0.47407827,0.14438474,-3.5897663,0.8664838,-0.41919157,-0.24912009,-3.52035,0.9765251,-0.6754648,-0.44033334,-4.1588063
9575,1.5737734,-0.76665765,-261.71915,964.8453,171.87527,4.0,1.0,1.0,4.0,0.1415965,0.20029949,0.16492727,0.20898193,0.16481037,0.16835864,0.20410104,0.5527043,0.24536212,0.22844404,0.37912348,0.17811167,0.1958733,0.2592188,0.15320602,0.20898193,0.25235772,0.143679,0.09864217,0.048045486,0.7255611,-0.53117824,-0.21710347,-3.52035,0.7914931,-0.6066227,-0.12455072,-3.097966,0.96431607,-0.47407827,0.14438474,-3.5897663,0.8664838,-0.41919157,-0.24912009,-3.52035,0.9765251,-0.6754648,-0.44033334,-4.1588063
9576,1.5737734,-0.76665765,-265.62543,964.8453,167.96901,4.0,1.0,1.0,4.0,0.1415965,0.20029949,0.16492727,0.20898193,0.16481037,0.16835864,0.20410104,0.5527043,0.24536212,0.22844404,0.37912348,0.17811167,0.1958733,0.2592188,0.15320602,0.20898193,0.25235772,0.143679,0.09864217,0.048045486,0.7255611,-0.53117824,-0.21710347,-3.52035,0.7914931,-0.6066227,-0.12455072,-3.097966,0.96431607,-0.47407827,0.14438474,-3.5897663,0.8664838,-0.41919157,-0.24912009,-3.52035,0.9765251,-0.6754648,-0.44033334,-4.1588063
9577,1.5737734,-0.76665765,-265.62543,964.8453,167.96901,4.0,1.0,1.0,4.0,0.1415965,0.20029949,0.16492727,0.20898193,0.16481037,0.16835864,0.20410104,0.5527043,0.24536212,0.22844404,0.37912348,0.17811167,0.1958733,0.2592188,0.15320602,0.20898193,0.25235772,0.143679,0.09864217,0.048045486,0.7255611,-0.53117824,-0.21710347,-3.52035,0.7914931,-0.6066227,-0.12455072,-3.097966,0.96431607,-0.47407827,0.14438474,-3.5897663,0.8664838,-0.41919157,-0.24912009,-3.52035,0.9765251,-0.6754648,-0.44033334,-4.1588063
9578,1.5737734,-0.7608979,-269.53168,960.939,167.96901,4.0,1.0,1.0,4.0,0.1415965,0.18633436,0.1537312,0.20898193,0.16481037,0.17569451,0.1979534,0.5527043,0.24536212,0.2449275,0.40476218,0.17811167,0.1958733,0.26340672,0.1480902,0.20898193,0.25235772,0.12963693,0.09546304,0.048045486,0.7255611,-0.5762223,-0.24945523,-3.52035,0.7914931,-0.60175705,-0.13965423,-3.097966,0.96431607,-0.4574777,0.17098269,-3.5897663,0.8664838,-0.4258884,-0.2656909,-3.52035,0.9765251,-0.7337865,-0.45638198,-4.1588063
9579,1.5737734,-0.7608979,-265.62543,964.8453,171.87527,4.0,1.0,1.0,4.0,0.1415965,0.18633436,0.1537312,0.20898193,0.16481037,0.17569451,0.1979534,0.5527043,0.24536212,0.2449275,0.40476218,0.17811167,0.1958733,0.26340672,0.1480902,0.20898193,0.25235772,0.12963693,0.09546304,0.048045486,0.7255611,-0.5762223,-0.24945523,-3.52035,0.7914931,-0.60175705,-0.13965423,-3.097966,0.96431607,-0.4574777,0.17098269,-3.5897663,0.8664838,-0.4258884,-0.2656909,-3.52035,0.9765251,-0.7337865,-0.45638198,-4.1588063
9580,1.5737734,-0.75815296,-257.8129,968.7515,171.87527,4.0,1.0,1.0,4.0,0.1415965,0.1839764,0.13855253,0.20898193,0.16481037,0.1807805,0.19091386,0.5527043,0.24536212,0.25631857,0.4217904,0.17811167,0.1958733,0.2631485,0.15210941,0.20898193,0.25235772,0.11577606,0.09663381,0.048045486,0.7255611,-0.59691316,-0.2964951,-3.52035,0.7914931,-0.6045237,-0.15727213,-3.097966,0.96431607,-0.45289522,0.18698712,-3.5897663,0.8664838,-0.44147444,-0.25595346,-3.52035,0.9765251,-0.79805654,-0.45298046,-4.1588063
9581,1.5737734,-0.75815296,-257.8129,968.7515,167.96901,4.0,1.0,1.0,4.0,0.1415965,0.1839764,0.13855253,0.20898193,0.16481037,0.1807805,0.19091386,0.5527043,0.24536212,0.25631857,0.4217904,0.17811167,0.1958733,0.2631485,0.15210941,0.20898193,0.25235772,0.11577606,0.09663381,0.048045486,0.7255611,-0.59691316,-0.2964951,-3.52035,0.7914931,-0.6045237,-0.15727213,-3.097966,0.96431607,-0.45289522,0.18698712,-3.5897663,0.8664838,-0.44147444,-0.25595346,-3.52035,0.9765251,-0.79805654,-0.45298046,-4.1588063
9582,1.5737734,-0.7585375,-253.90665,964.8453,171.87527,4.0,1.0,1.0,4.0,0.1415965,0.18239531,0.13820279,0.20898193,0.16481037,0.18377003,0.1821587,0.5527043,0.24536212,0.26050168,0.41827372,0.17811167,0.1958733,0.2665251,0.16278481,0.20898193,0.25235772,0.10680789,0.09857998,0.048045486,0.7255611,-0.61427706,-0.29025537,-3.52035,0.7914931,-0.61101604,-0.17032224,-3.097966,0.96431607,-0.4594802,0.19068845,-3.5897663,0.8664838,-0.4495526,-0.21915825,-3.52035,0.9765251,-0.8466874,-0.4369834,-4.1588063
