id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
6640,0.2540153,0.24612932,-50.78133,1007.8141,101.56266,1.0,1.0,1.0,1.0,0.43481907,0.40958694,0.33752602,0.49327958,0.116473824,0.17575677,0.18967521,0.10296585,0.11492605,0.093128204,0.15425466,0.09782764,0.15896569,0.1996168,0.22626601,0.49327958,0.17481539,0.1219113,0.09227809,0.15090746,1.047722,-0.115966655,-0.2716608,1.2010044,0.4756417,-0.48340067,-0.5219575,0.5206045,0.46983185,-0.7592315,-0.61172974,0.49837288,0.61071676,-0.42811564,-0.44534874,1.2010044,0.651993,-0.6422688,-0.83486944,0.68662196
6641,0.23594922,0.25872466,-50.78133,1007.8141,105.46892,1.0,1.0,1.0,1.0,0.43897724,0.40735114,0.3365445,0.53286994,0.12057211,0.17961884,0.18816175,0.0986529,0.115775086,0.095728196,0.15686785,0.09491707,0.14887379,0.18692935,0.2255068,0.53286994,0.17580177,0.13037248,0.092919074,0.14115326,1.0525672,-0.12916134,-0.27913645,1.2660699,0.49137208,-0.4847784,-0.5316477,0.53355855,0.47374034,-0.7580904,-0.61064506,0.516793,0.58294344,-0.4674528,-0.45301935,1.2660699,0.65514845,-0.62394434,-0.8380741,0.6891396
6642,0.23594922,0.25872466,-58.59384,1007.8141,101.56266,1.0,1.0,1.0,1.0,0.43897724,0.40735114,0.3365445,0.53286994,0.12057211,0.17961884,0.18816175,0.0986529,0.115775086,0.095728196,0.15686785,0.09491707,0.14887379,0.18692935,0.2255068,0.53286994,0.17580177,0.13037248,0.092919074,0.14115326,1.0525672,-0.12916134,-0.27913645,1.2660699,0.49137208,-0.4847784,-0.5316477,0.53355855,0.47374034,-0.7580904,-0.61064506,0.516793,0.58294344,-0.4674528,-0.45301935,1.2660699,0.65514845,-0.62394434,-0.8380741,0.6891396
6643,0.23594922,0.25872466,-50.78133,1007.8141,109.37517,1.0,1.0,1.0,1.0,0.43897724,0.40735114,0.3365445,0.53286994,0.12057211,0.17961884,0.18816175,0.0986529,0.115775086,0.095728196,0.15686785,0.09491707,0.14887379,0.18692935,0.2255068,0.53286994,0.17580177,0.13037248,0.092919074,0.14115326,1.0525672,-0.12916134,-0.27913645,1.2660699,0.49137208,-0.4847784,-0.5316477,0.53355855,0.47374034,-0.7580904,-0.61064506,0.516793,0.58294344,-0.4674528,-0.45301935,1.2660699,0.65514845,-0.62394434,-0.8380741,0.6891396
6644,0.23594922,0.25872466,-50.78133,1003.90784,105.46892,1.0,1.0,1.0,1.0,0.43897724,0.40735114,0.3365445,0.53286994,0.12057211,0.17961884,0.18816175,0.0986529,0.115775086,0.095728196,0.15686785,0.09491707,0.14887379,0.18692935,0.2255068,0.53286994,0.17580177,0.13037248,0.092919074,0.14115326,1.0525672,-0.12916134,-0.27913645,1.2660699,0.49137208,-0.4847784,-0.5316477,0.53355855,0.47374034,-0.7580904,-0.61064506,0.516793,0.58294344,-0.4674528,-0.45301935,1.2660699,0.65514845,-0.62394434,-0.8380741,0.6891396
6645,0.22808956,0.26556647,-54.687584,1007.8141,101.56266,1.0,1.0,1.0,1.0,0.44602334,0.4044258,0.34271196,0.5535713,0.12583326,0.18234771,0.18629864,0.09991897,0.120653026,0.09868651,0.15755783,0.096627675,0.13086466,0.17539297,0.22000548,0.5535713,0.1766257,0.13914703,0.093426086,0.13939159,1.0525672,-0.14282529,-0.27913645,1.2922688,0.5030051,-0.4887638,-0.543856,0.5487432,0.48474783,-0.7554064,-0.6166257,0.5341968,0.520032,-0.50565195,-0.4716322,1.2922688,0.6502635,-0.6061902,-0.84359753,0.69333184
6646,0.22808956,0.26556647,-50.78133,1019.53284,101.56266,1.0,1.0,1.0,1.0,0.44602334,0.4044258,0.34271196,0.5535713,0.12583326,0.18234771,0.18629864,0.09991897,0.120653026,0.09868651,0.15755783,0.096627675,0.13086466,0.17539297,0.22000548,0.5535713,0.1766257,0.13914703,0.093426086,0.13939159,1.0525672,-0.14282529,-0.27913645,1.2922688,0.5030051,-0.4887638,-0.543856,0.5487432,0.48474783,-0.7554064,-0.6166257,0.5341968,0.520032,-0.50565195,-0.4716322,1.2922688,0.6502635,-0.6061902,-0.84359753,0.69333184
6647,0.22838828,0.2687293,-58.59384,1007.8141,97.6564,1.0,1.0,1.0,1.0,0.45715687,0.40027568,0.35478705,0.56254566,0.132302,0.1840786,0.18465349,0.104445085,0.12810066,0.100781836,0.1566376,0.10094962,0.10660461,0.16587666,0.21066186,0.56254566,0.17583586,0.14898722,0.09326,0.14283828,1.053563,-0.15337703,-0.27020144,1.2922688,0.5150642,-0.49073294,-0.55381167,0.56099904,0.50104916,-0.75235397,-0.6252732,0.5462157,0.42127374,-0.53595096,-0.4965833,1.2922688,0.63860524,-0.58258724,-0.8504738,0.6969556
6648,0.22838828,0.2687293,-58.59384,1000.0016,101.56266,1.0,1.0,1.0,1.0,0.45715687,0.40027568,0.35478705,0.56254566,0.132302,0.1840786,0.18465349,0.104445085,0.12810066,0.100781836,0.1566376,0.10094962,0.10660461,0.16587666,0.21066186,0.56254566,0.17583586,0.14898722,0.09326,0.14283828,1.053563,-0.15337703,-0.27020144,1.2922688,0.5150642,-0.49073294,-0.55381167,0.56099904,0.50104916,-0.75235397,-0.6252732,0.5462157,0.42127374,-0.53595096,-0.4965833,1.2922688,0.63860524,-0.58258724,-0.8504738,0.6969556
6649,0.2294504,0.27177772,-50.78133,1011.72034,101.56266,1.0,1.0,1.0,1.0,0.46852085,0.39570868,0.37402555,0.57201624,0.139986,0.18542732,0.1826224,0.108731486,0.13563938,0.10134722,0.15386069,0.103680715,0.08151025,0.1574073,0.19823901,0.57201624,0.17434353,0.16010946,0.09125235,0.14587891,1.0571034,-0.15655503,-0.2464656,1.2922688,0.5324591,-0.4857569,-0.5578128,0.57121575,0.5187603,-0.74811876,-0.63223916,0.55055845,0.29758674,-0.55690575,-0.52217776,1.2922688,0.6277803,-0.54951364,-0.8591228,0.69885296
6650,0.2294504,0.27177772,-50.78133,1007.8141,105.46892,1.0,1.0,1.0,1.0,0.46852085,0.39570868,0.37402555,0.57201624,0.139986,0.18542732,0.1826224,0.108731486,0.13563938,0.10134722,0.15386069,0.103680715,0.08151025,0.1574073,0.19823901,0.57201624,0.17434353,0.16010946,0.09125235,0.14587891,1.0571034,-0.15655503,-0.2464656,1.2922688,0.5324591,-0.4857569,-0.5578128,0.57121575,0.5187603,-0.74811876,-0.63223916,0.55055845,0.29758674,-0.55690575,-0.52217776,1.2922688,0.6277803,-0.54951364,-0.8591228,0.69885296
