id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
10341,0.15924771,0.77406764,-27.343792,996.09534,210.93784,1.0,1.0,1.0,1.0,0.21019931,0.2270754,0.25478986,0.28661215,0.2610995,0.254209,0.2813456,0.27349266,0.29919812,0.24336779,0.23195462,0.25347856,0.109114714,0.17956741,0.13232656,0.28661215,0.12038837,0.09578039,0.09958336,0.10551266,0.8808424,0.5394837,0.7150174,1.3500167,0.97501713,0.58850455,0.75807536,1.3296677,1.0341699,0.56957674,0.67423826,1.2966633,0.59609437,0.43754116,0.43048227,1.3500167,0.6387956,0.16459024,0.307022,0.91602665
10342,0.15924771,0.77406764,-27.343792,992.189,210.93784,1.0,1.0,1.0,1.0,0.21019931,0.2270754,0.25478986,0.28661215,0.2610995,0.254209,0.2813456,0.27349266,0.29919812,0.24336779,0.23195462,0.25347856,0.109114714,0.17956741,0.13232656,0.28661215,0.12038837,0.09578039,0.09958336,0.10551266,0.8808424,0.5394837,0.7150174,1.3500167,0.97501713,0.58850455,0.75807536,1.3296677,1.0341699,0.56957674,0.67423826,1.2966633,0.59609437,0.43754116,0.43048227,1.3500167,0.6387956,0.16459024,0.307022,0.91602665
10343,0.15924771,0.77406764,-27.343792,992.189,210.93784,1.0,1.0,1.0,1.0,0.21019931,0.2270754,0.25478986,0.28661215,0.2610995,0.254209,0.2813456,0.27349266,0.29919812,0.24336779,0.23195462,0.25347856,0.109114714,0.17956741,0.13232656,0.28661215,0.12038837,0.09578039,0.09958336,0.10551266,0.8808424,0.5394837,0.7150174,1.3500167,0.97501713,0.58850455,0.75807536,1.3296677,1.0341699,0.56957674,0.67423826,1.2966633,0.59609437,0.43754116,0.43048227,1.3500167,0.6387956,0.16459024,0.307022,0.91602665
10344,0.15924771,0.77406764,-23.437536,992.189,207.03157,1.0,1.0,1.0,1.0,0.21019931,0.2270754,0.25478986,0.28661215,0.2610995,0.254209,0.2813456,0.27349266,0.29919812,0.24336779,0.23195462,0.25347856,0.109114714,0.17956741,0.13232656,0.28661215,0.12038837,0.09578039,0.09958336,0.10551266,0.8808424,0.5394837,0.7150174,1.3500167,0.97501713,0.58850455,0.75807536,1.3296677,1.0341699,0.56957674,0.67423826,1.2966633,0.59609437,0.43754116,0.43048227,1.3500167,0.6387956,0.16459024,0.307022,0.91602665
10345,0.16915774,0.7974104,-23.437536,992.189,207.03157,1.0,1.0,1.0,1.0,0.22861864,0.2251111,0.24717177,0.30000627,0.25705805,0.25418743,0.28140053,0.26750824,0.29993814,0.26556355,0.24958204,0.26574108,0.09898094,0.16749586,0.12257487,0.30000627,0.11540424,0.08764204,0.09927078,0.10376953,0.9345896,0.53083175,0.6978718,1.3707305,0.98550916,0.58358896,0.75419784,1.3209374,1.0525097,0.6026033,0.70208627,1.318059,0.57102954,0.40243894,0.39327437,1.3707305,0.6376998,0.12114728,0.30169436,0.9096701
10346,0.17577136,0.82372963,-19.53128,984.3765,207.03157,1.0,1.0,1.0,1.0,0.25224003,0.23051216,0.22857912,0.3229519,0.25441858,0.25279987,0.28655925,0.25670868,0.2948025,0.28290352,0.2708112,0.2635462,0.08974676,0.15608396,0.1149144,0.3229519,0.10879213,0.0777005,0.09913601,0.09800286,1.0010451,0.54814494,0.6554447,1.4151406,1.0047799,0.5882279,0.7536226,1.3154433,1.0687622,0.63708943,0.7290748,1.3268595,0.5522498,0.37880936,0.3567826,1.4151406,0.63582855,0.07587493,0.29263958,0.8972415
10347,0.17577136,0.82372963,-19.53128,992.189,210.93784,1.0,1.0,1.0,1.0,0.25224003,0.23051216,0.22857912,0.3229519,0.25441858,0.25279987,0.28655925,0.25670868,0.2948025,0.28290352,0.2708112,0.2635462,0.08974676,0.15608396,0.1149144,0.3229519,0.10879213,0.0777005,0.09913601,0.09800286,1.0010451,0.54814494,0.6554447,1.4151406,1.0047799,0.5882279,0.7536226,1.3154433,1.0687622,0.63708943,0.7290748,1.3268595,0.5522498,0.37880936,0.3567826,1.4151406,0.63582855,0.07587493,0.29263958,0.8972415
10348,0.17577136,0.82372963,-19.53128,996.09534,210.93784,1.0,1.0,1.0,1.0,0.25224003,0.23051216,0.22857912,0.3229519,0.25441858,0.25279987,0.28655925,0.25670868,0.2948025,0.28290352,0.2708112,0.2635462,0.08974676,0.15608396,0.1149144,0.3229519,0.10879213,0.0777005,0.09913601,0.09800286,1.0010451,0.54814494,0.6554447,1.4151406,1.0047799,0.5882279,0.7536226,1.3154433,1.0687622,0.63708943,0.7290748,1.3268595,0.5522498,0.37880936,0.3567826,1.4151406,0.63582855,0.07587493,0.29263958,0.8972415
10349,0.1761691,0.83915514,-19.53128,996.09534,210.93784,1.0,1.0,1.0,1.0,0.25547412,0.23172526,0.20413192,0.33133617,0.26036805,0.25304532,0.2962063,0.25129163,0.29590705,0.2980358,0.2935078,0.27242094,0.083405055,0.14938596,0.108216636,0.33133617,0.10484575,0.06780767,0.09793733,0.09257184,1.0172702,0.55895835,0.59430087,1.4300399,1.0255109,0.59718335,0.75598425,1.3099492,1.0810785,0.6682534,0.75200963,1.3450116,0.5311156,0.36829478,0.31868398,1.4300399,0.6304741,0.02526379,0.2753382,0.87624997
10350,0.1761691,0.83915514,-23.437536,992.189,210.93784,1.0,1.0,1.0,1.0,0.25547412,0.23172526,0.20413192,0.33133617,0.26036805,0.25304532,0.2962063,0.25129163,0.29590705,0.2980358,0.2935078,0.27242094,0.083405055,0.14938596,0.108216636,0.33133617,0.10484575,0.06780767,0.09793733,0.09257184,1.0172702,0.55895835,0.59430087,1.4300399,1.0255109,0.59718335,0.75598425,1.3099492,1.0810785,0.6682534,0.75200963,1.3450116,0.5311156,0.36829478,0.31868398,1.4300399,0.6304741,0.02526379,0.2753382,0.87624997
