id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
4948,0.44559318,-0.09313229,-19.53128,1000.0016,187.50029,1.0,1.0,1.0,4.0,0.2753001,0.17755571,0.17559426,NaN,0.20914467,0.25965217,0.25034603,NaN,0.07854353,0.13137849,0.10242888,NaN,0.20511305,0.351807,0.31019056,NaN,0.23189867,0.07960662,0.16144028,NaN,0.48531052,-0.22421077,-0.53530824,0.0,0.36595097,-0.059153438,-0.38127786,0.0,-0.059385423,-0.35502115,-0.7693961,0.0,0.3574975,0.072759055,-0.28818998,0.0,0.41080245,-0.57259625,-0.57180667,0.0
4949,0.45841745,-0.08144367,-15.625025,1000.0016,187.50029,1.0,1.0,1.0,4.0,0.3001939,0.17359087,0.18775064,NaN,0.20109527,0.24824366,0.25377873,NaN,0.08033917,0.1297391,0.10860297,NaN,0.18817718,0.36496758,0.29752743,NaN,0.23019448,0.0834588,0.15234026,NaN,0.528058,-0.21635626,-0.51391697,0.0,0.35405797,-0.061004963,-0.38304317,0.0,-0.044416565,-0.34281224,-0.75165665,0.0,0.32522306,0.10637116,-0.31397137,0.0,0.412751,-0.53441095,-0.6046837,0.0
4950,0.45841745,-0.08144367,-15.625025,996.09534,183.59404,1.0,1.0,1.0,4.0,0.3001939,0.17359087,0.18775064,NaN,0.20109527,0.24824366,0.25377873,NaN,0.08033917,0.1297391,0.10860297,NaN,0.18817718,0.36496758,0.29752743,NaN,0.23019448,0.0834588,0.15234026,NaN,0.528058,-0.21635626,-0.51391697,0.0,0.35405797,-0.061004963,-0.38304317,0.0,-0.044416565,-0.34281224,-0.75165665,0.0,0.32522306,0.10637116,-0.31397137,0.0,0.412751,-0.53441095,-0.6046837,0.0
4951,0.4599873,-0.073984675,-15.625025,996.09534,187.50029,1.0,1.0,1.0,4.0,0.30538872,0.16851401,0.20836847,NaN,0.19798563,0.24109484,0.25294492,NaN,0.08429028,0.12969092,0.114672884,NaN,0.18074434,0.37391967,0.27812842,NaN,0.23159105,0.08678057,0.14588533,NaN,0.533291,-0.21913366,-0.47016016,0.0,0.3450717,-0.06358174,-0.38596618,0.0,-0.02578449,-0.3328601,-0.7295314,0.0,0.30550274,0.12700862,-0.3447468,0.0,0.4131598,-0.50734717,-0.6249805,0.0
4952,0.4599873,-0.073984675,-15.625025,996.09534,187.50029,1.0,1.0,1.0,4.0,0.30538872,0.16851401,0.20836847,NaN,0.19798563,0.24109484,0.25294492,NaN,0.08429028,0.12969092,0.114672884,NaN,0.18074434,0.37391967,0.27812842,NaN,0.23159105,0.08678057,0.14588533,NaN,0.533291,-0.21913366,-0.47016016,0.0,0.3450717,-0.06358174,-0.38596618,0.0,-0.02578449,-0.3328601,-0.7295314,0.0,0.30550274,0.12700862,-0.3447468,0.0,0.4131598,-0.50734717,-0.6249805,0.0
4953,0.45989135,-0.06678353,-19.53128,1000.0016,187.50029,1.0,1.0,1.0,4.0,0.30644608,0.17084053,0.24217546,NaN,0.19744208,0.23475775,0.24559717,NaN,0.089627475,0.13014802,0.11805078,NaN,0.17433685,0.37538856,0.2558572,NaN,0.2321475,0.08886515,0.13831939,NaN,0.5329712,-0.20759092,-0.39510047,0.0,0.34205684,-0.069561906,-0.38900724,0.0,-9.417085E-4,-0.32574424,-0.7071618,0.0,0.28800634,0.13429919,-0.37123296,0.0,0.41238114,-0.49145034,-0.63834757,0.0
4954,0.45989135,-0.06678353,-19.53128,1000.0016,183.59404,1.0,1.0,1.0,4.0,0.30644608,0.17084053,0.24217546,NaN,0.19744208,0.23475775,0.24559717,NaN,0.089627475,0.13014802,0.11805078,NaN,0.17433685,0.37538856,0.2558572,NaN,0.2321475,0.08886515,0.13831939,NaN,0.5329712,-0.20759092,-0.39510047,0.0,0.34205684,-0.069561906,-0.38900724,0.0,-9.417085E-4,-0.32574424,-0.7071618,0.0,0.28800634,0.13429919,-0.37123296,0.0,0.41238114,-0.49145034,-0.63834757,0.0
4955,0.45989135,-0.06678353,-15.625025,992.189,183.59404,1.0,1.0,1.0,4.0,0.30644608,0.17084053,0.24217546,NaN,0.19744208,0.23475775,0.24559717,NaN,0.089627475,0.13014802,0.11805078,NaN,0.17433685,0.37538856,0.2558572,NaN,0.2321475,0.08886515,0.13831939,NaN,0.5329712,-0.20759092,-0.39510047,0.0,0.34205684,-0.069561906,-0.38900724,0.0,-9.417085E-4,-0.32574424,-0.7071618,0.0,0.28800634,0.13429919,-0.37123296,0.0,0.41238114,-0.49145034,-0.63834757,0.0
4956,0.45989135,-0.06678353,-11.718768,996.09534,187.50029,1.0,1.0,1.0,4.0,0.30644608,0.17084053,0.24217546,NaN,0.19744208,0.23475775,0.24559717,NaN,0.089627475,0.13014802,0.11805078,NaN,0.17433685,0.37538856,0.2558572,NaN,0.2321475,0.08886515,0.13831939,NaN,0.5329712,-0.20759092,-0.39510047,0.0,0.34205684,-0.069561906,-0.38900724,0.0,-9.417085E-4,-0.32574424,-0.7071618,0.0,0.28800634,0.13429919,-0.37123296,0.0,0.41238114,-0.49145034,-0.63834757,0.0
4957,0.46455553,-0.05715987,-15.625025,996.09534,187.50029,1.0,1.0,1.0,4.0,0.31406882,0.17843893,0.2719617,NaN,0.19751075,0.22802405,0.23711266,NaN,0.09460477,0.13172579,0.11998472,NaN,0.16486353,0.3722506,0.23970789,NaN,0.22895214,0.08956067,0.13123304,NaN,0.54851836,-0.18675895,-0.3306644,0.0,0.34708428,-0.080267906,-0.39021742,0.0,0.027406588,-0.31857777,-0.6860462,0.0,0.26861814,0.13258682,-0.38548982,0.0,0.41123828,-0.48613122,-0.647129,0.0
