id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
974,1.9668528,-1.4496038,460.93823,878.90765,125.0002,4.0,4.0,1.0,4.0,NaN,0.101529114,0.19102389,0.21927465,NaN,0.10838767,0.07611979,0.43290377,NaN,0.047005247,0.033969652,0.32986176,NaN,0.48585552,0.5218234,0.21927465,NaN,0.25722247,0.17706329,0.01605206,0.0,0.72416896,0.423252,-5.5561757,0.0,0.75255823,0.023661874,-5.260773,0.0,0.38972467,-0.3267446,-5.3788323,0.0,1.4040855,0.85968786,-5.5561757,0.0,1.1278872,0.39029282,-6.6916337
975,1.9668528,-1.4496038,460.93823,878.90765,125.0002,4.0,4.0,1.0,4.0,NaN,0.101529114,0.19102389,0.21927465,NaN,0.10838767,0.07611979,0.43290377,NaN,0.047005247,0.033969652,0.32986176,NaN,0.48585552,0.5218234,0.21927465,NaN,0.25722247,0.17706329,0.01605206,0.0,0.72416896,0.423252,-5.5561757,0.0,0.75255823,0.023661874,-5.260773,0.0,0.38972467,-0.3267446,-5.3788323,0.0,1.4040855,0.85968786,-5.5561757,0.0,1.1278872,0.39029282,-6.6916337
976,1.9668528,-1.453104,453.1257,882.8139,121.09394,4.0,4.0,1.0,4.0,NaN,0.101529114,0.1823097,0.21927465,NaN,0.10838767,0.075207524,0.43290377,NaN,0.047005247,0.03051836,0.32986176,NaN,0.48585552,0.532302,0.21927465,NaN,0.25722247,0.17966238,0.01605206,0.0,0.72416896,0.423252,-5.5561757,0.0,0.75255823,0.038703486,-5.260773,0.0,0.38972467,-0.35299662,-5.3788323,0.0,1.4040855,0.88860035,-5.5561757,0.0,1.1278872,0.41689932,-6.6916337
977,1.9668528,-1.4561352,457.03195,882.8139,121.09394,4.0,4.0,1.0,4.0,NaN,0.101529114,0.18045849,0.21927465,NaN,0.10838767,0.07540732,0.43290377,NaN,0.047005247,0.028667819,0.32986176,NaN,0.48585552,0.53431785,0.21927465,NaN,0.25722247,0.18114854,0.01605206,0.0,0.72416896,0.423252,-5.5561757,0.0,0.75255823,0.044288192,-5.260773,0.0,0.38972467,-0.37573066,-5.3788323,0.0,1.4040855,0.89467436,-5.5561757,0.0,1.1278872,0.4249095,-6.6916337
978,1.9668528,-1.4561352,457.03195,882.8139,121.09394,4.0,4.0,1.0,4.0,NaN,0.101529114,0.18045849,0.21927465,NaN,0.10838767,0.07540732,0.43290377,NaN,0.047005247,0.028667819,0.32986176,NaN,0.48585552,0.53431785,0.21927465,NaN,0.25722247,0.18114854,0.01605206,0.0,0.72416896,0.423252,-5.5561757,0.0,0.75255823,0.044288192,-5.260773,0.0,0.38972467,-0.37573066,-5.3788323,0.0,1.4040855,0.89467436,-5.5561757,0.0,1.1278872,0.4249095,-6.6916337
979,1.9668528,-1.4561352,464.84448,882.8139,121.09394,4.0,4.0,1.0,4.0,NaN,0.101529114,0.18045849,0.21927465,NaN,0.10838767,0.07540732,0.43290377,NaN,0.047005247,0.028667819,0.32986176,NaN,0.48585552,0.53431785,0.21927465,NaN,0.25722247,0.18114854,0.01605206,0.0,0.72416896,0.423252,-5.5561757,0.0,0.75255823,0.044288192,-5.260773,0.0,0.38972467,-0.37573066,-5.3788323,0.0,1.4040855,0.89467436,-5.5561757,0.0,1.1278872,0.4249095,-6.6916337
980,1.9668528,-1.4561352,460.93823,882.8139,121.09394,4.0,4.0,1.0,4.0,NaN,0.101529114,0.18045849,0.21927465,NaN,0.10838767,0.07540732,0.43290377,NaN,0.047005247,0.028667819,0.32986176,NaN,0.48585552,0.53431785,0.21927465,NaN,0.25722247,0.18114854,0.01605206,0.0,0.72416896,0.423252,-5.5561757,0.0,0.75255823,0.044288192,-5.260773,0.0,0.38972467,-0.37573066,-5.3788323,0.0,1.4040855,0.89467436,-5.5561757,0.0,1.1278872,0.4249095,-6.6916337
981,1.9668528,-1.4582349,457.03195,882.8139,121.09394,4.0,4.0,1.0,4.0,NaN,0.101529114,0.1814541,0.21927465,NaN,0.10838767,0.07653922,0.43290377,NaN,0.047005247,0.02779948,0.32986176,NaN,0.48585552,0.5318629,0.21927465,NaN,0.25722247,0.18234429,0.01605206,0.0,0.72416896,0.423252,-5.5561757,0.0,0.75255823,0.048369214,-5.260773,0.0,0.38972467,-0.39147815,-5.3788323,0.0,1.4040855,0.8902849,-5.5561757,0.0,1.1278872,0.42537734,-6.6916337
982,1.9668528,-1.4582349,460.93823,882.8139,121.09394,4.0,4.0,1.0,4.0,NaN,0.101529114,0.1814541,0.21927465,NaN,0.10838767,0.07653922,0.43290377,NaN,0.047005247,0.02779948,0.32986176,NaN,0.48585552,0.5318629,0.21927465,NaN,0.25722247,0.18234429,0.01605206,0.0,0.72416896,0.423252,-5.5561757,0.0,0.75255823,0.048369214,-5.260773,0.0,0.38972467,-0.39147815,-5.3788323,0.0,1.4040855,0.8902849,-5.5561757,0.0,1.1278872,0.42537734,-6.6916337
983,1.9668528,-1.4593633,464.84448,882.8139,121.09394,4.0,4.0,1.0,4.0,NaN,0.101529114,0.18294036,0.21927465,NaN,0.10838767,0.078569196,0.43290377,NaN,0.047005247,0.02748625,0.32986176,NaN,0.48585552,0.5272976,0.21927465,NaN,0.25722247,0.18370657,0.01605206,0.0,0.72416896,0.423252,-5.5561757,0.0,0.75255823,0.05619478,-5.260773,0.0,0.38972467,-0.39994207,-5.3788323,0.0,1.4040855,0.8829983,-5.5561757,0.0,1.1278872,0.42506713,-6.6916337
