id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
2847,0.3,-0.13165246,-156.25024,992.189,121.09394,4.0,1.0,1.0,4.0,NaN,0.06133734,0.17798579,NaN,NaN,0.010213519,0.17494419,NaN,NaN,0.0062685176,0.13103537,NaN,NaN,0.7693496,0.3711976,NaN,NaN,0.15283105,0.14483704,NaN,0.0,0.4558972,-0.3197338,0.0,0.0,-0.3226523,-0.32721958,0.0,0.0,-0.5346629,-0.45273057,0.0,0.0,1.554296,-5.139501E-4,0.0,0.0,0.85238385,-0.40923947,0.0
2848,0.3,-0.13165246,-152.344,992.189,125.0002,4.0,1.0,1.0,4.0,NaN,0.06133734,0.17798579,NaN,NaN,0.010213519,0.17494419,NaN,NaN,0.0062685176,0.13103537,NaN,NaN,0.7693496,0.3711976,NaN,NaN,0.15283105,0.14483704,NaN,0.0,0.4558972,-0.3197338,0.0,0.0,-0.3226523,-0.32721958,0.0,0.0,-0.5346629,-0.45273057,0.0,0.0,1.554296,-5.139501E-4,0.0,0.0,0.85238385,-0.40923947,0.0
2849,0.3,-0.12799133,-148.43773,1000.0016,125.0002,4.0,1.0,1.0,4.0,NaN,0.06625432,0.16164239,NaN,NaN,0.010473363,0.17182067,NaN,NaN,0.0070904857,0.13854404,NaN,NaN,0.7711,0.3825523,NaN,NaN,0.14508188,0.14544061,NaN,0.0,0.4521042,-0.3745336,0.0,0.0,-0.34902385,-0.34801346,0.0,0.0,-0.518434,-0.44150102,0.0,0.0,1.5180007,-3.9805914E-4,0.0,0.0,0.7925032,-0.42040315,0.0
2850,0.3,-0.12799133,-148.43773,1003.90784,125.0002,4.0,1.0,1.0,4.0,NaN,0.06625432,0.16164239,NaN,NaN,0.010473363,0.17182067,NaN,NaN,0.0070904857,0.13854404,NaN,NaN,0.7711,0.3825523,NaN,NaN,0.14508188,0.14544061,NaN,0.0,0.4521042,-0.3745336,0.0,0.0,-0.34902385,-0.34801346,0.0,0.0,-0.518434,-0.44150102,0.0,0.0,1.5180007,-3.9805914E-4,0.0,0.0,0.7925032,-0.42040315,0.0
2851,0.3,-0.12502135,-152.344,996.09534,121.09394,4.0,1.0,1.0,4.0,NaN,0.07402741,0.15056546,NaN,NaN,0.011368351,0.16998753,NaN,NaN,0.00866798,0.14507876,NaN,NaN,0.7668684,0.38569552,NaN,NaN,0.13906784,0.14867273,NaN,0.0,0.42738888,-0.41745287,0.0,0.0,-0.38630623,-0.3647612,0.0,0.0,-0.5040858,-0.43357438,0.0,0.0,1.4427172,-0.008933667,0.0,0.0,0.701223,-0.42294693,0.0
2852,0.3,-0.12402939,-156.25024,992.189,121.09394,4.0,1.0,1.0,4.0,NaN,0.08208556,0.14812855,NaN,NaN,0.013527118,0.17165679,NaN,NaN,0.011731006,0.15197802,NaN,NaN,0.75645983,0.3730886,NaN,NaN,0.13619648,0.15514804,NaN,0.0,0.34997854,-0.44640937,0.0,0.0,-0.43308294,-0.3823872,0.0,0.0,-0.49495295,-0.4352674,0.0,0.0,1.3144977,-0.04523618,0.0,0.0,0.5698777,-0.42630184,0.0
2853,0.3,-0.12402939,-156.25024,996.09534,125.0002,4.0,1.0,1.0,4.0,NaN,0.08208556,0.14812855,NaN,NaN,0.013527118,0.17165679,NaN,NaN,0.011731006,0.15197802,NaN,NaN,0.75645983,0.3730886,NaN,NaN,0.13619648,0.15514804,NaN,0.0,0.34997854,-0.44640937,0.0,0.0,-0.43308294,-0.3823872,0.0,0.0,-0.49495295,-0.4352674,0.0,0.0,1.3144977,-0.04523618,0.0,0.0,0.5698777,-0.42630184,0.0
2854,0.3,-0.12402939,-148.43773,1000.0016,125.0002,4.0,1.0,1.0,4.0,NaN,0.08208556,0.14812855,NaN,NaN,0.013527118,0.17165679,NaN,NaN,0.011731006,0.15197802,NaN,NaN,0.75645983,0.3730886,NaN,NaN,0.13619648,0.15514804,NaN,0.0,0.34997854,-0.44640937,0.0,0.0,-0.43308294,-0.3823872,0.0,0.0,-0.49495295,-0.4352674,0.0,0.0,1.3144977,-0.04523618,0.0,0.0,0.5698777,-0.42630184,0.0
2855,0.3,-0.12402939,-148.43773,1000.0016,128.90645,4.0,1.0,1.0,4.0,NaN,0.08208556,0.14812855,NaN,NaN,0.013527118,0.17165679,NaN,NaN,0.011731006,0.15197802,NaN,NaN,0.75645983,0.3730886,NaN,NaN,0.13619648,0.15514804,NaN,0.0,0.34997854,-0.44640937,0.0,0.0,-0.43308294,-0.3823872,0.0,0.0,-0.49495295,-0.4352674,0.0,0.0,1.3144977,-0.04523618,0.0,0.0,0.5698777,-0.42630184,0.0
2856,0.3,-0.12498578,-148.43773,996.09534,128.90645,4.0,1.0,1.0,4.0,NaN,0.08043204,0.14967856,NaN,NaN,0.018115614,0.17763107,NaN,NaN,0.017846102,0.15943651,NaN,NaN,0.7411059,0.34792992,NaN,NaN,0.1425003,0.16532396,NaN,0.0,0.16314895,-0.47408473,0.0,0.0,-0.48422712,-0.39972538,0.0,0.0,-0.4907368,-0.44665653,0.0,0.0,1.1276001,-0.10775253,0.0,0.0,0.4115356,-0.4309085,0.0
