id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
3285,0.20265451,0.31460914,-74.218864,1003.90784,144.53148,1.0,1.0,1.0,1.0,0.060952976,0.18919797,0.07526918,0.02743041,0.078566685,0.18962315,0.08740605,0.028844992,0.11928065,0.17857209,0.0899391,0.017398609,0.4643478,0.18647392,0.5776125,0.02743041,0.27685186,0.25613287,0.16977315,0.100362994,0.3553689,-0.028456293,0.17149363,0.6798539,0.4656124,-0.027481418,0.23641796,0.70169204,0.646944,-0.053559184,0.24882503,0.48213616,1.2372174,-0.034754638,1.0565131,0.6798539,1.0126214,0.10309258,0.5247455,1.2431953
3286,0.20265451,0.31460914,-74.218864,1003.90784,144.53148,1.0,1.0,1.0,1.0,0.060952976,0.18919797,0.07526918,0.02743041,0.078566685,0.18962315,0.08740605,0.028844992,0.11928065,0.17857209,0.0899391,0.017398609,0.4643478,0.18647392,0.5776125,0.02743041,0.27685186,0.25613287,0.16977315,0.100362994,0.3553689,-0.028456293,0.17149363,0.6798539,0.4656124,-0.027481418,0.23641796,0.70169204,0.646944,-0.053559184,0.24882503,0.48213616,1.2372174,-0.034754638,1.0565131,0.6798539,1.0126214,0.10309258,0.5247455,1.2431953
3287,0.20265451,0.31398115,-78.12512,1003.90784,144.53148,1.0,1.0,1.0,1.0,0.060952976,0.17521651,0.06632767,0.02743041,0.078566685,0.18469352,0.08599036,0.028844992,0.11928065,0.17556846,0.08884749,0.017398609,0.4643478,0.19747442,0.57951266,0.02743041,0.27685186,0.2670471,0.17932184,0.100362994,0.3553689,-0.06714505,0.1298786,0.6798539,0.4656124,-0.044268463,0.24263363,0.70169204,0.646944,-0.06627359,0.256829,0.48213616,1.2372174,-0.015209265,1.0712467,0.6798539,1.0126214,0.115867764,0.56181705,1.2431953
3288,0.20265451,0.31384346,-78.12512,1003.90784,144.53148,1.0,1.0,1.0,1.0,0.060952976,0.17001292,0.067561544,0.02743041,0.078566685,0.17612782,0.08424913,0.028844992,0.11928065,0.17393017,0.08773889,0.017398609,0.4643478,0.20503497,0.57241696,0.02743041,0.27685186,0.27489412,0.18803349,0.100362994,0.3553689,-0.08470126,0.15083869,0.6798539,0.4656124,-0.069355235,0.24670455,0.70169204,0.646944,-0.07480831,0.26433122,0.48213616,1.2372174,-0.003355266,1.0788516,0.6798539,1.0126214,0.123982236,0.59537435,1.2431953
3289,0.20265451,0.31361446,-82.03138,1000.0016,144.53148,1.0,1.0,1.0,1.0,0.060952976,0.17264369,0.0690816,0.02743041,0.078566685,0.16601497,0.08280701,0.028844992,0.11928065,0.17402785,0.08697755,0.017398609,0.4643478,0.20783038,0.5664786,0.02743041,0.27685186,0.2794831,0.19465521,0.100362994,0.3553689,-0.08470126,0.16899376,0.6798539,0.4656124,-0.10170469,0.2476985,0.70169204,0.646944,-0.0812332,0.2690386,0.48213616,1.2372174,-0.0041429074,1.0828149,0.6798539,1.0126214,0.124503605,0.61889744,1.2431953
3290,0.20265451,0.31361446,-74.218864,1000.0016,148.43773,1.0,1.0,1.0,1.0,0.060952976,0.17264369,0.0690816,0.02743041,0.078566685,0.16601497,0.08280701,0.028844992,0.11928065,0.17402785,0.08697755,0.017398609,0.4643478,0.20783038,0.5664786,0.02743041,0.27685186,0.2794831,0.19465521,0.100362994,0.3553689,-0.08470126,0.16899376,0.6798539,0.4656124,-0.10170469,0.2476985,0.70169204,0.646944,-0.0812332,0.2690386,0.48213616,1.2372174,-0.0041429074,1.0828149,0.6798539,1.0126214,0.124503605,0.61889744,1.2431953
3291,0.20265451,0.31361446,-78.12512,1007.8141,144.53148,1.0,1.0,1.0,1.0,0.060952976,0.17264369,0.0690816,0.02743041,0.078566685,0.16601497,0.08280701,0.028844992,0.11928065,0.17402785,0.08697755,0.017398609,0.4643478,0.20783038,0.5664786,0.02743041,0.27685186,0.2794831,0.19465521,0.100362994,0.3553689,-0.08470126,0.16899376,0.6798539,0.4656124,-0.10170469,0.2476985,0.70169204,0.646944,-0.0812332,0.2690386,0.48213616,1.2372174,-0.0041429074,1.0828149,0.6798539,1.0126214,0.124503605,0.61889744,1.2431953
3292,0.20265451,0.31361446,-78.12512,992.189,144.53148,1.0,1.0,1.0,1.0,0.060952976,0.17264369,0.0690816,0.02743041,0.078566685,0.16601497,0.08280701,0.028844992,0.11928065,0.17402785,0.08697755,0.017398609,0.4643478,0.20783038,0.5664786,0.02743041,0.27685186,0.2794831,0.19465521,0.100362994,0.3553689,-0.08470126,0.16899376,0.6798539,0.4656124,-0.10170469,0.2476985,0.70169204,0.646944,-0.0812332,0.2690386,0.48213616,1.2372174,-0.0041429074,1.0828149,0.6798539,1.0126214,0.124503605,0.61889744,1.2431953
3293,0.20265451,0.31281388,-74.218864,1007.8141,144.53148,1.0,1.0,1.0,1.0,0.060952976,0.17594074,0.07044518,0.02743041,0.078566685,0.15646663,0.081413366,0.028844992,0.11928065,0.17543982,0.085874796,0.017398609,0.4643478,0.2109583,0.5644486,0.02743041,0.27685186,0.2811945,0.19781809,0.100362994,0.3553689,-0.08470126,0.18172643,0.6798539,0.4656124,-0.13564593,0.24457084,0.70169204,0.646944,-0.08593952,0.26774085,0.48213616,1.2372174,-0.0058710594,1.0854995,0.6798539,1.0126214,0.118939176,0.6301411,1.2431953
3294,0.20265451,0.31281388,-74.218864,996.09534,148.43773,1.0,1.0,1.0,1.0,0.060952976,0.17594074,0.07044518,0.02743041,0.078566685,0.15646663,0.081413366,0.028844992,0.11928065,0.17543982,0.085874796,0.017398609,0.4643478,0.2109583,0.5644486,0.02743041,0.27685186,0.2811945,0.19781809,0.100362994,0.3553689,-0.08470126,0.18172643,0.6798539,0.4656124,-0.13564593,0.24457084,0.70169204,0.646944,-0.08593952,0.26774085,0.48213616,1.2372174,-0.0058710594,1.0854995,0.6798539,1.0126214,0.118939176,0.6301411,1.2431953
