id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
6076,0.3,0.0019791776,246.09413,976.564,78.12512,4.0,1.0,1.0,1.0,NaN,0.3296423,0.18793057,NaN,NaN,0.14798324,0.13070501,NaN,NaN,0.14743592,0.10027721,NaN,NaN,0.16872506,0.38307524,NaN,NaN,0.20621347,0.19801198,NaN,0.0,0.3503144,0.28676423,0.0,0.0,0.0024840038,0.12905906,0.0,0.0,8.747894E-4,0.013969041,0.0,0.0,0.059451077,0.5960509,0.0,0.0,0.14658852,0.30945826,0.0
6077,0.3,0.0019791776,246.09413,972.6578,82.03138,4.0,1.0,1.0,1.0,NaN,0.3296423,0.18793057,NaN,NaN,0.14798324,0.13070501,NaN,NaN,0.14743592,0.10027721,NaN,NaN,0.16872506,0.38307524,NaN,NaN,0.20621347,0.19801198,NaN,0.0,0.3503144,0.28676423,0.0,0.0,0.0024840038,0.12905906,0.0,0.0,8.747894E-4,0.013969041,0.0,0.0,0.059451077,0.5960509,0.0,0.0,0.14658852,0.30945826,0.0
6078,0.3,0.0019791776,250.0004,972.6578,82.03138,4.0,1.0,1.0,1.0,NaN,0.3296423,0.18793057,NaN,NaN,0.14798324,0.13070501,NaN,NaN,0.14743592,0.10027721,NaN,NaN,0.16872506,0.38307524,NaN,NaN,0.20621347,0.19801198,NaN,0.0,0.3503144,0.28676423,0.0,0.0,0.0024840038,0.12905906,0.0,0.0,8.747894E-4,0.013969041,0.0,0.0,0.059451077,0.5960509,0.0,0.0,0.14658852,0.30945826,0.0
6079,0.3,0.0019791776,250.0004,972.6578,82.03138,4.0,1.0,1.0,1.0,NaN,0.3296423,0.18793057,NaN,NaN,0.14798324,0.13070501,NaN,NaN,0.14743592,0.10027721,NaN,NaN,0.16872506,0.38307524,NaN,NaN,0.20621347,0.19801198,NaN,0.0,0.3503144,0.28676423,0.0,0.0,0.0024840038,0.12905906,0.0,0.0,8.747894E-4,0.013969041,0.0,0.0,0.059451077,0.5960509,0.0,0.0,0.14658852,0.30945826,0.0
6080,0.3,9.102742E-4,250.0004,972.6578,82.03138,4.0,1.0,1.0,1.0,NaN,0.3265242,0.13079526,NaN,NaN,0.15555066,0.08334331,NaN,NaN,0.14341658,0.061990924,NaN,NaN,0.17426544,0.5064057,NaN,NaN,0.20024313,0.21746477,NaN,0.0,0.34668282,0.3417241,0.0,0.0,0.024639301,0.14600286,0.0,0.0,-0.010633152,0.017460208,0.0,0.0,0.07397872,0.9296307,0.0,0.0,0.13432509,0.56252104,0.0
6081,0.3,9.102742E-4,250.0004,976.564,82.03138,4.0,1.0,1.0,1.0,NaN,0.3265242,0.13079526,NaN,NaN,0.15555066,0.08334331,NaN,NaN,0.14341658,0.061990924,NaN,NaN,0.17426544,0.5064057,NaN,NaN,0.20024313,0.21746477,NaN,0.0,0.34668282,0.3417241,0.0,0.0,0.024639301,0.14600286,0.0,0.0,-0.010633152,0.017460208,0.0,0.0,0.07397872,0.9296307,0.0,0.0,0.13432509,0.56252104,0.0
6082,0.3,5.3535154E-5,257.8129,972.6578,82.03138,4.0,1.0,1.0,1.0,NaN,0.32395878,0.09396725,NaN,NaN,0.16329652,0.056336973,NaN,NaN,0.14004365,0.04110012,NaN,NaN,0.18028308,0.58116573,NaN,NaN,0.19241795,0.22742996,NaN,0.0,0.3410866,0.3826747,0.0,0.0,0.04357376,0.16049168,0.0,0.0,-0.023139747,0.02354126,0.0,0.0,0.08655182,1.1739981,0.0,0.0,0.11484243,0.76654583,0.0
6083,0.3,5.3535154E-5,253.90665,976.564,82.03138,4.0,1.0,1.0,1.0,NaN,0.32395878,0.09396725,NaN,NaN,0.16329652,0.056336973,NaN,NaN,0.14004365,0.04110012,NaN,NaN,0.18028308,0.58116573,NaN,NaN,0.19241795,0.22742996,NaN,0.0,0.3410866,0.3826747,0.0,0.0,0.04357376,0.16049168,0.0,0.0,-0.023139747,0.02354126,0.0,0.0,0.08655182,1.1739981,0.0,0.0,0.11484243,0.76654583,0.0
6084,0.3,-2.5661392E-4,250.0004,976.564,78.12512,4.0,1.0,1.0,1.0,NaN,0.32097983,0.07030335,NaN,NaN,0.17084856,0.04271471,NaN,NaN,0.13771819,0.030860797,NaN,NaN,0.18609063,0.62456304,NaN,NaN,0.18436277,0.2315581,NaN,0.0,0.33273223,0.3903985,0.0,0.0,0.05886582,0.17399995,0.0,0.0,-0.03475422,0.032829616,0.0,0.0,0.09597898,1.3389988,0.0,0.0,0.09192771,0.9080824,0.0
6085,0.3,-2.5661392E-4,246.09413,972.6578,82.03138,4.0,1.0,1.0,1.0,NaN,0.32097983,0.07030335,NaN,NaN,0.17084856,0.04271471,NaN,NaN,0.13771819,0.030860797,NaN,NaN,0.18609063,0.62456304,NaN,NaN,0.18436277,0.2315581,NaN,0.0,0.33273223,0.3903985,0.0,0.0,0.05886582,0.17399995,0.0,0.0,-0.03475422,0.032829616,0.0,0.0,0.09597898,1.3389988,0.0,0.0,0.09192771,0.9080824,0.0
