id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
4664,-0.16577022,0.087145805,-39.06256,980.4703,253.90665,4.0,1.0,1.0,1.0,NaN,0.041239846,0.030429797,0.26268622,NaN,0.0057545234,0.0129904235,0.08554311,NaN,0.0029022004,0.013089176,0.020498304,NaN,0.8650296,0.8398508,0.26268622,NaN,0.085073866,0.10363983,0.14483623,0.0,0.25426877,-0.07911412,1.5525674,0.0,-0.60103893,-0.44878986,1.065315,0.0,-0.89832085,-0.44550085,0.44484794,0.0,1.5759827,1.361789,1.5525674,0.0,0.5687479,0.45311353,1.2940072
4665,-0.15393578,0.08750151,-42.96882,980.4703,253.90665,4.0,1.0,1.0,1.0,NaN,0.0451146,0.03367306,0.24159808,NaN,0.0063518495,0.014284139,0.08754437,NaN,0.0034250454,0.014180812,0.02110194,NaN,0.84555566,0.81777483,0.24159808,NaN,0.09955283,0.12008714,0.15814066,0.0,0.2545844,-0.07055815,1.5131192,0.0,-0.59683245,-0.44298667,1.072254,0.0,-0.86506635,-0.4461396,0.4543481,0.0,1.5274096,1.314793,1.5131192,0.0,0.5983209,0.48165578,1.3290693
4666,-0.15393578,0.08750151,-42.96882,980.4703,253.90665,4.0,1.0,1.0,1.0,NaN,0.0451146,0.03367306,0.24159808,NaN,0.0063518495,0.014284139,0.08754437,NaN,0.0034250454,0.014180812,0.02110194,NaN,0.84555566,0.81777483,0.24159808,NaN,0.09955283,0.12008714,0.15814066,0.0,0.2545844,-0.07055815,1.5131192,0.0,-0.59683245,-0.44298667,1.072254,0.0,-0.86506635,-0.4461396,0.4543481,0.0,1.5274096,1.314793,1.5131192,0.0,0.5983209,0.48165578,1.3290693
4667,-0.14460126,0.09318591,-46.875072,980.4703,250.0004,4.0,1.0,1.0,1.0,NaN,0.051137667,0.0377036,0.24921954,NaN,0.0073439945,0.016324727,0.10566375,NaN,0.0041824137,0.015691308,0.026030317,NaN,0.82192796,0.79242605,0.24921954,NaN,0.11540795,0.13785431,0.17513147,0.0,0.2545844,-0.07055815,1.4820042,0.0,-0.5882242,-0.43409503,1.109348,0.0,-0.8327295,-0.45128182,0.5009015,0.0,1.4606773,1.2520177,1.4820042,0.0,0.60807925,0.49247938,1.3287863
4668,-0.14460126,0.09318591,-46.875072,980.4703,253.90665,4.0,1.0,1.0,1.0,NaN,0.051137667,0.0377036,0.24921954,NaN,0.0073439945,0.016324727,0.10566375,NaN,0.0041824137,0.015691308,0.026030317,NaN,0.82192796,0.79242605,0.24921954,NaN,0.11540795,0.13785431,0.17513147,0.0,0.2545844,-0.07055815,1.4820042,0.0,-0.5882242,-0.43409503,1.109348,0.0,-0.8327295,-0.45128182,0.5009015,0.0,1.4606773,1.2520177,1.4820042,0.0,0.60807925,0.49247938,1.3287863
4669,-0.14460126,0.09318591,-42.96882,980.4703,253.90665,4.0,1.0,1.0,1.0,NaN,0.051137667,0.0377036,0.24921954,NaN,0.0073439945,0.016324727,0.10566375,NaN,0.0041824137,0.015691308,0.026030317,NaN,0.82192796,0.79242605,0.24921954,NaN,0.11540795,0.13785431,0.17513147,0.0,0.2545844,-0.07055815,1.4820042,0.0,-0.5882242,-0.43409503,1.109348,0.0,-0.8327295,-0.45128182,0.5009015,0.0,1.4606773,1.2520177,1.4820042,0.0,0.60807925,0.49247938,1.3287863
4670,-0.13782188,0.096023254,-39.06256,980.4703,253.90665,4.0,1.0,1.0,1.0,NaN,0.058070604,0.042317573,0.27057168,NaN,0.008586016,0.018895786,0.13150103,NaN,0.0050263857,0.017316472,0.031752322,NaN,0.7977103,0.76656306,0.27057168,NaN,0.1306067,0.1549071,0.19535589,0.0,0.25318885,-0.07055815,1.4594063,0.0,-0.5769758,-0.42071393,1.1460531,0.0,-0.8095117,-0.45861948,0.5288994,0.0,1.3910778,1.187469,1.4594063,0.0,0.60519797,0.49299246,1.3179504
4671,-0.13782188,0.096023254,-42.96882,980.4703,253.90665,4.0,1.0,1.0,1.0,NaN,0.058070604,0.042317573,0.27057168,NaN,0.008586016,0.018895786,0.13150103,NaN,0.0050263857,0.017316472,0.031752322,NaN,0.7977103,0.76656306,0.27057168,NaN,0.1306067,0.1549071,0.19535589,0.0,0.25318885,-0.07055815,1.4594063,0.0,-0.5769758,-0.42071393,1.1460531,0.0,-0.8095117,-0.45861948,0.5288994,0.0,1.3910778,1.187469,1.4594063,0.0,0.60519797,0.49299246,1.3179504
4672,-0.13782188,0.096023254,-42.96882,980.4703,253.90665,4.0,1.0,1.0,1.0,NaN,0.058070604,0.042317573,0.27057168,NaN,0.008586016,0.018895786,0.13150103,NaN,0.0050263857,0.017316472,0.031752322,NaN,0.7977103,0.76656306,0.27057168,NaN,0.1306067,0.1549071,0.19535589,0.0,0.25318885,-0.07055815,1.4594063,0.0,-0.5769758,-0.42071393,1.1460531,0.0,-0.8095117,-0.45861948,0.5288994,0.0,1.3910778,1.187469,1.4594063,0.0,0.60519797,0.49299246,1.3179504
4673,-0.13782188,0.097432405,-42.96882,980.4703,253.90665,1.0,1.0,1.0,1.0,NaN,0.064131886,0.046260837,0.30420336,NaN,0.009754393,0.021728177,0.15738024,NaN,0.005726468,0.018586013,0.036162037,NaN,0.77864236,0.7460338,0.30420336,NaN,0.1417449,0.1673912,0.21549061,0.0,0.25261432,-0.07055815,1.4594063,0.0,-0.56525946,-0.39874837,1.1731924,0.0,-0.79657286,-0.46658543,0.5344951,0.0,1.3368783,1.1369869,1.4594063,0.0,0.5970477,0.48796093,1.3096706
