id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
4364,0.30270746,0.094945304,273.43793,964.8453,136.71896,1.0,1.0,1.0,1.0,0.18341401,0.12734365,0.13313311,0.13977525,0.062341407,0.021286592,0.07031603,0.08881603,0.043235563,0.01021723,0.034101244,0.03072845,0.51802844,0.52300084,0.51706344,0.13977525,0.1929806,0.31815168,0.2453862,0.22306599,0.96339405,0.13596848,-0.28676406,0.9543691,0.4947381,-0.6409027,-0.5639958,0.7574302,0.33580264,-0.95967567,-0.87827986,0.29647952,1.4143151,0.74949354,0.3024937,0.9543691,0.9854752,0.5336254,-0.02119998,1.1573722
4365,0.30270746,0.094945304,277.34418,964.8453,136.71896,1.0,1.0,1.0,1.0,0.18341401,0.12734365,0.13313311,0.13977525,0.062341407,0.021286592,0.07031603,0.08881603,0.043235563,0.01021723,0.034101244,0.03072845,0.51802844,0.52300084,0.51706344,0.13977525,0.1929806,0.31815168,0.2453862,0.22306599,0.96339405,0.13596848,-0.28676406,0.9543691,0.4947381,-0.6409027,-0.5639958,0.7574302,0.33580264,-0.95967567,-0.87827986,0.29647952,1.4143151,0.74949354,0.3024937,0.9543691,0.9854752,0.5336254,-0.02119998,1.1573722
4366,0.30270746,0.094945304,277.34418,960.939,136.71896,1.0,1.0,1.0,1.0,0.18341401,0.12734365,0.13313311,0.13977525,0.062341407,0.021286592,0.07031603,0.08881603,0.043235563,0.01021723,0.034101244,0.03072845,0.51802844,0.52300084,0.51706344,0.13977525,0.1929806,0.31815168,0.2453862,0.22306599,0.96339405,0.13596848,-0.28676406,0.9543691,0.4947381,-0.6409027,-0.5639958,0.7574302,0.33580264,-0.95967567,-0.87827986,0.29647952,1.4143151,0.74949354,0.3024937,0.9543691,0.9854752,0.5336254,-0.02119998,1.1573722
4367,0.30270746,0.094945304,273.43793,964.8453,136.71896,1.0,1.0,1.0,1.0,0.18341401,0.12734365,0.13313311,0.13977525,0.062341407,0.021286592,0.07031603,0.08881603,0.043235563,0.01021723,0.034101244,0.03072845,0.51802844,0.52300084,0.51706344,0.13977525,0.1929806,0.31815168,0.2453862,0.22306599,0.96339405,0.13596848,-0.28676406,0.9543691,0.4947381,-0.6409027,-0.5639958,0.7574302,0.33580264,-0.95967567,-0.87827986,0.29647952,1.4143151,0.74949354,0.3024937,0.9543691,0.9854752,0.5336254,-0.02119998,1.1573722
4368,0.29317045,0.10105725,273.43793,960.939,136.71896,1.0,1.0,1.0,1.0,0.1839964,0.12741621,0.13341737,0.1484518,0.06298771,0.021284651,0.06977963,0.09072317,0.04374228,0.010098839,0.034646053,0.031018708,0.5162521,0.52318805,0.51784456,0.1484518,0.1930215,0.31801224,0.24431239,0.22049543,0.96339405,0.13596848,-0.28676406,0.9861592,0.49784052,-0.64118963,-0.56824774,0.77229196,0.33948612,-0.9649847,-0.8723227,0.30619743,1.4114466,0.7494016,0.302223,0.9861592,0.9841904,0.5331876,-0.024030916,1.1579733
4369,0.29317045,0.10105725,277.34418,960.939,136.71896,1.0,1.0,1.0,1.0,0.1839964,0.12741621,0.13341737,0.1484518,0.06298771,0.021284651,0.06977963,0.09072317,0.04374228,0.010098839,0.034646053,0.031018708,0.5162521,0.52318805,0.51784456,0.1484518,0.1930215,0.31801224,0.24431239,0.22049543,0.96339405,0.13596848,-0.28676406,0.9861592,0.49784052,-0.64118963,-0.56824774,0.77229196,0.33948612,-0.9649847,-0.8723227,0.30619743,1.4114466,0.7494016,0.302223,0.9861592,0.9841904,0.5331876,-0.024030916,1.1579733
4370,0.28996924,0.10311128,273.43793,960.939,136.71896,1.0,1.0,1.0,1.0,0.1851628,0.12805294,0.13408984,0.15139994,0.06383676,0.02161063,0.06861584,0.09494661,0.044123814,0.009992001,0.0350205,0.031441215,0.5145465,0.52322346,0.5195948,0.15139994,0.1923301,0.31712094,0.24267901,0.21812299,0.96339405,0.13596848,-0.28676406,0.9968299,0.5009111,-0.6367536,-0.57773554,0.7941836,0.34051335,-0.9717686,-0.8698375,0.3142035,1.407265,0.7472662,0.3015049,0.9968299,0.97988755,0.5298039,-0.029127693,1.1554056
4371,0.28996924,0.10311128,273.43793,964.8453,136.71896,1.0,1.0,1.0,1.0,0.1851628,0.12805294,0.13408984,0.15139994,0.06383676,0.02161063,0.06861584,0.09494661,0.044123814,0.009992001,0.0350205,0.031441215,0.5145465,0.52322346,0.5195948,0.15139994,0.1923301,0.31712094,0.24267901,0.21812299,0.96339405,0.13596848,-0.28676406,0.9968299,0.5009111,-0.6367536,-0.57773554,0.7941836,0.34051335,-0.9717686,-0.8698375,0.3142035,1.407265,0.7472662,0.3015049,0.9968299,0.97988755,0.5298039,-0.029127693,1.1554056
4372,0.28454053,0.104654014,273.43793,960.939,136.71896,1.0,1.0,1.0,1.0,0.18994541,0.1315399,0.13767485,0.15907188,0.06524909,0.022586705,0.06737037,0.10047843,0.04497789,0.01007412,0.035605114,0.032071188,0.5106537,0.52209747,0.52081615,0.15907188,0.18917394,0.3137018,0.23853353,0.21207885,0.96339405,0.13596848,-0.28340197,1.0149256,0.4993397,-0.62923616,-0.5937876,0.8154051,0.3377643,-0.9798819,-0.8707442,0.31944725,1.3928916,0.73466253,0.29442787,1.0149256,0.9616265,0.513428,-0.044707153,1.1398295
4373,0.28454053,0.104654014,273.43793,960.939,136.71896,1.0,1.0,1.0,1.0,0.18994541,0.1315399,0.13767485,0.15907188,0.06524909,0.022586705,0.06737037,0.10047843,0.04497789,0.01007412,0.035605114,0.032071188,0.5106537,0.52209747,0.52081615,0.15907188,0.18917394,0.3137018,0.23853353,0.21207885,0.96339405,0.13596848,-0.28340197,1.0149256,0.4993397,-0.62923616,-0.5937876,0.8154051,0.3377643,-0.9798819,-0.8707442,0.31944725,1.3928916,0.73466253,0.29442787,1.0149256,0.9616265,0.513428,-0.044707153,1.1398295
4374,0.28454053,0.104654014,273.43793,964.8453,140.62521,1.0,1.0,1.0,1.0,0.18994541,0.1315399,0.13767485,0.15907188,0.06524909,0.022586705,0.06737037,0.10047843,0.04497789,0.01007412,0.035605114,0.032071188,0.5106537,0.52209747,0.52081615,0.15907188,0.18917394,0.3137018,0.23853353,0.21207885,0.96339405,0.13596848,-0.28340197,1.0149256,0.4993397,-0.62923616,-0.5937876,0.8154051,0.3377643,-0.9798819,-0.8707442,0.31944725,1.3928916,0.73466253,0.29442787,1.0149256,0.9616265,0.513428,-0.044707153,1.1398295
4375,0.27730694,0.10572963,269.53168,964.8453,136.71896,1.0,1.0,1.0,1.0,0.20281604,0.143072,0.14741778,0.175104,0.0687813,0.024814952,0.06761188,0.1084168,0.04709995,0.0106684705,0.037212685,0.03368381,0.4997118,0.51490796,0.51823825,0.175104,0.18159091,0.30653664,0.22951941,0.2007697,0.96339405,0.13937719,-0.27600008,1.0390376,0.49376214,-0.621464,-0.6145269,0.8308381,0.3293122,-0.9880753,-0.8738589,0.32316267,1.3550113,0.6955522,0.2699795,1.0390376,0.91538584,0.47030494,-0.083730526,1.0984396
4376,0.27730694,0.10572963,273.43793,960.939,136.71896,1.0,1.0,1.0,1.0,0.20281604,0.143072,0.14741778,0.175104,0.0687813,0.024814952,0.06761188,0.1084168,0.04709995,0.0106684705,0.037212685,0.03368381,0.4997118,0.51490796,0.51823825,0.175104,0.18159091,0.30653664,0.22951941,0.2007697,0.96339405,0.13937719,-0.27600008,1.0390376,0.49376214,-0.621464,-0.6145269,0.8308381,0.3293122,-0.9880753,-0.8738589,0.32316267,1.3550113,0.6955522,0.2699795,1.0390376,0.91538584,0.47030494,-0.083730526,1.0984396
4377,0.27730694,0.102020316,281.25043,957.0328,136.71896,1.0,1.0,1.0,1.0,0.22867602,0.16635832,0.16396126,0.19350252,0.07645455,0.028917316,0.07177075,0.12218929,0.051128294,0.012078633,0.040932212,0.037596375,0.47472528,0.49935877,0.50789887,0.19350252,0.16901585,0.29328695,0.21543695,0.18674983,0.96339405,0.13921604,-0.275124,1.0390376,0.48757675,-0.62067056,-0.6339178,0.8393841,0.3128347,-0.99981076,-0.87780005,0.3274969,1.2806158,0.6165842,0.21591197,1.0390376,0.83210087,0.38546425,-0.15654507,1.0236112
4378,0.27730694,0.102020316,281.25043,957.0328,136.71896,1.0,1.0,1.0,1.0,0.22867602,0.16635832,0.16396126,0.19350252,0.07645455,0.028917316,0.07177075,0.12218929,0.051128294,0.012078633,0.040932212,0.037596375,0.47472528,0.49935877,0.50789887,0.19350252,0.16901585,0.29328695,0.21543695,0.18674983,0.96339405,0.13921604,-0.275124,1.0390376,0.48757675,-0.62067056,-0.6339178,0.8393841,0.3128347,-0.99981076,-0.87780005,0.3274969,1.2806158,0.6165842,0.21591197,1.0390376,0.83210087,0.38546425,-0.15654507,1.0236112
4379,0.26380488,0.092018865,281.25043,960.939,136.71896,1.0,1.0,1.0,1.0,0.24667299,0.19080979,0.1741638,0.22268185,0.090500884,0.035620656,0.08224694,0.14128253,0.057535075,0.014572633,0.04826657,0.04373097,0.44083074,0.48287758,0.49244535,0.22268185,0.16446033,0.27611935,0.20287734,0.17402741,0.9206565,0.10319287,-0.32351956,1.041307,0.48518768,-0.62570584,-0.6493577,0.84371054,0.28846753,-1.0138696,-0.880831,0.3344112,1.1728067,0.50642926,0.1278806,1.041307,0.744596,0.2636891,-0.2572439,0.93423975
4380,0.26380488,0.092018865,285.1567,964.8453,136.71896,1.0,1.0,1.0,1.0,0.24667299,0.19080979,0.1741638,0.22268185,0.090500884,0.035620656,0.08224694,0.14128253,0.057535075,0.014572633,0.04826657,0.04373097,0.44083074,0.48287758,0.49244535,0.22268185,0.16446033,0.27611935,0.20287734,0.17402741,0.9206565,0.10319287,-0.32351956,1.041307,0.48518768,-0.62570584,-0.6493577,0.84371054,0.28846753,-1.0138696,-0.880831,0.3344112,1.1728067,0.50642926,0.1278806,1.041307,0.744596,0.2636891,-0.2572439,0.93423975
4381,0.26380488,0.092018865,289.06296,960.939,140.62521,1.0,1.0,1.0,1.0,0.24667299,0.19080979,0.1741638,0.22268185,0.090500884,0.035620656,0.08224694,0.14128253,0.057535075,0.014572633,0.04826657,0.04373097,0.44083074,0.48287758,0.49244535,0.22268185,0.16446033,0.27611935,0.20287734,0.17402741,0.9206565,0.10319287,-0.32351956,1.041307,0.48518768,-0.62570584,-0.6493577,0.84371054,0.28846753,-1.0138696,-0.880831,0.3344112,1.1728067,0.50642926,0.1278806,1.041307,0.744596,0.2636891,-0.2572439,0.93423975
