id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
4860,0.08595044,0.030828763,-117.18768,992.189,167.96901,1.0,1.0,1.0,1.0,0.15156414,0.17072853,0.031765047,0.33876663,0.1843122,0.04259529,0.02872525,0.25407004,0.082771294,0.046583325,0.021821456,0.0659647,0.4054032,0.67369807,0.82307947,0.33876663,0.1759492,0.06639481,0.0946088,0.13906716,0.4211256,-0.4560179,-0.72381854,1.1346241,0.50608325,-1.0589625,-0.7675042,1.0096769,0.15840891,-1.0200936,-0.88688433,0.42403507,0.8484163,0.1401413,0.6896737,1.1346241,0.48591644,-0.86618984,-0.2498365,0.74794805
4861,0.07478494,0.03442823,-121.09394,996.09534,171.87527,1.0,1.0,1.0,1.0,0.14841218,0.15476967,0.029892815,0.34887776,0.18234949,0.03976627,0.027876945,0.25573632,0.07945541,0.042580947,0.021146985,0.0598302,0.41351017,0.70548517,0.8393123,0.34887776,0.17627275,0.05739792,0.08177093,0.1462468,0.4211256,-0.4560179,-0.72381854,1.1718425,0.5105606,-1.046189,-0.7541402,1.0369616,0.1497795,-1.0164884,-0.8741369,0.40608963,0.8661422,0.20278412,0.72453827,1.1718425,0.4958412,-0.8868076,-0.28678647,0.7942556
4862,0.07478494,0.03442823,-121.09394,992.189,167.96901,1.0,1.0,1.0,1.0,0.14841218,0.15476967,0.029892815,0.34887776,0.18234949,0.03976627,0.027876945,0.25573632,0.07945541,0.042580947,0.021146985,0.0598302,0.41351017,0.70548517,0.8393123,0.34887776,0.17627275,0.05739792,0.08177093,0.1462468,0.4211256,-0.4560179,-0.72381854,1.1718425,0.5105606,-1.046189,-0.7541402,1.0369616,0.1497795,-1.0164884,-0.8741369,0.40608963,0.8661422,0.20278412,0.72453827,1.1718425,0.4958412,-0.8868076,-0.28678647,0.7942556
4863,0.07478494,0.03442823,-125.0002,992.189,167.96901,1.0,1.0,1.0,1.0,0.14841218,0.15476967,0.029892815,0.34887776,0.18234949,0.03976627,0.027876945,0.25573632,0.07945541,0.042580947,0.021146985,0.0598302,0.41351017,0.70548517,0.8393123,0.34887776,0.17627275,0.05739792,0.08177093,0.1462468,0.4211256,-0.4560179,-0.72381854,1.1718425,0.5105606,-1.046189,-0.7541402,1.0369616,0.1497795,-1.0164884,-0.8741369,0.40608963,0.8661422,0.20278412,0.72453827,1.1718425,0.4958412,-0.8868076,-0.28678647,0.7942556
4864,0.07247631,0.037513256,-121.09394,996.09534,167.96901,1.0,1.0,1.0,1.0,0.14496917,0.14019826,0.028630167,0.34315342,0.17874573,0.036455188,0.02720444,0.26087573,0.078156635,0.038687438,0.020452496,0.057865284,0.4226964,0.7331215,0.84976137,0.34315342,0.17543204,0.051537585,0.073951505,0.15741123,0.4211256,-0.4560179,-0.7173293,1.1795379,0.5120856,-1.0410012,-0.7395134,1.0604832,0.1528158,-1.0151906,-0.8634069,0.40646768,0.88587856,0.26241544,0.7551438,1.1795379,0.5039589,-0.8906365,-0.3052062,0.8410853
4865,0.07247631,0.037513256,-113.281425,996.09534,171.87527,1.0,1.0,1.0,1.0,0.14496917,0.14019826,0.028630167,0.34315342,0.17874573,0.036455188,0.02720444,0.26087573,0.078156635,0.038687438,0.020452496,0.057865284,0.4226964,0.7331215,0.84976137,0.34315342,0.17543204,0.051537585,0.073951505,0.15741123,0.4211256,-0.4560179,-0.7173293,1.1795379,0.5120856,-1.0410012,-0.7395134,1.0604832,0.1528158,-1.0151906,-0.8634069,0.40646768,0.88587856,0.26241544,0.7551438,1.1795379,0.5039589,-0.8906365,-0.3052062,0.8410853
4866,0.06904191,0.042447057,-121.09394,988.2828,167.96901,1.0,1.0,1.0,1.0,0.14200105,0.13065706,0.02780115,0.3406307,0.17518452,0.033825394,0.027037172,0.2625409,0.07863993,0.035825193,0.0201135,0.05695186,0.43006614,0.7513624,0.8545892,0.3406307,0.17410836,0.04832996,0.070458926,0.16608252,0.4211256,-0.4560179,-0.71390855,1.1909859,0.5123298,-1.042908,-0.7260101,1.0778991,0.16447718,-1.0179622,-0.8544837,0.41421008,0.9023693,0.30369866,0.77378607,1.1909859,0.5096537,-0.8879344,-0.31003532,0.87902606
4867,0.06904191,0.042447057,-121.09394,1000.0016,167.96901,1.0,1.0,1.0,1.0,0.14200105,0.13065706,0.02780115,0.3406307,0.17518452,0.033825394,0.027037172,0.2625409,0.07863993,0.035825193,0.0201135,0.05695186,0.43006614,0.7513624,0.8545892,0.3406307,0.17410836,0.04832996,0.070458926,0.16608252,0.4211256,-0.4560179,-0.71390855,1.1909859,0.5123298,-1.042908,-0.7260101,1.0778991,0.16447718,-1.0179622,-0.8544837,0.41421008,0.9023693,0.30369866,0.77378607,1.1909859,0.5096537,-0.8879344,-0.31003532,0.87902606
4868,0.06146831,0.04878901,-121.09394,996.09534,167.96901,1.0,1.0,1.0,1.0,0.14014731,0.12648492,0.027593248,0.34785712,0.17215304,0.03226158,0.027478483,0.25970164,0.08041067,0.034173038,0.020343991,0.055529557,0.4343283,0.7605606,0.8552182,0.34785712,0.17296068,0.046519868,0.06936609,0.1697474,0.4211256,-0.4560179,-0.71390855,1.2162312,0.5104555,-1.049371,-0.7157186,1.089305,0.17985447,-1.024373,-0.8462752,0.41935453,0.91235894,0.32307717,0.7773655,1.2162312,0.51248825,-0.8904182,-0.31356418,0.90463346
4869,0.06146831,0.04878901,-121.09394,992.189,167.96901,1.0,1.0,1.0,1.0,0.14014731,0.12648492,0.027593248,0.34785712,0.17215304,0.03226158,0.027478483,0.25970164,0.08041067,0.034173038,0.020343991,0.055529557,0.4343283,0.7605606,0.8552182,0.34785712,0.17296068,0.046519868,0.06936609,0.1697474,0.4211256,-0.4560179,-0.71390855,1.2162312,0.5104555,-1.049371,-0.7157186,1.089305,0.17985447,-1.024373,-0.8462752,0.41935453,0.91235894,0.32307717,0.7773655,1.2162312,0.51248825,-0.8904182,-0.31356418,0.90463346
