id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
9132,0.14698082,0.3729293,-207.03157,972.6578,203.12532,1.0,1.0,1.0,1.0,0.08281344,0.06894268,0.2363899,0.5413547,0.11274388,0.08236091,0.18508856,0.2047593,0.03072282,0.08629786,0.16994365,0.084569976,0.49456418,0.6777302,0.2137041,0.5413547,0.27915567,0.08466836,0.19487378,0.08388899,0.9658795,-0.53025186,-0.27370688,1.4759434,1.0998716,-0.45301893,-0.37995622,1.0537052,0.5352397,-0.43274,-0.41703087,0.6696778,1.7420013,0.4623168,-0.31752297,1.4759434,1.4936252,-0.44101888,-0.3575824,0.66616654
9133,0.14698082,0.37591302,-203.12532,976.564,203.12532,1.0,1.0,1.0,1.0,0.08281344,0.0626598,0.23170313,0.54723465,0.11274388,0.0753673,0.18598212,0.2049415,0.03072282,0.08210054,0.16821824,0.08682666,0.49456418,0.7010258,0.2181445,0.54723465,0.27915567,0.07884658,0.195952,0.076536015,0.9658795,-0.53025186,-0.28218433,1.4759434,1.0998716,-0.45005792,-0.37764505,1.0493997,0.5352397,-0.41289485,-0.42124316,0.67642295,1.7420013,0.5184931,-0.30837196,1.4759434,1.4936252,-0.43045798,-0.35496658,0.62163574
9134,0.14698082,0.37591302,-203.12532,972.6578,203.12532,1.0,1.0,1.0,1.0,0.08281344,0.0626598,0.23170313,0.54723465,0.11274388,0.0753673,0.18598212,0.2049415,0.03072282,0.08210054,0.16821824,0.08682666,0.49456418,0.7010258,0.2181445,0.54723465,0.27915567,0.07884658,0.195952,0.076536015,0.9658795,-0.53025186,-0.28218433,1.4759434,1.0998716,-0.45005792,-0.37764505,1.0493997,0.5352397,-0.41289485,-0.42124316,0.67642295,1.7420013,0.5184931,-0.30837196,1.4759434,1.4936252,-0.43045798,-0.35496658,0.62163574
9135,0.14698082,0.37591302,-207.03157,972.6578,203.12532,1.0,1.0,1.0,1.0,0.08281344,0.0626598,0.23170313,0.54723465,0.11274388,0.0753673,0.18598212,0.2049415,0.03072282,0.08210054,0.16821824,0.08682666,0.49456418,0.7010258,0.2181445,0.54723465,0.27915567,0.07884658,0.195952,0.076536015,0.9658795,-0.53025186,-0.28218433,1.4759434,1.0998716,-0.45005792,-0.37764505,1.0493997,0.5352397,-0.41289485,-0.42124316,0.67642295,1.7420013,0.5184931,-0.30837196,1.4759434,1.4936252,-0.43045798,-0.35496658,0.62163574
9136,0.14698082,0.37591302,-203.12532,976.564,203.12532,1.0,1.0,1.0,1.0,0.08281344,0.0626598,0.23170313,0.54723465,0.11274388,0.0753673,0.18598212,0.2049415,0.03072282,0.08210054,0.16821824,0.08682666,0.49456418,0.7010258,0.2181445,0.54723465,0.27915567,0.07884658,0.195952,0.076536015,0.9658795,-0.53025186,-0.28218433,1.4759434,1.0998716,-0.45005792,-0.37764505,1.0493997,0.5352397,-0.41289485,-0.42124316,0.67642295,1.7420013,0.5184931,-0.30837196,1.4759434,1.4936252,-0.43045798,-0.35496658,0.62163574
9137,0.14698082,0.38155162,-203.12532,972.6578,203.12532,1.0,1.0,1.0,1.0,0.08281344,0.058885347,0.21523248,0.5520905,0.11274388,0.0721992,0.1911685,0.20393081,0.03072282,0.08226512,0.1738181,0.09018125,0.49456418,0.71246785,0.22050868,0.5520905,0.27915567,0.07418246,0.19927225,0.07082621,0.9658795,-0.53025186,-0.32661873,1.4759434,1.0998716,-0.44172668,-0.3781102,1.043416,0.5352397,-0.38504335,-0.41943154,0.68904936,1.7420013,0.5525062,-0.31610087,1.4759434,1.4936252,-0.42995787,-0.3600797,0.5841272
9138,0.14698082,0.38861546,-203.12532,972.6578,203.12532,1.0,1.0,1.0,1.0,0.08281344,0.05609457,0.19827792,0.5560828,0.11274388,0.071897596,0.1975746,0.19976427,0.03072282,0.08546071,0.18506218,0.09385321,0.49456418,0.7154711,0.21773858,0.5560828,0.27915567,0.07107607,0.20134671,0.06791813,0.9658795,-0.53895557,-0.37963346,1.4759434,1.0998716,-0.43116203,-0.3811767,1.0313218,0.5352397,-0.3561099,-0.40959015,0.70325315,1.7420013,0.56671566,-0.33897242,1.4759434,1.4936252,-0.436153,-0.37296328,0.56278974
9139,0.14698082,0.38861546,-203.12532,968.7515,203.12532,1.0,1.0,1.0,1.0,0.08281344,0.05609457,0.19827792,0.5560828,0.11274388,0.071897596,0.1975746,0.19976427,0.03072282,0.08546071,0.18506218,0.09385321,0.49456418,0.7154711,0.21773858,0.5560828,0.27915567,0.07107607,0.20134671,0.06791813,0.9658795,-0.53895557,-0.37963346,1.4759434,1.0998716,-0.43116203,-0.3811767,1.0313218,0.5352397,-0.3561099,-0.40959015,0.70325315,1.7420013,0.56671566,-0.33897242,1.4759434,1.4936252,-0.436153,-0.37296328,0.56278974
9140,0.14698082,0.38861546,-207.03157,976.564,203.12532,1.0,1.0,1.0,1.0,0.08281344,0.05609457,0.19827792,0.5560828,0.11274388,0.071897596,0.1975746,0.19976427,0.03072282,0.08546071,0.18506218,0.09385321,0.49456418,0.7154711,0.21773858,0.5560828,0.27915567,0.07107607,0.20134671,0.06791813,0.9658795,-0.53895557,-0.37963346,1.4759434,1.0998716,-0.43116203,-0.3811767,1.0313218,0.5352397,-0.3561099,-0.40959015,0.70325315,1.7420013,0.56671566,-0.33897242,1.4759434,1.4936252,-0.436153,-0.37296328,0.56278974
9141,0.14698082,0.38861546,-199.21906,976.564,203.12532,1.0,1.0,1.0,1.0,0.08281344,0.05609457,0.19827792,0.5560828,0.11274388,0.071897596,0.1975746,0.19976427,0.03072282,0.08546071,0.18506218,0.09385321,0.49456418,0.7154711,0.21773858,0.5560828,0.27915567,0.07107607,0.20134671,0.06791813,0.9658795,-0.53895557,-0.37963346,1.4759434,1.0998716,-0.43116203,-0.3811767,1.0313218,0.5352397,-0.3561099,-0.40959015,0.70325315,1.7420013,0.56671566,-0.33897242,1.4759434,1.4936252,-0.436153,-0.37296328,0.56278974
9142,0.14698082,0.3950063,-203.12532,972.6578,203.12532,1.0,1.0,1.0,1.0,0.08281344,0.052964944,0.18132049,0.5605374,0.11274388,0.07296819,0.20444657,0.19145319,0.03072282,0.08931788,0.2013034,0.09719518,0.49456418,0.71641016,0.21292658,0.5605374,0.27915567,0.068338834,0.20000298,0.067409635,0.9658795,-0.56297183,-0.4388814,1.4759434,1.0998716,-0.42382672,-0.38674843,1.0094016,0.5352397,-0.33602193,-0.39347717,0.71498364,1.7420013,0.5682014,-0.3690984,1.4759434,1.4936252,-0.45229277,-0.3962918,0.5560609
9143,0.14698082,0.3950063,-203.12532,972.6578,203.12532,1.0,1.0,1.0,1.0,0.08281344,0.052964944,0.18132049,0.5605374,0.11274388,0.07296819,0.20444657,0.19145319,0.03072282,0.08931788,0.2013034,0.09719518,0.49456418,0.71641016,0.21292658,0.5605374,0.27915567,0.068338834,0.20000298,0.067409635,0.9658795,-0.56297183,-0.4388814,1.4759434,1.0998716,-0.42382672,-0.38674843,1.0094016,0.5352397,-0.33602193,-0.39347717,0.71498364,1.7420013,0.5682014,-0.3690984,1.4759434,1.4936252,-0.45229277,-0.3962918,0.5560609
9144,0.14698082,0.39897603,-203.12532,972.6578,203.12532,1.0,1.0,1.0,1.0,0.08281344,0.048998106,0.18441422,0.5657493,0.11274388,0.07411556,0.20659564,0.18058415,0.03072282,0.09136189,0.21586655,0.09991096,0.49456418,0.71997947,0.20380819,0.5657493,0.27915567,0.065544955,0.1893154,0.06811458,0.9658795,-0.60293686,-0.443715,1.4759434,1.0998716,-0.42320672,-0.39438826,0.97999907,0.5352397,-0.3323511,-0.37532407,0.7229326,1.7420013,0.564204,-0.4002878,1.4759434,1.4936252,-0.47657683,-0.4323235,0.55655956
9145,0.14698082,0.39897603,-199.21906,976.564,203.12532,1.0,1.0,1.0,1.0,0.08281344,0.048998106,0.18441422,0.5657493,0.11274388,0.07411556,0.20659564,0.18058415,0.03072282,0.09136189,0.21586655,0.09991096,0.49456418,0.71997947,0.20380819,0.5657493,0.27915567,0.065544955,0.1893154,0.06811458,0.9658795,-0.60293686,-0.443715,1.4759434,1.0998716,-0.42320672,-0.39438826,0.97999907,0.5352397,-0.3323511,-0.37532407,0.7229326,1.7420013,0.564204,-0.4002878,1.4759434,1.4936252,-0.47657683,-0.4323235,0.55655956
9146,0.14801651,0.39992008,-195.3128,976.564,203.12532,1.0,1.0,1.0,1.0,0.08281344,0.04658812,0.18880616,0.56836057,0.11274388,0.07469767,0.2098371,0.1709069,0.03072282,0.09064664,0.23104587,0.102461725,0.49456418,0.7257167,0.19588217,0.56836057,0.27915567,0.062350888,0.1744287,0.06950377,0.9658795,-0.6327886,-0.44660866,1.4724911,1.0998716,-0.4277567,-0.40074256,0.95062685,0.5352397,-0.34371206,-0.35892662,0.7284289,1.7420013,0.55970335,-0.4306299,1.4724911,1.4936252,-0.5062211,-0.48100686,0.55987555
9147,0.14801651,0.39992008,-195.3128,976.564,203.12532,1.0,1.0,1.0,1.0,0.08281344,0.04658812,0.18880616,0.56836057,0.11274388,0.07469767,0.2098371,0.1709069,0.03072282,0.09064664,0.23104587,0.102461725,0.49456418,0.7257167,0.19588217,0.56836057,0.27915567,0.062350888,0.1744287,0.06950377,0.9658795,-0.6327886,-0.44660866,1.4724911,1.0998716,-0.4277567,-0.40074256,0.95062685,0.5352397,-0.34371206,-0.35892662,0.7284289,1.7420013,0.55970335,-0.4306299,1.4724911,1.4936252,-0.5062211,-0.48100686,0.55987555
9148,0.14801651,0.39992008,-195.3128,980.4703,203.12532,1.0,1.0,1.0,1.0,0.08281344,0.04658812,0.18880616,0.56836057,0.11274388,0.07469767,0.2098371,0.1709069,0.03072282,0.09064664,0.23104587,0.102461725,0.49456418,0.7257167,0.19588217,0.56836057,0.27915567,0.062350888,0.1744287,0.06950377,0.9658795,-0.6327886,-0.44660866,1.4724911,1.0998716,-0.4277567,-0.40074256,0.95062685,0.5352397,-0.34371206,-0.35892662,0.7284289,1.7420013,0.55970335,-0.4306299,1.4724911,1.4936252,-0.5062211,-0.48100686,0.55987555
9149,0.14801651,0.39992008,-195.3128,972.6578,203.12532,1.0,1.0,1.0,1.0,0.08281344,0.04658812,0.18880616,0.56836057,0.11274388,0.07469767,0.2098371,0.1709069,0.03072282,0.09064664,0.23104587,0.102461725,0.49456418,0.7257167,0.19588217,0.56836057,0.27915567,0.062350888,0.1744287,0.06950377,0.9658795,-0.6327886,-0.44660866,1.4724911,1.0998716,-0.4277567,-0.40074256,0.95062685,0.5352397,-0.34371206,-0.35892662,0.7284289,1.7420013,0.55970335,-0.4306299,1.4724911,1.4936252,-0.5062211,-0.48100686,0.55987555
9150,0.1507107,0.39857948,-195.3128,972.6578,203.12532,1.0,1.0,1.0,1.0,0.08281344,0.04911135,0.193989,0.5652841,0.11274388,0.07516482,0.21570954,0.16527335,0.03072282,0.08783188,0.24434555,0.10526497,0.49456418,0.72912174,0.18844512,0.5652841,0.27915567,0.058770213,0.1575108,0.07243235,0.9658795,-0.6143115,-0.44719744,1.4635105,1.0998716,-0.42947876,-0.4011052,0.9294466,0.5352397,-0.3618412,-0.34697014,0.7335276,1.7420013,0.5573067,-0.45978966,1.4635105,1.4936252,-0.5363361,-0.53766423,0.5711763
