id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
3147,0.5024815,-0.4672957,-156.25024,992.189,140.62521,4.0,1.0,1.0,4.0,NaN,0.112375505,0.16604637,0.5257422,NaN,0.267134,0.20675154,0.23464864,NaN,0.39751148,0.23524371,0.03797842,NaN,0.13256824,0.23432122,0.5257422,NaN,0.09041076,0.15763718,0.12409723,0.0,-0.7105329,-1.0030389,-0.6749383,0.0,-0.3344754,-0.9078195,-1.0252931,0.0,-0.16185488,-0.85175025,-1.8161743,0.0,-0.63876504,-0.8534567,-0.6749383,0.0,-0.80498445,-1.0256096,-1.3019491
3148,0.5024815,-0.4672957,-156.25024,996.09534,144.53148,4.0,1.0,1.0,4.0,NaN,0.112375505,0.16604637,0.5257422,NaN,0.267134,0.20675154,0.23464864,NaN,0.39751148,0.23524371,0.03797842,NaN,0.13256824,0.23432122,0.5257422,NaN,0.09041076,0.15763718,0.12409723,0.0,-0.7105329,-1.0030389,-0.6749383,0.0,-0.3344754,-0.9078195,-1.0252931,0.0,-0.16185488,-0.85175025,-1.8161743,0.0,-0.63876504,-0.8534567,-0.6749383,0.0,-0.80498445,-1.0256096,-1.3019491
3149,0.5024815,-0.4672957,-156.25024,992.189,140.62521,4.0,1.0,1.0,4.0,NaN,0.112375505,0.16604637,0.5257422,NaN,0.267134,0.20675154,0.23464864,NaN,0.39751148,0.23524371,0.03797842,NaN,0.13256824,0.23432122,0.5257422,NaN,0.09041076,0.15763718,0.12409723,0.0,-0.7105329,-1.0030389,-0.6749383,0.0,-0.3344754,-0.9078195,-1.0252931,0.0,-0.16185488,-0.85175025,-1.8161743,0.0,-0.63876504,-0.8534567,-0.6749383,0.0,-0.80498445,-1.0256096,-1.3019491
3150,0.5024815,-0.4672957,-156.25024,988.2828,144.53148,4.0,1.0,1.0,4.0,NaN,0.112375505,0.16604637,0.5257422,NaN,0.267134,0.20675154,0.23464864,NaN,0.39751148,0.23524371,0.03797842,NaN,0.13256824,0.23432122,0.5257422,NaN,0.09041076,0.15763718,0.12409723,0.0,-0.7105329,-1.0030389,-0.6749383,0.0,-0.3344754,-0.9078195,-1.0252931,0.0,-0.16185488,-0.85175025,-1.8161743,0.0,-0.63876504,-0.8534567,-0.6749383,0.0,-0.80498445,-1.0256096,-1.3019491
3151,0.5024815,-0.46111566,-160.1565,988.2828,140.62521,4.0,1.0,1.0,4.0,NaN,0.10776806,0.15535496,0.5257422,NaN,0.2603709,0.21252108,0.23464864,NaN,0.4146465,0.25165743,0.03797842,NaN,0.1291956,0.22415586,0.5257422,NaN,0.08801891,0.15631068,0.12409723,0.0,-0.72106683,-1.0408603,-0.6749383,0.0,-0.33796442,-0.9047834,-1.0252931,0.0,-0.1358789,-0.8313757,-1.8161743,0.0,-0.6423092,-0.88163537,-0.6749383,0.0,-0.80898094,-1.0381968,-1.3019491
3152,0.5024815,-0.45462346,-160.1565,996.09534,144.53148,4.0,1.0,1.0,4.0,NaN,0.11024879,0.15099698,0.5257422,NaN,0.2472719,0.21686196,0.23464864,NaN,0.42776003,0.26786083,0.03797842,NaN,0.12702839,0.21027997,0.5257422,NaN,0.08769089,0.15400027,0.12409723,0.0,-0.6995917,-1.0567392,-0.6749383,0.0,-0.34879076,-0.89952403,-1.0252931,0.0,-0.1107653,-0.8077982,-1.8161743,0.0,-0.63806474,-0.9129095,-0.6749383,0.0,-0.79901105,-1.048186,-1.3019491
3153,0.5024815,-0.45462346,-160.1565,996.09534,144.53148,4.0,1.0,1.0,4.0,NaN,0.11024879,0.15099698,0.5257422,NaN,0.2472719,0.21686196,0.23464864,NaN,0.42776003,0.26786083,0.03797842,NaN,0.12702839,0.21027997,0.5257422,NaN,0.08769089,0.15400027,0.12409723,0.0,-0.6995917,-1.0567392,-0.6749383,0.0,-0.34879076,-0.89952403,-1.0252931,0.0,-0.1107653,-0.8077982,-1.8161743,0.0,-0.63806474,-0.9129095,-0.6749383,0.0,-0.79901105,-1.048186,-1.3019491
3154,0.5024815,-0.45462346,-160.1565,992.189,140.62521,4.0,1.0,1.0,4.0,NaN,0.11024879,0.15099698,0.5257422,NaN,0.2472719,0.21686196,0.23464864,NaN,0.42776003,0.26786083,0.03797842,NaN,0.12702839,0.21027997,0.5257422,NaN,0.08769089,0.15400027,0.12409723,0.0,-0.6995917,-1.0567392,-0.6749383,0.0,-0.34879076,-0.89952403,-1.0252931,0.0,-0.1107653,-0.8077982,-1.8161743,0.0,-0.63806474,-0.9129095,-0.6749383,0.0,-0.79901105,-1.048186,-1.3019491
3155,0.5024815,-0.45462346,-152.344,996.09534,140.62521,4.0,1.0,1.0,4.0,NaN,0.11024879,0.15099698,0.5257422,NaN,0.2472719,0.21686196,0.23464864,NaN,0.42776003,0.26786083,0.03797842,NaN,0.12702839,0.21027997,0.5257422,NaN,0.08769089,0.15400027,0.12409723,0.0,-0.6995917,-1.0567392,-0.6749383,0.0,-0.34879076,-0.89952403,-1.0252931,0.0,-0.1107653,-0.8077982,-1.8161743,0.0,-0.63806474,-0.9129095,-0.6749383,0.0,-0.79901105,-1.048186,-1.3019491
3156,0.5024815,-0.4482138,-152.344,992.189,140.62521,4.0,1.0,1.0,4.0,NaN,0.10413595,0.15014535,0.5257422,NaN,0.23389027,0.22199908,0.23464864,NaN,0.44215235,0.2843991,0.03797842,NaN,0.12839061,0.190333,0.5257422,NaN,0.09143082,0.15312348,0.12409723,0.0,-0.71614766,-1.0597308,-0.6749383,0.0,-0.36473623,-0.88989145,-1.0252931,0.0,-0.08817644,-0.7823144,-1.8161743,0.0,-0.6252151,-0.9567286,-0.6749383,0.0,-0.7726557,-1.0512009,-1.3019491
3157,0.5024815,-0.4482138,-152.344,996.09534,144.53148,4.0,1.0,1.0,4.0,NaN,0.10413595,0.15014535,0.5257422,NaN,0.23389027,0.22199908,0.23464864,NaN,0.44215235,0.2843991,0.03797842,NaN,0.12839061,0.190333,0.5257422,NaN,0.09143082,0.15312348,0.12409723,0.0,-0.71614766,-1.0597308,-0.6749383,0.0,-0.36473623,-0.88989145,-1.0252931,0.0,-0.08817644,-0.7823144,-1.8161743,0.0,-0.6252151,-0.9567286,-0.6749383,0.0,-0.7726557,-1.0512009,-1.3019491
3158,0.5024815,-0.4423712,-156.25024,992.189,140.62521,4.0,1.0,1.0,4.0,NaN,0.09943974,0.14978163,0.5257422,NaN,0.22039008,0.23001577,0.23464864,NaN,0.45208296,0.30211252,0.03797842,NaN,0.13123508,0.16283305,0.5257422,NaN,0.096852124,0.15525703,0.12409723,0.0,-0.7272028,-1.0618368,-0.6749383,0.0,-0.38157073,-0.8755378,-1.0252931,0.0,-0.069544606,-0.7571267,-1.8161743,0.0,-0.6067128,-1.0255529,-0.6749383,0.0,-0.7386536,-1.0462441,-1.3019491
3159,0.5024815,-0.4376884,-156.25024,992.189,140.62521,4.0,1.0,1.0,4.0,NaN,0.09757523,0.14949617,0.5257422,NaN,0.20968504,0.24015951,0.23464864,NaN,0.45667917,0.31961736,0.03797842,NaN,0.13378817,0.1307943,0.5257422,NaN,0.10227239,0.15993267,0.12409723,0.0,-0.7272028,-1.0646192,-0.6749383,0.0,-0.39497492,-0.8587495,-1.0252931,0.0,-0.056931153,-0.73461896,-1.8161743,0.0,-0.5901246,-1.1226605,-0.6749383,0.0,-0.70678395,-1.035312,-1.3019491
3160,0.5024815,-0.4376884,-156.25024,996.09534,140.62521,4.0,1.0,1.0,4.0,NaN,0.09757523,0.14949617,0.5257422,NaN,0.20968504,0.24015951,0.23464864,NaN,0.45667917,0.31961736,0.03797842,NaN,0.13378817,0.1307943,0.5257422,NaN,0.10227239,0.15993267,0.12409723,0.0,-0.7272028,-1.0646192,-0.6749383,0.0,-0.39497492,-0.8587495,-1.0252931,0.0,-0.056931153,-0.73461896,-1.8161743,0.0,-0.5901246,-1.1226605,-0.6749383,0.0,-0.70678395,-1.035312,-1.3019491
3161,0.5024815,-0.4376884,-152.344,992.189,140.62521,4.0,1.0,1.0,4.0,NaN,0.09757523,0.14949617,0.5257422,NaN,0.20968504,0.24015951,0.23464864,NaN,0.45667917,0.31961736,0.03797842,NaN,0.13378817,0.1307943,0.5257422,NaN,0.10227239,0.15993267,0.12409723,0.0,-0.7272028,-1.0646192,-0.6749383,0.0,-0.39497492,-0.8587495,-1.0252931,0.0,-0.056931153,-0.73461896,-1.8161743,0.0,-0.5901246,-1.1226605,-0.6749383,0.0,-0.70678395,-1.035312,-1.3019491
3162,0.5024815,-0.4376884,-152.344,996.09534,140.62521,4.0,1.0,1.0,4.0,NaN,0.09757523,0.14949617,0.5257422,NaN,0.20968504,0.24015951,0.23464864,NaN,0.45667917,0.31961736,0.03797842,NaN,0.13378817,0.1307943,0.5257422,NaN,0.10227239,0.15993267,0.12409723,0.0,-0.7272028,-1.0646192,-0.6749383,0.0,-0.39497492,-0.8587495,-1.0252931,0.0,-0.056931153,-0.73461896,-1.8161743,0.0,-0.5901246,-1.1226605,-0.6749383,0.0,-0.70678395,-1.035312,-1.3019491
3163,0.5024815,-0.4345982,-148.43773,992.189,140.62521,4.0,1.0,1.0,4.0,NaN,0.09712873,0.15074973,0.5257422,NaN,0.20389111,0.2495253,0.23464864,NaN,0.45694998,0.33421686,0.03797842,NaN,0.135923,0.100260384,0.5257422,NaN,0.10610719,0.16524771,0.12409723,0.0,-0.7250334,-1.0616333,-0.6749383,0.0,-0.40298277,-0.84277534,-1.0252931,0.0,-0.052512433,-0.71586156,-1.8161743,0.0,-0.57908815,-1.2387606,-0.6749383,0.0,-0.68663627,-1.0217545,-1.3019491
3164,0.5024815,-0.4345982,-148.43773,992.189,140.62521,4.0,1.0,1.0,4.0,NaN,0.09712873,0.15074973,0.5257422,NaN,0.20389111,0.2495253,0.23464864,NaN,0.45694998,0.33421686,0.03797842,NaN,0.135923,0.100260384,0.5257422,NaN,0.10610719,0.16524771,0.12409723,0.0,-0.7250334,-1.0616333,-0.6749383,0.0,-0.40298277,-0.84277534,-1.0252931,0.0,-0.052512433,-0.71586156,-1.8161743,0.0,-0.57908815,-1.2387606,-0.6749383,0.0,-0.68663627,-1.0217545,-1.3019491
