id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
4655,0.020093948,0.397827,-164.06276,988.2828,152.344,1.0,1.0,1.0,1.0,0.17431818,0.23347174,0.11459948,0.5342729,0.31347767,0.23333256,0.08784267,0.2228524,0.10941626,0.2707658,0.10262405,0.062828146,0.108354956,0.19778639,0.51200056,0.5342729,0.29443294,0.064643495,0.18293326,0.09938696,0.8262982,-0.55151373,-0.5205734,1.7593184,1.0811621,-0.5517727,-0.63605046,1.3795725,0.6240374,-0.48715422,-0.5685069,0.8297095,0.61980426,-0.62355167,0.12951441,1.7593184,1.0539418,-1.1092232,-0.31746337,1.0288846
4656,0.022317141,0.39968812,-160.1565,992.189,156.25024,1.0,1.0,1.0,1.0,0.17431818,0.23390363,0.11974172,0.53035957,0.31347767,0.23479061,0.09098307,0.22351208,0.10941626,0.26842847,0.1049352,0.06881771,0.108354956,0.19695647,0.4901246,0.53035957,0.29443294,0.06592082,0.19421542,0.09370681,0.8262982,-0.55151373,-0.5205734,1.7519077,1.0811621,-0.54986995,-0.63985825,1.3766383,0.6240374,-0.4917221,-0.57789767,0.8650375,0.61980426,-0.62618047,0.091487646,1.7519077,1.0539418,-1.101528,-0.31053516,0.99910843
4657,0.022317141,0.39968812,-164.06276,996.09534,156.25024,1.0,1.0,1.0,1.0,0.17431818,0.23390363,0.11974172,0.53035957,0.31347767,0.23479061,0.09098307,0.22351208,0.10941626,0.26842847,0.1049352,0.06881771,0.108354956,0.19695647,0.4901246,0.53035957,0.29443294,0.06592082,0.19421542,0.09370681,0.8262982,-0.55151373,-0.5205734,1.7519077,1.0811621,-0.54986995,-0.63985825,1.3766383,0.6240374,-0.4917221,-0.57789767,0.8650375,0.61980426,-0.62618047,0.091487646,1.7519077,1.0539418,-1.101528,-0.31053516,0.99910843
4658,0.022987766,0.40066853,-160.1565,992.189,152.344,1.0,1.0,1.0,1.0,0.17431818,0.23569177,0.12825273,0.5296452,0.31347767,0.23545153,0.09757998,0.22446112,0.10941626,0.26414222,0.109408475,0.074289635,0.108354956,0.19725023,0.4639457,0.5296452,0.29443294,0.06746425,0.20081313,0.086401485,0.8262982,-0.55151373,-0.5205734,1.7496723,1.0811621,-0.55195665,-0.63927925,1.3768284,0.6240374,-0.50202036,-0.589589,0.89661545,0.61980426,-0.6288407,0.037827164,1.7496723,1.0539418,-1.0947845,-0.3258479,0.96220845
4659,0.022987766,0.40066853,-160.1565,988.2828,156.25024,1.0,1.0,1.0,1.0,0.17431818,0.23569177,0.12825273,0.5296452,0.31347767,0.23545153,0.09757998,0.22446112,0.10941626,0.26414222,0.109408475,0.074289635,0.108354956,0.19725023,0.4639457,0.5296452,0.29443294,0.06746425,0.20081313,0.086401485,0.8262982,-0.55151373,-0.5205734,1.7496723,1.0811621,-0.55195665,-0.63927925,1.3768284,0.6240374,-0.50202036,-0.589589,0.89661545,0.61980426,-0.6288407,0.037827164,1.7496723,1.0539418,-1.0947845,-0.3258479,0.96220845
4660,0.023133893,0.39797944,-164.06276,992.189,152.344,1.0,1.0,1.0,1.0,0.17431818,0.24171163,0.14046876,0.5325943,0.31347767,0.23561268,0.108776,0.22629288,0.10941626,0.25649273,0.114720255,0.0787517,0.108354956,0.1966934,0.43294632,0.5325943,0.29443294,0.06948957,0.20308867,0.08025939,0.8262982,-0.5509882,-0.5205734,1.7491852,1.0811621,-0.5620871,-0.63162,1.3774595,0.6240374,-0.52521074,-0.608513,0.91904855,0.61980426,-0.64049596,-0.031719048,1.7491852,1.0539418,-1.0923661,-0.3604674,0.9272845
4661,0.023133893,0.39797944,-164.06276,992.189,156.25024,1.0,1.0,1.0,1.0,0.17431818,0.24171163,0.14046876,0.5325943,0.31347767,0.23561268,0.108776,0.22629288,0.10941626,0.25649273,0.114720255,0.0787517,0.108354956,0.1966934,0.43294632,0.5325943,0.29443294,0.06948957,0.20308867,0.08025939,0.8262982,-0.5509882,-0.5205734,1.7491852,1.0811621,-0.5620871,-0.63162,1.3774595,0.6240374,-0.52521074,-0.608513,0.91904855,0.61980426,-0.64049596,-0.031719048,1.7491852,1.0539418,-1.0923661,-0.3604674,0.9272845
4662,0.023133893,0.39797944,-160.1565,992.189,156.25024,1.0,1.0,1.0,1.0,0.17431818,0.24171163,0.14046876,0.5325943,0.31347767,0.23561268,0.108776,0.22629288,0.10941626,0.25649273,0.114720255,0.0787517,0.108354956,0.1966934,0.43294632,0.5325943,0.29443294,0.06948957,0.20308867,0.08025939,0.8262982,-0.5509882,-0.5205734,1.7491852,1.0811621,-0.5620871,-0.63162,1.3774595,0.6240374,-0.52521074,-0.608513,0.91904855,0.61980426,-0.64049596,-0.031719048,1.7491852,1.0539418,-1.0923661,-0.3604674,0.9272845
4663,0.023133893,0.38953087,-160.1565,988.2828,152.344,1.0,1.0,1.0,1.0,0.17431818,0.25707138,0.15609786,0.5314374,0.31347767,0.23490545,0.124360085,0.22670639,0.10941626,0.24318962,0.11882584,0.08038858,0.108354956,0.1922251,0.39862037,0.5314374,0.29443294,0.07260847,0.20209584,0.0818643,0.8262982,-0.5437985,-0.5205734,1.7491852,1.0811621,-0.5829591,-0.6192893,1.3791969,0.6240374,-0.56790715,-0.6390594,0.9289274,0.61980426,-0.67004216,-0.1134108,1.7491852,1.0539418,-1.0928649,-0.40841293,0.9368276
4664,0.023133893,0.38953087,-164.06276,992.189,152.344,1.0,1.0,1.0,1.0,0.17431818,0.25707138,0.15609786,0.5314374,0.31347767,0.23490545,0.124360085,0.22670639,0.10941626,0.24318962,0.11882584,0.08038858,0.108354956,0.1922251,0.39862037,0.5314374,0.29443294,0.07260847,0.20209584,0.0818643,0.8262982,-0.5437985,-0.5205734,1.7491852,1.0811621,-0.5829591,-0.6192893,1.3791969,0.6240374,-0.56790715,-0.6390594,0.9289274,0.61980426,-0.67004216,-0.1134108,1.7491852,1.0539418,-1.0928649,-0.40841293,0.9368276
