id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
1826,-Infinity,-Infinity,-125.0002,1000.0016,125.0002,4.0,1.0,1.0,4.0,NaN,0.13432212,0.34054253,0.38684645,NaN,0.14416821,0.21830866,0.26959303,NaN,0.23012802,0.21942578,0.20835404,NaN,0.3962198,0.09471598,0.38684645,NaN,0.09516186,0.12700704,0.0841391,-Infinity,0.0502374,0.5950654,-0.77140117,-Infinity,0.08095938,0.401965,-0.9282311,-Infinity,0.28405938,0.40418172,-1.0401379,-Infinity,0.520026,0.039317302,-0.77140117,-Infinity,-0.0994472,0.16672182,-1.433942
1827,-Infinity,-Infinity,-121.09394,1000.0016,125.0002,4.0,1.0,1.0,4.0,NaN,0.13217889,0.3346929,0.38684645,NaN,0.14694269,0.21287979,0.26959303,NaN,0.22836909,0.21525823,0.20835404,NaN,0.39431038,0.1069434,0.38684645,NaN,0.09819894,0.13022567,0.0841391,-Infinity,0.0511842,0.6099487,-0.77140117,-Infinity,0.09717013,0.41343665,-0.9282311,-Infinity,0.28865945,0.41826198,-1.0401379,-Infinity,0.52586037,0.11445619,-0.77140117,-Infinity,-0.07787108,0.19999881,-1.433942
1828,-Infinity,-Infinity,-121.09394,1000.0016,125.0002,4.0,1.0,1.0,4.0,NaN,0.13217889,0.3346929,0.38684645,NaN,0.14694269,0.21287979,0.26959303,NaN,0.22836909,0.21525823,0.20835404,NaN,0.39431038,0.1069434,0.38684645,NaN,0.09819894,0.13022567,0.0841391,-Infinity,0.0511842,0.6099487,-0.77140117,-Infinity,0.09717013,0.41343665,-0.9282311,-Infinity,0.28865945,0.41826198,-1.0401379,-Infinity,0.52586037,0.11445619,-0.77140117,-Infinity,-0.07787108,0.19999881,-1.433942
1829,-Infinity,-Infinity,-125.0002,1000.0016,125.0002,4.0,1.0,1.0,4.0,NaN,0.13217889,0.3346929,0.38684645,NaN,0.14694269,0.21287979,0.26959303,NaN,0.22836909,0.21525823,0.20835404,NaN,0.39431038,0.1069434,0.38684645,NaN,0.09819894,0.13022567,0.0841391,-Infinity,0.0511842,0.6099487,-0.77140117,-Infinity,0.09717013,0.41343665,-0.9282311,-Infinity,0.28865945,0.41826198,-1.0401379,-Infinity,0.52586037,0.11445619,-0.77140117,-Infinity,-0.07787108,0.19999881,-1.433942
1830,-Infinity,-Infinity,-128.90645,1000.0016,121.09394,4.0,1.0,1.0,4.0,NaN,0.13217889,0.3346929,0.38684645,NaN,0.14694269,0.21287979,0.26959303,NaN,0.22836909,0.21525823,0.20835404,NaN,0.39431038,0.1069434,0.38684645,NaN,0.09819894,0.13022567,0.0841391,-Infinity,0.0511842,0.6099487,-0.77140117,-Infinity,0.09717013,0.41343665,-0.9282311,-Infinity,0.28865945,0.41826198,-1.0401379,-Infinity,0.52586037,0.11445619,-0.77140117,-Infinity,-0.07787108,0.19999881,-1.433942
1831,-Infinity,-Infinity,-125.0002,1003.90784,121.09394,4.0,1.0,1.0,4.0,NaN,0.13002235,0.32252327,0.38684645,NaN,0.15055634,0.21276446,0.26959303,NaN,0.23034728,0.21827523,0.20835404,NaN,0.38811672,0.114162624,0.38684645,NaN,0.10095733,0.13227442,0.0841391,-Infinity,0.05393966,0.61475986,-0.77140117,-Infinity,0.11762072,0.43409786,-0.9282311,-Infinity,0.30230474,0.4452032,-1.0401379,-Infinity,0.528884,0.16372272,-0.77140117,-Infinity,-0.055940494,0.22767463,-1.433942
1832,-Infinity,-Infinity,-125.0002,1000.0016,121.09394,4.0,1.0,1.0,4.0,NaN,0.13002235,0.32252327,0.38684645,NaN,0.15055634,0.21276446,0.26959303,NaN,0.23034728,0.21827523,0.20835404,NaN,0.38811672,0.114162624,0.38684645,NaN,0.10095733,0.13227442,0.0841391,-Infinity,0.05393966,0.61475986,-0.77140117,-Infinity,0.11762072,0.43409786,-0.9282311,-Infinity,0.30230474,0.4452032,-1.0401379,-Infinity,0.528884,0.16372272,-0.77140117,-Infinity,-0.055940494,0.22767463,-1.433942
1833,-Infinity,-Infinity,-125.0002,996.09534,125.0002,4.0,1.0,1.0,4.0,NaN,0.12783784,0.310025,0.38684645,NaN,0.15374978,0.21501082,0.26959303,NaN,0.23562376,0.2256031,0.20835404,NaN,0.38034377,0.115859896,0.38684645,NaN,0.10244484,0.13350117,0.0841391,-Infinity,0.056307774,0.61475986,-0.77140117,-Infinity,0.13646285,0.45582345,-0.9282311,-Infinity,0.32186744,0.4767082,-1.0401379,-Infinity,0.5298246,0.18729626,-0.77140117,-Infinity,-0.03986157,0.24884817,-1.433942
1834,-Infinity,-Infinity,-125.0002,1000.0016,125.0002,4.0,1.0,1.0,4.0,NaN,0.12783784,0.310025,0.38684645,NaN,0.15374978,0.21501082,0.26959303,NaN,0.23562376,0.2256031,0.20835404,NaN,0.38034377,0.115859896,0.38684645,NaN,0.10244484,0.13350117,0.0841391,-Infinity,0.056307774,0.61475986,-0.77140117,-Infinity,0.13646285,0.45582345,-0.9282311,-Infinity,0.32186744,0.4767082,-1.0401379,-Infinity,0.5298246,0.18729626,-0.77140117,-Infinity,-0.03986157,0.24884817,-1.433942
1835,-Infinity,-Infinity,-125.0002,1003.90784,125.0002,4.0,1.0,1.0,4.0,NaN,0.12644745,0.30092457,0.38684645,NaN,0.15549715,0.21699676,0.26959303,NaN,0.24261922,0.23404679,0.20835404,NaN,0.37290388,0.11411438,0.38684645,NaN,0.10253229,0.1339175,0.0841391,-Infinity,0.059779797,0.61475986,-0.77140117,-Infinity,0.14959213,0.47275543,-0.9282311,-Infinity,0.3427949,0.50560486,-1.0401379,-Infinity,0.5294666,0.19364257,-0.77140117,-Infinity,-0.03126964,0.26313952,-1.433942
