id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
2341,0.66014844,0.34186384,-46.875072,1000.0016,171.87527,4.0,1.0,1.0,4.0,0.15307553,0.18195611,0.4280528,NaN,0.3257362,0.1526126,0.13580322,NaN,0.31687412,0.18870021,0.18145616,NaN,0.09265586,0.36691272,0.20377362,NaN,0.11165829,0.10981836,0.050914176,NaN,1.2004946,-0.14918739,0.35311556,0.0,1.5284549,-0.22556363,-0.14547172,0.0,1.5164756,-0.13338165,-0.019610073,0.0,0.98246175,0.15540873,0.030766135,0.0,1.0634798,-0.36847907,-0.5715431,0.0
2342,0.66014844,0.34456673,-50.78133,1000.0016,167.96901,4.0,1.0,1.0,4.0,0.15307553,0.18712609,0.43320844,NaN,0.3257362,0.1567781,0.13426197,NaN,0.31687412,0.20376332,0.18398684,NaN,0.09265586,0.33845574,0.19969703,NaN,0.11165829,0.113876775,0.048845705,NaN,1.2004946,-0.15091707,0.35311556,0.0,1.5284549,-0.22776599,-0.15562837,0.0,1.5164756,-0.11392539,-0.01879459,0.0,0.98246175,0.10645048,0.016790256,0.0,1.0634798,-0.36661622,-0.594755,0.0
2343,0.66014844,0.34456673,-46.875072,992.189,171.87527,4.0,1.0,1.0,4.0,0.15307553,0.18712609,0.43320844,NaN,0.3257362,0.1567781,0.13426197,NaN,0.31687412,0.20376332,0.18398684,NaN,0.09265586,0.33845574,0.19969703,NaN,0.11165829,0.113876775,0.048845705,NaN,1.2004946,-0.15091707,0.35311556,0.0,1.5284549,-0.22776599,-0.15562837,0.0,1.5164756,-0.11392539,-0.01879459,0.0,0.98246175,0.10645048,0.016790256,0.0,1.0634798,-0.36661622,-0.594755,0.0
2344,0.66014844,0.34662858,-42.96882,1000.0016,175.78152,4.0,1.0,1.0,4.0,0.15307553,0.18984713,0.4463681,NaN,0.3257362,0.16228288,0.13253629,NaN,0.31687412,0.2245879,0.18728487,NaN,0.09265586,0.30528873,0.18842871,NaN,0.11165829,0.117993355,0.04538201,NaN,1.2004946,-0.16616327,0.35311556,0.0,1.5284549,-0.23429456,-0.17424276,0.0,1.5164756,-0.093180925,-0.024074897,0.0,0.98246175,0.040143494,-0.02143049,0.0,1.0634798,-0.37270972,-0.63969386,0.0
2345,0.66014844,0.34662858,-46.875072,1000.0016,175.78152,4.0,1.0,1.0,4.0,0.15307553,0.18984713,0.4463681,NaN,0.3257362,0.16228288,0.13253629,NaN,0.31687412,0.2245879,0.18728487,NaN,0.09265586,0.30528873,0.18842871,NaN,0.11165829,0.117993355,0.04538201,NaN,1.2004946,-0.16616327,0.35311556,0.0,1.5284549,-0.23429456,-0.17424276,0.0,1.5164756,-0.093180925,-0.024074897,0.0,0.98246175,0.040143494,-0.02143049,0.0,1.0634798,-0.37270972,-0.63969386,0.0
2346,0.66014844,0.34662858,-46.875072,1000.0016,175.78152,4.0,1.0,1.0,4.0,0.15307553,0.18984713,0.4463681,NaN,0.3257362,0.16228288,0.13253629,NaN,0.31687412,0.2245879,0.18728487,NaN,0.09265586,0.30528873,0.18842871,NaN,0.11165829,0.117993355,0.04538201,NaN,1.2004946,-0.16616327,0.35311556,0.0,1.5284549,-0.23429456,-0.17424276,0.0,1.5164756,-0.093180925,-0.024074897,0.0,0.98246175,0.040143494,-0.02143049,0.0,1.0634798,-0.37270972,-0.63969386,0.0
2347,0.66014844,0.34662858,-46.875072,1000.0016,175.78152,4.0,1.0,1.0,4.0,0.15307553,0.18984713,0.4463681,NaN,0.3257362,0.16228288,0.13253629,NaN,0.31687412,0.2245879,0.18728487,NaN,0.09265586,0.30528873,0.18842871,NaN,0.11165829,0.117993355,0.04538201,NaN,1.2004946,-0.16616327,0.35311556,0.0,1.5284549,-0.23429456,-0.17424276,0.0,1.5164756,-0.093180925,-0.024074897,0.0,0.98246175,0.040143494,-0.02143049,0.0,1.0634798,-0.37270972,-0.63969386,0.0
2348,0.66014844,0.34791338,-46.875072,1000.0016,171.87527,4.0,1.0,1.0,4.0,0.15307553,0.18766814,0.4446069,NaN,0.3257362,0.16771539,0.13610771,NaN,0.31687412,0.24960458,0.19919315,NaN,0.09265586,0.27531278,0.1785574,NaN,0.11165829,0.11969912,0.04153485,NaN,1.2004946,-0.19652931,0.31374943,0.0,1.5284549,-0.24534698,-0.200344,0.0,1.5164756,-0.07266732,-0.03495237,0.0,0.98246175,-0.030093506,-0.082448915,0.0,1.0634798,-0.39182892,-0.7158141,0.0
2349,0.66014844,0.34873685,-42.96882,1000.0016,171.87527,4.0,1.0,1.0,4.0,0.15307553,0.1711111,0.40520975,NaN,0.3257362,0.17286606,0.14989156,NaN,0.31687412,0.2785119,0.22632755,NaN,0.09265586,0.25992244,0.17968318,NaN,0.11165829,0.11758849,0.038887978,NaN,1.2004946,-0.26288587,0.20281865,0.0,1.5284549,-0.25845435,-0.22908409,0.0,1.5164756,-0.05132031,-0.050123803,0.0,0.98246175,-0.08132031,-0.15035382,0.0,1.0634798,-0.42579928,-0.81504583,0.0
2350,0.66014844,0.34873685,-42.96882,1003.90784,171.87527,4.0,1.0,1.0,4.0,0.15307553,0.1711111,0.40520975,NaN,0.3257362,0.17286606,0.14989156,NaN,0.31687412,0.2785119,0.22632755,NaN,0.09265586,0.25992244,0.17968318,NaN,0.11165829,0.11758849,0.038887978,NaN,1.2004946,-0.26288587,0.20281865,0.0,1.5284549,-0.25845435,-0.22908409,0.0,1.5164756,-0.05132031,-0.050123803,0.0,0.98246175,-0.08132031,-0.15035382,0.0,1.0634798,-0.42579928,-0.81504583,0.0
