id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
791,0.16853064,0.36219978,-42.96882,992.189,199.21906,1.0,1.0,1.0,1.0,0.25711092,0.112777196,0.08190802,0.4098963,0.12102465,0.031337567,0.03568685,0.17982884,0.112476446,0.031111212,0.02176198,0.056546275,0.2452819,0.60136235,0.67265636,0.4098963,0.26410607,0.22341166,0.18798678,0.11141155,1.2189702,-0.30363554,-0.37794796,1.6572014,0.8917235,-0.8597916,-0.73876613,1.2993867,0.85991126,-0.8629399,-0.9535759,0.7969313,1.1985152,0.42327943,0.53651893,1.6572014,1.230628,-0.0067509725,-0.01714706,1.0914576
792,0.16853064,0.36219978,-42.96882,992.189,199.21906,1.0,1.0,1.0,1.0,0.25711092,0.112777196,0.08190802,0.4098963,0.12102465,0.031337567,0.03568685,0.17982884,0.112476446,0.031111212,0.02176198,0.056546275,0.2452819,0.60136235,0.67265636,0.4098963,0.26410607,0.22341166,0.18798678,0.11141155,1.2189702,-0.30363554,-0.37794796,1.6572014,0.8917235,-0.8597916,-0.73876613,1.2993867,0.85991126,-0.8629399,-0.9535759,0.7969313,1.1985152,0.42327943,0.53651893,1.6572014,1.230628,-0.0067509725,-0.01714706,1.0914576
793,0.16957459,0.3641467,-35.156303,996.09534,203.12532,1.0,1.0,1.0,1.0,0.25711092,0.101834595,0.077863805,0.4100636,0.12102465,0.03340708,0.0334479,0.18258746,0.112476446,0.03354075,0.021136926,0.05772967,0.2452819,0.61032844,0.67241865,0.4100636,0.26410607,0.22088917,0.19513272,0.104205586,1.2189702,-0.3600327,-0.39512306,1.6537216,0.8917235,-0.8440895,-0.76208985,1.3023413,0.85991126,-0.84235525,-0.96141684,0.80226946,1.1985152,0.41763553,0.5411811,1.6537216,1.230628,-0.023753637,0.0038714232,1.0587614
794,0.17673448,0.36300257,-35.156303,996.09534,203.12532,1.0,1.0,1.0,1.0,0.25711092,0.09539632,0.07595545,0.4003599,0.12102465,0.035985492,0.03272201,0.19169106,0.112476446,0.03503237,0.02113874,0.06029566,0.2452819,0.6178102,0.6696475,0.4003599,0.26410607,0.21577561,0.20053627,0.09968896,1.2189702,-0.39549607,-0.40787038,1.6298553,0.8917235,-0.8189002,-0.7735893,1.3100066,0.85991126,-0.8305582,-0.96335024,0.80769086,1.1985152,0.4158274,0.53741693,1.6298553,1.230628,-0.04102535,0.013763591,1.0260519
795,0.17673448,0.36300257,-39.06256,992.189,199.21906,1.0,1.0,1.0,1.0,0.25711092,0.09539632,0.07595545,0.4003599,0.12102465,0.035985492,0.03272201,0.19169106,0.112476446,0.03503237,0.02113874,0.06029566,0.2452819,0.6178102,0.6696475,0.4003599,0.26410607,0.21577561,0.20053627,0.09968896,1.2189702,-0.39549607,-0.40787038,1.6298553,0.8917235,-0.8189002,-0.7735893,1.3100066,0.85991126,-0.8305582,-0.96335024,0.80769086,1.1985152,0.4158274,0.53741693,1.6298553,1.230628,-0.04102535,0.013763591,1.0260519
796,0.17673448,0.36300257,-35.156303,992.189,199.21906,1.0,1.0,1.0,1.0,0.25711092,0.09539632,0.07595545,0.4003599,0.12102465,0.035985492,0.03272201,0.19169106,0.112476446,0.03503237,0.02113874,0.06029566,0.2452819,0.6178102,0.6696475,0.4003599,0.26410607,0.21577561,0.20053627,0.09968896,1.2189702,-0.39549607,-0.40787038,1.6298553,0.8917235,-0.8189002,-0.7735893,1.3100066,0.85991126,-0.8305582,-0.96335024,0.80769086,1.1985152,0.4158274,0.53741693,1.6298553,1.230628,-0.04102535,0.013763591,1.0260519
797,0.18892325,0.3588179,-31.25005,992.189,199.21906,1.0,1.0,1.0,1.0,0.25711092,0.09504454,0.08021376,0.3802178,0.12102465,0.038946558,0.033179846,0.20645212,0.112476446,0.035095982,0.021354496,0.063744605,0.2452819,0.6198772,0.66163313,0.3802178,0.26410607,0.2110357,0.20361875,0.097506985,1.2189702,-0.39549607,-0.38768482,1.589226,0.8917235,-0.78295416,-0.77105933,1.3240129,0.85991126,-0.8281658,-0.96244437,0.813637,1.1985152,0.41888243,0.52868354,1.589226,1.230628,-0.049067326,0.016884042,0.9982293
798,0.18892325,0.3588179,-31.25005,996.09534,199.21906,1.0,1.0,1.0,1.0,0.25711092,0.09504454,0.08021376,0.3802178,0.12102465,0.038946558,0.033179846,0.20645212,0.112476446,0.035095982,0.021354496,0.063744605,0.2452819,0.6198772,0.66163313,0.3802178,0.26410607,0.2110357,0.20361875,0.097506985,1.2189702,-0.39549607,-0.38768482,1.589226,0.8917235,-0.78295416,-0.77105933,1.3240129,0.85991126,-0.8281658,-0.96244437,0.813637,1.1985152,0.41888243,0.52868354,1.589226,1.230628,-0.049067326,0.016884042,0.9982293
799,0.18892325,0.3588179,-27.343792,992.189,199.21906,1.0,1.0,1.0,1.0,0.25711092,0.09504454,0.08021376,0.3802178,0.12102465,0.038946558,0.033179846,0.20645212,0.112476446,0.035095982,0.021354496,0.063744605,0.2452819,0.6198772,0.66163313,0.3802178,0.26410607,0.2110357,0.20361875,0.097506985,1.2189702,-0.39549607,-0.38768482,1.589226,0.8917235,-0.78295416,-0.77105933,1.3240129,0.85991126,-0.8281658,-0.96244437,0.813637,1.1985152,0.41888243,0.52868354,1.589226,1.230628,-0.049067326,0.016884042,0.9982293
800,0.20895164,0.3499551,-31.25005,992.189,195.3128,1.0,1.0,1.0,1.0,0.25711092,0.093366586,0.0890121,0.34298292,0.12102465,0.042306393,0.034368105,0.22569808,0.112476446,0.034157395,0.021388808,0.06784214,0.2452819,0.62033015,0.64878076,0.34298292,0.26410607,0.2098395,0.20645022,0.09704455,1.2189702,-0.39549607,-0.3439096,1.5224648,0.8917235,-0.73928154,-0.75720304,1.3407202,0.85991126,-0.8322028,-0.963172,0.81869185,1.1985152,0.42693534,0.51873934,1.5224648,1.230628,-0.04380034,0.021456733,0.9741635
801,0.20895164,0.3499551,-31.25005,984.3765,199.21906,1.0,1.0,1.0,1.0,0.25711092,0.093366586,0.0890121,0.34298292,0.12102465,0.042306393,0.034368105,0.22569808,0.112476446,0.034157395,0.021388808,0.06784214,0.2452819,0.62033015,0.64878076,0.34298292,0.26410607,0.2098395,0.20645022,0.09704455,1.2189702,-0.39549607,-0.3439096,1.5224648,0.8917235,-0.73928154,-0.75720304,1.3407202,0.85991126,-0.8322028,-0.963172,0.81869185,1.1985152,0.42693534,0.51873934,1.5224648,1.230628,-0.04380034,0.021456733,0.9741635
802,0.22544254,0.34142762,-31.25005,996.09534,199.21906,1.0,1.0,1.0,1.0,0.25711092,0.09054745,0.09667918,0.3100693,0.12102465,0.045401935,0.035999626,0.23727351,0.112476446,0.032602385,0.021173453,0.06975338,0.2452819,0.6199769,0.6345474,0.3100693,0.26410607,0.21147135,0.2116003,0.095279045,1.2189702,-0.39529967,-0.30680323,1.4674951,0.8917235,-0.69510156,-0.73583823,1.3512856,0.85991126,-0.83892655,-0.9663445,0.8196016,1.1985152,0.4401996,0.5103279,1.4674951,1.230628,-0.026924364,0.03338008,0.9550337
803,0.22544254,0.34142762,-27.343792,992.189,199.21906,1.0,1.0,1.0,1.0,0.25711092,0.09054745,0.09667918,0.3100693,0.12102465,0.045401935,0.035999626,0.23727351,0.112476446,0.032602385,0.021173453,0.06975338,0.2452819,0.6199769,0.6345474,0.3100693,0.26410607,0.21147135,0.2116003,0.095279045,1.2189702,-0.39529967,-0.30680323,1.4674951,0.8917235,-0.69510156,-0.73583823,1.3512856,0.85991126,-0.83892655,-0.9663445,0.8196016,1.1985152,0.4401996,0.5103279,1.4674951,1.230628,-0.026924364,0.03338008,0.9550337
804,0.22544254,0.34142762,-35.156303,992.189,195.3128,1.0,1.0,1.0,1.0,0.25711092,0.09054745,0.09667918,0.3100693,0.12102465,0.045401935,0.035999626,0.23727351,0.112476446,0.032602385,0.021173453,0.06975338,0.2452819,0.6199769,0.6345474,0.3100693,0.26410607,0.21147135,0.2116003,0.095279045,1.2189702,-0.39529967,-0.30680323,1.4674951,0.8917235,-0.69510156,-0.73583823,1.3512856,0.85991126,-0.83892655,-0.9663445,0.8196016,1.1985152,0.4401996,0.5103279,1.4674951,1.230628,-0.026924364,0.03338008,0.9550337
805,0.24990828,0.3283242,-31.25005,992.189,195.3128,1.0,1.0,1.0,1.0,0.25711092,0.08725746,0.102857806,0.2663031,0.12102465,0.04793255,0.037765283,0.24382754,0.112476446,0.03103598,0.02084504,0.07127449,0.2452819,0.6201087,0.6204178,0.2663031,0.26410607,0.21366526,0.21811412,0.09650797,1.2189702,-0.3970324,-0.276689,1.3859426,0.8917235,-0.65720445,-0.7118335,1.3476491,0.85991126,-0.8459695,-0.9699235,0.81350046,1.1985152,0.4546329,0.50375795,1.3859426,1.230628,-0.008101023,0.04975755,0.9451295
806,0.24990828,0.3283242,-27.343792,996.09534,199.21906,1.0,1.0,1.0,1.0,0.25711092,0.08725746,0.102857806,0.2663031,0.12102465,0.04793255,0.037765283,0.24382754,0.112476446,0.03103598,0.02084504,0.07127449,0.2452819,0.6201087,0.6204178,0.2663031,0.26410607,0.21366526,0.21811412,0.09650797,1.2189702,-0.3970324,-0.276689,1.3859426,0.8917235,-0.65720445,-0.7118335,1.3476491,0.85991126,-0.8459695,-0.9699235,0.81350046,1.1985152,0.4546329,0.50375795,1.3859426,1.230628,-0.008101023,0.04975755,0.9451295
807,0.2920338,0.3067194,-27.343792,996.09534,199.21906,1.0,1.0,1.0,1.0,0.25711092,0.0867123,0.10409623,0.20542909,0.12102465,0.04987111,0.039558716,0.24743055,0.112476446,0.029905263,0.020628592,0.07368059,0.2452819,0.62004316,0.6119471,0.20542909,0.26410607,0.21346818,0.22376937,0.10473836,1.2189702,-0.3892272,-0.2696999,1.2455243,0.8917235,-0.6294589,-0.6898927,1.3263156,0.85991126,-0.8515603,-0.9726653,0.8002154,1.1985152,0.465114,0.499579,1.2455243,1.230628,0.002025241,0.06266576,0.9529681
