id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
2356,0.052653536,0.2988448,-371.09433,941.4077,113.281425,1.0,1.0,1.0,1.0,0.34878784,0.19567592,0.3905114,0.39719293,0.23432322,0.18327059,0.2266601,0.27785376,0.22750351,0.1139032,0.08144021,0.11910669,0.08449077,0.3691264,0.14448129,0.39719293,0.10489466,0.13802387,0.156907,0.11009587,0.7634515,-0.4327809,-0.40423077,1.5879397,0.59070545,-0.4612255,-0.6404894,1.4327545,0.57787824,-0.6677823,-1.0850255,1.0648744,0.1476994,-0.15714315,-0.8360529,1.5879397,0.24164353,-0.5843641,-0.80022216,1.0307093
2357,0.07230359,0.3159273,-371.09433,941.4077,113.281425,1.0,1.0,1.0,1.0,0.41100067,0.18368104,0.3862874,0.42268574,0.20609964,0.17325388,0.22901142,0.265459,0.20398211,0.10538442,0.08382759,0.11040165,0.08083612,0.40542936,0.14357573,0.42268574,0.09808146,0.13225128,0.15729786,0.10602087,0.87329626,-0.4327809,-0.41682145,1.6322843,0.573531,-0.45816225,-0.6438748,1.4302642,0.5690458,-0.6740688,-1.080345,1.0492423,0.16705914,-0.08893,-0.84665096,1.6322843,0.25104064,-0.5754453,-0.80700916,1.031658
2358,0.07230359,0.3159273,-375.00058,941.4077,113.281425,1.0,1.0,1.0,1.0,0.41100067,0.18368104,0.3862874,0.42268574,0.20609964,0.17325388,0.22901142,0.265459,0.20398211,0.10538442,0.08382759,0.11040165,0.08083612,0.40542936,0.14357573,0.42268574,0.09808146,0.13225128,0.15729786,0.10602087,0.87329626,-0.4327809,-0.41682145,1.6322843,0.573531,-0.45816225,-0.6438748,1.4302642,0.5690458,-0.6740688,-1.080345,1.0492423,0.16705914,-0.08893,-0.84665096,1.6322843,0.25104064,-0.5754453,-0.80700916,1.031658
2359,0.07230359,0.3159273,-371.09433,941.4077,117.18768,1.0,1.0,1.0,1.0,0.41100067,0.18368104,0.3862874,0.42268574,0.20609964,0.17325388,0.22901142,0.265459,0.20398211,0.10538442,0.08382759,0.11040165,0.08083612,0.40542936,0.14357573,0.42268574,0.09808146,0.13225128,0.15729786,0.10602087,0.87329626,-0.4327809,-0.41682145,1.6322843,0.573531,-0.45816225,-0.6438748,1.4302642,0.5690458,-0.6740688,-1.080345,1.0492423,0.16705914,-0.08893,-0.84665096,1.6322843,0.25104064,-0.5754453,-0.80700916,1.031658
2360,0.07230359,0.3159273,-367.18808,941.4077,117.18768,1.0,1.0,1.0,1.0,0.41100067,0.18368104,0.3862874,0.42268574,0.20609964,0.17325388,0.22901142,0.265459,0.20398211,0.10538442,0.08382759,0.11040165,0.08083612,0.40542936,0.14357573,0.42268574,0.09808146,0.13225128,0.15729786,0.10602087,0.87329626,-0.4327809,-0.41682145,1.6322843,0.573531,-0.45816225,-0.6438748,1.4302642,0.5690458,-0.6740688,-1.080345,1.0492423,0.16705914,-0.08893,-0.84665096,1.6322843,0.25104064,-0.5754453,-0.80700916,1.031658
2361,0.09745578,0.3298107,-371.09433,941.4077,113.281425,1.0,1.0,1.0,1.0,0.46477774,0.17352928,0.38254276,0.43451273,0.17864098,0.16272983,0.23287274,0.25923446,0.18512009,0.09895091,0.087064534,0.104475476,0.080303535,0.4387985,0.13986483,0.43451273,0.09115767,0.1259915,0.15765515,0.103740774,0.97298527,-0.4327809,-0.43030325,1.6481327,0.5577211,-0.46068648,-0.6458646,1.4238229,0.57319355,-0.67673385,-1.0731419,1.0291445,0.21047464,-0.029888531,-0.8672747,1.6481327,0.26553318,-0.5718124,-0.8152751,1.0260797
2362,0.11299761,0.3421961,-375.00058,941.4077,113.281425,1.0,1.0,1.0,1.0,0.4973397,0.16731888,0.3876257,0.44769216,0.15864092,0.15268101,0.23630978,0.25159732,0.17456445,0.095988415,0.08910352,0.09906993,0.08303482,0.46418107,0.13116114,0.44769216,0.086420104,0.11983065,0.15579988,0.10119445,1.0421803,-0.4327809,-0.4265732,1.6655216,0.54594237,-0.47254083,-0.64150405,1.4152482,0.5874829,-0.674107,-1.0650909,1.010484,0.26478738,0.010361593,-0.89718056,1.6655216,0.2821419,-0.5777579,-0.82241863,1.0196987
2363,0.11299761,0.3421961,-378.90683,941.4077,113.281425,1.0,1.0,1.0,1.0,0.4973397,0.16731888,0.3876257,0.44769216,0.15864092,0.15268101,0.23630978,0.25159732,0.17456445,0.095988415,0.08910352,0.09906993,0.08303482,0.46418107,0.13116114,0.44769216,0.086420104,0.11983065,0.15579988,0.10119445,1.0421803,-0.4327809,-0.4265732,1.6655216,0.54594237,-0.47254083,-0.64150405,1.4152482,0.5874829,-0.674107,-1.0650909,1.010484,0.26478738,0.010361593,-0.89718056,1.6655216,0.2821419,-0.5777579,-0.82241863,1.0196987
2364,0.11299761,0.3421961,-367.18808,941.4077,113.281425,1.0,1.0,1.0,1.0,0.4973397,0.16731888,0.3876257,0.44769216,0.15864092,0.15268101,0.23630978,0.25159732,0.17456445,0.095988415,0.08910352,0.09906993,0.08303482,0.46418107,0.13116114,0.44769216,0.086420104,0.11983065,0.15579988,0.10119445,1.0421803,-0.4327809,-0.4265732,1.6655216,0.54594237,-0.47254083,-0.64150405,1.4152482,0.5874829,-0.674107,-1.0650909,1.010484,0.26478738,0.010361593,-0.89718056,1.6655216,0.2821419,-0.5777579,-0.82241863,1.0196987
2365,0.11299761,0.3421961,-371.09433,941.4077,113.281425,1.0,1.0,1.0,1.0,0.4973397,0.16731888,0.3876257,0.44769216,0.15864092,0.15268101,0.23630978,0.25159732,0.17456445,0.095988415,0.08910352,0.09906993,0.08303482,0.46418107,0.13116114,0.44769216,0.086420104,0.11983065,0.15579988,0.10119445,1.0421803,-0.4327809,-0.4265732,1.6655216,0.54594237,-0.47254083,-0.64150405,1.4152482,0.5874829,-0.674107,-1.0650909,1.010484,0.26478738,0.010361593,-0.89718056,1.6655216,0.2821419,-0.5777579,-0.82241863,1.0196987
