id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
4555,0.27917546,-0.008076795,-89.84389,1000.0016,132.81271,1.0,1.0,1.0,1.0,0.38916457,0.20365776,0.16808374,0.51418364,0.19738014,0.21766183,0.19032136,0.17939505,0.070154585,0.17732692,0.14583376,0.07743947,0.08151602,0.17245547,0.3936091,0.51418364,0.26178467,0.228898,0.10215203,0.13831663,0.69273645,-0.6681592,-0.61416584,0.7621516,0.3979066,-0.6392779,-0.5602041,0.30484384,-0.051340815,-0.7282855,-0.67583346,-0.06000425,0.0138461245,-0.74038315,-0.24462645,0.7621516,0.5205474,-0.61741817,-0.83044463,0.1919078
4556,0.2993279,-0.022985904,-97.6564,1003.90784,132.81271,1.0,1.0,1.0,1.0,0.3913946,0.20336017,0.16934873,0.47617465,0.1913459,0.21915434,0.19024263,0.1885592,0.0684882,0.17223677,0.14706752,0.07943872,0.084591076,0.17768694,0.39497507,0.47617465,0.26418024,0.22756177,0.09836603,0.16209722,0.6919377,-0.6716548,-0.60483277,0.69417804,0.38114205,-0.63917065,-0.55430686,0.29185948,-0.06506135,-0.7437948,-0.666098,-0.08355598,0.026647428,-0.7302652,-0.23704503,0.69417804,0.5212232,-0.6228214,-0.8407696,0.2261873
4557,0.30067697,-0.029724946,-93.750145,1003.90784,132.81271,1.0,1.0,1.0,1.0,0.3938465,0.21352628,0.17279974,0.47098315,0.18551828,0.22067583,0.18983209,0.18325984,0.06638005,0.16420287,0.14721066,0.075808786,0.088555016,0.18034096,0.39618325,0.47098315,0.26570013,0.22125407,0.09397427,0.17665191,0.6919377,-0.6471849,-0.5887401,0.6896812,0.36499742,-0.63288146,-0.54791355,0.27974313,-0.08135178,-0.7612555,-0.658344,-0.103604645,0.043823853,-0.72054183,-0.22838712,0.6896812,0.5210025,-0.631745,-0.8532742,0.26379415
4558,0.30067697,-0.029724946,-93.750145,1000.0016,128.90645,1.0,1.0,1.0,1.0,0.3938465,0.21352628,0.17279974,0.47098315,0.18551828,0.22067583,0.18983209,0.18325984,0.06638005,0.16420287,0.14721066,0.075808786,0.088555016,0.18034096,0.39618325,0.47098315,0.26570013,0.22125407,0.09397427,0.17665191,0.6919377,-0.6471849,-0.5887401,0.6896812,0.36499742,-0.63288146,-0.54791355,0.27974313,-0.08135178,-0.7612555,-0.658344,-0.103604645,0.043823853,-0.72054183,-0.22838712,0.6896812,0.5210025,-0.631745,-0.8532742,0.26379415
4559,0.30067697,-0.029724946,-93.750145,1003.90784,128.90645,1.0,1.0,1.0,1.0,0.3938465,0.21352628,0.17279974,0.47098315,0.18551828,0.22067583,0.18983209,0.18325984,0.06638005,0.16420287,0.14721066,0.075808786,0.088555016,0.18034096,0.39618325,0.47098315,0.26570013,0.22125407,0.09397427,0.17665191,0.6919377,-0.6471849,-0.5887401,0.6896812,0.36499742,-0.63288146,-0.54791355,0.27974313,-0.08135178,-0.7612555,-0.658344,-0.103604645,0.043823853,-0.72054183,-0.22838712,0.6896812,0.5210025,-0.631745,-0.8532742,0.26379415
4560,0.30067697,-0.029724946,-97.6564,1003.90784,128.90645,1.0,1.0,1.0,1.0,0.3938465,0.21352628,0.17279974,0.47098315,0.18551828,0.22067583,0.18983209,0.18325984,0.06638005,0.16420287,0.14721066,0.075808786,0.088555016,0.18034096,0.39618325,0.47098315,0.26570013,0.22125407,0.09397427,0.17665191,0.6919377,-0.6471849,-0.5887401,0.6896812,0.36499742,-0.63288146,-0.54791355,0.27974313,-0.08135178,-0.7612555,-0.658344,-0.103604645,0.043823853,-0.72054183,-0.22838712,0.6896812,0.5210025,-0.631745,-0.8532742,0.26379415
4561,0.28460982,-0.028412914,-97.6564,1007.8141,132.81271,1.0,1.0,1.0,1.0,0.39623547,0.22622421,0.17270426,0.49496073,0.18118156,0.22404891,0.19150235,0.16693304,0.06418367,0.15646029,0.14753594,0.068552196,0.09266901,0.17991345,0.39739496,0.49496073,0.26573032,0.21335314,0.090862505,0.18128325,0.6919377,-0.61758006,-0.58825034,0.7432383,0.35209838,-0.6217763,-0.5433793,0.27120987,-0.09859111,-0.777715,-0.6566556,-0.115311064,0.060918886,-0.7170555,-0.22633107,0.7432383,0.51842546,-0.6430201,-0.8671687,0.30702522
4562,0.27351093,-0.033065096,-97.6564,1003.90784,128.90645,1.0,1.0,1.0,1.0,0.39003155,0.22753389,0.16980447,0.49604392,0.18155503,0.23199327,0.19587629,0.15874963,0.06302862,0.1527399,0.14785516,0.06568403,0.09787155,0.1793013,0.39579538,0.49604392,0.26751325,0.20843166,0.0906687,0.19300885,0.67483276,-0.6168853,-0.6041991,0.76312965,0.34274134,-0.608456,-0.5421664,0.26832226,-0.11672916,-0.7899789,-0.66431177,-0.11493071,0.07438951,-0.720348,-0.23667754,0.76312965,0.51107836,-0.6549677,-0.87669086,0.35318676
4563,0.27351093,-0.033065096,-97.6564,1003.90784,132.81271,1.0,1.0,1.0,1.0,0.39003155,0.22753389,0.16980447,0.49604392,0.18155503,0.23199327,0.19587629,0.15874963,0.06302862,0.1527399,0.14785516,0.06568403,0.09787155,0.1793013,0.39579538,0.49604392,0.26751325,0.20843166,0.0906687,0.19300885,0.67483276,-0.6168853,-0.6041991,0.76312965,0.34274134,-0.608456,-0.5421664,0.26832226,-0.11672916,-0.7899789,-0.66431177,-0.11493071,0.07438951,-0.720348,-0.23667754,0.76312965,0.51107836,-0.6549677,-0.87669086,0.35318676
4564,0.27351093,-0.033065096,-97.6564,1003.90784,132.81271,1.0,1.0,1.0,1.0,0.39003155,0.22753389,0.16980447,0.49604392,0.18155503,0.23199327,0.19587629,0.15874963,0.06302862,0.1527399,0.14785516,0.06568403,0.09787155,0.1793013,0.39579538,0.49604392,0.26751325,0.20843166,0.0906687,0.19300885,0.67483276,-0.6168853,-0.6041991,0.76312965,0.34274134,-0.608456,-0.5421664,0.26832226,-0.11672916,-0.7899789,-0.66431177,-0.11493071,0.07438951,-0.720348,-0.23667754,0.76312965,0.51107836,-0.6549677,-0.87669086,0.35318676
