id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
12456,0.14064926,0.518486,-101.56266,1003.90784,132.81271,1.0,1.0,1.0,1.0,0.27620474,0.21749137,0.2674426,0.40253267,0.25142184,0.30843258,0.16099855,0.27643204,0.26425645,0.2656193,0.14703207,0.13470642,0.12428882,0.107336834,0.34822378,0.40253267,0.083828166,0.10111989,0.076303005,0.11793047,0.940488,-0.27487934,0.006853629,1.4716572,0.89965993,-0.12316112,-0.21355504,1.3084444,0.92128253,-0.18806174,-0.25296494,0.9962443,0.59368896,-0.5815726,0.12148141,1.4716572,0.42264685,-0.60748476,-0.53783536,0.93848205
12457,0.14064926,0.518486,-105.46892,1000.0016,132.81271,1.0,1.0,1.0,1.0,0.27620474,0.21749137,0.2674426,0.40253267,0.25142184,0.30843258,0.16099855,0.27643204,0.26425645,0.2656193,0.14703207,0.13470642,0.12428882,0.107336834,0.34822378,0.40253267,0.083828166,0.10111989,0.076303005,0.11793047,0.940488,-0.27487934,0.006853629,1.4716572,0.89965993,-0.12316112,-0.21355504,1.3084444,0.92128253,-0.18806174,-0.25296494,0.9962443,0.59368896,-0.5815726,0.12148141,1.4716572,0.42264685,-0.60748476,-0.53783536,0.93848205
12458,0.14064926,0.518486,-105.46892,1003.90784,132.81271,1.0,1.0,1.0,1.0,0.27620474,0.21749137,0.2674426,0.40253267,0.25142184,0.30843258,0.16099855,0.27643204,0.26425645,0.2656193,0.14703207,0.13470642,0.12428882,0.107336834,0.34822378,0.40253267,0.083828166,0.10111989,0.076303005,0.11793047,0.940488,-0.27487934,0.006853629,1.4716572,0.89965993,-0.12316112,-0.21355504,1.3084444,0.92128253,-0.18806174,-0.25296494,0.9962443,0.59368896,-0.5815726,0.12148141,1.4716572,0.42264685,-0.60748476,-0.53783536,0.93848205
12459,0.14083438,0.5182492,-105.46892,1000.0016,132.81271,1.0,1.0,1.0,1.0,0.2760924,0.20708382,0.23427874,0.40253267,0.2549122,0.30145368,0.16270147,0.27643204,0.25947422,0.28013152,0.15114966,0.13470642,0.12604965,0.10998555,0.37273043,0.40253267,0.08347151,0.101345435,0.07913971,0.11793047,0.94110507,-0.30847853,-0.06869412,1.4716572,0.9064412,-0.14540413,-0.22703552,1.3084444,0.9141448,-0.17726272,-0.2590198,0.9962443,0.60059226,-0.583289,0.13296784,1.4716572,0.42158884,-0.6188205,-0.54003257,0.93848205
12460,0.14083438,0.5182492,-105.46892,1003.90784,132.81271,1.0,1.0,1.0,1.0,0.2760924,0.20708382,0.23427874,0.40253267,0.2549122,0.30145368,0.16270147,0.27643204,0.25947422,0.28013152,0.15114966,0.13470642,0.12604965,0.10998555,0.37273043,0.40253267,0.08347151,0.101345435,0.07913971,0.11793047,0.94110507,-0.30847853,-0.06869412,1.4716572,0.9064412,-0.14540413,-0.22703552,1.3084444,0.9141448,-0.17726272,-0.2590198,0.9962443,0.60059226,-0.583289,0.13296784,1.4716572,0.42158884,-0.6188205,-0.54003257,0.93848205
12461,0.14144564,0.51967615,-105.46892,1000.0016,132.81271,1.0,1.0,1.0,1.0,0.27783108,0.19694316,0.18326737,0.40253267,0.25514257,0.293337,0.1691947,0.27643204,0.25478226,0.2970639,0.15767218,0.13470642,0.12819085,0.11139968,0.40637612,0.40253267,0.08405325,0.101256296,0.083489634,0.11793047,0.9431426,-0.3356768,-0.19650628,1.4716572,0.9061447,-0.16265087,-0.23120464,1.3084444,0.9055309,-0.15716782,-0.26183632,0.9962443,0.6072188,-0.5831337,0.14933677,1.4716572,0.42391628,-0.62459564,-0.53795886,0.93848205
12462,0.14144564,0.51967615,-101.56266,1003.90784,132.81271,1.0,1.0,1.0,1.0,0.27783108,0.19694316,0.18326737,0.40253267,0.25514257,0.293337,0.1691947,0.27643204,0.25478226,0.2970639,0.15767218,0.13470642,0.12819085,0.11139968,0.40637612,0.40253267,0.08405325,0.101256296,0.083489634,0.11793047,0.9431426,-0.3356768,-0.19650628,1.4716572,0.9061447,-0.16265087,-0.23120464,1.3084444,0.9055309,-0.15716782,-0.26183632,0.9962443,0.6072188,-0.5831337,0.14933677,1.4716572,0.42391628,-0.62459564,-0.53795886,0.93848205
12463,0.14144564,0.5218499,-105.46892,1003.90784,132.81271,1.0,1.0,1.0,1.0,0.2794823,0.18183422,0.13287316,0.40253267,0.255346,0.28845072,0.17592476,0.27643204,0.25051147,0.3147595,0.16420086,0.13470642,0.13057074,0.11213605,0.4380847,0.40253267,0.08408951,0.10281951,0.08891651,0.11793047,0.9431426,-0.37134454,-0.35168254,1.4716572,0.9039174,-0.17094857,-0.22979286,1.3084444,0.89561594,-0.13304132,-0.25974444,0.9962443,0.6126342,-0.5812749,0.16643825,1.4716572,0.42153013,-0.61894464,-0.5261374,0.93848205
12464,0.14144564,0.5218499,-105.46892,1000.0016,132.81271,1.0,1.0,1.0,1.0,0.2794823,0.18183422,0.13287316,0.40253267,0.255346,0.28845072,0.17592476,0.27643204,0.25051147,0.3147595,0.16420086,0.13470642,0.13057074,0.11213605,0.4380847,0.40253267,0.08408951,0.10281951,0.08891651,0.11793047,0.9431426,-0.37134454,-0.35168254,1.4716572,0.9039174,-0.17094857,-0.22979286,1.3084444,0.89561594,-0.13304132,-0.25974444,0.9962443,0.6126342,-0.5812749,0.16643825,1.4716572,0.42153013,-0.61894464,-0.5261374,0.93848205
12465,0.14144564,0.5218499,-105.46892,1003.90784,132.81271,1.0,1.0,1.0,1.0,0.2794823,0.18183422,0.13287316,0.40253267,0.255346,0.28845072,0.17592476,0.27643204,0.25051147,0.3147595,0.16420086,0.13470642,0.13057074,0.11213605,0.4380847,0.40253267,0.08408951,0.10281951,0.08891651,0.11793047,0.9431426,-0.37134454,-0.35168254,1.4716572,0.9039174,-0.17094857,-0.22979286,1.3084444,0.89561594,-0.13304132,-0.25974444,0.9962443,0.6126342,-0.5812749,0.16643825,1.4716572,0.42153013,-0.61894464,-0.5261374,0.93848205
