id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
5369,0.3,0.04635518,42.96882,1007.8141,89.84389,4.0,1.0,1.0,4.0,NaN,0.16801676,0.14457294,NaN,NaN,0.10157304,0.17881015,NaN,NaN,0.13066497,0.17466465,NaN,NaN,0.4345605,0.4112041,NaN,NaN,0.16518472,0.09074815,NaN,0.0,0.2628843,0.111855015,0.0,0.0,0.044310126,0.20416015,0.0,0.0,0.15369084,0.193973,0.0,0.0,0.67558193,0.56582546,0.0,0.0,0.25550154,-0.0903942,0.0
5370,0.3,0.04548217,42.96882,1007.8141,93.750145,4.0,1.0,1.0,4.0,NaN,0.16803999,0.12783593,NaN,NaN,0.09801921,0.19838105,NaN,NaN,0.13355105,0.18119802,NaN,NaN,0.45316803,0.39805612,NaN,NaN,0.14722171,0.09452888,NaN,0.0,0.2628843,0.026496798,0.0,0.0,0.028782837,0.21734406,0.0,0.0,0.16311893,0.17799734,0.0,0.0,0.6937309,0.5197882,0.0,0.0,0.2054435,-0.104591586,0.0
5371,0.3,0.04548217,39.06256,1007.8141,89.84389,4.0,1.0,1.0,4.0,NaN,0.16803999,0.12783593,NaN,NaN,0.09801921,0.19838105,NaN,NaN,0.13355105,0.18119802,NaN,NaN,0.45316803,0.39805612,NaN,NaN,0.14722171,0.09452888,NaN,0.0,0.2628843,0.026496798,0.0,0.0,0.028782837,0.21734406,0.0,0.0,0.16311893,0.17799734,0.0,0.0,0.6937309,0.5197882,0.0,0.0,0.2054435,-0.104591586,0.0
5372,0.3,0.04548217,39.06256,1011.72034,89.84389,4.0,1.0,1.0,4.0,NaN,0.16803999,0.12783593,NaN,NaN,0.09801921,0.19838105,NaN,NaN,0.13355105,0.18119802,NaN,NaN,0.45316803,0.39805612,NaN,NaN,0.14722171,0.09452888,NaN,0.0,0.2628843,0.026496798,0.0,0.0,0.028782837,0.21734406,0.0,0.0,0.16311893,0.17799734,0.0,0.0,0.6937309,0.5197882,0.0,0.0,0.2054435,-0.104591586,0.0
5373,0.3,0.04548217,35.156303,1007.8141,89.84389,4.0,1.0,1.0,4.0,NaN,0.16803999,0.12783593,NaN,NaN,0.09801921,0.19838105,NaN,NaN,0.13355105,0.18119802,NaN,NaN,0.45316803,0.39805612,NaN,NaN,0.14722171,0.09452888,NaN,0.0,0.2628843,0.026496798,0.0,0.0,0.028782837,0.21734406,0.0,0.0,0.16311893,0.17799734,0.0,0.0,0.6937309,0.5197882,0.0,0.0,0.2054435,-0.104591586,0.0
5374,0.3,0.0454404,39.06256,1003.90784,89.84389,4.0,1.0,1.0,4.0,NaN,0.16594052,0.119847074,NaN,NaN,0.094059765,0.21069597,NaN,NaN,0.13482504,0.18428548,NaN,NaN,0.47795403,0.3880947,NaN,NaN,0.12722065,0.097076796,NaN,0.0,0.2628843,-0.018763049,0.0,0.0,0.016335689,0.22626573,0.0,0.0,0.17270236,0.16810063,0.0,0.0,0.72231793,0.4915472,0.0,0.0,0.14748941,-0.110275045,0.0
5375,0.3,0.0454404,39.06256,1007.8141,89.84389,4.0,1.0,1.0,4.0,NaN,0.16594052,0.119847074,NaN,NaN,0.094059765,0.21069597,NaN,NaN,0.13482504,0.18428548,NaN,NaN,0.47795403,0.3880947,NaN,NaN,0.12722065,0.097076796,NaN,0.0,0.2628843,-0.018763049,0.0,0.0,0.016335689,0.22626573,0.0,0.0,0.17270236,0.16810063,0.0,0.0,0.72231793,0.4915472,0.0,0.0,0.14748941,-0.110275045,0.0
5376,0.3,0.04686374,42.96882,1007.8141,89.84389,4.0,1.0,1.0,4.0,NaN,0.16024008,0.11349619,NaN,NaN,0.08944047,0.21833289,NaN,NaN,0.13306065,0.18796718,NaN,NaN,0.5063858,0.38257825,NaN,NaN,0.110873014,0.097625494,NaN,0.0,0.2628843,-0.04978547,0.0,0.0,0.009647217,0.23435242,0.0,0.0,0.18216276,0.16931526,0.0,0.0,0.76259464,0.47795352,0.0,0.0,0.10293896,-0.11520349,0.0
5377,0.3,0.04686374,42.96882,1007.8141,89.84389,4.0,1.0,1.0,4.0,NaN,0.16024008,0.11349619,NaN,NaN,0.08944047,0.21833289,NaN,NaN,0.13306065,0.18796718,NaN,NaN,0.5063858,0.38257825,NaN,NaN,0.110873014,0.097625494,NaN,0.0,0.2628843,-0.04978547,0.0,0.0,0.009647217,0.23435242,0.0,0.0,0.18216276,0.16931526,0.0,0.0,0.76259464,0.47795352,0.0,0.0,0.10293896,-0.11520349,0.0
5378,0.3,0.04999953,46.875072,1007.8141,97.6564,4.0,1.0,1.0,4.0,NaN,0.15096524,0.11009406,NaN,NaN,0.08414023,0.22464186,NaN,NaN,0.12870732,0.19350672,NaN,NaN,0.5339669,0.37666625,NaN,NaN,0.10222029,0.09509113,NaN,0.0,0.2628843,-0.063546225,0.0,0.0,0.009011035,0.24618055,0.0,0.0,0.19361058,0.1813859,0.0,0.0,0.81152165,0.4706466,0.0,0.0,0.09354441,-0.12717015,0.0
5379,0.3,0.04999953,39.06256,1011.72034,93.750145,4.0,1.0,1.0,4.0,NaN,0.15096524,0.11009406,NaN,NaN,0.08414023,0.22464186,NaN,NaN,0.12870732,0.19350672,NaN,NaN,0.5339669,0.37666625,NaN,NaN,0.10222029,0.09509113,NaN,0.0,0.2628843,-0.063546225,0.0,0.0,0.009011035,0.24618055,0.0,0.0,0.19361058,0.1813859,0.0,0.0,0.81152165,0.4706466,0.0,0.0,0.09354441,-0.12717015,0.0
5380,0.3,0.04999953,46.875072,1011.72034,97.6564,4.0,1.0,1.0,4.0,NaN,0.15096524,0.11009406,NaN,NaN,0.08414023,0.22464186,NaN,NaN,0.12870732,0.19350672,NaN,NaN,0.5339669,0.37666625,NaN,NaN,0.10222029,0.09509113,NaN,0.0,0.2628843,-0.063546225,0.0,0.0,0.009011035,0.24618055,0.0,0.0,0.19361058,0.1813859,0.0,0.0,0.81152165,0.4706466,0.0,0.0,0.09354441,-0.12717015,0.0
5381,0.3,0.054778077,42.96882,1015.6266,93.750145,4.0,1.0,1.0,4.0,NaN,0.1458092,0.117652364,NaN,NaN,0.078482725,0.2304559,NaN,NaN,0.1234675,0.19910783,NaN,NaN,0.5517548,0.36393768,NaN,NaN,0.100485794,0.08884622,NaN,0.0,0.28226334,-0.027683182,0.0,0.0,0.013252473,0.264304,0.0,0.0,0.21003105,0.2008045,0.0,0.0,0.86022455,0.4627432,0.0,0.0,0.12058307,-0.14964488,0.0
