id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
7808,0.35314927,0.33832225,-7.8125124,1003.90784,121.09394,1.0,1.0,1.0,1.0,0.28325355,0.5728831,0.52160144,0.25728217,0.20739746,0.07963105,0.16456008,0.14348578,0.1792658,0.07100357,0.07342473,0.048868317,0.2637968,0.19367523,0.12945269,0.25728217,0.06628637,0.08280699,0.11096106,0.2609606,1.1854372,0.5974874,0.2308516,1.008273,1.0500653,-0.25949615,-0.2701627,0.75467217,0.98675925,-0.30929843,-0.62064487,0.28689066,1.1545314,0.12649548,-0.37437612,1.008273,0.55468607,-0.24251164,-0.4413166,1.0144383
7809,0.35314927,0.33832225,-3.9062562,1003.90784,121.09394,1.0,1.0,1.0,1.0,0.28325355,0.5728831,0.52160144,0.25728217,0.20739746,0.07963105,0.16456008,0.14348578,0.1792658,0.07100357,0.07342473,0.048868317,0.2637968,0.19367523,0.12945269,0.25728217,0.06628637,0.08280699,0.11096106,0.2609606,1.1854372,0.5974874,0.2308516,1.008273,1.0500653,-0.25949615,-0.2701627,0.75467217,0.98675925,-0.30929843,-0.62064487,0.28689066,1.1545314,0.12649548,-0.37437612,1.008273,0.55468607,-0.24251164,-0.4413166,1.0144383
7810,0.35314927,0.33832225,-11.718768,1011.72034,121.09394,1.0,1.0,1.0,1.0,0.28325355,0.5728831,0.52160144,0.25728217,0.20739746,0.07963105,0.16456008,0.14348578,0.1792658,0.07100357,0.07342473,0.048868317,0.2637968,0.19367523,0.12945269,0.25728217,0.06628637,0.08280699,0.11096106,0.2609606,1.1854372,0.5974874,0.2308516,1.008273,1.0500653,-0.25949615,-0.2701627,0.75467217,0.98675925,-0.30929843,-0.62064487,0.28689066,1.1545314,0.12649548,-0.37437612,1.008273,0.55468607,-0.24251164,-0.4413166,1.0144383
7811,0.28591982,0.40419403,-3.9062562,1007.8141,117.18768,1.0,1.0,1.0,1.0,0.29194197,0.5715236,0.52424556,0.3567866,0.20815374,0.07924304,0.16259749,0.24728349,0.17491768,0.06615396,0.06881784,0.09134451,0.2581226,0.19878875,0.12664732,0.3567866,0.06686401,0.08429062,0.11769181,0.047927544,1.1854372,0.5974874,0.2308516,1.2323712,1.0385249,-0.26058564,-0.2775693,1.0731578,0.9629743,-0.33899093,-0.6509821,0.6406451,1.1319667,0.13884504,-0.38608715,1.2323712,0.5453331,-0.23376751,-0.41793692,0.3605478
7812,0.28591982,0.40419403,-3.9062562,1007.8141,117.18768,1.0,1.0,1.0,1.0,0.29194197,0.5715236,0.52424556,0.3567866,0.20815374,0.07924304,0.16259749,0.24728349,0.17491768,0.06615396,0.06881784,0.09134451,0.2581226,0.19878875,0.12664732,0.3567866,0.06686401,0.08429062,0.11769181,0.047927544,1.1854372,0.5974874,0.2308516,1.2323712,1.0385249,-0.26058564,-0.2775693,1.0731578,0.9629743,-0.33899093,-0.6509821,0.6406451,1.1319667,0.13884504,-0.38608715,1.2323712,0.5453331,-0.23376751,-0.41793692,0.3605478
7813,0.27850053,0.3953127,-11.718768,1000.0016,117.18768,1.0,1.0,1.0,1.0,0.30167833,0.5731307,0.5265286,0.3821169,0.2047792,0.07951257,0.1596492,0.23355316,0.1641433,0.059994765,0.06572364,0.09589272,0.260506,0.2010114,0.12513585,0.3821169,0.068893194,0.086350515,0.1229627,0.046945818,1.1854372,0.5974874,0.2308516,1.2571021,1.0171789,-0.26033053,-0.2874036,1.0432916,0.92111623,-0.38265294,-0.6728487,0.65669143,1.1217108,0.14245439,-0.3931886,1.2571021,0.54406935,-0.22450134,-0.40079698,0.34650275
7814,0.27713954,0.38605663,-11.718768,1019.53284,113.281425,1.0,1.0,1.0,1.0,0.324271,0.5766503,0.5281303,0.40412712,0.20097663,0.079326436,0.15574601,0.22426763,0.15126522,0.05308682,0.06446056,0.09782524,0.25429463,0.20195088,0.12507957,0.40412712,0.06919252,0.088985555,0.12658355,0.048750065,1.2028229,0.5974874,0.2308516,1.2790245,0.9950603,-0.26400718,-0.29947257,1.0232731,0.87165385,-0.4384384,-0.6825954,0.66295743,1.097252,0.14182064,-0.39470312,1.2790245,0.5319739,-0.21410558,-0.3895122,0.36048174
7815,0.27713954,0.38605663,-3.9062562,1015.6266,125.0002,1.0,1.0,1.0,1.0,0.324271,0.5766503,0.5281303,0.40412712,0.20097663,0.079326436,0.15574601,0.22426763,0.15126522,0.05308682,0.06446056,0.09782524,0.25429463,0.20195088,0.12507957,0.40412712,0.06919252,0.088985555,0.12658355,0.048750065,1.2028229,0.5974874,0.2308516,1.2790245,0.9950603,-0.26400718,-0.29947257,1.0232731,0.87165385,-0.4384384,-0.6825954,0.66295743,1.097252,0.14182064,-0.39470312,1.2790245,0.5319739,-0.21410558,-0.3895122,0.36048174
7816,0.27713954,0.38605663,-7.8125124,1019.53284,117.18768,1.0,1.0,1.0,1.0,0.324271,0.5766503,0.5281303,0.40412712,0.20097663,0.079326436,0.15574601,0.22426763,0.15126522,0.05308682,0.06446056,0.09782524,0.25429463,0.20195088,0.12507957,0.40412712,0.06919252,0.088985555,0.12658355,0.048750065,1.2028229,0.5974874,0.2308516,1.2790245,0.9950603,-0.26400718,-0.29947257,1.0232731,0.87165385,-0.4384384,-0.6825954,0.66295743,1.097252,0.14182064,-0.39470312,1.2790245,0.5319739,-0.21410558,-0.3895122,0.36048174
7817,0.27713954,0.38605663,-7.8125124,1007.8141,117.18768,1.0,1.0,1.0,1.0,0.324271,0.5766503,0.5281303,0.40412712,0.20097663,0.079326436,0.15574601,0.22426763,0.15126522,0.05308682,0.06446056,0.09782524,0.25429463,0.20195088,0.12507957,0.40412712,0.06919252,0.088985555,0.12658355,0.048750065,1.2028229,0.5974874,0.2308516,1.2790245,0.9950603,-0.26400718,-0.29947257,1.0232731,0.87165385,-0.4384384,-0.6825954,0.66295743,1.097252,0.14182064,-0.39470312,1.2790245,0.5319739,-0.21410558,-0.3895122,0.36048174
7818,0.27665246,0.3740581,-11.718768,1003.90784,117.18768,1.0,1.0,1.0,1.0,0.35134992,0.58123,0.5294282,0.42103148,0.2000425,0.07764285,0.15093939,0.22213933,0.13990994,0.046522785,0.064575225,0.09718641,0.24022532,0.2024396,0.12566732,0.42103148,0.06847231,0.092164755,0.12938988,0.05352908,1.2171175,0.5974874,0.2308516,1.2949427,0.97249997,-0.27675912,-0.31415284,1.0172536,0.8172263,-0.49919492,-0.6828895,0.65823376,1.0519965,0.13943487,-0.3937331,1.2949427,0.5068927,-0.20229574,-0.38105512,0.399218
7819,0.27665246,0.3740581,-7.8125124,1011.72034,125.0002,1.0,1.0,1.0,1.0,0.35134992,0.58123,0.5294282,0.42103148,0.2000425,0.07764285,0.15093939,0.22213933,0.13990994,0.046522785,0.064575225,0.09718641,0.24022532,0.2024396,0.12566732,0.42103148,0.06847231,0.092164755,0.12938988,0.05352908,1.2171175,0.5974874,0.2308516,1.2949427,0.97249997,-0.27675912,-0.31415284,1.0172536,0.8172263,-0.49919492,-0.6828895,0.65823376,1.0519965,0.13943487,-0.3937331,1.2949427,0.5068927,-0.20229574,-0.38105512,0.399218
7820,0.26996732,0.3589638,-15.625025,1015.6266,117.18768,1.0,1.0,1.0,1.0,0.37353495,0.5859632,0.53176314,0.43476486,0.20378608,0.074002564,0.14513603,0.22370283,0.13264401,0.041291952,0.06520265,0.09374294,0.22153737,0.20337589,0.12666294,0.43476486,0.06849762,0.09536638,0.13123524,0.059168912,1.2107722,0.5974874,0.2308516,1.3108811,0.9476154,-0.3011362,-0.33309138,1.0222982,0.76112854,-0.5545175,-0.68060136,0.64456534,0.98388785,0.13791654,-0.39221704,1.3108811,0.47411636,-0.19098762,-0.37681612,0.44472036
7821,0.26996732,0.3589638,-7.8125124,1003.90784,121.09394,1.0,1.0,1.0,1.0,0.37353495,0.5859632,0.53176314,0.43476486,0.20378608,0.074002564,0.14513603,0.22370283,0.13264401,0.041291952,0.06520265,0.09374294,0.22153737,0.20337589,0.12666294,0.43476486,0.06849762,0.09536638,0.13123524,0.059168912,1.2107722,0.5974874,0.2308516,1.3108811,0.9476154,-0.3011362,-0.33309138,1.0222982,0.76112854,-0.5545175,-0.68060136,0.64456534,0.98388785,0.13791654,-0.39221704,1.3108811,0.47411636,-0.19098762,-0.37681612,0.44472036
7822,0.25611654,0.34149492,0.0,1019.53284,117.18768,1.0,1.0,1.0,1.0,0.38775563,0.5894774,0.5362399,0.44565627,0.21209219,0.06911387,0.13795398,0.22430705,0.12986484,0.037738845,0.06542531,0.088454016,0.20012118,0.20572598,0.12839009,0.44565627,0.07016615,0.09794389,0.13199069,0.06604369,1.1817455,0.59546244,0.2308516,1.3280238,0.91971207,-0.33543947,-0.3587733,1.0298667,0.706679,-0.5982161,-0.6827618,0.62574136,0.89448047,0.13828442,-0.38997605,1.3280238,0.43931505,-0.18402739,-0.37796426,0.4988551
7823,0.25611654,0.34149492,-3.9062562,1000.0016,117.18768,1.0,1.0,1.0,1.0,0.38775563,0.5894774,0.5362399,0.44565627,0.21209219,0.06911387,0.13795398,0.22430705,0.12986484,0.037738845,0.06542531,0.088454016,0.20012118,0.20572598,0.12839009,0.44565627,0.07016615,0.09794389,0.13199069,0.06604369,1.1817455,0.59546244,0.2308516,1.3280238,0.91971207,-0.33543947,-0.3587733,1.0298667,0.706679,-0.5982161,-0.6827618,0.62574136,0.89448047,0.13828442,-0.38997605,1.3280238,0.43931505,-0.18402739,-0.37796426,0.4988551
7824,0.25611654,0.34149492,-3.9062562,1003.90784,117.18768,1.0,1.0,1.0,1.0,0.38775563,0.5894774,0.5362399,0.44565627,0.21209219,0.06911387,0.13795398,0.22430705,0.12986484,0.037738845,0.06542531,0.088454016,0.20012118,0.20572598,0.12839009,0.44565627,0.07016615,0.09794389,0.13199069,0.06604369,1.1817455,0.59546244,0.2308516,1.3280238,0.91971207,-0.33543947,-0.3587733,1.0298667,0.706679,-0.5982161,-0.6827618,0.62574136,0.89448047,0.13828442,-0.38997605,1.3280238,0.43931505,-0.18402739,-0.37796426,0.4988551
7825,0.25611654,0.34149492,-7.8125124,1011.72034,117.18768,1.0,1.0,1.0,1.0,0.38775563,0.5894774,0.5362399,0.44565627,0.21209219,0.06911387,0.13795398,0.22430705,0.12986484,0.037738845,0.06542531,0.088454016,0.20012118,0.20572598,0.12839009,0.44565627,0.07016615,0.09794389,0.13199069,0.06604369,1.1817455,0.59546244,0.2308516,1.3280238,0.91971207,-0.33543947,-0.3587733,1.0298667,0.706679,-0.5982161,-0.6827618,0.62574136,0.89448047,0.13828442,-0.38997605,1.3280238,0.43931505,-0.18402739,-0.37796426,0.4988551
7826,0.23857202,0.32153112,-7.8125124,1000.0016,121.09394,1.0,1.0,1.0,1.0,0.3945656,0.5759448,0.5364913,0.45074424,0.22364336,0.066515245,0.13172787,0.2229279,0.13039733,0.0367896,0.06549575,0.08339118,0.1773263,0.21809015,0.13286223,0.45074424,0.074067384,0.102660224,0.13342287,0.07505802,1.1356577,0.5622489,0.21874973,1.3404176,0.8890945,-0.3752108,-0.39113525,1.0346519,0.65480715,-0.6324069,-0.6945998,0.60760754,0.7883116,0.14050409,-0.3874114,1.3404176,0.40916544,-0.18672974,-0.38558266,0.5618846
