id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
2129,0.3,0.22320142,-285.1567,937.50146,230.46912,4.0,2.0,1.0,4.0,NaN,0.112118594,0.056885656,NaN,NaN,0.16596468,0.093568385,NaN,NaN,0.4628708,0.10504075,NaN,NaN,0.18166657,0.6932234,NaN,NaN,0.07737937,0.051281795,NaN,0.0,1.0686188,-0.2767453,0.0,0.0,1.2389567,-0.060618903,0.0,0.0,1.6844009,-0.0103902435,0.0,0.0,1.2782161,0.8091252,0.0,0.0,0.90756625,-0.32178482,0.0
2130,0.3,0.2195617,-281.25043,949.2202,230.46912,4.0,2.0,1.0,4.0,NaN,0.112118594,0.06268844,NaN,NaN,0.16596468,0.11213726,NaN,NaN,0.4628708,0.11920069,NaN,NaN,0.18166657,0.6567548,NaN,NaN,0.07737937,0.049218837,NaN,0.0,1.0686188,-0.31677943,0.0,0.0,1.2389567,-0.06421696,0.0,0.0,1.6844009,-0.03768811,0.0,0.0,1.2782161,0.7034364,0.0,0.0,0.90756625,-0.42183554,0.0
2131,0.3,0.2195617,-277.34418,953.12646,230.46912,4.0,2.0,1.0,4.0,NaN,0.112118594,0.06268844,NaN,NaN,0.16596468,0.11213726,NaN,NaN,0.4628708,0.11920069,NaN,NaN,0.18166657,0.6567548,NaN,NaN,0.07737937,0.049218837,NaN,0.0,1.0686188,-0.31677943,0.0,0.0,1.2389567,-0.06421696,0.0,0.0,1.6844009,-0.03768811,0.0,0.0,1.2782161,0.7034364,0.0,0.0,0.90756625,-0.42183554,0.0
2132,0.3,0.2195617,-285.1567,941.4077,234.37537,4.0,2.0,1.0,4.0,NaN,0.112118594,0.06268844,NaN,NaN,0.16596468,0.11213726,NaN,NaN,0.4628708,0.11920069,NaN,NaN,0.18166657,0.6567548,NaN,NaN,0.07737937,0.049218837,NaN,0.0,1.0686188,-0.31677943,0.0,0.0,1.2389567,-0.06421696,0.0,0.0,1.6844009,-0.03768811,0.0,0.0,1.2782161,0.7034364,0.0,0.0,0.90756625,-0.42183554,0.0
2133,0.3,0.2195617,-285.1567,953.12646,234.37537,4.0,2.0,1.0,4.0,NaN,0.112118594,0.06268844,NaN,NaN,0.16596468,0.11213726,NaN,NaN,0.4628708,0.11920069,NaN,NaN,0.18166657,0.6567548,NaN,NaN,0.07737937,0.049218837,NaN,0.0,1.0686188,-0.31677943,0.0,0.0,1.2389567,-0.06421696,0.0,0.0,1.6844009,-0.03768811,0.0,0.0,1.2782161,0.7034364,0.0,0.0,0.90756625,-0.42183554,0.0
2134,0.3,0.21729162,-289.06296,953.12646,226.56285,4.0,2.0,1.0,4.0,NaN,0.112118594,0.06876116,NaN,NaN,0.16596468,0.12951663,NaN,NaN,0.4628708,0.13195132,NaN,NaN,0.18166657,0.62250006,NaN,NaN,0.07737937,0.04727081,NaN,0.0,1.0686188,-0.3377843,0.0,0.0,1.2389567,-0.06280197,0.0,0.0,1.6844009,-0.05471381,0.0,0.0,1.2782161,0.6190119,0.0,0.0,0.90756625,-0.50053453,0.0
2135,0.3,0.21729162,-289.06296,941.4077,234.37537,4.0,2.0,1.0,4.0,NaN,0.112118594,0.06876116,NaN,NaN,0.16596468,0.12951663,NaN,NaN,0.4628708,0.13195132,NaN,NaN,0.18166657,0.62250006,NaN,NaN,0.07737937,0.04727081,NaN,0.0,1.0686188,-0.3377843,0.0,0.0,1.2389567,-0.06280197,0.0,0.0,1.6844009,-0.05471381,0.0,0.0,1.2782161,0.6190119,0.0,0.0,0.90756625,-0.50053453,0.0
2136,0.3,0.21584938,-289.06296,957.0328,230.46912,4.0,2.0,1.0,4.0,NaN,0.112118594,0.073739655,NaN,NaN,0.16596468,0.14196637,NaN,NaN,0.4628708,0.13851316,NaN,NaN,0.18166657,0.59882414,NaN,NaN,0.07737937,0.046956692,NaN,0.0,1.0686188,-0.33932042,0.0,0.0,1.2389567,-0.054836065,0.0,0.0,1.6844009,-0.0655305,0.0,0.0,1.2782161,0.57027775,0.0,0.0,0.90756625,-0.53532404,0.0
2137,0.3,0.21584938,-285.1567,953.12646,234.37537,4.0,2.0,1.0,4.0,NaN,0.112118594,0.073739655,NaN,NaN,0.16596468,0.14196637,NaN,NaN,0.4628708,0.13851316,NaN,NaN,0.18166657,0.59882414,NaN,NaN,0.07737937,0.046956692,NaN,0.0,1.0686188,-0.33932042,0.0,0.0,1.2389567,-0.054836065,0.0,0.0,1.6844009,-0.0655305,0.0,0.0,1.2782161,0.57027775,0.0,0.0,0.90756625,-0.53532404,0.0
2138,0.3,0.21584938,-285.1567,945.31396,234.37537,4.0,2.0,1.0,4.0,NaN,0.112118594,0.073739655,NaN,NaN,0.16596468,0.14196637,NaN,NaN,0.4628708,0.13851316,NaN,NaN,0.18166657,0.59882414,NaN,NaN,0.07737937,0.046956692,NaN,0.0,1.0686188,-0.33932042,0.0,0.0,1.2389567,-0.054836065,0.0,0.0,1.6844009,-0.0655305,0.0,0.0,1.2782161,0.57027775,0.0,0.0,0.90756625,-0.53532404,0.0
2139,0.3,0.21468054,-281.25043,949.2202,234.37537,4.0,2.0,1.0,4.0,NaN,0.112118594,0.07565609,NaN,NaN,0.16596468,0.14989187,NaN,NaN,0.4628708,0.13927314,NaN,NaN,0.18166657,0.587347,NaN,NaN,0.07737937,0.047831904,NaN,0.0,1.0686188,-0.33932042,0.0,0.0,1.2389567,-0.04238627,0.0,0.0,1.6844009,-0.07429696,0.0,0.0,1.2782161,0.5507304,0.0,0.0,0.90756625,-0.53844666,0.0
2140,0.3,0.21468054,-277.34418,949.2202,230.46912,4.0,2.0,1.0,4.0,NaN,0.112118594,0.07565609,NaN,NaN,0.16596468,0.14989187,NaN,NaN,0.4628708,0.13927314,NaN,NaN,0.18166657,0.587347,NaN,NaN,0.07737937,0.047831904,NaN,0.0,1.0686188,-0.33932042,0.0,0.0,1.2389567,-0.04238627,0.0,0.0,1.6844009,-0.07429696,0.0,0.0,1.2782161,0.5507304,0.0,0.0,0.90756625,-0.53844666,0.0
2141,0.3,0.21424074,-281.25043,949.2202,230.46912,4.0,2.0,1.0,4.0,NaN,0.112118594,0.07686427,NaN,NaN,0.16596468,0.15665954,NaN,NaN,0.4628708,0.14042668,NaN,NaN,0.18166657,0.57668275,NaN,NaN,0.07737937,0.049366765,NaN,0.0,1.0686188,-0.33932042,0.0,0.0,1.2389567,-0.030088058,0.0,0.0,1.6844009,-0.0775953,0.0,0.0,1.2782161,0.535892,0.0,0.0,0.90756625,-0.53161025,0.0
2142,0.3,0.21424074,-281.25043,941.4077,226.56285,4.0,2.0,1.0,4.0,NaN,0.112118594,0.07686427,NaN,NaN,0.16596468,0.15665954,NaN,NaN,0.4628708,0.14042668,NaN,NaN,0.18166657,0.57668275,NaN,NaN,0.07737937,0.049366765,NaN,0.0,1.0686188,-0.33932042,0.0,0.0,1.2389567,-0.030088058,0.0,0.0,1.6844009,-0.0775953,0.0,0.0,1.2782161,0.535892,0.0,0.0,0.90756625,-0.53161025,0.0
2143,0.3,0.21408355,-273.43793,957.0328,234.37537,4.0,2.0,1.0,4.0,NaN,0.112118594,0.08098271,NaN,NaN,0.16596468,0.16641264,NaN,NaN,0.4628708,0.14645582,NaN,NaN,0.18166657,0.55534434,NaN,NaN,0.07737937,0.050804455,NaN,0.0,1.0686188,-0.3360886,0.0,0.0,1.2389567,-0.02329458,0.0,0.0,1.6844009,-0.07877422,0.0,0.0,1.2782161,0.5000815,0.0,0.0,0.90756625,-0.5385791,0.0
2144,0.3,0.21408355,-273.43793,957.0328,234.37537,4.0,2.0,1.0,4.0,NaN,0.112118594,0.08098271,NaN,NaN,0.16596468,0.16641264,NaN,NaN,0.4628708,0.14645582,NaN,NaN,0.18166657,0.55534434,NaN,NaN,0.07737937,0.050804455,NaN,0.0,1.0686188,-0.3360886,0.0,0.0,1.2389567,-0.02329458,0.0,0.0,1.6844009,-0.07877422,0.0,0.0,1.2782161,0.5000815,0.0,0.0,0.90756625,-0.5385791,0.0
2145,0.3,0.21408355,-277.34418,941.4077,230.46912,4.0,2.0,1.0,4.0,NaN,0.112118594,0.08098271,NaN,NaN,0.16596468,0.16641264,NaN,NaN,0.4628708,0.14645582,NaN,NaN,0.18166657,0.55534434,NaN,NaN,0.07737937,0.050804455,NaN,0.0,1.0686188,-0.3360886,0.0,0.0,1.2389567,-0.02329458,0.0,0.0,1.6844009,-0.07877422,0.0,0.0,1.2782161,0.5000815,0.0,0.0,0.90756625,-0.5385791,0.0
