id,valence,activation,accX,accY,accZ,electrode0,electrode1,electrode2,electrode3,alpha_relative0,alpha_relative1,alpha_relative2,alpha_relative3,beta_relative0,beta_relative1,beta_relative2,beta_relative3,gamma_relative0,gamma_relative1,gamma_relative2,gamma_relative3,delta_relative0,delta_relative1,delta_relative2,delta_relative3,theta_relative0,theta_relative1,theta_relative2,theta_relative3,alpha_absolute0,alpha_absolute1,alpha_absolute2,alpha_absolute3,beta_absolute0,beta_absolute1,beta_absolute2,beta_absolute3,gamma_absolute0,gamma_absolute1,gamma_absolute2,gamma_absolute3,delta_absolute0,delta_absolute1,delta_absolute2,delta_absolute3,theta_absolute0,theta_absolute1,theta_absolute2,theta_absolute3
3187,0.3,0.30879867,-50.78133,1003.90784,136.71896,4.0,2.0,1.0,1.0,NaN,0.19511467,0.23802292,NaN,NaN,0.19332911,0.24917455,NaN,NaN,0.18131034,0.17054565,NaN,NaN,0.3569333,0.21883214,NaN,NaN,0.07331256,0.123424746,NaN,0.0,1.2393706,1.253265,0.0,0.0,1.2353779,1.2731498,0.0,0.0,1.2075032,1.1084869,0.0,0.0,1.5016677,1.2167573,0.0,0.0,0.81425905,0.96804845,0.0
3188,0.3,0.30879867,-50.78133,1003.90784,136.71896,4.0,2.0,1.0,1.0,NaN,0.19511467,0.23802292,NaN,NaN,0.19332911,0.24917455,NaN,NaN,0.18131034,0.17054565,NaN,NaN,0.3569333,0.21883214,NaN,NaN,0.07331256,0.123424746,NaN,0.0,1.2393706,1.253265,0.0,0.0,1.2353779,1.2731498,0.0,0.0,1.2075032,1.1084869,0.0,0.0,1.5016677,1.2167573,0.0,0.0,0.81425905,0.96804845,0.0
3189,0.3,0.30879867,-54.687584,1003.90784,132.81271,4.0,2.0,1.0,1.0,NaN,0.19511467,0.23802292,NaN,NaN,0.19332911,0.24917455,NaN,NaN,0.18131034,0.17054565,NaN,NaN,0.3569333,0.21883214,NaN,NaN,0.07331256,0.123424746,NaN,0.0,1.2393706,1.253265,0.0,0.0,1.2353779,1.2731498,0.0,0.0,1.2075032,1.1084869,0.0,0.0,1.5016677,1.2167573,0.0,0.0,0.81425905,0.96804845,0.0
3190,0.3,0.30879867,-54.687584,1003.90784,136.71896,4.0,2.0,1.0,1.0,NaN,0.19511467,0.23802292,NaN,NaN,0.19332911,0.24917455,NaN,NaN,0.18131034,0.17054565,NaN,NaN,0.3569333,0.21883214,NaN,NaN,0.07331256,0.123424746,NaN,0.0,1.2393706,1.253265,0.0,0.0,1.2353779,1.2731498,0.0,0.0,1.2075032,1.1084869,0.0,0.0,1.5016677,1.2167573,0.0,0.0,0.81425905,0.96804845,0.0
3191,0.3,0.30858412,-54.687584,1003.90784,132.81271,4.0,4.0,1.0,1.0,NaN,0.19511467,0.27228695,NaN,NaN,0.19332911,0.2341756,NaN,NaN,0.18131034,0.16262098,NaN,NaN,0.3569333,0.20031972,NaN,NaN,0.07331256,0.13059676,NaN,0.0,1.2393706,1.3307279,0.0,0.0,1.2353779,1.2652428,0.0,0.0,1.2075032,1.1068777,0.0,0.0,1.5016677,1.1974249,0.0,0.0,0.81425905,1.0116335,0.0
3192,0.3,0.30812106,-50.78133,1003.90784,132.81271,4.0,4.0,1.0,1.0,NaN,0.19511467,0.31857213,NaN,NaN,0.19332911,0.21485822,NaN,NaN,0.18131034,0.1512698,NaN,NaN,0.3569333,0.17874898,NaN,NaN,0.07331256,0.13655087,NaN,0.0,1.2393706,1.4268603,0.0,0.0,1.2353779,1.2558045,0.0,0.0,1.2075032,1.1034048,0.0,0.0,1.5016677,1.1758962,0.0,0.0,0.81425905,1.0589471,0.0
3193,0.3,0.30812106,-58.59384,1007.8141,128.90645,4.0,4.0,1.0,1.0,NaN,0.19511467,0.31857213,NaN,NaN,0.19332911,0.21485822,NaN,NaN,0.18131034,0.1512698,NaN,NaN,0.3569333,0.17874898,NaN,NaN,0.07331256,0.13655087,NaN,0.0,1.2393706,1.4268603,0.0,0.0,1.2353779,1.2558045,0.0,0.0,1.2075032,1.1034048,0.0,0.0,1.5016677,1.1758962,0.0,0.0,0.81425905,1.0589471,0.0
3194,0.3,0.30812106,-58.59384,1003.90784,128.90645,4.0,4.0,1.0,1.0,NaN,0.19511467,0.31857213,NaN,NaN,0.19332911,0.21485822,NaN,NaN,0.18131034,0.1512698,NaN,NaN,0.3569333,0.17874898,NaN,NaN,0.07331256,0.13655087,NaN,0.0,1.2393706,1.4268603,0.0,0.0,1.2353779,1.2558045,0.0,0.0,1.2075032,1.1034048,0.0,0.0,1.5016677,1.1758962,0.0,0.0,0.81425905,1.0589471,0.0
3195,0.3,0.30812106,-50.78133,1007.8141,132.81271,4.0,4.0,1.0,1.0,NaN,0.19511467,0.31857213,NaN,NaN,0.19332911,0.21485822,NaN,NaN,0.18131034,0.1512698,NaN,NaN,0.3569333,0.17874898,NaN,NaN,0.07331256,0.13655087,NaN,0.0,1.2393706,1.4268603,0.0,0.0,1.2353779,1.2558045,0.0,0.0,1.2075032,1.1034048,0.0,0.0,1.5016677,1.1758962,0.0,0.0,0.81425905,1.0589471,0.0
3196,0.3,0.30812106,-46.875072,1007.8141,136.71896,4.0,4.0,1.0,1.0,NaN,0.19511467,0.31857213,NaN,NaN,0.19332911,0.21485822,NaN,NaN,0.18131034,0.1512698,NaN,NaN,0.3569333,0.17874898,NaN,NaN,0.07331256,0.13655087,NaN,0.0,1.2393706,1.4268603,0.0,0.0,1.2353779,1.2558045,0.0,0.0,1.2075032,1.1034048,0.0,0.0,1.5016677,1.1758962,0.0,0.0,0.81425905,1.0589471,0.0
